;t8;t8;t8;t8;;t9;t9;t9;t9;;t10;t10;t10;t10;;t11;t11;t11;t11;;t12;t12;t12;t12;;t13;t13;t13;t13;;
;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;
g169;0.35;0;-0.07;0.48;g169;0.25;0;0.24;-0.54;g169;0.06;0;-0.17;-0.41;g169;0.13;0;-0.09;0.38;g169;0.14;0;-0.13;0.01;g169;-0.1;0;-0.24;0.43
g170;0.2;-0.5;-0.1;0.21;g170;0.05;0;0.84;-0.05;g170;0.25;-0.41;0.4;-0.05;g170;0.05;0.17;0.29;0.38;g170;-0.05;-0.5;-0.05;0.36;g170;-0.3;0.04;0;0.3
g171;-0.03;0;0.09;0.24;g171;-0.26;0;0.33;0.04;g171;-0.17;0;0.13;0.18;g171;-0.26;0;-0.04;0.03;g171;0.09;0.37;-0.18;0.03;g171;-0.33;0;-0.65;-0.13
g172;0.36;0.06;0.09;0.3;g172;-0.04;-0.18;0.36;0.05;g172;-0.4;-0.33;0.03;-0.19;g172;0.01;0.41;-0.17;-0.13;g172;0.05;-0.13;-0.15;0.36;g172;-0.46;-0.03;0;0
g173;-0.02;0.22;-0.08;0.11;g173;0.03;0.25;0.62;0.27;g173;-0.03;0.43;0.34;-0.29;g173;0.41;0.41;0.25;-0.02;g173;0.13;0.07;0.06;-0.12;g173;0.11;-0.69;0;-0.04
g174;-0.16;-0.13;-0.09;-0.05;g174;-0.18;0.52;0.47;0.11;g174;0.13;-0.1;0.35;-0.04;g174;0.11;0.35;0.27;0.11;g174;0.21;-0.19;0.03;-0.33;g174;0.11;-0.19;0.07;0.21
g175;-0.41;-0.28;-0.28;0.66;g175;0;-0.09;-1.46;0.65;g175;-0.4;-0.42;-0.14;-0.06;g175;0.03;0.23;0.56;0.3;g175;0.05;-0.4;0.76;-1.27;g175;0.2;0.42;0.43;0.14
g176;-0.01;0.02;-0.24;0.18;g176;-0.17;0.15;0.02;-0.18;g176;0.37;0.04;0.19;-0.87;g176;-0.09;0.1;0.22;0.57;g176;-0.2;0.04;-0.06;0.87;g176;-0.18;0.22;-0.22;0.46
g177;-0.07;0.71;-0.75;0.41;g177;0.01;-0.69;-0.27;0.36;g177;0.82;0.29;-0.17;-0.15;g177;0;0;-0.03;0.1;g177;-0.01;0.72;-0.17;-0.99;g177;-0.5;0;0.01;-0.08
g178;0.07;-0.04;0.39;0.08;g178;-0.37;0.39;-1.54;0.05;g178;-0.23;-0.1;0;-0.09;g178;-0.35;0.12;-0.95;0.07;g178;-0.17;-0.24;0.09;0.04;g178;-0.3;0.17;0.31;-0.01
g179;0.06;0.61;0.31;0.17;g179;-0.02;-0.3;-0.14;0.2;g179;0.15;0.42;-0.24;-0.25;g179;0.01;-0.49;-0.08;0.23;g179;-0.08;0.07;0.17;0.07;g179;-0.22;-0.57;0;0.03
g180;-0.07;0.39;-0.15;-0.13;g180;-0.25;-0.23;0.69;0.01;g180;0.37;-0.02;-0.01;-0.49;g180;-0.17;-0.19;0.06;-0.3;g180;-0.08;0.24;-0.12;-0.46;g180;-0.29;-0.34;0;-0.23
g181;0.26;0;0.1;0.16;g181;0.4;0;-1.28;0.09;g181;-0.87;0;-0.98;0.27;g181;0;0;-0.28;0.28;g181;-0.05;0;0.32;-0.32;g181;0.17;0;-0.43;0.2
g182;0.13;0;-0.42;0.12;g182;-0.04;-0.3;-0.29;0.23;g182;0.3;0;-0.82;-0.46;g182;-0.13;-0.14;-0.73;-0.1;g182;-0.08;1.06;0.39;0.2;g182;-0.41;0.29;0.31;-0.51
g183;0.38;0;-0.1;-0.08;g183;0.42;0;0.34;-0.01;g183;-0.37;0;-0.26;-0.06;g183;0.06;0;-0.44;-0.3;g183;-0.01;0;-0.32;-0.52;g183;0.02;0;0.01;0.21
g184;-0.02;0;-0.54;0.31;g184;-0.09;0;0;0.31;g184;0.18;0;-2.56;-0.11;g184;0.04;0;0.4;0.05;g184;0.02;0;-0.32;-0.18;g184;0.11;0;0.6;-0.33
g185;0;1.12;-0.19;0.1;g185;0.2;0.06;0.22;0.03;g185;0;0;0;0.21;g185;0.3;0;0.03;0.05;g185;0.08;0;-0.45;-1.18;g185;-0.02;0;0.55;0.32
g186;0.04;0;0.1;0.02;g186;-0.07;0;0;0.04;g186;0.1;0;-0.46;-0.22;g186;0.32;0;-0.19;0.05;g186;-0.22;0;0.29;-0.27;g186;-0.2;0;0.84;0.07
g187;0.3;-0.61;0.42;0.41;g187;0.12;-0.08;-0.97;0.33;g187;-0.18;-0.83;0.34;-0.62;g187;0.04;0.08;0.12;0.23;g187;-0.29;-0.61;0.23;0.92;g187;-0.18;-0.61;-0.37;0.61
g188;-0.2;0.19;-0.17;0.28;g188;-0.1;0.04;0.4;0.33;g188;0.15;-0.05;0.25;-0.05;g188;0.06;0.19;0.19;0.18;g188;-0.07;0.01;0;-0.2;g188;-0.04;-0.12;0.04;0.04
g189;-0.03;0.14;-0.26;0.21;g189;-0.06;0.11;0.84;0.34;g189;-0.1;0.19;0.26;0.18;g189;-0.05;0.01;0.26;0;g189;-0.12;0.49;-0.26;-0.22;g189;-0.1;0.02;0;0.11
g190;-0.05;-0.35;0.11;-0.06;g190;0.14;-0.08;0.8;-0.68;g190;-0.43;-0.41;0.66;-0.32;g190;-0.04;-0.08;0.88;0.14;g190;-0.37;-0.04;0.68;0.32;g190;-0.22;-0.65;0.65;0.06
g191;0.08;0.09;0.28;0.33;g191;-0.17;0.15;0.04;0.24;g191;0;-0.22;-0.08;-0.07;g191;0.08;-0.11;0.12;0.06;g191;-0.1;-0.22;0.28;-0.17;g191;0.23;-0.11;0;-0.02
g192;0.17;0;0.07;0.36;g192;-0.07;0;-0.22;0.22;g192;-0.32;0;-0.13;0.03;g192;-0.04;0;0.61;0.36;g192;-0.11;0;0.65;0.2;g192;-0.08;0;-0.08;0.05
g193;-0.09;0;-0.23;0.59;g193;0.1;0;0.41;0.17;g193;-0.4;0;-0.11;-0.16;g193;0.05;0;-0.11;0.11;g193;-0.02;0;-0.18;0.48;g193;0.28;0;-0.18;0.11
g194;0.29;0.65;0.06;0.33;g194;-0.04;-0.15;-0.12;0.39;g194;0;-0.22;-0.08;-0.12;g194;-0.23;-0.12;0.06;0.39;g194;-0.06;0.17;0.29;0.12;g194;0.12;-0.25;0;0.19
g195;0.22;0;-0.09;0.23;g195;-0.01;0;0.09;0.27;g195;-0.24;0;-0.06;0.19;g195;0.21;0;-0.14;0.16;g195;0.08;0;-0.09;-0.14;g195;0.08;0;0.14;0.33
g196;-0.28;-0.01;0.13;0.16;g196;-0.17;0.03;0.08;0.05;g196;-0.09;-0.07;-0.09;-0.07;g196;-0.37;0.62;-0.33;0.13;g196;0.22;0.1;0.13;-0.7;g196;0;0.33;0;-0.18
g197;0.09;-0.39;-0.15;-0.38;g197;0.08;-0.18;0.29;-0.01;g197;-0.1;-0.62;0.07;-0.33;g197;0;0.06;0.11;-0.62;g197;-0.02;0.24;0.3;-0.74;g197;-0.13;0.71;0;-0.05
g198;-0.35;-0.26;-0.24;-0.18;g198;0;0.35;0.04;-0.53;g198;-0.19;-0.12;0.31;-0.44;g198;0;0.31;0.2;0.22;g198;-0.05;-0.17;0.2;-0.08;g198;0;-0.65;0.06;0.17
g199;0.19;0.83;-0.62;0.45;g199;0;-0.1;-1.57;0.39;g199;0.06;0.37;0.4;-0.27;g199;0;-0.02;0.13;0.16;g199;0.37;0.23;-0.43;-0.08;g199;0;-0.18;0.59;0.26
g200;0.29;-0.34;-0.04;0.39;g200;0.26;-0.01;0.31;0.19;g200;0.09;-0.21;-0.06;-0.46;g200;0.04;0.9;0.19;0.13;g200;-0.29;-0.47;0;-0.02;g200;-0.49;-0.34;-0.05;-0.2
g201;-0.21;0.65;0.29;0.21;g201;0.3;-0.47;-0.45;0.49;g201;-0.37;0.51;0.28;-0.12;g201;-0.15;-0.31;0.25;0.25;g201;0.3;0.49;0.44;-0.75;g201;-0.1;-0.37;0.24;0.17
g202;0.15;-0.09;0;-0.12;g202;-0.3;0.3;0.61;0;g202;0.13;-0.14;0.39;0.05;g202;0.16;0.03;0.52;0.14;g202;-0.2;0.62;0.04;-0.07;g202;0;-1.02;0.1;-0.03
g203;0.05;0.07;0.02;0.07;g203;0.45;-0.03;-0.04;0.19;g203;-0.27;-0.22;0.08;-0.14;g203;0.36;-0.16;0;0.33;g203;-0.03;-0.24;0.28;0.02;g203;0.08;-0.07;0;0.36
g204;0.26;0.23;-0.79;0.18;g204;-0.15;-0.08;1.51;0.13;g204;0.42;0.05;0.35;-0.21;g204;0.13;-0.17;0;0.09;g204;0.04;0.04;-0.64;-0.02;g204;-0.03;-0.23;0.28;-0.33
g205;-0.08;-0.08;-0.22;0.14;g205;0.41;-0.08;0.14;-0.13;g205;-0.14;0.09;-0.09;-0.37;g205;0.32;-0.17;-0.11;0.76;g205;0.25;0.26;0;-0.27;g205;-0.03;-0.3;-0.11;-0.14
g206;0.12;0.2;0.01;-0.03;g206;-0.21;-0.26;0.06;-0.18;g206;-0.14;-0.21;-0.19;-0.05;g206;0.3;-0.44;0.01;0.04;g206;-0.14;0.06;0.06;-0.2;g206;-0.16;-0.31;0.07;0.14
g207;0.12;0.41;0.08;-0.16;g207;0.43;-0.28;0.37;-0.09;g207;-0.56;0.04;0.19;0.04;g207;0.46;-0.38;0.32;0.08;g207;-0.11;0.2;0.31;0.2;g207;0.2;-0.32;-0.35;0.02
g208;-0.04;0.26;0.03;0;g208;-0.1;-0.43;-0.04;-0.18;g208;0.05;0.12;-0.1;-0.11;g208;0.37;-0.39;-0.18;0.04;g208;-0.24;0.13;0.36;-0.02;g208;0;-0.18;0.13;0
g222;0.02;0.45;1.39;0.3;g222;-0.11;-0.49;0;0.01;g222;0;0.14;0;-0.02;g222;-0.19;-0.18;0;0.26;g222;0.02;0;-0.03;0.1;g222;-0.19;-0.52;-1.61;-0.02
g223;-0.22;0.68;-0.06;0.33;g223;0.3;0.33;-1.32;0.37;g223;-0.3;0.29;-0.88;0.14;g223;0.57;-0.04;-0.92;0.37;g223;0.36;0.3;-0.03;-0.57;g223;0.2;-0.15;0.2;0.31
g224;-0.34;0.41;0.02;0.07;g224;0.56;0.99;0.1;0.43;g224;0.37;1.14;0.55;-0.16;g224;0.94;0.54;0.27;0.18;g224;0.19;0.43;0.36;0;g224;0.04;-0.03;0;0.31
g225;-0.47;0.56;-0.18;0.1;g225;0.1;0.91;1;0.07;g225;0.43;1.19;0.68;-0.27;g225;1.25;0.45;0.72;0;g225;-0.1;0.54;0.02;-0.25;g225;-0.1;-0.09;-0.03;-0.13
g226;-0.35;0.27;-0.41;0.31;g226;0.7;1.02;1.21;0.38;g226;0.25;1.11;0.66;-0.34;g226;0.85;0.55;0.09;0.11;g226;0.19;0.37;-0.29;0.2;g226;0.01;0.02;-0.04;0.25
g227;-0.19;0;-0.04;-0.09;g227;-0.05;0;0.49;-0.21;g227;0.3;0;0.38;-0.52;g227;0.56;0;0.36;0.27;g227;-0.2;0;0.11;0.12;g227;-0.25;0.17;-0.76;0.23
g228;-0.18;0.31;-0.02;0.14;g228;0.95;0.03;0.04;0.54;g228;-0.66;0.09;-0.23;-0.18;g228;0.03;-0.25;-0.13;-1.28;g228;0.39;-0.34;0.14;-0.2;g228;-0.14;-0.36;-0.28;0.05
g229;-0.25;0;0.15;0.14;g229;-0.27;0;0.37;-0.1;g229;0.12;0;0.4;-0.11;g229;0.4;0;0.51;0.38;g229;-0.02;0;0.56;0.05;g229;-0.17;-0.33;-0.03;0.17
g230;-0.16;0.86;-0.01;-0.12;g230;0.18;-0.11;0.06;0.16;g230;-0.48;0.74;-0.22;-0.23;g230;0.08;-0.22;-0.13;0;g230;0.03;0.47;-0.08;-0.49;g230;0.03;-0.64;-0.27;-0.08
g231;0.03;0.35;0.09;0.05;g231;-0.43;-0.2;0.13;-0.14;g231;-0.27;0.19;-0.2;-0.25;g231;-0.23;-0.11;-0.19;0.19;g231;-0.3;-0.21;-0.21;-0.04;g231;-0.26;-0.29;-0.39;0.17
g232;-0.03;0.16;0.03;0.07;g232;0.14;-0.51;-0.03;-0.22;g232;-0.08;0.46;-0.12;-0.37;g232;0.21;0.01;0.21;0.45;g232;0.3;0.35;0.39;0.47;g232;-0.31;-0.3;-0.67;0.88
g233;-0.11;-0.06;-0.28;0.07;g233;-0.29;0.05;-0.49;0.31;g233;0.11;0.41;-0.05;-0.02;g233;0;0.17;0.17;0.11;g233;-0.11;0.2;0.23;-0.15;g233;-0.06;0.4;-0.33;-0.15
g234;-0.19;-0.45;-0.5;0.37;g234;0.11;-0.45;0.23;0.34;g234;-0.87;-0.2;-0.58;-0.06;g234;0.21;0.23;-0.1;0.2;g234;0.08;0.41;0.3;-0.18;g234;0.11;0.4;0.01;0.08
g235;-0.31;-1.7;-0.46;1.07;g235;-0.33;-1.12;0;0.68;g235;-0.74;-0.44;-2.72;0.34;g235;-0.01;1.08;0.43;0.69;g235;0.97;0.79;-0.18;0.11;g235;1.01;1.7;0.51;-0.64
g236;-0.4;-2.13;-0.96;0.84;g236;-0.78;-0.88;0.34;0.58;g236;-1.12;-0.54;0.24;0.05;g236;-0.09;1.05;0;0.6;g236;0.96;0.89;-0.38;-0.14;g236;1.32;1.75;0.63;-0.4
g237;0.04;-0.32;-0.29;0.36;g237;-0.08;0.18;0.75;0.12;g237;0.24;-0.55;0.06;-0.39;g237;-0.15;0.21;-0.05;0.42;g237;-0.17;-0.33;0;-0.01;g237;-0.06;0.09;0.09;0.15
g238;0.06;0.37;0;0.07;g238;0.19;-0.29;0;-0.24;g238;0.09;0.52;0;0.2;g238;0.01;0;0;-0.24;g238;-0.17;0.79;0;0.03;g238;-0.43;0.25;0;-0.12
g239;-0.14;0;-0.5;-0.12;g239;-0.12;0;-0.2;-0.05;g239;0.22;0;0.23;-0.71;g239;-0.11;0;-0.07;-0.03;g239;-0.42;0;0;-0.27;g239;-0.04;0;0.4;-0.02
g240;0.05;0;-0.54;0.21;g240;0.14;0.22;-0.17;0.14;g240;-0.12;0;0.23;-0.33;g240;-0.08;-0.12;-0.09;0.11;g240;-0.14;0.29;-0.02;-0.33;g240;-0.11;-0.14;0.44;0.01
g241;0.21;0;-0.34;0.15;g241;-0.09;0;-1.34;-0.18;g241;-0.25;0;0;-0.15;g241;0.06;0;-0.34;0.05;g241;-0.23;0;0.98;0.01;g241;-0.14;0;0;0.09
g242;0.05;-0.72;-0.19;0.22;g242;-0.06;0.19;-0.13;0.09;g242;-0.35;-0.64;-0.17;0.12;g242;-0.28;-0.2;-0.05;0.26;g242;-0.15;-0.37;0.09;0.25;g242;-0.25;0.13;0.08;-0.01
g243;-0.31;0;-0.24;0.22;g243;-0.31;0;0.32;0.2;g243;-0.14;0;0.15;-0.42;g243;0.06;0;0.21;0.28;g243;-0.02;0;0.23;-0.05;g243;0;0;0;-0.09
g244;-0.07;-1.17;-0.32;0.38;g244;-0.14;0.36;0.61;0.2;g244;-0.12;-0.35;0.23;0.01;g244;-0.07;0.36;0.19;0.39;g244;0.04;-0.12;0;0.5;g244;0.16;0.33;0.27;0.06
g245;0.05;0.95;0.1;0.3;g245;-0.03;0.06;0.22;0.31;g245;0.55;-0.03;0.09;-0.15;g245;0.24;0.03;0.06;0.37;g245;-0.04;-0.17;0.08;0.28;g245;-0.16;-0.11;-0.11;-0.05
g246;-0.21;0.43;-0.12;0.18;g246;0.17;-0.84;0.22;0.23;g246;0;0.78;0.06;-0.45;g246;-0.05;0;-0.57;0.21;g246;-0.28;0.84;0.22;-0.09;g246;-0.05;0;0.37;0.14
g247;-0.17;0.59;-0.16;0.22;g247;0.07;-0.58;-0.16;-0.02;g247;-0.47;0.27;-0.54;-0.22;g247;0.2;-0.52;-1.05;0.25;g247;0.04;0.22;-0.05;-1.37;g247;-0.17;-0.35;-0.27;0.24
g248;-0.43;0.58;-0.1;0.29;g248;0.14;-0.23;0.53;0.09;g248;0.26;0.5;-0.4;-0.69;g248;0.04;-0.51;-0.4;-0.03;g248;-0.05;0.22;-0.36;-0.49;g248;-0.02;-0.54;-0.01;-0.03
g249;-0.19;0;0.3;-0.37;g249;0.07;0;-0.38;0.21;g249;-0.01;0;-0.03;0.02;g249;0.19;0;-0.01;0;g249;0.18;0;0.29;-0.74;g249;-0.52;0;0;0
g250;-0.27;-0.42;-0.07;0.14;g250;0.03;0;0.16;0.3;g250;-0.32;0.42;0.39;0.03;g250;0.48;0;0.45;0.02;g250;0.01;0;-0.22;-0.12;g250;0;0;0.19;0.2
g251;-0.45;0;-0.24;0.03;g251;-0.35;0;0.29;0.27;g251;-0.06;0;0.41;0.23;g251;0.52;0;0.55;0.27;g251;0.16;0;0.17;0.24;g251;0.19;0;0;-0.3
g252;-0.06;0;0.04;0.16;g252;0.14;0;0.24;-0.02;g252;-0.54;0;0.1;0.16;g252;0.14;0;0.15;0.2;g252;-0.13;0;0.11;0.2;g252;0.07;0;0;0.31
g253;-0.16;0;-0.36;0.03;g253;-0.03;0;0.51;0.13;g253;-0.06;0;0.15;0.2;g253;0.48;0;0.06;0.03;g253;0;0;0;-0.07;g253;-0.14;0;-0.05;-0.38
g254;-0.4;-0.12;0.02;0.08;g254;0.22;0;0.33;0.08;g254;-0.25;-0.59;0.4;-0.36;g254;0.18;0;0.53;0.34;g254;-0.1;-0.36;0.51;0.7;g254;-0.21;0;0;0.7
g255;-0.13;0;-0.36;0.06;g255;0;0;0.8;0.03;g255;-0.24;0;-1.06;0.1;g255;0.27;0;-0.06;-0.13;g255;0.18;0;0.8;0.24;g255;0.08;0;0.85;-0.1
g256;-0.08;-0.58;0.04;0.06;g256;0.2;0;0.16;0.17;g256;-0.44;-0.35;-0.15;0.21;g256;0.2;0;0.09;-0.02;g256;-0.05;0.01;0.74;-0.19;g256;0.24;0;0.39;0.04
g257;0.11;0;0.16;0.21;g257;0.22;0;0.26;0.46;g257;-0.07;0;0.04;0.02;g257;-0.1;0;-0.28;0.15;g257;0.16;0;0.24;-0.18;g257;0.04;0;0;-0.16
g258;-0.02;-0.55;0.05;0.36;g258;0.28;0.3;0.82;0.31;g258;-0.07;-0.26;-0.18;-0.21;g258;0.2;-0.06;-0.4;0.04;g258;-0.17;-0.19;0.14;0.01;g258;0.05;-0.14;0.15;0.08
g259;0.06;0.86;-0.38;0.56;g259;0.18;-0.11;0;0.62;g259;-0.11;0.29;-2.71;-0.24;g259;-0.09;-0.12;0.3;0.39;g259;0.12;0.44;-0.13;-0.13;g259;0.16;-0.58;0.53;-0.13
g260;-0.12;0.27;-0.1;0.34;g260;0.04;0.15;0.34;0.08;g260;-0.1;0.1;-0.33;0.28;g260;-0.1;0.02;-0.41;0.05;g260;-0.26;0.1;-0.5;0.3;g260;-0.01;-0.53;-0.53;-0.11
g261;-0.38;0.33;0.22;0.13;g261;0.3;0.2;-0.03;-0.09;g261;-0.34;-0.23;-0.22;-0.21;g261;0.31;-0.31;-0.09;0.03;g261;-0.16;-0.09;-0.12;-0.29;g261;0.18;-0.41;0.25;-0.25
g262;0.21;0;-0.24;0.22;g262;0.24;0;0.39;0.66;g262;0.19;0;0.06;-0.01;g262;0.16;0;0;-0.08;g262;0.27;0.28;-0.29;0.1;g262;0.24;0;0.17;-0.04
g263;-0.05;0;-0.24;0.69;g263;0.04;0;0.52;0.24;g263;-0.12;0;0.34;-0.29;g263;-0.1;0;0.45;0.67;g263;0.03;0;-0.1;0.48;g263;-0.07;0;0;0.35
g264;-0.08;0;0.07;0.29;g264;0.15;0;-0.4;-0.02;g264;-0.15;0;0.14;-0.08;g264;0.13;0;0.22;0.19;g264;-0.11;0;0.23;0.41;g264;0.09;0;0;-0.02
g265;0.05;0;0.3;0.62;g265;0.11;0;0.3;0.4;g265;-0.17;0;0.41;-0.46;g265;-0.19;0;0.46;0.64;g265;-0.21;0;0.52;0.46;g265;0.84;0;-0.05;0.14
g266;1.63;1.83;1.25;1.16;g266;0.1;0.23;0.34;1.31;g266;0.51;-0.46;0.01;1.3;g266;0.46;-1.1;-0.57;1.6;g266;-0.71;-1.43;0.01;1.23;g266;0.86;-0.93;-0.25;0.88
g267;-0.01;0;0.01;0.32;g267;0.27;0;0.51;0.35;g267;0.05;0;0.19;-0.09;g267;0.15;0;0.13;0.42;g267;0.17;0;0.01;0.03;g267;0.1;0;0;-0.18
g268;-1.04;0;-0.65;0.28;g268;-1.06;0;-1.3;-0.11;g268;-1.18;0;0;0.37;g268;-0.77;0;0.06;-0.26;g268;-1.25;0;0.21;-0.32;g268;0;0;-0.3;-0.26
g269;-0.33;0.02;-0.22;0.4;g269;-0.26;0.05;0.11;0.34;g269;-0.35;0.2;0.18;-0.06;g269;0.13;0.28;0.42;0.43;g269;0.13;0.7;0.49;0.16;g269;0.23;0.17;0;-0.04
g270;-0.37;0.33;-0.02;0.25;g270;0.61;-0.07;-0.11;0.39;g270;-0.27;0.08;0.32;0.01;g270;0.1;0.23;0.34;0.15;g270;0.15;-0.34;0.26;0.1;g270;0;0.12;-0.29;0.09
g271;0.03;0.07;-0.01;-0.03;g271;0.16;-0.24;-0.19;0.17;g271;-0.31;-0.02;-0.55;-0.25;g271;0.08;-0.18;-0.4;-0.02;g271;0;0.07;0.06;0.06;g271;0;-0.15;0.16;0.32
g272;0.04;0;0.04;0.28;g272;0.42;0.1;0.27;0.53;g272;-0.17;0.2;0.11;0.04;g272;-0.08;-0.21;0.09;0.36;g272;-0.29;0.15;0.34;0.01;g272;0;-0.19;0.11;0.34
g273;-0.19;0;0.41;0.01;g273;-0.07;0;0.11;0.24;g273;-0.05;0;-1.07;-0.45;g273;-0.08;0;0.07;0.11;g273;-0.08;0;0.3;-0.64;g273;-0.04;0;0.04;0.01
g274;0.11;0.37;-0.17;0.36;g274;0.2;-0.4;0.1;0.43;g274;-0.24;0.61;-0.01;-0.2;g274;-0.27;-0.28;0.03;0.46;g274;-0.31;0.61;0.21;0.55;g274;0;-0.34;0.32;0.48
g275;0.15;0;-0.49;-0.13;g275;-0.09;0;-0.53;-0.13;g275;-0.16;0;-0.24;-0.36;g275;-0.06;0;-0.09;-0.04;g275;0.13;0;0.18;0.24;g275;-0.19;0;0.27;0.07
g276;-0.09;0.33;-0.51;0.12;g276;0.18;0.06;-1.86;0.11;g276;-0.15;0.01;0.46;-0.2;g276;-0.11;0.02;0.28;-0.18;g276;-0.04;-0.01;-0.36;-0.24;g276;-0.29;-0.16;0.45;-0.45
g277;-0.05;0;0.16;0.54;g277;-0.03;0;-0.35;0.27;g277;-0.43;0;-0.15;-0.13;g277;-0.08;0;0.08;0.59;g277;-0.05;0;0.48;0.29;g277;0.25;0;0.22;0.2
g278;-0.1;0;-0.09;0.21;g278;0;0;0.07;0.01;g278;-0.64;0;-0.26;0.31;g278;0;0;-0.4;0.39;g278;-0.17;0;-0.35;0.55;g278;0;0;-0.5;-0.1
g279;-0.33;0;0.14;0.16;g279;0.04;0;-0.04;-0.67;g279;-0.33;0;0.05;0.17;g279;0;0;0.31;0.32;g279;0.08;0;-0.09;0.25;g279;0;0;-0.44;-0.06
g280;-0.31;0;0.03;0.41;g280;0.59;0;0.93;0.12;g280;-0.36;0;0.54;0.04;g280;0.43;0;0.53;0.62;g280;-0.1;0;0.26;0.76;g280;0.04;0;0.12;0.49
g281;-0.34;0;0.31;0.25;g281;-0.06;0;0.87;0.19;g281;-0.34;0;0.86;-0.36;g281;0.22;0;0.74;0.68;g281;0.08;0;0.54;0.53;g281;-0.09;0;0.01;0.32
g282;1.21;2.14;1.03;0.09;g282;1.54;1.02;1.72;0.15;g282;1.39;0.76;1.12;-0.45;g282;1.12;-0.46;0.44;0.39;g282;0.3;-0.73;-0.1;0.88;g282;0.21;-1.67;-0.93;0.57
g283;0.06;0.09;0.12;0.21;g283;-0.07;0.18;0.29;0.18;g283;0.14;0.12;-0.23;-0.1;g283;0.28;0.08;-0.14;0.13;g283;-0.16;-0.25;-0.07;0.09;g283;0.18;-0.16;0;-0.1
g284;-0.14;-0.02;0;0.22;g284;0.16;0.07;0.49;-0.12;g284;-0.23;0.17;0.58;-0.54;g284;0.08;-0.04;0.63;0.38;g284;-0.13;0.32;0.84;0.8;g284;-0.19;-0.05;-0.07;0.7
