;t9;t9;t9;t9;;t10;t10;t10;t10;;t11;t11;t11;t11;;t12;t12;t12;t12;;
;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;
g910;0.05;0;0.13;-0.22;g910;0.33;0;0.24;-0.1;g910;0.13;0;0.14;0.13;g910;0.01;0;-0.18;0.02
g937;-0.1;0;0.54;0.11;g937;-0.22;0;0.39;0.05;g937;-0.04;0;0.27;0.18;g937;0.22;0;0;-0.05
g1003;0.31;-0.19;0.17;0.12;g1003;0.18;0.69;-0.1;-0.08;g1003;0.16;-0.55;-0.25;-0.26;g1003;-0.03;-0.06;-0.19;-0.33
g1066;-0.18;-0.44;0.13;-0.24;g1066;0.41;0.15;0.03;-0.18;g1066;0.09;-0.56;0.03;-0.06;g1066;-0.17;1.12;0.35;-0.26
g1082;-0.23;0.41;0.39;-0.22;g1082;0.19;0.2;0.37;-0.18;g1082;0.18;0.24;0.2;0.31;g1082;-0.15;0;-0.24;0.27
g1158;0.07;0.36;-0.07;0.4;g1158;0.15;-0.2;-0.09;0.11;g1158;0.13;0.25;0.09;-0.07;g1158;0.32;-0.45;-0.17;0.13
g1162;-0.2;0.33;-0.07;0.15;g1162;0.58;0.06;0.1;0.18;g1162;0.05;0.16;-0.01;-0.37;g1162;0.25;-0.11;-0.29;-0.39
g1195;0.07;0.5;0.17;-0.05;g1195;0.25;0.31;0;-0.05;g1195;0.03;0.36;-0.09;-0.02;g1195;0.23;-0.12;0.11;0.13
g1219;-0.35;-0.28;-0.25;0.03;g1219;0.21;0;-0.02;-0.07;g1219;0.07;0.16;0.05;0.25;g1219;0.17;0.26;0.37;0.46
g1242;0;0.11;-0.39;0;g1242;0;0.21;-0.01;0;g1242;0;-0.07;0.01;0;g1242;0;0.17;0.12;0
g1270;-0.23;0.01;-0.06;-0.09;g1270;0.67;-0.18;-0.18;-0.15;g1270;-0.14;-0.11;-0.24;0.2;g1270;-0.02;0.04;-0.63;0.27
g1290;0.25;0.02;0.09;0.19;g1290;0.49;0.05;0.08;0.26;g1290;0.12;0.12;0.13;-0.08;g1290;-0.05;-0.12;-0.14;-0.19
g1292;-0.07;0.03;0.23;0.32;g1292;-0.17;0.01;0.12;-0.06;g1292;-0.12;0.36;0.23;0.46;g1292;-0.01;0.01;0.16;0.22
g1327;0.14;0.36;-0.03;-0.06;g1327;-0.21;-0.36;0.13;-0.07;g1327;-0.03;0.7;0.16;0.26;g1327;0.07;-0.58;-0.28;0.01
g1359;0.18;0.1;-0.4;0.09;g1359;0.15;-0.19;-0.27;-0.23;g1359;-0.19;-0.01;-0.26;-0.25;g1359;0.29;-0.5;-0.29;-0.82
g1393;-0.09;0.14;-0.3;0.2;g1393;0.19;-0.04;0.13;-0.19;g1393;0.06;0.24;0.04;0.46;g1393;0.19;-0.04;-0.02;0.11
g1420;0.13;0.03;-0.47;0;g1420;0.01;-0.18;0.01;0.1;g1420;0.07;-0.08;0.14;0.15;g1420;0.08;-0.33;0.07;0.03
g1422;0.02;-0.03;0.68;-0.21;g1422;-0.05;0.02;0.24;0.2;g1422;-0.22;-0.37;0;0.08;g1422;0.11;-0.12;-0.49;0.15
g1427;-0.28;0.32;0.29;-0.14;g1427;0.34;0.04;-0.04;0.14;g1427;0.07;0.11;-0.23;-0.43;g1427;-0.09;-0.52;0;-0.43
g1442;-0.02;0.01;-0.3;0.34;g1442;-0.31;-0.09;-0.47;0.11;g1442;0.1;0.3;-0.22;0.37;g1442;0.29;-0.32;-0.01;0.11
g1451;-0.22;-0.11;-0.14;0.07;g1451;0.5;0.38;-0.45;-0.24;g1451;-0.17;0.58;-0.74;-0.03;g1451;0.25;0.55;-0.47;0.4
g1464;0.38;-0.09;-0.03;-0.15;g1464;-0.29;0.19;-0.14;0.22;g1464;0.19;0.16;-0.04;0.28;g1464;0.05;-0.02;-0.11;-0.13
g1474;0.16;-0.21;0.35;0.15;g1474;0.64;0.05;-0.06;-0.15;g1474;-0.06;0.07;-0.15;0.28;g1474;0.06;0.32;-0.28;-0.18
g1490;0.26;-0.28;-0.41;0.37;g1490;0.16;-0.3;-0.7;0.13;g1490;0.18;0;-0.61;0.01;g1490;0.67;0.21;-0.45;-0.4
g1508;0.32;-0.1;0.6;0.32;g1508;-0.13;-0.59;0.09;0.06;g1508;-0.03;0.22;0.07;0.24;g1508;-0.17;-0.16;0;0.5
g1544;-0.09;-0.28;0.33;0.07;g1544;-0.07;0.28;0.05;0.36;g1544;-0.32;-0.13;0.44;-0.18;g1544;-0.02;0.52;0.11;-0.05
g1585;0.07;-0.03;-0.16;-0.34;g1585;-0.31;0.23;0.18;0.14;g1585;-0.08;0.1;0.25;0.22;g1585;0.11;0.07;0.1;0.23
g1594;0.33;-0.03;0.55;0.17;g1594;0.28;-0.43;0.59;0.25;g1594;-0.04;0.27;0.2;0.06;g1594;0.07;0.2;0.31;0.11
g1601;-0.4;-0.27;0.02;-0.24;g1601;0.04;0.14;-0.67;0.15;g1601;-0.06;-0.12;-0.59;-0.14;g1601;0.13;0.19;-0.52;-0.16
g1671;0;-0.14;0.46;0;g1671;0;0.02;-1.02;0;g1671;0;0;-0.15;0;g1671;0;0.64;-0.02;0
g1686;0.21;0.28;-0.01;-0.01;g1686;-0.13;0.31;0.22;0.45;g1686;0.13;-0.12;0.59;-0.09;g1686;-0.27;-0.35;0.18;0.09
g1694;-0.18;0;0.01;0.47;g1694;-0.11;0.07;-0.13;-0.2;g1694;-0.2;0.42;-0.09;0.51;g1694;-0.02;0;0.34;0.96
g1698;0.32;0;0.01;0.17;g1698;0.12;0;0.06;0.1;g1698;0.08;0;-0.27;-0.27;g1698;-0.1;0;0.25;-0.19
g1729;0.16;-0.21;0.34;-0.21;g1729;-0.1;-0.22;-0.66;0.14;g1729;0.05;-0.16;0.08;-0.32;g1729;0.09;0.55;-0.24;-0.49
g1757;-1.08;1.1;0.67;-0.29;g1757;0.31;1.98;2.19;0.71;g1757;1.59;1.68;2.1;1.49;g1757;1.36;1.35;1.54;2.14
g1765;-0.03;-0.13;0.06;0.03;g1765;0.08;-0.4;-0.49;-0.22;g1765;-0.12;0.59;-0.5;0.36;g1765;0;-0.25;-0.2;0.61
g1781;-0.15;0.32;0.1;-0.27;g1781;0.05;-0.44;-0.08;0.03;g1781;-0.03;0.21;-0.09;-0.24;g1781;0.05;-0.46;-0.04;-0.36
g1796;0.14;0;-0.03;-0.25;g1796;0.01;0;0.07;0.14;g1796;-0.01;0;-0.09;-0.03;g1796;0;0;-0.2;-0.22
g1801;-0.06;0;-0.12;0.02;g1801;0.42;0;-0.4;0.1;g1801;0.37;0;-0.19;-0.28;g1801;-0.63;0;0.11;-0.24
g1802;0.44;-0.58;-0.59;0.1;g1802;0.34;0.43;-0.32;-0.31;g1802;0.2;0.56;-0.23;0.01;g1802;0.22;-0.02;0.25;-0.06
g1841;-0.04;-0.32;0.41;-0.12;g1841;-0.09;-0.38;0.08;0.18;g1841;0;-0.28;0.07;0.05;g1841;-0.13;-0.18;-0.08;0.39
g1866;0.33;0.04;0.32;0.11;g1866;0.22;-0.32;0.04;-0.1;g1866;0.22;0.22;0.07;-0.04;g1866;0.13;-0.36;-0.22;0.32
g1874;0.22;-0.46;-0.62;0.1;g1874;-0.16;-0.01;-0.19;0.47;g1874;0.09;-0.1;0.14;-0.79;g1874;0.01;0.43;0.03;-0.54
g1938;-0.09;0.11;-0.34;-0.2;g1938;0.21;0.04;-0.09;-0.81;g1938;-0.25;-0.14;-0.19;0.23;g1938;0.02;-0.43;0.07;-0.11
g2003;0.06;0.22;0.44;0.1;g2003;0.02;-0.47;0.1;-0.13;g2003;-0.06;0.17;0.25;0.25;g2003;0.02;-0.2;0.01;0.28
g2029;0.25;0.02;0.22;0.06;g2029;-0.32;0.04;-0.2;-0.11;g2029;-0.98;-0.37;-0.08;0.03;g2029;0.43;0.36;0.03;-0.29
g2036;-0.38;-0.62;0;-0.48;g2036;0.09;0.44;-0.59;0.02;g2036;-0.38;-0.08;-0.2;-0.17;g2036;0.13;0.5;-0.44;-0.23
g2111;0.16;0.1;-0.23;-0.3;g2111;0;0.1;0.04;-0.2;g2111;-0.03;0.09;-0.04;-0.01;g2111;-0.18;0.25;0.84;0.61
g2132;-0.24;-0.37;0.44;-0.21;g2132;0.07;0.32;-0.3;-0.07;g2132;-0.19;-0.05;-0.01;-0.48;g2132;-0.26;0.15;0.11;0.15
g2158;-0.42;0.02;0.08;-0.04;g2158;0.13;-0.35;-0.32;0.1;g2158;0;-0.09;-0.08;0;g2158;-0.17;-0.33;-0.13;-0.11
g2238;0.01;-0.31;0.31;-0.17;g2238;-0.07;-0.3;0.13;-0.29;g2238;-0.12;-0.15;0.19;0.18;g2238;-0.11;0.01;-0.28;0.38
g2266;-0.01;-0.07;-0.45;0.39;g2266;-0.07;-0.26;-0.07;-0.06;g2266;0.07;0.4;0.07;0.07;g2266;0;-0.09;-0.5;0.09
g2277;-0.41;0.19;-0.16;-0.25;g2277;0.11;-0.18;-0.44;0.02;g2277;0.15;0.09;-0.04;-0.23;g2277;0.12;0.19;-0.34;-0.32
g2281;-0.06;0.03;0.35;-0.17;g2281;0.2;-0.29;0.5;-0.33;g2281;-0.37;-0.09;0.15;-0.31;g2281;0.16;-0.11;0.22;-1.24
g2352;0.12;-0.12;-0.43;-0.16;g2352;-0.02;0.05;0.12;-0.01;g2352;-0.11;0.09;-0.04;-0.32;g2352;0.04;-0.38;-0.21;-0.17
g2384;-0.1;0.2;0.28;0.12;g2384;-0.01;-0.02;0.28;0.31;g2384;0.04;0;0.18;0;g2384;0.11;-0.26;0.14;-0.22
g2468;0.25;-0.09;-0.24;-0.24;g2468;0.06;0.15;-0.75;-0.01;g2468;-0.07;0.31;-0.75;0.1;g2468;-0.05;0.13;0.09;-0.14
g2516;0.45;0.28;-1.56;0.38;g2516;0.19;-0.56;0.54;-0.03;g2516;-0.13;0.28;0.23;0.09;g2516;0.28;0.07;-0.28;0.09
g2525;-0.27;0.19;0.43;-0.35;g2525;0.2;0.48;-0.22;-0.16;g2525;-0.09;0.34;-0.09;-0.12;g2525;-0.22;0.34;0.07;-0.37
g2529;0.01;0.21;-0.51;-0.12;g2529;-0.16;-0.44;-0.27;0.02;g2529;-0.18;-0.02;0.11;0.06;g2529;-0.12;-0.12;0.05;-0.14
g2612;0;0.25;-0.49;-0.42;g2612;-0.25;-0.22;0.01;0.24;g2612;-0.08;0.13;0.38;0.17;g2612;0.26;-0.24;0.43;-0.08
g2715;-1.31;0.82;0.25;-0.21;g2715;0.55;2.02;1.34;0.6;g2715;1.24;2.13;1.27;0.85;g2715;1.31;1.99;1.17;1.64
g2774;0.01;0.27;-0.15;0.11;g2774;-0.16;-0.66;0.28;0.05;g2774;-0.1;0.33;0.13;0.14;g2774;0.18;-0.58;-0.13;0.16
g2815;-0.01;0.03;-0.56;0.07;g2815;0.13;-0.23;-0.17;0.04;g2815;-0.08;0.1;-0.24;-0.12;g2815;0.32;-0.06;-0.05;0.07
g2875;-0.15;0.22;0.1;-0.09;g2875;-0.1;-0.34;-0.12;-0.2;g2875;-0.24;0;-0.21;-0.18;g2875;-0.45;-0.42;-0.41;0.1
g2963;0.29;-0.33;0.52;-0.3;g2963;-0.07;0.26;0.37;0.08;g2963;0.31;0;0.42;-0.3;g2963;-0.05;0.39;0.07;-0.32
g2986;-0.09;-0.17;0.57;-0.35;g2986;-0.13;-0.19;-0.07;0.05;g2986;-0.2;-0.28;0.12;0.34;g2986;0.11;0.34;0.43;0.21
g2990;-0.05;0.13;-0.1;-0.27;g2990;0;-0.22;-0.14;-0.16;g2990;-0.24;0.01;0.55;-0.38;g2990;0.03;0.17;-0.1;-0.25
g2999;0.25;0.02;-1.37;-0.33;g2999;-0.12;0.36;-0.79;0.09;g2999;0;0.08;-0.2;-0.04;g2999;-0.07;-0.42;0.44;0
g3002;-0.21;0.31;0.1;-0.23;g3002;-0.14;-0.59;0.09;0.16;g3002;-0.23;0.06;0.07;-0.35;g3002;0.29;-0.43;-0.22;-0.17
g3031;0.04;-0.08;-0.29;-0.33;g3031;-0.34;-0.01;0.33;0.02;g3031;0.07;-0.13;0.05;-0.29;g3031;-0.01;0.08;0.09;-0.37
g3159;0.07;-0.65;0.33;-0.63;g3159;-0.37;-0.33;-0.63;-0.33;g3159;-0.11;-0.52;-0.25;-0.25;g3159;-0.11;0.13;-0.77;-0.41
g3232;-0.46;0.26;-0.19;0.24;g3232;0.69;0.16;-0.63;0.65;g3232;0.42;0.5;0.51;0.78;g3232;0.71;0.31;0.1;0.47
g3267;0.1;0.3;1.39;0.2;g3267;-0.04;-0.22;0.12;-0.19;g3267;-0.19;0.01;0.01;0.28;g3267;-0.22;-0.42;-0.07;-0.1
g3270;-0.22;0.44;-0.3;0.08;g3270;1.07;0.53;-1.55;-0.1;g3270;0.11;0.5;1.11;-0.06;g3270;0.07;0.03;0.78;-0.28
g3301;0.38;-0.42;-0.29;-0.03;g3301;0.1;0.31;-0.28;-0.09;g3301;0.15;0.58;0.07;0.16;g3301;-0.08;-0.28;0.04;0.14
g3324;-0.21;0.02;0.92;0.03;g3324;-0.01;0.21;0.2;-0.24;g3324;-0.25;0.29;0.08;0.46;g3324;0.27;-0.19;-0.07;0.3
g3401;-0.37;-0.03;0.02;-0.36;g3401;0.27;0.55;-0.05;-0.14;g3401;-0.02;0.21;0.43;0.11;g3401;0.18;0.72;0.38;0.1
g3451;-0.06;-0.09;-0.73;0.18;g3451;0.35;-0.64;-0.43;0.27;g3451;-0.28;0.35;0.01;0.18;g3451;-0.12;-0.25;0.53;0.01
g3456;-0.02;0.12;-0.22;-0.15;g3456;-0.52;-0.8;-0.27;0.27;g3456;-0.09;0.06;-0.09;0.11;g3456;-0.02;-0.94;0.18;-0.01
g3483;-0.1;0.29;0.77;0.3;g3483;0.13;-0.09;0.21;-0.25;g3483;-0.15;0.35;0;0.53;g3483;0.19;-0.01;-0.23;0.17
g3484;-0.13;0.25;0.8;0.17;g3484;-0.06;-0.1;-0.76;0.11;g3484;0.03;0.18;0.05;-0.15;g3484;0.06;-0.28;0.1;-0.45
g3541;-0.37;0;0.04;-0.37;g3541;-0.08;0;-0.12;0.1;g3541;-0.21;0.44;0.23;-0.07;g3541;0.07;0;0.03;-0.18
g3570;0.28;0.17;0.22;-0.11;g3570;0;-0.66;0.04;2.07;g3570;-0.17;-0.11;-0.1;-0.56;g3570;0.16;-0.33;-0.02;-0.42
g3582;0.56;0.63;0.72;-0.17;g3582;0;0.55;1.36;0.01;g3582;0;0.17;1.07;-0.26;g3582;0.52;0.11;0.79;-1.04
g3594;-0.02;0.12;0.67;0.01;g3594;-0.05;-0.51;0.24;0.09;g3594;-0.14;0.07;0.17;0.12;g3594;0.27;-0.53;0;-0.04
g3646;0.39;-0.33;-0.14;0.18;g3646;-0.26;0.16;0.02;-0.19;g3646;0.24;0.55;0.2;-0.17;g3646;-0.16;-0.33;0.08;0.26
g3650;0.33;-0.14;-0.16;0.3;g3650;-0.1;-0.36;-1.5;0.24;g3650;-0.03;0.03;-0.26;-0.15;g3650;-0.18;-0.29;-0.09;-0.36
g3697;-0.27;0.14;0.49;-0.2;g3697;-0.11;-0.44;-0.1;0.16;g3697;-0.21;0.55;0.14;0.28;g3697;0.16;-0.12;-0.08;0.31
g3700;0.12;0.25;0.43;0.21;g3700;-0.11;-0.54;-0.09;0.11;g3700;0;0.03;0;0.25;g3700;0.1;-0.71;-0.26;0.17
g3720;-0.22;0.59;0.73;-0.14;g3720;-0.17;0.21;0.86;0.05;g3720;-0.14;0.61;0.35;0.29;g3720;0.02;-0.2;-0.08;-0.01
g3724;0.06;0.07;0.59;0.24;g3724;-0.07;-0.23;0.37;-0.23;g3724;-0.05;-0.39;-0.12;-0.23;g3724;0.05;-0.37;-0.18;-0.52
g3747;-0.42;0.06;0;-0.17;g3747;-0.4;0;-0.12;-0.37;g3747;-0.2;0.81;0.09;-0.27;g3747;0.23;-0.62;-0.08;-0.34
g3772;0.23;0.42;0.16;0.13;g3772;-0.27;-0.61;0.06;0.19;g3772;-0.02;0.34;-0.02;-0.03;g3772;0.25;-0.84;0.02;0.01
g3807;-0.06;0.02;-0.27;-0.24;g3807;-0.06;-0.22;0.02;0.01;g3807;-0.05;-0.04;0.12;-0.06;g3807;0.09;-0.09;0.08;-0.32
g3856;0.26;-0.42;0;0.17;g3856;-0.14;0.14;-2.77;0.07;g3856;0.07;0.24;-0.39;-0.04;g3856;-0.09;0.33;-0.04;-0.16
g3863;0.1;0.23;0;-0.18;g3863;-0.14;-0.5;-2.88;0.12;g3863;-0.34;0.38;0.28;-0.18;g3863;0.17;-1.52;0.01;-0.27
g4017;-0.12;0.16;-0.03;0.29;g4017;0.07;-0.37;-0.32;0.1;g4017;-0.04;0.21;0.01;0.1;g4017;0.38;-0.69;-0.21;-0.24
g4032;0;0.04;0.24;0.21;g4032;-0.13;-0.09;0.13;0.26;g4032;-0.25;0.07;0.02;0.1;g4032;0.03;0.1;0;-0.01
g4116;0;0.37;0;0;g4116;0;0.25;0;0;g4116;0;0.44;0;0;g4116;0;0.18;0;0
g4130;-0.22;-0.28;-0.56;0;g4130;-0.47;-0.36;0.58;0.21;g4130;-0.07;0.41;0.43;0.23;g4130;0.22;0.16;0.03;0.16
g4132;0.05;0.3;0.15;0.19;g4132;-0.25;-0.22;0.25;0.03;g4132;-0.15;0.19;-0.13;0.24;g4132;0.06;-0.55;0.29;-0.1
g4163;0.42;-0.24;0.28;0.07;g4163;-0.1;0.22;0.16;0.15;g4163;0.03;-0.47;0.05;0.04;g4163;-0.11;0.11;-0.11;0.29
g4202;0.06;0.36;0.28;-0.2;g4202;0.14;-0.34;-0.07;-0.38;g4202;0.2;0.06;0.06;0.43;g4202;0.24;-0.5;0.22;0.4
g4231;0.22;0.01;-0.81;-0.02;g4231;-0.14;-0.1;0.13;0.28;g4231;0.14;0.01;0.36;0.12;g4231;-0.09;0.04;0.24;-0.02
g4256;-0.09;0.01;-0.74;-0.12;g4256;-0.14;-0.07;-0.36;0.13;g4256;-0.26;-0.32;-0.22;-0.01;g4256;-0.01;-0.18;-0.16;-0.53
g4355;0.08;-0.23;-0.2;0.24;g4355;-0.27;0.39;-0.38;-0.05;g4355;0;0;-1.7;-0.03;g4355;-0.2;0.34;-1.12;0.34
g4380;0.06;0.17;0.35;0.21;g4380;-0.01;-0.09;0.27;-0.28;g4380;0.14;-0.04;-0.3;0.16;g4380;-0.14;-0.59;-0.63;0.06
g4402;-0.09;-1.3;-1.14;0.09;g4402;-0.38;-0.41;-0.68;0.28;g4402;-0.14;-0.41;-0.07;0.05;g4402;-0.09;-0.24;0.3;-0.07
g4425;-0.02;-0.07;0.02;0.23;g4425;-0.04;-0.05;0.26;-0.27;g4425;0.08;0.31;0.07;0.16;g4425;0.15;-0.34;-0.15;0.3
g4427;0.31;-0.18;-0.12;0.01;g4427;0.1;0.15;0.07;0.01;g4427;-0.15;-0.05;0.17;0.01;g4427;0.13;-0.65;-0.03;0.24
g4449;-0.1;-0.68;-0.15;-0.36;g4449;-0.05;-0.29;0;0.12;g4449;-0.15;-0.1;-0.31;-0.34;g4449;0.08;-0.12;-0.19;-0.15
g4482;0;0;-0.64;0;g4482;0;0;0.48;0;g4482;0;0;0.22;0;g4482;0;0;0.08;0
g4548;0.19;-0.2;-0.11;0.22;g4548;0.06;-0.18;0.1;0.16;g4548;0.24;0.76;0.05;-0.15;g4548;0.14;-0.16;0.07;-0.32
g4552;0.1;0.01;0.42;0.37;g4552;-0.14;0.27;0.54;0.42;g4552;0.12;0.83;0.18;0.16;g4552;0.07;0.37;0.05;-0.04
g4624;-0.56;0;0.06;-0.29;g4624;-0.35;0;0.02;-0.08;g4624;-0.3;0;-0.06;-0.36;g4624;0;-0.84;-0.2;-0.52
g4679;0.06;0.08;-0.03;0.11;g4679;-0.04;-0.21;0.07;0.26;g4679;-0.12;0.15;0.18;0.03;g4679;0.09;-0.42;0.06;-0.27
g4686;-0.18;0;0.6;-0.09;g4686;0.07;0;0.52;-0.74;g4686;-0.05;0;0.34;0.37;g4686;0.16;0;0.21;1
g4715;0.21;0.41;0.18;0.12;g4715;0.08;-0.19;0.09;-0.2;g4715;-0.17;0.07;0.26;-0.04;g4715;0.13;-0.34;0.13;-0.08
g4728;0.03;0.23;-0.36;0.25;g4728;0.03;-0.15;-0.22;-0.13;g4728;0.11;0;0.08;-0.39;g4728;0.14;0;0.27;-0.43
g4736;-0.07;0;-0.37;0.13;g4736;0.05;0;0.01;-0.03;g4736;0;0;-0.16;-0.16;g4736;0.31;0;0;-0.54
g4739;0.2;-0.02;-0.2;0.13;g4739;-0.13;-0.38;0.29;-0.22;g4739;0.03;0.31;0.34;0.16;g4739;-0.09;0.16;0.1;0.24
g4795;-0.23;0.81;0.82;-0.03;g4795;0.61;0.64;1.31;0.08;g4795;0.68;0.68;1.23;-0.01;g4795;0.41;0.38;0.55;-0.4
g4797;-0.18;0.16;0.15;-0.28;g4797;0.17;-0.16;0.05;-0.03;g4797;0.01;0.42;0.43;0.31;g4797;-0.04;-0.06;-0.18;0.02
g4820;0.06;0.08;-0.3;-0.06;g4820;-0.11;0.38;-0.21;0.14;g4820;-0.1;-0.11;0.46;0.08;g4820;-0.06;0.04;0.1;-0.12
g4847;-0.3;0.37;0.57;-0.35;g4847;-0.03;-0.12;0.38;-0.54;g4847;0;-0.06;0.4;0.1;g4847;-0.08;-0.69;0.21;0.07
g4988;0.22;-0.47;-0.51;0.31;g4988;-0.06;-0.6;-0.12;0.23;g4988;0.03;0.45;0.08;0.29;g4988;0.27;0.18;-0.16;-0.38
g5067;-0.01;0.49;-0.19;0.02;g5067;0.07;0;-0.47;-0.13;g5067;-0.17;0;-0.22;0.08;g5067;0.11;0;-0.37;-0.15
g5104;0.22;-0.19;0.39;0.02;g5104;-0.23;0.28;0.19;0.08;g5104;0.17;0.03;-0.03;-0.02;g5104;-0.06;0.26;-0.08;0.08
g5114;0.31;0.09;-1.21;-0.11;g5114;-0.22;0.13;-0.27;-0.13;g5114;0.27;-0.45;-0.59;0.17;g5114;-0.1;-0.31;0.04;-0.45
g5118;-0.14;0.29;0;0;g5118;-0.24;0.46;0.22;0.35;g5118;0.06;0.76;-1.02;-0.14;g5118;0;0.53;0.33;-0.87
g5343;0.31;0.09;0.18;0.35;g5343;-0.04;-0.2;-0.04;1.03;g5343;0.36;0;-0.34;-0.09;g5343;0.04;-0.15;0.17;-0.49
g5347;0.2;-0.36;0.54;-0.33;g5347;-0.5;0.22;0.22;-0.22;g5347;0.02;0.61;0.33;0.14;g5347;-0.32;-0.18;0;0.1
g5374;-0.38;-0.21;0.13;-0.23;g5374;-0.05;0.12;0.36;0.04;g5374;-0.35;0.32;0.21;-0.39;g5374;-0.1;0.41;0.4;-0.19
g5469;-0.41;0.42;0.27;-0.3;g5469;0.16;-0.02;0.24;0.12;g5469;-0.11;-0.02;0.16;-0.28;g5469;0.03;-0.5;0.12;-0.56
g5485;0.09;-0.55;-0.11;-0.02;g5485;-0.25;0.91;0;0.27;g5485;0.24;-0.01;0.1;-0.1;g5485;0.23;0.69;0.23;-0.46
g5492;-0.12;0.51;0.39;0.25;g5492;0.07;-0.17;0.27;-0.32;g5492;-0.22;1.43;0.35;-0.67;g5492;0.13;0.58;0.27;-0.37
g5500;-0.1;0.37;0.33;0;g5500;-0.04;-0.25;-0.08;0.17;g5500;-0.26;0.24;-0.4;-0.05;g5500;0.04;-0.45;-0.15;0.02
g5522;-0.25;-0.04;0.01;0.08;g5522;-0.04;0.26;0.39;-0.55;g5522;-0.02;0;-0.03;0.73;g5522;-0.2;0.33;0.09;0.46
g5655;-0.12;0.3;-0.49;0.22;g5655;-0.05;-0.09;-0.46;-0.24;g5655;-0.2;0.21;-0.3;-0.49;g5655;0.19;-0.35;-0.13;-0.41
g5656;0.32;0.23;-0.55;-0.05;g5656;-0.24;0;-0.17;0.14;g5656;0.14;0.25;-0.01;-0.27;g5656;0.4;-0.29;-0.2;-0.42
g5657;-0.16;-0.25;0.43;-0.09;g5657;0.19;0;0.03;0.05;g5657;0.09;0;0;-0.13;g5657;0.23;0;-0.15;-0.33
g5658;0.35;-0.04;0.78;0.2;g5658;0.07;0.32;0.43;0.08;g5658;0.16;0.13;0.56;0.25;g5658;0.03;0.07;0;0.28
g5659;-0.14;-0.22;-0.56;0.14;g5659;0.03;0.57;-0.19;-0.1;g5659;-0.04;0;0.04;0.1;g5659;-0.06;0.2;-0.01;-0.1
