;t0;t0;t0;t0;;t1;t1;t1;t1;;t3;t3;t3;t3;;t4;t4;t4;t4;;t5;t5;t5;t5;;t6;t6;t6;t6;;t7;t7;t7;t7;;
;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;
g1568;-0.19;-1.33;0.19;0.47;g1568;0.51;-1.51;-1.35;0.16;g1568;0.36;-0.18;-0.69;-0.09;g1568;-0.22;0.45;-0.14;0.03;g1568;0;0;-0.33;0.14;g1568;-0.29;-0.21;-0.27;0.01;g1568;-0.09;0.15;0.2;0.12
g1580;0.06;0.74;-0.34;-0.48;g1580;-0.21;0.15;-0.18;-0.39;g1580;0.13;0.75;0.32;-0.14;g1580;0.09;-0.28;0.43;0.23;g1580;0.22;0.61;-0.06;0.24;g1580;0.48;-0.67;0.28;0.26;g1580;0.14;0.29;0.35;0.17
g1619;-0.6;0.08;1.17;-0.46;g1619;0;0.14;0.89;-0.24;g1619;0.27;-0.07;0.57;-0.21;g1619;-0.48;-0.17;0.48;-0.08;g1619;0.28;-0.23;0.19;0.05;g1619;-0.46;-0.29;-0.02;0.22;g1619;-0.24;0.14;0.32;0.09
g1625;-2.29;-0.88;-1.05;-1.14;g1625;0;0.25;0.22;-0.14;g1625;1.6;0.79;0.7;-0.3;g1625;0.53;0.36;0.76;0.45;g1625;0.55;-0.74;0.16;0.68;g1625;-0.38;-1.23;-0.07;0.74;g1625;-0.54;-0.92;-0.49;0.34
g1630;0.17;1.17;-0.44;-0.76;g1630;-0.63;1.1;0.21;-0.34;g1630;-0.31;0.49;0.4;0.66;g1630;-0.13;0.16;0.32;0.85;g1630;0.17;0.35;0.02;0.86;g1630;-0.26;0.15;0.33;0.52;g1630;0.36;0.21;0.37;0.24
g1632;0.16;0.32;0.8;-0.02;g1632;-0.01;0.28;0.61;-0.06;g1632;-0.01;0.25;-0.01;0.52;g1632;-0.04;-0.17;-0.16;0.24;g1632;0.1;0.11;-0.36;0.12;g1632;0.16;0.25;-0.43;-0.18;g1632;0.13;0.06;0.39;-0.08
g1640;0.31;-1.05;0.53;0.44;g1640;0.35;-0.28;0.43;0.2;g1640;-0.13;-0.07;0.49;-0.23;g1640;0.18;0.19;0.36;-0.21;g1640;-0.24;-0.1;-0.11;-0.5;g1640;0.11;0.04;-0.02;-0.45;g1640;-0.1;0.27;0.08;-0.14
g1642;-0.34;-0.17;0.1;-0.64;g1642;-0.34;-0.07;0.15;0.2;g1642;0.09;0.08;-0.21;0.25;g1642;0.04;-0.13;0.3;-0.01;g1642;0.14;0.22;-0.37;-0.15;g1642;-0.12;-0.37;0.01;-0.1;g1642;-0.34;0.12;-0.04;0.07
g1666;-0.12;-0.27;-0.23;0.39;g1666;0.07;0.05;-0.65;-0.08;g1666;-0.1;0.06;0.04;0.29;g1666;0;-0.35;0.19;-0.16;g1666;-0.04;0.18;0.07;-0.12;g1666;0.05;0.14;-0.02;-0.33;g1666;0.05;0.18;0.26;-0.21
g1676;-0.13;0.78;-0.57;-0.97;g1676;-0.56;0.74;0.1;-0.28;g1676;-0.3;0.27;-0.16;0.58;g1676;-0.23;-0.1;-0.02;0.79;g1676;0.26;0.56;-0.33;0.54;g1676;-0.29;-0.34;0.19;0.28;g1676;0.35;0.46;0.17;0.17
g1685;0.41;-0.43;-0.37;-0.05;g1685;0.28;-0.37;-0.2;-0.14;g1685;0.22;0.08;-0.01;0.24;g1685;0.04;-0.49;-0.06;0.06;g1685;0.11;0.35;-0.41;-0.09;g1685;0.35;-0.43;-0.25;-0.11;g1685;0.15;0.35;0.14;-0.43
g1700;-1.46;0;0;-2.01;g1700;-0.76;0;0.88;-1.65;g1700;1.5;0;0.75;0.06;g1700;0.74;0;0.04;0.41;g1700;0.47;0;-0.47;0.99;g1700;-0.7;0;-1.15;0.82;g1700;-0.68;0;-1.6;0.74
g1711;-0.23;0;0;0.9;g1711;0.53;0;0.69;0.47;g1711;0.33;0;1.12;0.05;g1711;-0.12;0;0.66;0.09;g1711;0.02;0;-0.01;-0.22;g1711;0.33;0;0.19;-0.16;g1711;0.1;0;0.15;-0.36
g1725;0;0;0.51;0;g1725;0;0;0.39;0;g1725;0;0.04;0.2;0;g1725;0;0.72;0;0;g1725;0;0;-0.14;0;g1725;0;-0.65;-0.6;0;g1725;0;-0.29;-0.32;0
g1766;0.22;0.39;-0.73;0.63;g1766;0.12;0.3;0;-0.01;g1766;0.19;0.29;0.07;0.1;g1766;-0.03;-0.62;-0.03;-0.12;g1766;-0.16;0.13;-0.5;-0.17;g1766;0.28;-0.29;0.08;0.15;g1766;0.04;0.08;-0.08;-0.11
g1825;0.11;0.96;-0.02;-0.58;g1825;-0.36;0.81;0.39;-0.11;g1825;-0.05;0.44;0.24;0.34;g1825;-0.05;0.01;0.36;0.67;g1825;-0.02;0.28;0.18;0.47;g1825;-0.38;-0.12;-0.16;0.22;g1825;0.35;0.16;0.04;0.24
g1896;-0.74;0;0;-1.06;g1896;-0.04;0;-0.11;0.29;g1896;0.83;0;0.3;-0.05;g1896;-0.12;0;-0.02;0.18;g1896;-0.01;0;-0.33;0.45;g1896;-0.74;0;-0.21;0.42;g1896;-0.43;0;-0.1;0.2
g1898;-0.34;0.26;-0.08;-0.18;g1898;-0.42;0.27;0.11;0.31;g1898;-0.04;-0.34;-0.01;0.05;g1898;-0.49;0.19;-0.31;-0.11;g1898;0.06;-0.25;-0.53;0.06;g1898;-0.28;0.47;0.14;0;g1898;0.1;-0.34;0.35;-0.14
g1908;0.16;0;1.74;0.2;g1908;0.17;0;1.7;-0.15;g1908;0.33;0;0.55;-0.15;g1908;0.06;0;0.39;0.33;g1908;0.02;0;0.06;0.27;g1908;0.08;0;-0.01;-0.06;g1908;0;0;0.14;-0.01
g1942;0.22;-0.52;-0.68;0.24;g1942;-0.17;-0.56;-0.27;-0.37;g1942;0.09;-0.01;-0.52;0.01;g1942;0.02;0.35;-0.05;-0.42;g1942;-0.13;-0.5;-0.13;-0.18;g1942;0;0.03;-0.2;0.1;g1942;0;-0.08;-0.08;0.05
g1950;0.26;-0.46;-0.1;0.83;g1950;0.37;-0.45;-0.03;0.45;g1950;0.38;-0.16;-0.57;-0.28;g1950;0.01;-0.28;-0.12;-0.36;g1950;0.07;-0.1;-0.3;-0.36;g1950;-0.32;-0.5;-0.23;-0.2;g1950;0.18;0.06;-0.11;0.02
g1968;-0.26;0;0.37;-0.21;g1968;-0.44;0;-0.13;0.08;g1968;-0.26;-0.13;-0.01;0.02;g1968;0;0.62;0.54;-0.1;g1968;0.2;0.04;0.31;-0.01;g1968;0.13;0.02;-0.07;0.16;g1968;0.29;0;0.09;0.05
g2007;1.72;-0.06;0.87;1.15;g2007;0.38;0.23;0.43;-0.04;g2007;-0.11;0.21;-0.09;-0.18;g2007;0.08;-0.27;-0.18;-0.24;g2007;-0.03;-0.04;-0.25;-0.04;g2007;0.17;0.12;-0.23;-0.1;g2007;-0.2;-0.17;-0.21;-0.22
g2104;0.03;0.3;-1.14;0.34;g2104;-0.22;0.28;-0.14;0.11;g2104;0.05;-0.32;0.45;0.2;g2104;0.01;-0.1;-0.65;0.05;g2104;-0.2;-0.04;-0.14;0.03;g2104;0.08;-0.19;0;-0.05;g2104;0.16;0.31;-0.14;-0.23
g2191;-0.25;0.4;0.84;-1.35;g2191;-0.29;0.08;0.33;-0.76;g2191;0.08;-0.39;0.09;0.32;g2191;0.2;0.14;-0.25;0.57;g2191;0.04;0;-0.25;0.49;g2191;-0.14;0.33;-0.08;0.22;g2191;0.44;-0.32;0.5;0.37
g2251;0.26;0.24;0.82;-0.05;g2251;0.08;-0.03;0.38;-0.1;g2251;0.17;0.2;0.69;-0.17;g2251;0.48;0.69;0.4;-0.1;g2251;-0.21;0.04;0.35;-0.26;g2251;0.31;0.06;0.36;0.09;g2251;-0.15;-0.24;-0.03;-0.24
g2338;0.01;0.27;-0.23;-0.28;g2338;-0.47;0.31;-0.01;-0.26;g2338;-0.47;0;0.2;-0.16;g2338;0.14;0.01;0.17;-0.19;g2338;-0.1;0;0.16;-0.07;g2338;0.53;-0.03;0.11;-0.33;g2338;-0.04;0.56;0.21;0.13
g2446;0.36;-4.29;-0.11;-0.3;g2446;-0.06;0;-0.21;-0.12;g2446;-0.19;-0.38;-0.45;0.11;g2446;0.24;0.26;-0.69;0.02;g2446;-0.28;0;-0.28;-0.05;g2446;0.15;0.53;-0.25;-0.07;g2446;-0.21;-0.35;-0.33;-0.07
g2491;0.27;0.96;-0.27;0.07;g2491;-0.6;1.1;0.38;-0.03;g2491;-0.04;-0.1;0.48;0.46;g2491;0.04;-0.74;-0.13;0.81;g2491;0.17;0.04;-0.19;0.38;g2491;0.11;-0.21;0.08;0.19;g2491;0.26;0.39;0.05;-0.05
g2555;-0.67;-0.34;0.48;-0.21;g2555;-1.16;-0.47;0.14;1.23;g2555;-0.52;-0.63;-0.19;0.16;g2555;-0.47;0.23;-0.34;0.31;g2555;-0.66;-0.28;-0.25;0.19;g2555;-0.1;0.66;0.04;-0.01;g2555;0.12;0.21;0.27;-0.26
g2694;-0.21;-0.49;0.53;-1.07;g2694;0.24;0.17;0.05;0.09;g2694;0.31;-0.04;0.21;-0.48;g2694;0.11;0.17;-0.26;-0.02;g2694;0.16;-0.56;-0.33;-0.02;g2694;-0.04;0.06;-0.27;0.06;g2694;-0.43;-0.47;-0.59;0.32
g2813;0.15;-0.49;-0.36;-1.05;g2813;-0.06;-0.38;-0.3;-0.36;g2813;-0.02;0.21;0.11;0.54;g2813;-0.21;0.4;0.03;0.5;g2813;-0.06;0.2;-0.39;0.39;g2813;-0.19;0.14;0.01;0.3;g2813;0.14;0.21;0;0.47
g2831;0.13;-0.09;-0.11;0.88;g2831;0.07;0.19;-0.29;0.13;g2831;-0.2;-0.09;-0.4;-0.11;g2831;0.1;-0.49;0.06;-0.54;g2831;-0.25;0.26;0.44;-0.57;g2831;0.16;-0.16;0.17;-0.41;g2831;0;0.27;0.07;0.04
g2940;0.25;0.56;-0.08;-0.19;g2940;0;0.22;0.25;-0.23;g2940;0.09;0.1;-0.27;0.19;g2940;-0.08;0.05;-0.08;0.1;g2940;-0.08;0.2;0.55;0.01;g2940;0.03;-0.16;0.37;-0.12;g2940;-0.12;0.2;-0.1;0.15
g2991;-0.37;-0.29;0.68;0.54;g2991;2.68;-0.21;-0.32;-0.17;g2991;-0.34;-0.06;-0.32;0.82;g2991;-0.25;0.68;0.74;0.35;g2991;-0.68;-0.41;1.07;0.08;g2991;-0.26;0.54;-0.02;0.42;g2991;0.17;-0.14;-0.56;-0.26
g3010;0.31;0.49;0.36;0.81;g3010;0.64;0.05;0.22;0.62;g3010;0.77;-0.28;-0.6;0.47;g3010;0.4;-0.15;-0.61;-0.16;g3010;0.55;-0.55;-0.11;-0.36;g3010;0.18;-0.56;-0.64;-0.56;g3010;0;-0.45;-0.5;-0.42
g3073;0.23;0.51;0.85;0.02;g3073;0;0.4;0.28;-0.09;g3073;-0.02;-0.65;-0.1;0.22;g3073;0.28;-0.13;-0.34;0.02;g3073;0.11;0.49;0.28;0;g3073;0.14;0.17;0.17;0.05;g3073;0.11;0.37;0.23;-0.17
g3166;0.35;0.15;-0.04;1.16;g3166;0.19;-0.02;-0.07;0.38;g3166;0.05;-0.07;0.04;-0.05;g3166;0.17;0.33;0;-0.34;g3166;-0.35;0.12;-0.14;-0.44;g3166;0.27;0.04;-0.21;-0.23;g3166;-0.18;-0.03;0.33;-0.02
g3312;0.19;-0.41;-0.15;-0.54;g3312;-0.56;-0.02;-0.31;0;g3312;-0.23;0.14;0.36;-0.1;g3312;0.36;0.09;-0.34;0.26;g3312;-0.23;-0.07;-0.21;-0.04;g3312;0.45;-0.55;-0.15;-0.22;g3312;-0.05;-0.01;0.14;0.05
g3388;-0.41;0.5;0.09;-0.81;g3388;-0.23;1.06;0.03;-0.41;g3388;0.08;0.47;-0.2;-0.41;g3388;0.39;-0.18;-0.63;-0.23;g3388;0.3;-0.33;-1.09;-0.18;g3388;0.52;-0.68;-0.97;-0.5;g3388;0.1;-0.58;-0.53;0.41
g3648;-0.12;-0.28;0.33;0.27;g3648;0.58;0.17;0;-0.29;g3648;0.03;0.35;-0.08;0.38;g3648;0.07;-0.53;0.18;0.08;g3648;-0.07;-0.12;0.35;0.35;g3648;-0.02;0.1;0.16;-0.11;g3648;-0.08;0.1;0.55;0.24
g3706;-0.48;-0.39;0;-1.36;g3706;0.56;1.49;0.68;0.37;g3706;0.65;-1.01;-0.46;0.11;g3706;-0.14;-0.93;-0.66;0.56;g3706;0.04;-1.32;-0.16;0.25;g3706;-0.58;-0.91;-1.03;0.1;g3706;-0.56;-0.71;-1.25;0.36
g3715;0.23;-0.07;0.44;0.83;g3715;0.05;0.17;0.55;0.08;g3715;-0.04;-0.21;0.28;-0.2;g3715;0.11;-0.05;0.39;-0.4;g3715;-0.42;-0.14;0.39;-0.49;g3715;0.13;-0.14;0.84;-0.33;g3715;-0.11;-0.23;0.45;-0.3
g3733;-0.23;-0.02;-0.46;-0.13;g3733;0.37;0.18;0.27;0.04;g3733;0.09;-0.52;0.19;0.28;g3733;0.24;0.27;0.05;0.21;g3733;-0.17;0.05;-0.04;0.18;g3733;-0.17;0.52;0.11;0.29;g3733;-0.39;-0.02;0.08;-0.2
g3799;0.1;0.92;0.01;-0.09;g3799;-0.08;0.57;0.22;-0.32;g3799;0.17;-0.19;0.62;0.38;g3799;0.39;0.13;0.21;0.25;g3799;-0.2;-0.36;-0.09;-0.22;g3799;-0.29;-0.04;-0.23;-0.24;g3799;0.04;-0.4;-0.23;0.25
g3803;-0.01;-0.27;0.69;0.45;g3803;0.18;-0.02;0.28;0.24;g3803;0.18;-0.15;-0.28;-0.1;g3803;-0.01;0.39;-0.28;-0.34;g3803;-0.2;-0.03;0.04;-0.36;g3803;0.09;-0.27;-0.11;-0.22;g3803;-0.26;-0.43;0.51;-0.09
g3914;-0.23;-0.09;-0.65;0.1;g3914;-0.26;-0.19;-0.57;-0.37;g3914;-0.48;-0.11;0.21;0.02;g3914;-0.02;-0.13;0.21;-0.03;g3914;0.05;0.09;0.07;-0.11;g3914;0.28;0.37;-0.02;0.13;g3914;-0.11;0.06;0.37;-0.16
g3919;-0.13;0.57;0.04;0.2;g3919;-0.22;0.5;-0.06;-0.28;g3919;-0.12;0.41;0;-0.01;g3919;0.14;-0.31;-0.07;0.04;g3919;-0.08;0.33;0.36;0.08;g3919;-0.08;-0.37;0.18;0.02;g3919;0.33;0.29;0.08;0.01
g4000;0.04;0.24;-0.64;-1.1;g4000;-0.09;0.87;0.06;0;g4000;-0.3;0.52;-0.25;0.5;g4000;-0.32;0.12;0.13;1.05;g4000;0.18;0.42;-0.72;0.98;g4000;-0.04;0.25;-0.86;0.42;g4000;0.15;0.3;-0.66;0.02
g4028;0.25;0.74;0.13;-0.1;g4028;0;0.69;0.22;-0.31;g4028;-0.44;0.51;-0.34;0.04;g4028;0.09;-0.69;0.07;0.22;g4028;-0.03;0.36;-0.05;0.29;g4028;0.39;-0.74;0.1;0.04;g4028;0.15;0.33;0.59;0.13
g4035;-0.12;0.37;-0.06;-0.44;g4035;-0.28;0.59;-0.11;0.02;g4035;0.29;-0.02;0.34;-0.17;g4035;0.31;0.09;-0.19;0.02;g4035;-0.07;-0.18;0.02;0.04;g4035;0.15;-0.18;-0.31;-0.11;g4035;0.07;-0.16;-0.16;0.04
g4106;0.16;-0.82;-0.89;-0.53;g4106;-0.2;-1.55;-0.43;2.44;g4106;-0.08;1.14;0.36;0.11;g4106;0.12;1.52;0.52;0.16;g4106;0.78;0.37;0.08;-0.65;g4106;1.01;-0.65;-0.04;-0.62;g4106;0.6;-1.37;0;-0.43
g4123;-0.11;0.17;-0.49;-0.29;g4123;-0.51;0.16;-0.16;-0.13;g4123;-0.34;0.06;-0.42;-0.06;g4123;0.14;-0.27;0.43;-0.05;g4123;-0.03;0.17;-0.25;-0.02;g4123;-0.06;-0.66;0.38;0.03;g4123;-0.28;0.16;-0.72;0.12
g4131;0.18;-0.45;0.68;2.2;g4131;1.31;-0.43;-1.14;0.31;g4131;0.83;-0.3;0.64;-0.52;g4131;-0.02;-0.01;0.85;-0.57;g4131;-0.03;-0.45;0.21;-1.06;g4131;0.2;-0.32;-0.59;-0.34;g4131;-0.06;-0.28;-0.83;-0.14
g4138;0.22;-0.31;0.48;0;g4138;0.17;0.21;1.27;-0.18;g4138;0.23;0.16;0.87;0.35;g4138;0.07;0.09;0.2;0.08;g4138;0.22;0.38;0.2;0.12;g4138;0.05;0.3;0.16;0.12;g4138;0.22;0.01;-1.43;-0.25
g4158;-0.19;-0.19;-0.68;-2.39;g4158;-0.7;-0.11;-0.29;-0.31;g4158;-0.24;-0.11;-0.05;0.7;g4158;0.02;0.28;0.16;0.36;g4158;-0.34;0.23;-0.31;0.06;g4158;0.1;-0.31;-0.2;0.04;g4158;-0.11;0.26;0.25;0.67
g4177;0.18;-0.1;0.4;0.17;g4177;-0.31;-0.56;0.12;-0.32;g4177;-0.11;0.61;0.97;-0.13;g4177;0.32;-0.43;0.34;0.08;g4177;0.04;0.03;0.22;0.22;g4177;0.39;0.07;0.12;0.05;g4177;-0.35;-0.07;0.28;0.32
g4186;-0.66;-0.27;-0.05;-0.67;g4186;0;0.3;-0.18;-0.56;g4186;0.89;0.32;0.81;0.06;g4186;-0.48;-0.27;0.56;0.33;g4186;0.34;-0.15;-0.19;0.4;g4186;0.08;-0.59;-0.12;0.49;g4186;-0.15;-0.65;-1.06;0.46
g4234;0.15;0.63;0.73;-0.14;g4234;-0.1;0.27;0.15;-0.12;g4234;0.03;0.06;0.09;-0.06;g4234;0.25;-0.14;-0.3;0.01;g4234;-0.16;0.06;0.25;-0.12;g4234;0.06;-0.05;0.51;-0.08;g4234;0.01;0.16;0.26;0.16
g4262;-0.31;-0.57;-0.19;-0.39;g4262;-0.15;-0.69;-0.46;-0.37;g4262;0.12;0.17;-0.35;-0.21;g4262;0.33;0.71;-0.07;0.01;g4262;0.09;0.24;0.11;0.11;g4262;0.52;0.36;0.24;0.49;g4262;0;0.11;-0.08;0.16
g4375;0;-0.27;-0.45;-0.96;g4375;-0.46;0.65;-0.1;0.04;g4375;0.03;0.43;0.44;-0.15;g4375;0.37;0.07;0.07;0.25;g4375;-0.02;0.1;0.27;-0.18;g4375;0.36;-0.39;0.17;0.2;g4375;-0.11;-0.23;-0.33;-0.01
g4424;0.01;0.12;0.66;0.72;g4424;0;0.05;-0.18;-0.19;g4424;0.04;-0.38;0.01;0.51;g4424;-0.05;-0.2;-0.46;0.1;g4424;0.15;-0.32;-0.04;-0.13;g4424;0.01;0.21;0.31;0.06;g4424;0.35;-0.26;-0.25;-0.13
g4444;0.36;0.01;0.33;0.44;g4444;0.09;0.09;0.27;0.25;g4444;0.03;0.38;0.15;0.3;g4444;0.19;0.1;-0.42;0.01;g4444;0.11;0.02;-0.24;-0.02;g4444;0.07;0.03;0.03;-0.26;g4444;-0.02;0.43;0.26;-0.23
g4499;0.01;0.11;-0.46;0.54;g4499;-0.38;-0.07;-0.69;-0.03;g4499;-0.13;0.36;-0.16;-0.23;g4499;-0.08;-0.25;-0.05;-0.03;g4499;-0.17;0.76;0.46;0.05;g4499;0.18;0.13;0.39;-0.04;g4499;0.16;0.75;0.53;-0.03
g4608;-1.44;-1.98;-0.65;-1.52;g4608;-1.64;-1.91;-0.69;-1.63;g4608;-0.84;1.29;-0.05;-1.08;g4608;0.62;0.92;0.75;-0.22;g4608;0.69;0.7;0.88;0.48;g4608;1.48;0.51;0.79;0.74;g4608;0.63;-0.04;0.17;1.26
g4755;0.07;-0.26;-0.07;0.4;g4755;-0.19;0.03;-0.03;-0.08;g4755;-0.3;0.18;-0.13;0.14;g4755;0.06;-0.01;-0.15;-0.19;g4755;-0.13;0.23;-0.04;0.29;g4755;0.32;0.13;0.12;-0.25;g4755;-0.17;0.23;0.16;0.2
