;t0;t0;t0;t0;;t1;t1;t1;t1;;t3;t3;t3;t3;;t4;t4;t4;t4;;t5;t5;t5;t5;;t6;t6;t6;t6;;t9;t9;t9;t9;;
;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;
g1170;-0.2;-0.36;0.27;0.16;g1170;0;-0.1;0.68;0.07;g1170;0;-0.33;0.5;0.36;g1170;-0.02;0.29;-0.47;0;g1170;-0.06;-0.42;0.21;0.05;g1170;-0.32;-0.12;0.09;0.02;g1170;-0.18;-0.48;-0.03;-0.15
g1192;-0.12;0.08;-0.24;-1.01;g1192;-0.47;-0.13;-0.01;-0.56;g1192;-0.07;-0.54;-0.41;0.03;g1192;-0.3;-0.84;-0.56;0.27;g1192;0.11;-0.56;0.06;0.45;g1192;-0.34;-0.6;-0.02;0.23;g1192;0.36;0.27;0.18;0.34
g1198;0;0.17;-0.22;0.07;g1198;-0.08;0.27;-0.42;-0.44;g1198;-0.06;0.6;-0.02;0.19;g1198;0.19;-0.56;0.63;-0.31;g1198;-0.15;0.05;0.33;-0.14;g1198;0.23;-0.67;0.2;0.23;g1198;0.03;0.09;-0.62;0.19
g1261;-0.08;-0.3;-0.88;-0.27;g1261;-0.31;-0.04;-0.01;0.26;g1261;0;0.11;0.06;-0.04;g1261;-0.01;0.24;0.09;0.24;g1261;-0.21;-0.06;0.2;0.07;g1261;0.19;0.16;0.14;-0.02;g1261;-0.26;-0.35;0.41;-0.1
g1300;-0.16;-0.27;-0.59;0.12;g1300;-0.55;-0.54;0.18;-0.34;g1300;-0.01;0.37;0.27;-0.48;g1300;0;0.32;-0.01;0.09;g1300;0.35;0.37;0.44;0.35;g1300;0.47;0.29;0.46;-0.01;g1300;-0.33;-0.04;-0.53;-0.03
g1363;0.17;1.37;-0.78;-0.09;g1363;-0.35;1.16;0.41;-0.24;g1363;-0.54;0.07;0.01;0.52;g1363;-0.44;-0.49;-0.01;0.52;g1363;-0.14;0.37;0;0.13;g1363;0.06;-0.21;0.24;0.23;g1363;0.18;0.27;0.03;0.09
g1399;0.21;0.11;0.39;-0.08;g1399;-0.17;-0.08;0.74;-0.25;g1399;0.24;-0.1;0.53;-0.19;g1399;0;0.15;-0.44;0.36;g1399;-0.01;-0.23;0.43;0.19;g1399;0.23;0.24;0.04;0.17;g1399;-0.16;-0.08;-0.44;-0.01
g1507;-0.49;0.73;0.36;-0.91;g1507;-0.09;0.15;-0.43;-0.07;g1507;0.22;0.76;-0.36;0.14;g1507;0.16;0.74;-0.14;0.31;g1507;0.1;0.75;0.19;0.2;g1507;0.06;-0.06;0.33;0.21;g1507;0.04;0.29;-0.51;0.16
g1512;0.14;0.27;-0.12;-0.75;g1512;-0.32;0.01;0.58;-0.04;g1512;0.26;0.12;0.27;0.06;g1512;0.02;0.16;-0.68;-0.02;g1512;-0.21;-0.6;0.83;0.13;g1512;0.01;0.75;0.27;-0.14;g1512;0.58;-0.18;-0.84;0.46
g1550;-0.66;-0.38;0.07;0.44;g1550;0.04;-0.17;-0.73;-0.02;g1550;-0.07;0.12;0.39;-0.09;g1550;-0.34;-0.09;0.42;-0.67;g1550;0.17;0.24;0.07;-0.26;g1550;-0.3;0.15;0.26;-0.32;g1550;0.34;0.51;0.26;-0.04
g1604;0.44;-0.1;0.23;0.26;g1604;-0.07;-0.01;0.16;0.06;g1604;0.09;-0.45;0.31;0.03;g1604;-0.13;0.3;-0.31;-0.05;g1604;0.13;-0.76;-0.31;0.03;g1604;-0.26;0.46;-0.31;0.15;g1604;-0.19;-0.31;0.16;-0.02
g1623;0;0;-0.26;0;g1623;0;0.19;0.61;0;g1623;0;-0.31;0.37;0;g1623;0;0.76;0.27;0;g1623;0;-0.29;-0.26;0;g1623;0;1.2;0.09;0;g1623;0;-0.36;-0.35;0
g1626;0.02;0.92;-0.46;-0.54;g1626;-0.45;1.2;0.31;-0.43;g1626;-0.12;0.14;0.29;0.35;g1626;-0.06;-0.36;0.12;0.43;g1626;0.08;-0.18;-0.3;0.56;g1626;-0.35;-0.46;0.13;0.38;g1626;-0.15;0.55;0.44;-0.03
g1665;-0.14;-0.12;0.34;0.43;g1665;0;-0.1;-0.16;0.08;g1665;-0.17;0.1;0.03;0.5;g1665;0.32;0.5;0.34;0.13;g1665;-0.05;-0.6;-0.3;-0.27;g1665;0.17;0.22;-0.03;-0.05;g1665;-0.22;-0.09;0.38;-0.29
g1769;0.19;-0.84;0.02;0.39;g1769;0.17;-0.73;-0.11;0.33;g1769;0.42;-0.07;-0.05;0.09;g1769;0.08;0;-0.28;-0.1;g1769;0.11;-0.27;-0.47;0.04;g1769;-0.28;0;-0.2;0;g1769;-0.48;-0.05;0.34;-0.36
g1778;-1.12;-1.36;-0.43;-0.07;g1778;-0.85;-1.41;-0.07;0.91;g1778;-0.44;-1.24;0.46;-0.17;g1778;-0.48;-0.34;-0.06;0.2;g1778;-0.11;-0.21;-0.17;0.15;g1778;-0.18;0.88;-0.03;0.16;g1778;0.52;0.17;-0.21;0.03
g1827;-0.26;-0.32;-1.14;0.18;g1827;-0.73;0;-0.18;0.41;g1827;-0.46;0.14;-0.04;0;g1827;-0.03;0;0.01;-0.02;g1827;0.05;0.35;-0.13;-0.13;g1827;0.26;0.13;0.22;0;g1827;0;0.21;0.25;-0.13
g1875;0.17;-0.34;0.08;-0.69;g1875;0.02;-0.28;-0.15;-0.09;g1875;-0.16;-0.36;-0.2;0.18;g1875;-0.02;-0.32;0.09;-0.12;g1875;0.05;-0.52;0.01;-0.04;g1875;-0.27;0.06;-0.31;-0.09;g1875;-0.16;-0.11;-0.17;0.28
g1885;-0.24;-0.17;0.38;-0.35;g1885;-0.55;-0.12;0.15;-0.3;g1885;0.05;-0.12;0.26;0.09;g1885;0.42;0.07;-0.08;0.01;g1885;0.35;-0.01;-0.38;-0.51;g1885;-0.02;0.32;-0.08;-0.07;g1885;-0.29;0.04;0.51;0.21
g1900;-0.08;-0.33;-0.68;1;g1900;0.16;-0.02;0.08;0.27;g1900;0.26;-0.08;-0.47;-0.29;g1900;-0.56;0.05;0.18;-0.59;g1900;0.13;-0.24;-0.1;-0.11;g1900;-0.17;-0.06;-0.07;0.02;g1900;0.46;-0.03;-0.02;-0.18
g1901;-0.12;0;-0.93;-0.15;g1901;-0.12;0;0.08;-0.29;g1901;-0.1;0;-0.16;0.08;g1901;-0.39;0;-0.17;0.23;g1901;0.02;0;-0.07;0.11;g1901;-0.2;-0.13;-0.12;0.01;g1901;-0.26;0;-0.12;0.01
g1902;-0.19;-0.78;-0.45;-0.11;g1902;-0.27;-0.29;-0.43;-0.56;g1902;0.2;0.16;0.14;-0.11;g1902;0.24;-0.26;-0.03;-0.03;g1902;0.13;0.48;0.01;0.2;g1902;0.14;0.3;0.01;-0.06;g1902;0.22;0.28;-0.1;0.15
g1903;0.3;-0.23;0.58;-0.1;g1903;0.11;-0.31;0.23;0;g1903;0.18;-0.47;-0.08;-0.04;g1903;0.05;-0.09;-0.36;0.16;g1903;-0.07;-0.08;-0.33;-0.29;g1903;0.3;-0.02;-0.22;-0.2;g1903;0;0.14;0;-0.08
g1904;-0.22;0.33;0.86;0.57;g1904;-0.17;0.37;-0.29;-0.23;g1904;0.11;0.21;-0.17;0;g1904;0.02;0.21;0.03;0.01;g1904;0.3;0.36;0.08;0.09;g1904;0.08;-0.02;0.2;-0.19;g1904;0.19;0.25;-0.51;-0.19
g1905;0.3;0.32;-0.33;0.08;g1905;-0.07;0.27;-0.04;-0.14;g1905;0.05;-0.03;0.17;0.26;g1905;0.19;0;0.16;0.02;g1905;-0.31;0.02;0.07;-0.06;g1905;0.2;0;0.24;-0.21;g1905;0.02;0.27;0.07;0.29
g1909;-0.2;0.05;-0.01;-0.21;g1909;-0.61;0.21;-0.15;-0.19;g1909;0.12;-0.04;0.35;0.05;g1909;0.17;-0.14;0.27;0.05;g1909;0.43;0.06;0.1;-0.08;g1909;0.08;0.03;0.14;-0.1;g1909;-0.03;0.15;0.15;0.16
g1961;0.26;-0.07;-0.04;0.66;g1961;0.12;0.1;-0.14;-0.09;g1961;0.18;0.07;-0.5;-0.04;g1961;-0.04;-0.14;-0.09;-0.58;g1961;0.3;0.22;-0.24;-0.64;g1961;-0.14;-0.3;-1.09;-0.09;g1961;-0.17;0.42;0.36;-0.11
g1991;0.19;0.6;0.28;-0.27;g1991;0.25;0.23;-0.1;-0.17;g1991;-0.18;0.08;0.08;0.07;g1991;-0.22;-0.04;0.37;-0.35;g1991;-0.18;0.15;0.36;-0.2;g1991;0.08;0.3;0.32;-0.27;g1991;0.21;-0.15;-0.2;0.18
g1999;0.16;0;-0.18;0.3;g1999;-0.1;0.82;0.37;-0.03;g1999;0.08;0.27;0.11;-0.03;g1999;0.08;-0.74;0.03;0.02;g1999;-0.08;0.08;0.03;0.06;g1999;0.16;-0.33;-0.27;-0.26;g1999;-0.1;0.42;-0.32;-0.1
g2066;0.15;1.36;-0.15;-0.52;g2066;0;1.33;0.39;-0.33;g2066;-0.4;0.18;0.26;0.43;g2066;-0.12;-0.11;0.11;0.41;g2066;-0.09;-0.37;0.24;0.1;g2066;0.06;-0.03;0.34;0.14;g2066;-0.2;0.35;-0.37;0.25
g2068;-0.02;0.36;0.25;0.04;g2068;-0.52;0.45;0.18;0.14;g2068;0.12;-0.09;0.37;0.1;g2068;0.07;-0.09;0.25;0.03;g2068;-0.09;-0.32;0.2;0.13;g2068;0.22;-0.01;0.4;0.11;g2068;0.22;0.09;-0.25;0.13
g2082;0.36;0.46;0.41;0.64;g2082;-0.13;0.33;-0.07;-0.13;g2082;0.06;-0.08;-0.03;0.01;g2082;-0.08;-0.06;-0.36;0.37;g2082;-0.26;-0.13;-0.43;-0.06;g2082;0.17;-0.01;-0.25;0.25;g2082;0;0.4;0.71;-0.41
g2099;0.42;0.77;0.08;0.16;g2099;-0.23;0.8;0.48;-0.34;g2099;0.12;-0.05;0.41;0.31;g2099;0.06;-0.17;-0.11;0.56;g2099;-0.11;-1.6;-0.41;0.31;g2099;0.22;-0.13;-0.29;-0.2;g2099;-0.05;0.27;0.02;0.04
g2113;-0.04;0.38;1.76;0.37;g2113;0.84;0.53;0.73;0.26;g2113;0;-0.57;0.73;0.59;g2113;-0.15;0.56;0.12;0.13;g2113;0.35;-0.54;0.04;-0.11;g2113;-0.53;0.88;0.4;0.38;g2113;0.13;-0.47;-0.22;-0.5
g2114;0.04;0.54;0.33;0.81;g2114;0.05;0.22;0.36;0.15;g2114;0.13;-0.14;-0.14;0.47;g2114;-0.19;-0.07;-0.3;0.16;g2114;0.2;-0.36;-0.06;0.03;g2114;-0.19;0.12;-0.19;0.27;g2114;-0.34;0.21;-0.73;-0.42
g2162;-0.44;0.08;-0.41;-0.28;g2162;-0.44;0.3;-0.25;-0.3;g2162;0.35;0;0.2;-0.04;g2162;0.26;-0.31;-0.1;-0.15;g2162;0.17;0;-0.36;0.2;g2162;-0.46;-0.52;-0.14;0.23;g2162;-0.36;0;0.46;0.15
g2166;-0.11;0.85;0.13;0.11;g2166;-0.47;0.85;0.14;-0.24;g2166;0.02;0.23;-0.11;0.45;g2166;0.04;0.09;-0.02;0.43;g2166;0.21;0.18;0.37;0.3;g2166;-0.31;0.19;-0.19;0.25;g2166;-0.21;0.23;-1.05;-0.11
g2183;-0.14;-0.32;-0.03;0.57;g2183;-0.06;0.07;0.05;0.02;g2183;0.08;-0.59;-0.51;-0.13;g2183;0.19;0.25;-0.09;-0.27;g2183;-0.14;-0.86;-0.03;-0.16;g2183;-0.36;0.22;-0.55;-0.13;g2183;-0.25;-0.22;-0.28;-0.18
g2192;-0.06;0.24;1.14;-0.99;g2192;-0.59;-0.28;0.36;-0.29;g2192;0.35;-0.16;-0.31;-0.21;g2192;0.28;-1.03;-0.56;0.14;g2192;0.01;0.27;-0.28;0.07;g2192;0.29;-0.33;-0.07;-0.03;g2192;-0.21;0.66;-0.28;0.49
g2212;-0.24;-0.41;0.32;0.1;g2212;-0.07;-0.36;0.12;-0.41;g2212;0.16;0.08;0.2;-0.18;g2212;0.08;0.49;0;-0.01;g2212;0.65;0.01;0.05;0.38;g2212;-0.12;0.6;0.06;0.29;g2212;0.12;-0.12;-0.18;0.14
g2232;0.02;-0.64;-0.39;0.35;g2232;0.12;0.23;0.12;-0.18;g2232;0.12;0.1;0.01;0.3;g2232;-0.07;-0.06;-0.31;0.1;g2232;0.15;-0.11;0.08;0.09;g2232;-0.1;-0.13;-0.28;0;g2232;0.08;-0.11;-0.55;-0.12
g2248;0.17;-0.02;-0.19;-0.08;g2248;0.21;0.16;0.14;-0.44;g2248;0.05;0.01;-0.49;0.3;g2248;-0.04;-0.3;-0.06;0.11;g2248;0.08;0.24;-0.02;0.09;g2248;0.1;0.29;0.07;-0.09;g2248;0.03;0.22;0.26;-0.08
g2296;0.12;0.18;0.47;0.46;g2296;0.1;-0.28;0.21;-0.11;g2296;0.45;0.02;-0.11;-0.37;g2296;0.08;0.04;0.12;-0.2;g2296;-0.3;0.51;0.37;-0.11;g2296;0.16;0.32;0.08;-0.39;g2296;0;-0.69;-0.42;-0.07
g2301;-0.04;-0.23;-0.06;-0.9;g2301;-0.1;-0.69;0;-0.23;g2301;0.14;-0.33;-0.14;0.06;g2301;-0.12;0.02;-0.11;0.31;g2301;0.2;-0.34;-0.01;0.44;g2301;-0.06;-0.16;0.04;0.53;g2301;0;0.13;0.33;0.07
g2404;-0.06;0.06;-0.38;-0.88;g2404;-0.14;0.24;0.05;-0.2;g2404;0;0.42;0.15;0.28;g2404;-0.24;0.05;0.03;0.61;g2404;0.2;0.38;-0.12;0.47;g2404;-0.09;0.02;0.12;-0.05;g2404;0.26;0.09;-0.12;0.28
g2425;0.09;0.07;0.64;0.76;g2425;0;0.19;0.58;0.21;g2425;0.14;-0.37;-0.32;0.19;g2425;-0.19;0;-0.4;-0.21;g2425;0.05;-0.17;-0.51;0.01;g2425;-0.17;0.29;-0.32;-0.31;g2425;-0.19;0.01;0.16;-0.33
g2488;0.04;0.2;0.57;0.77;g2488;-0.01;0.47;-0.1;-0.05;g2488;0.38;-0.14;0.57;0.15;g2488;0.15;0.65;-0.43;0.35;g2488;-0.01;0.16;-0.84;0.21;g2488;0;0.34;0.57;-0.21;g2488;0;-0.48;0.38;-0.18
g2531;0.16;-0.18;0.2;0.17;g2531;-0.01;0.19;0.26;-0.02;g2531;-0.11;-0.26;0.14;0;g2531;0.1;0.39;0.14;0.08;g2531;0.1;-0.1;0.02;-0.17;g2531;0.32;0.68;-0.14;0.11;g2531;-0.25;-0.22;-0.22;0
g2554;0.58;0.06;-0.31;-0.6;g2554;-0.25;0.44;0.23;-0.07;g2554;0.05;-0.06;-0.05;0.32;g2554;0.34;0.12;-0.39;0.36;g2554;-0.25;-0.13;0.06;0.17;g2554;0.09;0.55;0.05;0.07;g2554;-0.01;0.06;0.34;0.14
g2626;-0.43;-0.55;-0.07;0.28;g2626;-0.12;-0.32;-0.21;-0.05;g2626;-0.35;-0.09;-0.19;0.16;g2626;-0.32;0.1;0.42;-0.15;g2626;0.04;-0.19;0.68;0;g2626;-0.12;0.04;0.52;-0.22;g2626;0.22;-0.16;0.09;0
g2634;0.18;0;-0.33;-1.17;g2634;-0.37;0;0;-0.6;g2634;-0.11;0;0.41;0.01;g2634;-0.03;0;-0.09;0.24;g2634;-0.14;0;-0.31;0.58;g2634;0.1;0;0;0.24;g2634;0.23;0;0.37;0.35
g2696;-0.19;0;2.73;0.53;g2696;0.08;0.65;1.85;-0.17;g2696;0;0.04;0.01;0;g2696;0;0;0;0.18;g2696;0.24;-0.15;-0.47;0.32;g2696;-0.17;0;-0.47;0.26;g2696;0.28;-0.06;0.01;-0.57
g2752;-0.1;0.88;-0.04;-0.76;g2752;-0.54;0.23;0.02;0;g2752;-0.35;0.77;-0.07;-0.05;g2752;0.27;0.33;0.13;0.48;g2752;0.37;0.55;0;0.14;g2752;0.34;0.09;-0.21;0.02;g2752;-0.2;0.1;0.04;0.31
g2761;-0.24;-0.44;0.03;-0.41;g2761;0.02;-0.44;-0.13;-0.05;g2761;0.3;0.08;0.22;-0.3;g2761;0.38;-0.04;0.02;-0.29;g2761;0.3;-0.25;-0.12;0.03;g2761;-0.08;-0.24;-0.13;0.08;g2761;0.05;0.12;0.21;0.24
g2767;-0.29;-0.23;0.46;-0.12;g2767;0.47;-0.35;-0.13;0.18;g2767;-0.12;-0.29;-0.23;0.13;g2767;-0.36;-0.12;-0.36;-0.26;g2767;0.2;-0.12;0.21;-0.21;g2767;-0.33;0.05;-0.28;-0.08;g2767;0;-0.03;0.09;-0.06
g2795;-0.15;-0.53;0.3;0.35;g2795;0.05;-0.56;-0.28;0.37;g2795;-0.48;-0.32;0.04;0.46;g2795;-0.21;0.2;-0.25;0.24;g2795;0.47;-0.2;-0.08;-0.06;g2795;-0.23;0.4;0.04;0.05;g2795;0.39;-0.48;0.1;-0.32
g2802;0.29;0.28;-0.52;-0.03;g2802;-0.08;0.67;0.03;0.19;g2802;-0.17;-0.03;0.27;-0.08;g2802;0.01;0.15;-0.11;0.21;g2802;-0.03;0.23;-0.19;-0.13;g2802;0.31;0.12;0.19;0.16;g2802;-0.03;0.12;0.29;-0.12
g2927;-0.28;-0.3;-0.06;-0.17;g2927;-0.28;0.43;0.73;-0.26;g2927;0.34;0.14;0.61;-0.21;g2927;0.42;-0.41;-0.06;0.29;g2927;0.34;-0.13;0.01;0.17;g2927;0.13;0;-0.51;0.48;g2927;-0.06;-0.09;-0.42;-0.17
g3015;-0.34;-0.45;0.17;0.44;g3015;0.17;-0.55;0.08;0.27;g3015;0.37;-0.28;-0.08;-0.43;g3015;0.09;0.56;-0.45;-0.18;g3015;0.28;-0.29;0.09;0.01;g3015;-0.13;0.23;0.1;0.22;g3015;0.06;-0.23;0.32;-0.26
