;t1;t1;t1;t1;;t2;t2;t2;t2;;t3;t3;t3;t3;;t5;t5;t5;t5;;t7;t7;t7;t7;;t8;t8;t8;t8;;t10;t10;t10;t10;;
;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;
g2280;0.08;0.15;-0.1;0.18;g2280;-0.13;-0.07;-0.07;0.12;g2280;-0.2;0.13;0.21;-0.08;g2280;-0.04;0.23;0.1;0.03;g2280;0.11;0.31;0.37;0.26;g2280;0.22;0.2;0.05;0.06;g2280;0.32;-0.05;-0.08;0.12
g2303;0.18;-0.13;0.02;-0.36;g2303;0;-0.15;-0.65;-0.02;g2303;0.13;-0.05;-0.39;-0.04;g2303;0.4;-0.37;0.15;0.14;g2303;0.08;0.01;-0.25;0.19;g2303;0.29;-0.59;0.01;0.09;g2303;0.3;-0.37;0.02;0.16
g2342;-0.43;0.95;0.2;-0.23;g2342;-0.11;0.5;0.2;-0.27;g2342;-0.41;0.11;0.29;0.17;g2342;-0.28;0.36;-0.08;0.46;g2342;-0.09;0.38;0.39;0.07;g2342;0.33;-0.57;0.2;0.23;g2342;0.16;-0.65;0.01;0.02
g2354;-0.01;0.08;-0.15;0.37;g2354;-0.07;-0.17;-0.11;0.12;g2354;0.28;-0.29;-0.07;-0.39;g2354;0.17;-0.38;-0.43;-0.32;g2354;0.01;-0.2;0.13;0.02;g2354;0.21;-0.9;-0.1;-0.14;g2354;0.26;-0.43;0.42;0.06
g2359;0.06;0.47;-0.25;-0.45;g2359;0.09;0.69;0.85;-0.14;g2359;-0.06;0.44;0.63;0.52;g2359;-0.18;-0.27;0.71;1.08;g2359;0.04;-0.51;-0.34;0.19;g2359;0.35;-0.15;-0.58;0.28;g2359;-0.3;0.01;-0.14;0.03
g2373;-0.17;0.46;0.23;0.02;g2373;0.25;0.7;-0.04;0.12;g2373;0.12;-0.05;0.08;0.35;g2373;0.06;-0.68;-0.17;0.13;g2373;0.23;-0.29;-0.52;-0.09;g2373;-0.03;-0.13;0.19;-0.18;g2373;0;0.24;0.08;-0.05
g2395;-0.74;-0.06;-0.48;0.06;g2395;-0.35;-0.6;-0.04;0.04;g2395;-0.64;0.07;-0.19;0.14;g2395;-0.11;0.24;0.46;0.29;g2395;0.47;0.66;0.11;0.13;g2395;0.54;0.81;0.17;-0.23;g2395;0.24;0;-0.11;0
g2411;-0.05;-1.67;-0.27;0.08;g2411;0.08;-1.44;0.18;0.26;g2411;-0.01;-0.48;0.12;0.48;g2411;-0.17;0.06;-0.2;-0.36;g2411;-0.18;0.42;-0.25;-0.25;g2411;0.05;0.63;-0.47;0.04;g2411;-0.13;0.04;0.06;-0.54
g2418;-0.39;-0.49;-0.18;-0.27;g2418;0.19;-0.1;0.37;-0.5;g2418;0.11;0.02;-0.24;-0.06;g2418;-0.04;0.15;-0.18;-0.23;g2418;-0.31;-0.08;-0.35;0.4;g2418;-0.16;-0.18;-0.12;0.41;g2418;0.04;0.55;0.43;-0.04
g2433;-0.32;-0.3;-0.14;-0.32;g2433;-0.18;-0.05;0.35;-0.18;g2433;-0.09;0.29;-0.05;0.31;g2433;-0.35;0.38;-0.07;0.14;g2433;-0.3;0.26;-0.14;0.4;g2433;0.04;0.49;-0.34;0.46;g2433;0.07;-0.09;0.17;-0.09
g2446;-0.06;0;-0.21;-0.12;g2446;-0.06;0;-0.2;-0.03;g2446;-0.19;-0.38;-0.45;0.11;g2446;-0.28;0;-0.28;-0.05;g2446;-0.21;-0.35;-0.33;-0.07;g2446;0.16;1.18;0.23;0.03;g2446;0.21;0.73;0.46;0.13
g2476;-0.05;-0.27;-0.5;0.1;g2476;-0.02;-0.05;-0.19;0.52;g2476;0.11;-0.33;-0.15;-0.18;g2476;0.18;-0.16;-0.09;-0.03;g2476;-0.05;-0.01;-0.04;0.13;g2476;0.09;-0.03;0.02;-0.04;g2476;0.12;-0.06;0.12;-0.08
g2478;0;-0.55;0.35;0.34;g2478;-0.33;-0.79;-0.92;0.24;g2478;-0.54;0.13;-0.51;-0.2;g2478;0.08;0.12;0.05;-0.09;g2478;-0.16;0.18;0.52;0.41;g2478;0.22;0.29;0.82;0.19;g2478;0.31;0.21;0.11;0.08
g2480;-0.27;0.04;-0.33;-0.25;g2480;0.14;0.31;0.08;-0.38;g2480;0.46;0.14;0.15;-0.24;g2480;-0.16;0.31;-0.16;-0.09;g2480;-0.32;0.33;0.32;0.17;g2480;0.14;-0.19;0.11;0.15;g2480;-0.02;-0.41;0.13;-0.09
g2492;0.12;0.64;1.34;0.23;g2492;0.14;0.29;-0.24;0.18;g2492;0.11;-0.28;-0.24;-0.12;g2492;0.4;-0.67;-0.83;0.27;g2492;0.01;-0.6;-0.5;-0.27;g2492;0.21;0;0.17;-0.23;g2492;-0.39;0.35;-0.83;0.07
g2511;-0.05;0.08;0.81;-0.51;g2511;0.39;-0.1;1.45;-0.31;g2511;-0.1;-0.55;1.02;-0.54;g2511;-0.27;-0.09;0.45;-0.14;g2511;-0.07;-0.07;-0.34;0;g2511;0.28;0.19;-0.42;0.27;g2511;-0.1;-0.05;0.02;-0.14
g2580;-0.09;0.54;0.03;-0.44;g2580;0.35;0.45;-0.21;-0.16;g2580;-0.15;0.16;-0.26;0.09;g2580;-0.02;0.2;-0.1;0.2;g2580;-0.04;0.1;-0.18;0.31;g2580;-0.01;-1.11;0.29;0.13;g2580;-0.07;-0.54;0.4;0.16
g2646;-0.12;-0.3;-0.39;-0.23;g2646;-0.16;0.08;-0.32;-0.19;g2646;0.07;0.28;0.22;0.23;g2646;1.12;0.21;-0.11;-0.25;g2646;0.07;0.06;-0.09;0.07;g2646;0;-0.1;-0.01;0.13;g2646;-0.39;-0.26;0.25;0.28
g2651;-0.52;-0.2;-0.24;0.05;g2651;0.12;-0.2;-0.44;-0.02;g2651;-0.03;-0.35;-0.33;-0.13;g2651;0.25;-0.41;-0.16;-0.67;g2651;0.12;0.23;-0.25;0.01;g2651;0.04;0.22;0.05;0.27;g2651;0.32;0.13;-0.04;-0.37
g2662;0.11;0;0.03;-0.44;g2662;0.06;0;-0.58;-0.44;g2662;0;0;-0.5;-0.36;g2662;-0.16;0;-0.08;0.11;g2662;-0.03;0;0.17;0.17;g2662;0;0;0.09;0.21;g2662;-0.03;0;0.44;0.05
g2682;-0.37;0;0.03;-0.07;g2682;-0.01;-0.38;-0.11;-0.26;g2682;-0.14;0;0.03;-0.04;g2682;-0.25;0;0.07;-0.26;g2682;-0.18;0;-0.5;0.11;g2682;0.19;0;0.25;0.31;g2682;0.01;0;0.18;-0.07
g3200;0.05;0.22;0.5;0.1;g3200;0.14;0.07;0.51;0.3;g3200;0.24;-0.19;0.51;0.07;g3200;0.21;-0.14;-0.11;-0.2;g3200;0.14;0.05;-0.57;0.1;g3200;0;0.1;0.23;0.02;g3200;-0.17;0.02;-0.33;-0.09
g3215;-0.47;0.12;-0.07;-0.27;g3215;-0.22;0.21;0.1;-0.16;g3215;-0.67;0.74;0.09;0.33;g3215;0;0.73;0.1;0.91;g3215;-0.09;0.62;0.24;0.49;g3215;0.1;-0.66;0.01;0.22;g3215;0;-0.66;-0.59;0.2
g3241;-0.86;1.1;0.31;-0.4;g3241;-0.6;0.62;0.21;-0.11;g3241;-0.58;0.5;0.03;0.05;g3241;-0.18;0.47;-0.08;0.9;g3241;0.3;0.48;0.63;0.24;g3241;0.28;-0.55;0.11;-0.11;g3241;0.06;-0.37;-0.04;0.21
g3296;0.11;-0.12;0.08;-0.14;g3296;0.05;-0.06;0.05;0.32;g3296;0.05;0;0.2;0.42;g3296;0.07;-0.39;0.06;0.11;g3296;-0.08;-0.2;0.22;-0.17;g3296;0.15;0.23;0.42;-0.27;g3296;-0.14;-0.01;-0.9;-0.32
g3306;0.08;0.15;0.3;0.06;g3306;0.62;-0.05;0.29;0.43;g3306;0.21;-0.02;-0.01;0.09;g3306;-0.16;-0.16;-0.06;-0.62;g3306;-0.12;-0.14;0.51;-0.28;g3306;-0.25;0.18;0.17;0.13;g3306;0.08;0.19;-0.06;-1.17
g3310;-0.91;-0.08;-0.18;-0.27;g3310;-0.8;-0.32;0.27;-0.48;g3310;-0.61;0.03;0.12;0.28;g3310;-0.22;0.3;-0.21;0.58;g3310;0;-0.59;0.02;0.19;g3310;0.48;0.07;0.04;0.21;g3310;0.22;-0.3;-0.67;-0.06
g3340;0.19;0.34;0.2;-0.43;g3340;0;0.24;-0.1;-0.13;g3340;-0.18;0.27;0.14;-0.29;g3340;0;0.09;-0.43;0.09;g3340;0;0.24;-0.68;0.22;g3340;0.12;0.08;0.31;0.02;g3340;-0.24;-0.22;-0.45;0.19
g3342;0.35;-0.35;0.17;0.34;g3342;-0.09;-0.44;-0.44;0.25;g3342;0.01;-0.41;-0.15;0.06;g3342;0.4;-0.57;-0.16;0.02;g3342;0.21;0.02;0.27;-0.21;g3342;-0.06;0.16;0.16;-0.28;g3342;-0.06;0.31;0.12;0.29
g3351;0.02;0.26;-0.25;-0.14;g3351;-0.12;0;-0.01;0.17;g3351;0.08;-0.05;-0.03;0.22;g3351;0.14;-0.52;0.03;0.14;g3351;0.14;0;-0.09;-0.04;g3351;0.07;0.38;-0.01;0.01;g3351;0.04;-0.21;0.16;0.05
g3354;-0.08;0.11;0.3;-0.51;g3354;0.27;0.26;0.31;-0.22;g3354;-0.33;-0.11;-0.03;-0.52;g3354;-0.03;-0.37;-0.03;-0.09;g3354;-0.13;-0.31;-0.42;0.24;g3354;0.16;0.14;-0.06;0.32;g3354;-0.17;-0.15;0.27;0.13
g3379;-0.14;0.71;-0.32;-0.01;g3379;0.06;0.25;-0.1;-0.05;g3379;-0.11;-0.17;-0.09;-0.46;g3379;-0.17;-0.01;-0.85;-0.08;g3379;0.17;0.01;-0.75;0.05;g3379;0.17;0.09;0.29;-0.14;g3379;0.04;-0.06;-0.48;0.21
g3392;0;-0.43;-0.1;-0.17;g3392;-0.14;-0.29;0.21;0.28;g3392;-0.05;-0.48;0.34;0.1;g3392;-0.06;-0.47;-0.59;-0.19;g3392;-0.03;-0.52;-0.72;0.35;g3392;0.09;-0.68;-0.02;0.09;g3392;0.03;-0.14;-0.5;0.2
g3395;0.53;0.31;0.44;-0.21;g3395;0;0.24;0.94;0.07;g3395;0.3;-0.34;0.53;0.16;g3395;-0.3;-0.32;-0.47;-0.12;g3395;-0.47;-0.26;-0.61;0.07;g3395;-0.07;-0.11;-0.39;-0.06;g3395;0.39;0.1;0.21;-0.17
g3406;-1.06;-0.11;-0.06;-0.33;g3406;-0.67;-0.08;0.02;-0.38;g3406;-0.82;0.65;0.13;-0.05;g3406;-0.08;0.87;0.09;0.31;g3406;-0.01;0.49;-0.04;0.06;g3406;0.54;-0.18;0.15;0.25;g3406;0.07;-0.68;-0.35;0.23
g3410;-0.16;0.17;-0.06;0.06;g3410;0.49;0.25;-0.04;-0.08;g3410;0.16;0.24;-0.17;-0.16;g3410;0;0.24;-0.09;-0.36;g3410;-0.3;0.05;-0.14;-0.08;g3410;-0.08;-1.14;0.07;0.16;g3410;-0.08;-0.5;-0.25;0.13
g3417;-0.42;0.58;0.41;-0.22;g3417;-0.79;0.14;0.19;-0.39;g3417;-0.38;0.4;0.17;0.26;g3417;-0.29;0.39;0.38;0.54;g3417;0.13;0.41;0.07;0.19;g3417;0.13;-0.03;0.02;-0.18;g3417;0.19;-0.08;-0.16;0.11
g3425;-0.21;0.24;-0.48;-0.16;g3425;-0.19;0.21;-0.29;-0.05;g3425;0.04;-1.6;-0.25;-0.11;g3425;-0.07;-0.33;0.19;-0.16;g3425;-0.03;0.07;0.16;0.14;g3425;0.16;-0.23;0.08;0.07;g3425;0.67;-0.21;-0.21;-0.03
g3430;-0.47;0.68;0.15;-0.3;g3430;-0.02;0.53;0.07;-0.26;g3430;-0.17;0.41;0.14;0.07;g3430;-0.33;0.62;-0.35;-0.07;g3430;0.11;0.53;-0.27;0.07;g3430;0.27;-0.91;0.26;0.31;g3430;-0.02;-0.56;-0.77;-0.05
g3436;-0.32;0.09;0.05;0.1;g3436;-0.07;0.29;-0.21;-0.16;g3436;-0.01;0.02;-0.1;0.27;g3436;-0.02;0.07;0.48;0.21;g3436;0.05;0.05;0.43;0.13;g3436;0.14;-0.45;0.03;-0.12;g3436;-0.26;0.16;0;0.15
g3459;-0.09;-0.46;-0.32;-0.33;g3459;-0.1;-0.37;0.11;-0.25;g3459;-0.09;0.09;-0.14;-0.08;g3459;-0.1;0.36;-0.62;0.49;g3459;-0.03;0.27;0.02;0.52;g3459;0.05;0.97;-0.22;0.17;g3459;-0.06;0.19;0.05;-0.01
