;t0;t0;t0;;t1;t1;t1;;t4;t4;t4;;t5;t5;t5;;t6;t6;t6;;t11;t11;t11;;t12;t12;t12;;t13;t13;t13;;
;c0;c2;c3;;c0;c2;c3;;c0;c2;c3;;c0;c2;c3;;c0;c2;c3;;c0;c2;c3;;c0;c2;c3;;c0;c2;c3;;
g1742;0.07;-0.56;-1.92;g1742;-0.66;0.21;-0.49;g1742;-0.15;0.29;0.47;g1742;-0.25;-0.02;0.77;g1742;0.19;0.44;0.52;g1742;0.19;-0.45;0.11;g1742;0.05;0.02;-0.79;g1742;-0.01;-0.29;0.04
g1754;-0.32;1.43;0.7;g1754;0.27;0.6;0.32;g1754;-0.36;0.05;-0.07;g1754;0.34;-0.44;-0.03;g1754;-0.2;-0.4;0.15;g1754;0.07;-0.1;-0.18;g1754;0.14;-0.09;0.03;g1754;0.43;0.02;-0.01
g1782;0.02;-0.34;0.17;g1782;-0.44;-0.04;-0.44;g1782;0.25;0.38;0.68;g1782;0.05;0.01;0.47;g1782;0.12;0;0.2;g1782;0.26;0.25;-0.72;g1782;0.18;0.03;-0.55;g1782;-0.1;0;-0.07
g1789;0;-1.19;-1.03;g1789;-0.47;0.02;-0.48;g1789;0.02;0.12;0.7;g1789;-0.14;-0.11;0.46;g1789;0.24;0.12;0.51;g1789;-0.04;0.2;-0.03;g1789;0.05;-0.12;-0.5;g1789;0.18;0.27;-0.04
g1791;0.85;0.58;0.97;g1791;0.15;0.22;0.33;g1791;0.23;0.08;-0.09;g1791;-0.02;0.03;-0.4;g1791;0.01;0.15;-0.24;g1791;-0.1;-0.3;-0.06;g1791;-0.12;-0.06;-0.16;g1791;-0.02;-0.43;-0.09
g1809;0.1;0.32;0.08;g1809;-0.25;0.1;-0.05;g1809;0.16;0.11;0.06;g1809;-0.14;0.08;-0.05;g1809;0.12;0.17;-0.09;g1809;-0.06;-0.47;0.16;g1809;-0.11;0.17;0.14;g1809;-0.24;-0.13;-0.15
g1816;0.04;-0.01;-0.04;g1816;0.13;0.25;-0.35;g1816;-0.03;-0.2;0.08;g1816;-0.2;-0.43;-0.22;g1816;0.16;0.04;-0.17;g1816;0.13;-0.06;0.12;g1816;0.22;-0.15;-0.7;g1816;-0.32;0.13;0.18
g1825;0.11;-0.02;-0.58;g1825;-0.36;0.39;-0.11;g1825;-0.05;0.36;0.67;g1825;-0.02;0.18;0.47;g1825;-0.38;-0.16;0.22;g1825;0.09;-0.29;-0.38;g1825;-0.15;-0.09;-0.19;g1825;0.1;0;-0.25
g1840;-0.03;0.49;0.38;g1840;0.06;0.49;-0.48;g1840;0.1;-0.19;0.43;g1840;-0.11;-0.05;-0.08;g1840;-0.4;-0.51;-0.02;g1840;-0.01;-0.05;-0.18;g1840;-0.08;0.07;0;g1840;-0.21;0.4;-0.12
g1879;0.15;1.69;0.33;g1879;0.35;1.17;-0.08;g1879;-0.11;0.04;-0.3;g1879;0.08;-0.44;0.06;g1879;0.05;-0.03;0.39;g1879;0;-0.35;0.37;g1879;0.06;-2.03;-0.22;g1879;-0.32;-0.65;-0.1
g1894;-0.59;0;-1.09;g1894;-0.11;-0.11;0.14;g1894;-0.21;-0.06;0.14;g1894;-0.01;-0.69;0.36;g1894;-0.64;-0.07;0.23;g1894;0.87;0.4;-0.13;g1894;0.06;-0.16;-0.14;g1894;-0.24;-0.21;-0.01
g1905;0.3;-0.33;0.08;g1905;-0.07;-0.04;-0.14;g1905;0.19;0.16;0.02;g1905;-0.31;0.07;-0.06;g1905;0.2;0.24;-0.21;g1905;0.01;-0.15;0.25;g1905;0.06;-0.02;0.1;g1905;-0.24;0;-0.11
g1909;-0.2;-0.01;-0.21;g1909;-0.61;-0.15;-0.19;g1909;0.17;0.27;0.05;g1909;0.43;0.1;-0.08;g1909;0.08;0.14;-0.1;g1909;-0.02;-0.24;0.12;g1909;-0.03;-0.13;-0.02;g1909;-0.15;-0.2;0.07
g1944;-0.2;0.13;-0.2;g1944;0;0.22;0;g1944;-0.25;0.06;0.04;g1944;0.03;-0.07;0.15;g1944;-0.22;0.12;0.33;g1944;0.13;0.22;-0.33;g1944;0.06;0.04;-0.25;g1944;-0.2;-0.25;0.03
g1959;0.17;0.75;0.42;g1959;0.25;-0.02;0;g1959;0.03;-0.16;-0.34;g1959;-0.26;-0.42;-0.36;g1959;0.17;0.01;-0.25;g1959;-0.01;-0.16;0.1;g1959;0.11;0.09;0.28;g1959;-0.1;-0.02;0.38
g1963;-0.63;-0.66;-1.19;g1963;-0.63;-0.33;-0.63;g1963;-0.63;-0.18;-0.14;g1963;0;-0.42;0.1;g1963;-0.02;0.08;0.08;g1963;0.1;0.03;0.29;g1963;-0.28;-0.01;0.19;g1963;-0.13;0;0.26
g2002;0.37;0.58;0.72;g2002;0.1;-0.01;0.32;g2002;0.27;-0.08;-0.13;g2002;-0.32;-0.29;-0.42;g2002;0.13;-0.13;-0.07;g2002;-0.17;0.12;0.21;g2002;-0.09;-0.02;-0.17;g2002;-0.17;0.31;-0.11
g2004;-0.07;-0.21;-0.08;g2004;-0.38;0.26;-0.05;g2004;0.04;0.34;-0.2;g2004;0.24;0.19;-0.17;g2004;0.24;0.3;-0.1;g2004;0.04;-0.3;0.43;g2004;-0.23;-0.24;0.21;g2004;-0.09;0;-0.05
g2048;-0.74;-0.29;0.18;g2048;-0.13;-0.47;-0.03;g2048;-0.03;0.57;0.03;g2048;0.02;0.19;-0.08;g2048;0.16;-0.2;0.32;g2048;-0.29;0.08;-0.17;g2048;0.42;0.22;0;g2048;-0.27;0.28;-0.14
g2053;0.09;0.19;0.57;g2053;0.42;-0.42;-0.27;g2053;-0.04;0.03;0.27;g2053;0.1;0.08;0.14;g2053;0;0.11;0.15;g2053;0.11;0.31;-0.27;g2053;-0.3;0.16;-0.56;g2053;-0.03;0.31;-0.44
g2057;0.08;-0.55;-0.57;g2057;-0.17;-0.36;-0.75;g2057;-0.14;-0.12;0.46;g2057;-0.29;-0.62;0.49;g2057;0.15;-0.32;0.06;g2057;0.17;0.24;-0.24;g2057;-0.11;-0.5;-0.36;g2057;0;0;-0.27
g2077;-0.09;-0.3;0.06;g2077;-0.22;0.05;-0.08;g2077;-0.11;0.2;-0.01;g2077;0.03;0.26;-0.08;g2077;0.39;-0.05;-0.11;g2077;0.21;-0.03;0.08;g2077;0.03;0.36;0.13;g2077;-0.11;0;0.03
g2109;-0.06;0.23;0.36;g2109;-0.03;0.29;0.14;g2109;-0.11;-0.09;0.25;g2109;0.28;-0.3;0.1;g2109;-0.18;-0.15;0.26;g2109;-0.13;-0.21;-0.29;g2109;0.06;-0.43;-0.43;g2109;-0.15;0;-0.12
g2134;0.07;1.57;-0.12;g2134;-0.01;0.46;0.27;g2134;0.13;0.57;-0.04;g2134;-0.01;0.15;-0.03;g2134;-0.2;-0.17;0.24;g2134;-0.12;0.12;-0.19;g2134;0.16;-0.72;-0.24;g2134;-0.1;-0.56;-0.08
g2195;0.04;-0.24;0.47;g2195;-0.32;-0.33;-0.13;g2195;0.33;-0.08;0.31;g2195;-0.81;0.53;-0.04;g2195;0.08;0.62;0.16;g2195;-0.08;-0.01;-0.3;g2195;-0.27;0.42;-0.44;g2195;0.04;0.62;-0.33
g2201;0.03;-0.21;0.1;g2201;-0.44;-0.24;-0.15;g2201;0.2;0.3;0.24;g2201;0.07;0.07;-0.09;g2201;0.01;0.11;0.14;g2201;-0.03;-0.09;0.21;g2201;-0.1;-0.41;-0.24;g2201;0.07;-0.16;-0.1
g2248;0.17;-0.19;-0.08;g2248;0.21;0.14;-0.44;g2248;-0.04;-0.06;0.11;g2248;0.08;-0.02;0.09;g2248;0.1;0.07;-0.09;g2248;0.06;0.06;-0.02;g2248;-0.06;-0.51;-0.25;g2248;-0.3;0;0.09
g2275;0.13;0.08;0.3;g2275;-0.3;0.09;-0.06;g2275;0;0.23;0.21;g2275;-0.26;0.35;0.07;g2275;0.35;-0.03;-0.13;g2275;0.1;-0.1;0.3;g2275;0.02;-0.02;-0.06;g2275;-0.07;0.2;-0.04
g2331;0.25;0.54;0.58;g2331;0.04;-0.05;-0.24;g2331;0.06;-0.29;0.03;g2331;0.23;-0.21;-0.12;g2331;-0.28;-0.07;0.03;g2331;-0.05;0.07;-0.04;g2331;-0.45;0.44;-0.18;g2331;-0.09;-0.16;0.18
g2343;0.23;-0.64;-0.99;g2343;-0.4;-0.28;-0.12;g2343;0.16;0.13;0.01;g2343;-0.25;-0.06;-0.26;g2343;0.21;-0.09;0.04;g2343;-0.01;0.18;0.4;g2343;0.03;-0.04;0.31;g2343;-0.05;0;0.27
g2360;0.05;0.4;0.42;g2360;-0.29;-0.49;0.27;g2360;0.24;-0.36;-0.29;g2360;-0.26;-0.07;-0.39;g2360;0.27;0.08;-0.61;g2360;0.13;0.13;0.45;g2360;0.21;0.3;0.48;g2360;-0.33;0.28;0.58
g2398;-0.67;-0.25;0.43;g2398;0;-0.9;-0.24;g2398;-0.23;0.55;0.18;g2398;0.35;0.53;0.14;g2398;-0.15;0.52;0.28;g2398;0.06;0.04;-0.56;g2398;-0.05;-0.17;-0.71;g2398;0.04;0.19;-0.28
g2408;-0.32;0.06;-2.42;g2408;-0.65;-0.04;-1.68;g2408;1.17;0.2;0.44;g2408;0.44;-0.1;0.43;g2408;0.37;-0.17;0.25;g2408;0.92;0.16;0.87;g2408;0.81;0;1.07;g2408;0.12;-0.24;0.96
g2424;0.11;0.83;0.95;g2424;0.25;0.22;0.52;g2424;-0.11;-0.69;-0.84;g2424;0.21;-0.23;-0.48;g2424;-0.34;-0.37;-0.37;g2424;0.36;0.31;0.07;g2424;0.01;0.01;0.19;g2424;-0.11;0.31;-0.02
g2450;-0.07;0.37;0.26;g2450;0.22;-0.16;0.28;g2450;-0.18;-0.31;-0.49;g2450;0.19;0;-0.28;g2450;0.08;-0.11;-0.17;g2450;0.03;0.23;0.21;g2450;0;-0.33;0.44;g2450;-0.38;0.08;0.2
g2472;-0.02;-0.12;0.93;g2472;0;-0.23;0.46;g2472;-0.34;-0.46;-0.56;g2472;0.24;-0.13;-0.25;g2472;0.09;-0.09;-0.31;g2472;-0.01;0.44;-0.07;g2472;-0.02;0.18;0.06;g2472;-0.34;0;-0.05
g2606;0.3;0.42;0.3;g2606;-0.09;0.2;0.09;g2606;0.33;-0.35;-0.12;g2606;-0.12;-0.5;-0.26;g2606;0.01;-0.17;-0.07;g2606;0.06;0.27;0;g2606;0.15;-0.22;0.12;g2606;-0.23;0.07;-0.2
g2620;-1.02;-0.58;-0.37;g2620;-0.32;-0.8;0.24;g2620;0.12;0.16;-0.71;g2620;0.15;-0.06;-0.33;g2620;-0.22;-0.19;-0.24;g2620;0.46;0.18;0.39;g2620;0.36;0.1;0.17;g2620;-0.16;0;0.37
g2741;-0.38;0.21;-0.14;g2741;-0.24;-0.05;0.09;g2741;0.07;-0.45;-0.09;g2741;0.17;0.15;-0.16;g2741;-0.5;-0.18;-0.25;g2741;0.21;0.08;-0.07;g2741;0.24;0.35;0.26;g2741;-0.38;0.14;0
g2762;-0.05;0.43;0.79;g2762;0.16;1.01;-0.11;g2762;-0.1;-0.57;-0.39;g2762;-0.18;-0.57;-0.12;g2762;-0.38;0.84;-0.05;g2762;0.23;1.01;0.02;g2762;0.14;-2.16;-0.02;g2762;-0.14;0;0.17
g2767;-0.29;0.46;-0.12;g2767;0.47;-0.13;0.18;g2767;-0.36;-0.36;-0.26;g2767;0.2;0.21;-0.21;g2767;-0.33;-0.28;-0.08;g2767;-0.01;0.12;0.06;g2767;-0.04;0.4;-0.1;g2767;-0.33;0.09;0.24
g2849;-0.03;0.45;0.74;g2849;0.16;-0.29;-0.29;g2849;0.29;-0.07;0.24;g2849;0.11;0.59;0.03;g2849;0.35;-0.29;0.03;g2849;-0.35;-0.29;-0.49;g2849;0.01;-0.55;0.03;g2849;-0.12;0.13;0.01
g2854;0.18;0.55;0.22;g2854;0.12;-0.45;0.03;g2854;0.25;0.45;0.1;g2854;-0.11;-0.67;0.07;g2854;0.17;-0.08;0.04;g2854;-0.09;-0.08;0.1;g2854;-0.02;0.45;-0.24;g2854;-0.11;0.07;0.17
g2858;-0.16;-0.38;0.09;g2858;-0.34;-0.44;-0.34;g2858;0.1;0.08;0.14;g2858;0;0.15;0.21;g2858;0.29;-0.04;-0.3;g2858;-0.02;0.32;0.14;g2858;0.19;0.08;-0.1;g2858;-0.18;0;-0.03
g2859;0.15;-0.42;-0.45;g2859;-0.27;0.33;-0.06;g2859;0.08;-0.23;0.51;g2859;-0.2;0.42;0.36;g2859;0.32;0.35;0.46;g2859;-0.16;-0.22;-0.28;g2859;0.13;-0.3;-0.38;g2859;-0.05;-0.03;-0.08
g2870;0;-0.28;0.34;g2870;0;-0.36;0.27;g2870;-0.15;-0.39;-0.59;g2870;0.04;0.03;-0.33;g2870;0.01;0.06;-0.13;g2870;0.01;0.3;0.28;g2870;-0.02;0.16;0.29;g2870;-0.2;0;0.23
g2898;-0.09;-0.25;-0.25;g2898;-0.82;0.19;-0.13;g2898;0.23;0.06;0.46;g2898;-0.01;0.42;0.07;g2898;0.56;0.3;0.22;g2898;-0.34;-0.18;-0.03;g2898;-0.06;0.25;-0.22;g2898;0.34;0.2;-0.11
g2945;-0.08;-0.1;-0.59;g2945;-0.11;-1.06;-0.25;g2945;0.17;-0.89;0.38;g2945;-0.01;0.23;0.25;g2945;-0.06;0.15;-0.05;g2945;0.3;0.43;-0.05;g2945;-0.11;0.56;-0.27;g2945;-0.4;0.75;0.05
g3055;-0.35;-0.36;-0.57;g3055;0.06;0.22;-0.25;g3055;-0.16;-0.42;0.08;g3055;-0.06;0.35;0.02;g3055;-0.2;0.48;0.23;g3055;0.19;-0.09;0.13;g3055;0.11;0.14;-0.14;g3055;0.07;0.2;0.28
g3088;0.04;0.85;-1.25;g3088;-0.13;-0.17;-0.55;g3088;0.32;-0.25;0.48;g3088;0.07;-0.06;0.3;g3088;-0.1;-0.15;0.52;g3088;0.31;-0.04;-0.08;g3088;0.09;0.29;-0.48;g3088;-0.13;-0.11;0.11
