;t0;t0;t0;t0;;t1;t1;t1;t1;;t2;t2;t2;t2;;t3;t3;t3;t3;;t4;t4;t4;t4;;t5;t5;t5;t5;;t6;t6;t6;t6;;t7;t7;t7;t7;;
;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;
g1125;-0.02;-0.23;-0.35;-0.01;g1125;-0.03;-0.04;-0.41;0.99;g1125;-0.19;0.02;-0.44;-0.23;g1125;-0.06;0.06;0.03;0.22;g1125;-0.16;0.14;-0.3;-0.28;g1125;0.01;0.09;0.41;-0.11;g1125;0.06;0.2;0.15;0.29;g1125;0.1;0.17;0.27;-0.14
g1126;0.22;0;-0.12;1.13;g1126;0.16;-0.1;-0.17;0.25;g1126;0.42;0.12;-0.47;-0.07;g1126;0.14;-0.06;-0.17;-0.05;g1126;-0.05;-0.12;-0.27;-0.19;g1126;0.23;0.01;-0.07;-0.44;g1126;-0.02;-0.29;-0.26;-0.17;g1126;-0.1;0.03;0;-0.05
g1127;-0.3;-0.5;-0.23;-0.18;g1127;-0.24;-0.18;-0.43;-0.24;g1127;0;0.7;-1.36;-0.22;g1127;-0.31;0.65;0.29;-0.49;g1127;-0.2;0.38;0.34;-0.24;g1127;0.12;0.48;0.94;0;g1127;0.29;0.06;-0.25;-0.35;g1127;0.07;-0.14;0.42;0.37
g1128;0.16;-0.05;0.57;0.39;g1128;-0.24;0.1;0.27;-0.11;g1128;0.16;-0.17;-0.43;0;g1128;0.06;-0.71;0.02;0.16;g1128;0.36;0.5;-0.5;0.29;g1128;0.17;-0.57;-0.04;-0.02;g1128;0.1;0.32;-0.24;0.13;g1128;0.02;-0.28;0.22;0.06
g1129;0.37;0.16;0.19;0.31;g1129;-0.16;0.63;0.3;0;g1129;0;0.29;-0.29;0.12;g1129;-0.14;-0.08;0.29;-0.32;g1129;-0.16;0.36;-0.31;-0.04;g1129;0.04;0.08;0.23;0.05;g1129;0.1;-0.12;0.2;-0.54;g1129;0.15;0.09;-0.08;0.01
g1137;-0.36;-0.07;0.14;-0.07;g1137;-0.11;-0.07;0.04;0.15;g1137;-0.28;0.06;-0.09;1.01;g1137;0.08;0.04;0.07;-0.79;g1137;-0.47;0.22;0.1;-0.05;g1137;0.09;-0.02;0.17;0.01;g1137;-0.26;0.16;0;0.37;g1137;0.42;0.09;0.1;-0.22
g1138;-0.23;0.35;0.17;-0.12;g1138;-0.16;0.28;0;-0.24;g1138;0.13;0.31;-0.68;0;g1138;0.09;-0.14;-0.19;0.13;g1138;0.15;0.29;0.17;-0.14;g1138;-0.09;-0.66;0.07;-0.33;g1138;-0.59;0.42;-0.33;-0.14;g1138;-0.23;0.07;0.05;0.13
g1139;-0.11;0.15;0.22;0.66;g1139;0.04;0.1;0.36;-0.33;g1139;0.03;-0.07;-0.21;-0.1;g1139;0.04;0.09;0.39;-0.17;g1139;-0.24;0.27;0.02;-0.12;g1139;-0.24;-0.08;0.24;-0.37;g1139;-0.3;0.35;-0.45;0.1;g1139;0.01;-0.03;0.01;0.11
g1140;0;0.54;-0.42;-0.35;g1140;-0.19;0.44;0.54;-0.05;g1140;-0.28;0.09;-0.39;0.05;g1140;0.26;0.1;-0.32;-0.07;g1140;-0.25;0.24;0.22;-0.18;g1140;0.1;-0.35;0.01;0.04;g1140;-0.43;0.27;-0.17;0.2;g1140;0.22;-0.18;0.24;0.04
g1141;0.03;-0.06;-0.64;-0.6;g1141;-0.31;0.09;-0.06;-0.37;g1141;-0.14;0.09;0.31;-0.65;g1141;0.44;-0.04;0.39;0.03;g1141;0.47;0.64;0.23;-0.08;g1141;-0.07;-0.95;0.42;0.47;g1141;0.05;0.22;0.23;0.51;g1141;-0.49;-0.52;0.05;0.45
g1142;-0.41;0.27;-0.46;0.3;g1142;-0.26;0.24;0.01;-0.11;g1142;-0.41;0.18;0.34;0.02;g1142;0.16;0.04;0.11;-0.11;g1142;-0.21;0.07;-0.09;-0.07;g1142;0.27;-0.14;0.16;0.07;g1142;-0.28;-0.14;0.03;0.26;g1142;0.32;-0.05;0.04;0
g1143;-1.29;-0.41;-1.82;-1.33;g1143;-0.7;-0.97;-1.35;-0.93;g1143;-0.33;-1.46;-0.65;0.83;g1143;-0.88;0.16;-0.67;-0.73;g1143;-0.19;0.74;-0.4;-0.78;g1143;0.05;0.72;0.34;-0.85;g1143;0.02;1;0.57;-0.07;g1143;0.68;0.77;0.47;0.51
g1144;-0.33;0.09;-0.77;-0.39;g1144;0;0.22;-0.39;-0.08;g1144;-0.35;0.36;-0.45;-0.22;g1144;-0.31;0.25;-0.3;-0.18;g1144;0.01;-0.63;0.23;-0.09;g1144;0.15;-0.26;0.41;-0.16;g1144;-0.05;0.29;0.47;0.02;g1144;0.23;0.02;0.07;0.23
g1145;-0.11;-0.81;0.13;0.39;g1145;0.29;-0.71;-1.04;0.27;g1145;0.18;-0.47;-0.27;-0.45;g1145;0.42;-0.11;-0.21;-0.11;g1145;-0.04;0.15;-0.09;-0.55;g1145;0.01;-0.26;-0.15;-0.12;g1145;-0.44;0.04;-0.61;-0.18;g1145;-0.16;-0.1;-0.4;0.29
g1146;-0.78;0;-1.39;0.58;g1146;0;0;-2.09;0.02;g1146;-0.75;0;-1.92;0.44;g1146;-0.41;0;-0.33;-0.09;g1146;-0.62;0;1.12;-0.52;g1146;0.5;0;0.77;-0.18;g1146;-0.08;0;1.16;0.06;g1146;0.79;0;0.61;-0.2
g1147;-0.44;-0.27;-0.4;-0.47;g1147;-0.76;-0.27;-0.53;-0.05;g1147;-0.7;-0.05;-1.3;-0.88;g1147;-0.65;0.28;-0.17;-0.04;g1147;-0.14;0.21;0.55;-0.17;g1147;-0.1;0.7;0.54;-0.35;g1147;0.44;0.25;0.24;1.08;g1147;0.22;0.55;0.57;-0.18
g1148;-0.07;-0.3;0.31;0.9;g1148;-0.1;0.02;0.1;-0.17;g1148;0.34;-0.22;-0.22;0.05;g1148;0.02;-0.59;0.35;-0.04;g1148;0.3;-0.39;0.05;0.31;g1148;0.15;-0.02;0.09;-0.24;g1148;0.05;1.31;-0.22;-0.04;g1148;0.09;0.19;0.25;-0.04
g1149;0.24;0.66;-0.29;0.08;g1149;-0.49;0.64;-0.12;-0.29;g1149;0;0.61;-0.12;0.02;g1149;-0.13;-0.01;0;-0.17;g1149;0.07;-0.38;0.13;0.27;g1149;-0.15;0.24;0.04;0.16;g1149;0.16;-0.53;-0.03;0.01;g1149;0.15;0.33;0.2;-0.02
g1150;0.04;0.6;-0.38;0.23;g1150;-0.3;0.35;0.15;-0.16;g1150;0.07;0.52;0;-0.02;g1150;-0.18;-0.02;0.29;0.18;g1150;-0.22;-0.21;0.21;0.24;g1150;0.13;0.16;0.22;-0.05;g1150;0.12;-0.25;-0.18;0.06;g1150;0.27;0.19;0.18;0.32
g1151;-0.13;0.21;0;-0.16;g1151;-0.23;-0.15;0.16;0;g1151;-0.05;-0.19;-0.07;-0.11;g1151;0.05;-0.17;0.02;0.05;g1151;0.2;0;0.18;-0.11;g1151;-0.23;-0.26;-0.76;-0.2;g1151;-0.01;-0.82;-0.5;0;g1151;-0.08;-0.56;-0.42;0.22
g1152;0.23;-0.59;-0.08;-0.12;g1152;0.07;-0.31;0.11;0.42;g1152;0.19;-0.27;-0.2;0.26;g1152;-0.06;-0.29;0.06;0.06;g1152;0.37;0;0.19;-0.23;g1152;-0.22;-0.56;-0.41;-0.69;g1152;0.56;-0.56;-0.74;-0.72;g1152;-0.17;-0.73;-0.31;-0.33
g1153;0.12;1.05;-0.6;-0.25;g1153;0;0.77;0.58;-0.09;g1153;-0.09;0.2;-0.08;0;g1153;0;-0.01;0.05;0.07;g1153;0.05;0.02;0.09;0.17;g1153;-0.17;0.41;0.04;-0.06;g1153;0.07;-0.33;0.09;0;g1153;-0.22;0.4;-0.01;0.31
g1154;0.08;0.28;-0.24;0.28;g1154;-0.05;0.7;0.34;0.28;g1154;-0.11;-0.03;0.21;0.16;g1154;0;-1.12;0.13;-0.21;g1154;0;0.18;0.01;-0.28;g1154;0.02;0.06;-0.3;-0.07;g1154;0.21;0.11;0.03;-0.21;g1154;0.14;0;-0.19;0.06
g1155;0.09;-0.56;-1.14;-0.7;g1155;-0.29;-0.76;-0.44;-0.85;g1155;0.02;-0.46;-0.08;-0.49;g1155;0.05;0.15;-0.07;-0.23;g1155;0.21;0.27;-0.38;-0.21;g1155;-0.14;0.4;-0.34;-0.04;g1155;0.19;-0.34;-0.03;-0.35;g1155;-0.11;0.29;-0.29;0.48
g1156;0.2;-0.34;-0.4;-0.02;g1156;0.07;0.24;-0.03;0.01;g1156;0.05;0.04;-0.19;0.01;g1156;0.03;-0.31;-0.19;-0.31;g1156;-0.1;0.02;-0.47;-0.2;g1156;-0.01;-0.23;0.21;-0.17;g1156;0.15;0.04;0.13;-0.15;g1156;0.01;-0.67;-0.18;-0.13
g1157;0.03;0.16;-0.69;0.31;g1157;0.01;0.33;0.56;-0.33;g1157;-0.04;0.07;0.4;-0.13;g1157;0.09;-0.16;0.06;-0.07;g1157;0.19;-0.08;-0.54;-0.11;g1157;-0.19;-0.27;-0.1;0.02;g1157;0.06;-0.31;0.56;-0.09;g1157;-0.12;0.18;-0.54;0.24
g1158;0.26;0.28;-0.33;-0.89;g1158;-0.63;0.79;-0.12;-0.05;g1158;-0.5;0.66;0.24;-0.12;g1158;-0.55;-0.29;0.03;-0.1;g1158;0.02;-0.29;0.31;0.31;g1158;-0.27;0.15;0.06;0.2;g1158;0.29;-0.27;0.21;0.02;g1158;0.06;-1.83;0.31;0.07
g1159;-0.26;0.03;0.04;-0.33;g1159;-0.03;0.38;-0.45;0.28;g1159;0.13;0.39;-0.11;0.23;g1159;-0.07;-0.03;0.03;0.15;g1159;-0.13;-0.34;-0.01;-0.25;g1159;-0.27;-0.24;-0.07;-0.22;g1159;-0.43;0.04;0.03;0;g1159;0;0.14;0.06;0.2
g1160;-0.31;0.17;0.17;-0.02;g1160;0.06;0.35;-0.19;0.03;g1160;-0.25;0.29;-0.24;-0.17;g1160;-0.04;-0.04;0.05;0.59;g1160;0.09;-0.1;0.13;-0.27;g1160;-0.18;-0.24;-0.12;-0.29;g1160;-0.24;-0.11;-0.31;-0.05;g1160;-0.04;0.1;-0.08;-0.04
g1161;0.6;-0.09;0.06;-0.45;g1161;-0.2;0.34;-0.41;0;g1161;-0.18;0.24;-0.51;0.26;g1161;-0.2;-0.11;0.08;-0.04;g1161;-0.04;-0.23;0.01;-0.11;g1161;-0.23;-0.32;-0.27;0.01;g1161;-0.48;0.52;-0.47;-0.05;g1161;-0.25;-0.01;0.1;0.17
g1162;-0.02;0.78;-0.21;-0.75;g1162;0;0.74;0.05;-0.01;g1162;-0.4;0.36;-0.01;0.02;g1162;-0.13;-0.11;0.03;0.32;g1162;-0.13;-0.18;0.04;0.48;g1162;-0.02;0.02;-0.2;0.43;g1162;-0.48;0.08;0.11;0.3;g1162;0.05;0.16;0.01;-0.04
g1163;0;-0.19;0.3;0.33;g1163;0.02;-0.43;-0.23;-0.24;g1163;-0.08;-0.31;-0.44;0.7;g1163;0;0.09;-0.01;0.29;g1163;0.09;-0.13;0.06;0.53;g1163;-0.61;0.24;0.41;0.33;g1163;-0.45;-0.24;0.03;0.27;g1163;0;0.21;0.33;0.19
g1164;-0.35;0.01;-0.26;-0.21;g1164;0;0.24;-0.01;-0.21;g1164;-0.2;0.3;-0.36;-0.09;g1164;1.31;-0.18;-0.13;0.05;g1164;-0.39;-0.1;0.01;-0.13;g1164;-0.23;-0.15;-0.02;-0.16;g1164;-0.37;-0.03;-0.07;-0.03;g1164;0.12;0.08;0.17;0.19
g1165;0.38;-0.18;-0.01;1.07;g1165;0.26;0.02;0.11;-0.01;g1165;0.1;-0.04;-0.54;0.05;g1165;0.62;-0.06;0.01;-0.13;g1165;-0.07;-0.52;0;-0.13;g1165;0.47;-0.12;-0.16;-0.26;g1165;0;-0.58;-0.29;-0.36;g1165;0.41;0.07;0;-0.17
g1166;-0.18;-0.01;0.43;0.77;g1166;0.27;0.03;0.12;-0.05;g1166;0.19;0.04;0.24;0.02;g1166;0.19;-0.12;0.19;0.05;g1166;-0.11;-0.04;-0.17;-0.43;g1166;-0.2;-0.15;-0.06;-0.29;g1166;-0.48;-0.14;-1.03;-0.36;g1166;-0.11;-0.02;0.19;-0.11
g1167;-0.35;0.01;-0.47;0.04;g1167;-0.27;-0.03;0.17;0.23;g1167;-0.11;0.1;-0.08;-0.37;g1167;0;0.55;0.09;0.27;g1167;0;0.3;-0.01;-0.05;g1167;0.18;0.45;0.24;0;g1167;0;0.31;0.21;0.09;g1167;-0.08;0.31;-0.06;0.49
g1168;-0.12;-0.57;1.57;2.2;g1168;0.95;-0.72;0.34;0.26;g1168;-0.08;-0.67;0.05;0.12;g1168;0.32;-0.68;-0.42;0.3;g1168;-0.12;-0.15;-0.42;-1.03;g1168;-0.03;-0.7;0.01;-1.21;g1168;-0.37;-0.31;-0.16;-0.9;g1168;-0.32;-0.92;-0.38;-0.29
g1169;-0.3;0.64;-0.89;-0.53;g1169;-0.6;0.62;0.21;0.05;g1169;-0.43;0.49;0.44;-0.41;g1169;-0.32;0.32;0.09;0.04;g1169;-0.18;-0.36;-0.33;0.07;g1169;0.03;0.04;0.04;0.49;g1169;-0.3;-0.66;0.31;0.01;g1169;0.19;0.16;-0.36;0.32
g1170;-0.2;-0.36;0.27;0.16;g1170;0;-0.1;0.68;0.07;g1170;-0.02;-0.06;0.63;0.37;g1170;0;-0.33;0.5;0.36;g1170;-0.02;0.29;-0.47;0;g1170;-0.06;-0.42;0.21;0.05;g1170;-0.32;-0.12;0.09;0.02;g1170;0.08;-0.22;-0.87;-0.13
g1171;0.35;-0.73;-0.42;-0.44;g1171;-0.37;-0.4;-0.28;-0.26;g1171;0.19;-0.2;-0.2;-0.39;g1171;0.05;0.79;-0.26;-0.2;g1171;0.09;-0.22;-0.09;-0.3;g1171;-0.49;-0.2;-0.3;-0.08;g1171;0.05;0.01;0.01;-0.05;g1171;-0.65;0.04;-0.09;0.54
g1172;0.1;-0.22;0.11;0.08;g1172;-0.01;-0.21;-0.4;-0.29;g1172;0.1;-0.27;-0.58;-0.35;g1172;-0.05;-0.18;-0.23;-0.29;g1172;0.02;-0.48;-0.25;-0.13;g1172;-0.2;0.17;-0.03;-0.22;g1172;0.39;-0.24;-0.03;-0.09;g1172;0.02;0.44;-0.11;-0.19
g1173;-0.01;-0.1;-0.19;0.26;g1173;-0.11;0.14;-0.34;-0.49;g1173;-0.06;0.29;-0.57;-0.19;g1173;-0.07;0.19;0.04;0.12;g1173;0.14;0.52;0.52;-0.13;g1173;-0.28;0.19;0.22;0.09;g1173;0.18;-0.72;-0.04;0.15;g1173;-0.16;0.01;0.07;0.05
g1174;0.21;0.05;-0.05;-0.2;g1174;0;0.3;-0.25;0.17;g1174;0.17;0.27;-0.26;-0.14;g1174;-0.21;-0.02;-0.04;-0.12;g1174;0;-0.24;0.11;-0.12;g1174;-0.29;0.12;-0.17;-0.38;g1174;0.43;-0.19;-0.06;-0.1;g1174;-0.09;0.13;-0.12;-0.18
g1175;0.26;-0.54;0.32;-0.32;g1175;0.63;-0.9;-0.48;-0.36;g1175;0.53;-0.67;-0.5;0.12;g1175;0.38;0.13;-0.02;-0.32;g1175;0.11;-0.24;-0.04;-0.36;g1175;-0.41;0.24;0.21;-0.33;g1175;0.13;-0.1;-0.46;-0.19;g1175;-0.46;-0.04;-0.2;0.36
g1176;-0.07;-0.27;-0.07;0.39;g1176;-0.16;0.17;0.06;-0.19;g1176;-0.06;0.9;0.07;0.07;g1176;-0.12;-0.03;0.71;-0.08;g1176;0.16;0.44;0.61;0.28;g1176;0.23;-0.15;0.71;-0.06;g1176;0.49;0.5;0.36;0.15;g1176;-0.01;-0.39;0.05;-0.19
g1177;0;-0.45;-0.05;0;g1177;0;0.1;-0.01;0;g1177;0;0.23;-0.19;0;g1177;0;0.43;0.52;0;g1177;0;0.48;0.29;0;g1177;0;0.07;0.42;0;g1177;0;0.54;0.14;0;g1177;0;-0.48;0.19;0
g1178;0.01;-0.03;-0.15;-0.63;g1178;-0.5;0.58;0.64;0.19;g1178;0.09;0.04;0.24;-0.27;g1178;0.01;-0.26;0.04;-0.13;g1178;0.35;-0.58;-0.51;-0.3;g1178;-0.24;-0.13;0.05;-0.02;g1178;0.28;-0.2;-0.35;-0.15;g1178;-0.3;-0.01;-0.24;0.27
g1179;0.06;0.05;0.15;0.3;g1179;-0.17;0.32;0.19;-0.18;g1179;-0.06;0.55;-0.41;-0.11;g1179;0;-0.07;0.1;-0.18;g1179;0.19;-0.21;-0.18;0.17;g1179;0.08;0.16;0.33;-0.27;g1179;0.33;0.02;-0.34;-0.03;g1179;0.14;0.27;0.03;-0.18
g1180;0.03;-0.08;-0.39;-0.01;g1180;-0.08;-0.02;-0.25;-0.35;g1180;0.05;0.24;-0.23;-0.22;g1180;-0.02;0.42;0.21;-0.54;g1180;0.29;-0.41;-0.17;-0.5;g1180;-0.02;0.36;0.35;-0.14;g1180;0.23;-0.52;-0.06;-0.21;g1180;-0.27;0.06;-0.11;0.4
g1181;0.19;0.01;-0.08;0.3;g1181;0.11;0.41;0.37;0.13;g1181;0.19;0.38;0.73;-0.61;g1181;0;-0.41;0.29;-0.13;g1181;0.15;-0.62;-0.6;0.27;g1181;0.11;-0.32;0.03;0.21;g1181;0.14;0;-0.04;0.13;g1181;-0.03;0.07;-0.19;-0.07
g1182;0.33;-0.08;-0.26;-0.64;g1182;-0.45;1.2;0.83;-0.29;g1182;-0.22;0.43;0.35;0.03;g1182;0;0.08;0;0.17;g1182;0.14;-0.99;0.12;0.8;g1182;-0.08;0.21;0.47;0.49;g1182;0.2;-0.39;0.55;0.05;g1182;-0.06;0.39;0.17;0.09
g1183;0.33;-0.31;0.14;-0.46;g1183;0.47;-0.33;0.67;-0.22;g1183;0.03;0.09;0.3;-0.27;g1183;-0.07;-0.28;0.17;-0.08;g1183;0.32;-0.01;-0.4;-0.16;g1183;-0.17;0.22;0.33;-0.14;g1183;0.09;0.36;0.19;0.08;g1183;0.09;0.24;-0.38;0.17
g1184;-0.3;1.08;-0.21;-0.15;g1184;-0.28;0.7;0.33;0.08;g1184;-0.22;0.21;0.77;0.16;g1184;0;-0.09;0.51;0.09;g1184;-0.13;-0.08;0.31;-0.3;g1184;-0.06;-0.19;-0.01;-0.13;g1184;-0.34;-0.23;0.17;-0.09;g1184;-0.15;0;-0.13;0.25
g1185;-0.28;0.5;-0.09;-0.45;g1185;-0.43;0.26;0.09;0.05;g1185;-0.08;0.22;0.38;-0.34;g1185;0.05;0.25;0.39;0.13;g1185;-0.02;-0.37;0.51;-0.09;g1185;-0.12;0.07;-0.2;0.01;g1185;-0.19;0.11;0.59;0;g1185;0.03;0.17;0.39;0.1
