;t4;t4;t4;t4;;t5;t5;t5;t5;;t6;t6;t6;t6;;t8;t8;t8;t8;;t9;t9;t9;t9;;t10;t10;t10;t10;;t12;t12;t12;t12;;t13;t13;t13;t13;;
;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;
g2445;-0.33;0;-0.2;0.04;g2445;0.12;-0.56;-0.35;0.22;g2445;-0.18;0.65;0;0.14;g2445;0.03;0.53;-0.71;-0.44;g2445;-0.12;-0.41;-0.71;-0.49;g2445;0;0.46;0.06;0.16;g2445;0.15;0;-0.06;-0.13;g2445;-0.2;0;0.48;0.31
g2481;0.28;0.02;-0.11;-0.08;g2481;-0.07;0.08;-0.02;-0.04;g2481;0.21;-0.03;0.28;-0.01;g2481;0.11;-0.11;0.16;0.11;g2481;-0.07;0.03;-0.45;-0.01;g2481;-0.08;-0.33;0.24;0.08;g2481;0.17;-0.01;0.09;0.09;g2481;-0.08;0.17;-0.36;-0.09
g2483;-0.01;0.01;-0.34;0.81;g2483;-0.23;0.21;-0.2;0.43;g2483;0.11;-0.12;-0.02;0.3;g2483;0.16;0.06;0.03;0;g2483;-0.1;0.28;-0.17;0.2;g2483;0.18;-0.14;0.11;0.24;g2483;0.18;-0.16;0.26;-0.55;g2483;-0.03;-0.18;0;-0.16
g2490;0.1;0.18;-0.21;0.21;g2490;-0.46;0.02;-0.26;0.7;g2490;-0.36;0.21;0.34;0.2;g2490;0.37;0.17;0.96;0.15;g2490;0.02;0.13;0.23;0.04;g2490;-0.03;-0.05;0.11;-0.04;g2490;-0.42;-0.01;0.11;-0.66;g2490;-0.31;-0.05;-0.11;-0.21
g2508;-0.06;-0.09;-0.01;-0.31;g2508;-0.23;0.07;0.04;-0.22;g2508;0.09;0.54;-0.37;-0.14;g2508;0.25;0.04;-0.16;0.28;g2508;0.1;0.3;-0.09;0.37;g2508;0.19;0.2;0.21;0.12;g2508;-0.08;0.17;-0.32;-0.18;g2508;-0.38;-0.87;-0.16;0.52
g2511;0.14;0.09;0.3;-0.26;g2511;-0.27;-0.09;0.45;-0.14;g2511;0.02;0.39;-0.6;-0.12;g2511;0.28;0.19;-0.42;0.27;g2511;-0.07;0.07;-0.19;0.3;g2511;-0.1;-0.05;0.02;-0.14;g2511;0.14;-0.42;-0.7;0.5;g2511;-0.33;-0.6;-0.6;0.53
g2636;0.18;0;0.06;0.6;g2636;-0.21;0;-0.04;0.46;g2636;0.27;1.26;0.49;-0.08;g2636;0.37;0;0.03;0.07;g2636;0.24;0;0.07;0.3;g2636;0.09;0;0.02;0.02;g2636;0.26;0;-0.37;-0.25;g2636;-0.23;0;0;0.13
g2717;-0.39;-0.17;0;0.54;g2717;0.45;-0.35;0.16;0.43;g2717;-0.1;0.31;0.05;0.11;g2717;-0.18;-0.35;-0.02;-0.48;g2717;0.18;-0.09;-0.15;0.01;g2717;0.15;0.21;-0.15;0.04;g2717;-0.07;-0.09;-0.12;-0.3;g2717;-0.1;0.55;0;0.07
g2727;0.12;0;-0.16;-0.12;g2727;0.05;-0.3;0.01;-0.34;g2727;0.11;0;-0.54;-0.14;g2727;0.05;0;-0.68;0.32;g2727;0.22;-0.19;-0.18;0.11;g2727;-0.19;0.41;0.78;0.14;g2727;0.2;0.86;0.51;0;g2727;-0.19;0.68;0.09;-0.27
g2731;0.21;0;0.12;-0.41;g2731;-0.19;0;0.36;-0.26;g2731;0.21;0;0.03;-0.1;g2731;0;0;-0.22;0.36;g2731;0.11;-1.39;-0.15;0.35;g2731;0.01;1.12;0.36;0.19;g2731;0.24;0;0.03;0.43;g2731;-0.12;-1.55;0.15;0.07
g2760;0.22;0.13;-0.1;0.05;g2760;-0.13;-0.05;0.22;-0.1;g2760;0.44;0.02;0.19;-0.17;g2760;0.08;0.11;0.44;0.01;g2760;-0.05;-0.85;-0.65;-0.04;g2760;-0.1;-0.29;0.14;0.18;g2760;0.21;-0.01;-0.26;-0.17;g2760;-0.2;0.25;-0.32;-0.04
g2771;-0.07;-0.17;0.02;0.06;g2771;0.35;-0.81;0.26;-0.05;g2771;-0.2;0.01;0;-0.19;g2771;0.07;-0.25;-0.1;-0.15;g2771;0.18;0.01;-0.31;-0.15;g2771;-0.12;0.08;0.21;0.06;g2771;-0.03;-0.08;0.11;-0.17;g2771;-0.18;-0.06;-0.06;-0.12
g2810;0.18;0.24;0.32;0.08;g2810;0.13;-0.79;0.42;-0.01;g2810;-0.04;0.59;0.12;-0.16;g2810;-0.23;0.37;0.32;-0.24;g2810;0.18;-0.65;-0.6;0.18;g2810;0;0.17;-0.19;0.68;g2810;0.19;0.63;-1.16;0.67;g2810;0;0;-0.28;0.54
g2831;0.1;-0.49;0.06;-0.54;g2831;-0.25;0.26;0.44;-0.57;g2831;0.16;-0.16;0.17;-0.41;g2831;0.01;-0.38;0.18;0.02;g2831;0.19;0.43;0.01;-0.24;g2831;-0.02;-0.51;-0.01;-0.28;g2831;-0.02;-0.54;0.1;0.43;g2831;-0.29;-0.3;-0.07;0.15
g2848;0.14;0.22;-0.53;1.18;g2848;-0.13;1.17;-0.29;0.6;g2848;0.49;0.54;-0.11;-0.28;g2848;0.35;0.11;-0.12;-0.62;g2848;0.08;0.61;1.06;-0.08;g2848;-0.06;-0.31;0.35;-0.41;g2848;-0.14;-0.68;0;0.08;g2848;-0.53;0.24;0.03;0.84
g2870;-0.15;-0.16;-0.39;-0.59;g2870;0.04;0.18;0.03;-0.33;g2870;0.01;-0.22;0.06;-0.13;g2870;0.19;-0.33;0.05;0.22;g2870;0.32;0.22;0.48;0.21;g2870;0.33;-0.27;0.22;-0.08;g2870;-0.02;-0.2;0.16;0.29;g2870;-0.2;0.1;0;0.23
g2999;-0.01;0.58;0.63;0.13;g2999;-0.14;0.34;1.09;0.09;g2999;0.22;0;-0.05;0.09;g2999;0.14;0.37;-0.2;-0.02;g2999;0.25;0.02;-1.37;-0.33;g2999;-0.12;0.36;-0.79;0.09;g2999;-0.07;-0.42;0.44;0;g2999;-0.24;0.11;0;-0.08
g3054;0.36;0.5;0.52;0.34;g3054;0.36;-0.19;0.47;0.06;g3054;0.02;0.38;-0.05;0.31;g3054;0.06;0.56;-0.37;-0.06;g3054;-0.12;-0.5;-0.65;-0.36;g3054;-0.14;-0.11;-0.77;0.16;g3054;-0.21;0.06;-0.71;-0.21;g3054;0.03;-0.79;-0.55;-0.19
g3086;0.04;-0.5;-0.16;0.22;g3086;-0.05;-0.12;0.2;0.2;g3086;-0.2;-0.21;-0.08;-0.05;g3086;0.06;0.09;0.1;0.04;g3086;-0.24;0.23;-0.17;0.08;g3086;0.49;-0.22;-0.06;0.2;g3086;-0.03;-0.24;0;-0.21;g3086;-0.05;0.02;0;0.12
g3123;-0.07;-0.08;-0.18;0.66;g3123;0.14;0.14;-0.14;0.53;g3123;0.05;0;0.27;0.3;g3123;-0.44;0.11;0.07;-0.05;g3123;-0.34;0.39;-0.03;-0.09;g3123;-0.37;0.36;-0.11;0.2;g3123;-0.2;-0.1;0.77;-0.76;g3123;-0.29;0.61;0.27;-0.23
g3134;0.12;0.98;0.47;-0.04;g3134;0.27;0.08;0.45;0.16;g3134;0.23;0.16;0;0.4;g3134;0.34;-0.02;-0.18;-0.19;g3134;-0.16;-0.33;-0.63;-0.16;g3134;0.01;-0.08;-0.39;0.12;g3134;0.15;0.49;0.08;-0.21;g3134;-0.2;0.08;0.21;0.01
g3171;-0.09;0.45;-0.06;0.18;g3171;0;-0.38;-0.18;-0.06;g3171;0.2;0.78;-0.02;-0.18;g3171;0.02;0.4;0.63;0.04;g3171;0.26;-0.33;-0.24;0.02;g3171;-0.13;0.58;-0.09;0;g3171;-0.09;-0.06;0.31;-0.03;g3171;-0.38;-0.25;-0.08;0.07
g3199;-0.25;0.01;0.2;0.25;g3199;0.4;-0.39;0.11;0.14;g3199;0.02;0.44;-0.04;0.13;g3199;0.12;-0.12;-0.24;-0.18;g3199;0.35;0.02;0.34;-0.28;g3199;-0.06;0.07;0.01;0.19;g3199;0.07;0.1;-0.31;-0.38;g3199;-0.06;0.17;0.46;0.04
g3209;-0.58;-0.92;-0.33;0.72;g3209;-0.22;-0.3;0.05;0.43;g3209;0.16;-0.7;-0.15;0.01;g3209;-0.16;0.41;0.68;-0.14;g3209;1.02;1.26;0.88;0.06;g3209;0.88;0.47;-0.06;0.38;g3209;0.1;-0.68;-0.15;-0.16;g3209;-0.39;-0.72;0.07;0.44
g3228;0.07;-0.05;-0.25;0.02;g3228;0.16;0.01;-0.85;-0.06;g3228;-0.15;-0.17;-1.07;-0.04;g3228;0.17;-0.12;-0.43;0.02;g3228;-0.23;0.26;-1.07;-0.19;g3228;0.36;-0.01;0.17;-0.14;g3228;-0.18;-0.05;0.54;0.2;g3228;-0.08;-0.05;0.48;0.11
g3283;0.41;-0.81;0.3;0.39;g3283;-0.12;-0.03;0.3;0.48;g3283;0.08;-0.48;0.22;0.14;g3283;-0.07;-0.75;-0.22;0.13;g3283;-0.05;0.66;-1.15;0.26;g3283;-0.02;0.03;0.11;0.06;g3283;0.3;-0.54;0.23;-0.23;g3283;-0.4;0.49;-0.05;-0.03
g3296;-0.05;0.3;0.04;0.23;g3296;0.07;-0.39;0.06;0.11;g3296;-0.02;0.03;0.27;-0.03;g3296;0.15;0.23;0.42;-0.27;g3296;-0.23;-0.09;-0.36;-0.25;g3296;-0.14;-0.01;-0.9;-0.32;g3296;0.08;0.22;0.07;-0.17;g3296;0;0.04;-0.16;0.12
g3309;0.01;-0.14;-0.16;0.24;g3309;-0.08;0;-0.33;0.04;g3309;0.13;0.35;0;0.1;g3309;0.16;-0.18;0.19;0.13;g3309;-0.12;0.3;0.32;0.42;g3309;0.11;-0.1;0;0.03;g3309;0.16;-0.06;0.2;0.13;g3309;-0.06;0.26;-0.13;-0.12
g3422;-0.12;-0.15;-0.33;-0.08;g3422;0.36;0.04;-0.36;-0.04;g3422;-0.05;-0.05;-0.51;-0.17;g3422;-0.05;-0.12;0.36;-0.14;g3422;-0.18;0.08;-0.53;-0.25;g3422;-0.07;-0.17;-0.31;-0.1;g3422;0.09;-0.08;0.13;0.06;g3422;-0.16;-0.07;0;0.21
g3432;0.29;-0.53;0.46;0.55;g3432;0.02;0.65;0.2;0.08;g3432;0.84;-0.56;0.12;0.15;g3432;0.51;-0.97;-0.46;0.16;g3432;0.26;0.3;0.2;0.91;g3432;0.09;-0.5;-0.13;-0.08;g3432;0.33;-0.44;0;0.03;g3432;-0.04;0.4;0.35;0.55
g3563;0.13;0;0.36;0.05;g3563;-0.06;-0.4;0.28;-0.15;g3563;0.08;0;0.45;-0.19;g3563;0.19;0;-0.19;-0.04;g3563;-0.28;-0.04;-0.31;0.03;g3563;0.13;0;-0.48;0.03;g3563;-0.02;0;-0.09;0.01;g3563;-0.06;-0.04;-0.08;0.11
g3566;-1.92;0.12;0.1;-0.02;g3566;0.91;-0.21;-0.1;-0.02;g3566;-0.84;0.15;0.24;0.07;g3566;-0.1;0.47;0.2;-0.38;g3566;0;-0.12;0.37;-0.08;g3566;0.42;-0.14;0.69;0.44;g3566;0.21;0.17;-0.1;-0.28;g3566;-0.12;-0.05;0.15;0.22
g3631;-0.1;0.02;0.54;-0.27;g3631;0.03;-0.05;-0.26;-0.11;g3631;-0.1;-0.07;-0.28;-0.23;g3631;0;-0.05;0.15;0.11;g3631;-0.2;0.25;0.7;0.21;g3631;0.11;0.02;0.38;0.1;g3631;-0.05;-0.23;-0.02;0.18;g3631;-0.19;0.11;0;0
g3640;-0.17;-0.25;0.13;-0.24;g3640;0.43;-0.9;-0.03;-0.07;g3640;0.14;0.01;-0.22;-0.31;g3640;-0.21;-0.24;-0.33;-0.37;g3640;0.13;-0.45;0.5;-0.58;g3640;-0.34;-0.12;0.58;0.23;g3640;-0.08;0.18;0.2;-0.28;g3640;-0.5;-0.01;0.35;-0.33
g3680;-0.13;-0.18;0.09;-0.23;g3680;0.36;-0.01;-0.36;-0.44;g3680;0.05;0.26;-0.03;-0.48;g3680;0.24;0.37;0.49;-0.08;g3680;0.61;-0.25;0.45;-0.13;g3680;-0.02;0.08;0.16;0.21;g3680;0.03;0.11;0.59;0.02;g3680;-0.25;-0.03;-0.22;0.05
g3807;0;-0.12;0.06;-0.02;g3807;0.19;-0.18;-0.18;-0.15;g3807;0.06;-0.05;0.14;-0.03;g3807;0;-0.17;0.1;-0.29;g3807;-0.06;0.02;-0.27;-0.24;g3807;-0.06;-0.22;0.02;0.01;g3807;0.09;-0.09;0.08;-0.32;g3807;-0.21;0.26;0;-0.09
g3965;-0.02;-0.39;-0.03;0.29;g3965;0.09;-0.99;-0.12;-0.16;g3965;0.24;-0.65;-0.2;0.19;g3965;0.19;-0.47;0.27;0.06;g3965;0.03;0.77;0.41;-0.09;g3965;-0.02;-0.2;0.19;-0.11;g3965;-0.18;-0.53;0.1;-0.24;g3965;-0.13;0.2;0;0.06
g3966;-0.24;-0.26;-1.42;-0.48;g3966;0.16;-0.27;-1.06;0.13;g3966;0.02;0.47;-0.42;-0.42;g3966;-0.18;0.49;0;-0.09;g3966;0.18;-0.26;-1.06;-0.61;g3966;0.13;0.01;-0.23;0.56;g3966;0.43;0.29;1.09;-0.08;g3966;0;-0.26;-0.77;0.35
g3992;-1.04;0.35;-0.1;-0.76;g3992;0.03;1.23;0.22;-0.61;g3992;0.5;1.43;1.13;-0.23;g3992;1.19;1.01;0.74;0.57;g3992;1.06;-0.25;0.17;0.73;g3992;0.33;-1.09;-0.15;0.73;g3992;-0.65;-1.54;-0.32;0.47;g3992;-0.78;-0.71;-0.11;0.29
g4011;0.33;0.49;0.39;-0.3;g4011;-0.04;0.6;0.15;0.07;g4011;0.49;0.22;0.04;-0.07;g4011;0.07;-0.27;0.24;0.7;g4011;-0.32;-0.31;0.01;0.36;g4011;-0.38;-0.79;-0.5;0.24;g4011;0.18;-0.25;0.3;0.34;g4011;-0.25;0.17;-0.06;-0.03
g4023;0.07;-0.32;0.03;0.48;g4023;-0.11;0.33;-0.1;0.37;g4023;0.03;-0.72;0.07;0.36;g4023;0.22;-0.45;-0.28;-0.19;g4023;-0.08;0.45;0.21;0.07;g4023;-0.03;-0.36;0;0.26;g4023;0.25;-0.59;0;-0.25;g4023;-0.05;0.22;0.19;-0.29
