;t7;t7;t7;t7;;t8;t8;t8;t8;;t9;t9;t9;t9;;t10;t10;t10;t10;;t11;t11;t11;t11;;t13;t13;t13;t13;;
;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;
g1487;-0.12;-0.15;-0.36;0.18;g1487;-0.14;-0.37;-0.14;0.02;g1487;-0.23;0.54;-0.23;-0.05;g1487;-0.26;-0.14;0.29;0.06;g1487;0.1;0.6;0.29;0.14;g1487;-0.15;0.19;0.03;0.12
g1491;-0.1;0.2;-0.14;0.23;g1491;0.24;-0.13;-0.03;0.09;g1491;-0.23;0.51;0.11;-0.16;g1491;1.1;-0.17;0.5;0.02;g1491;-0.13;0.38;0.24;0.2;g1491;-0.54;-0.04;0.26;0.08
g1517;-0.14;-0.12;-0.36;0.06;g1517;0.03;0.38;-0.24;0.12;g1517;-0.03;0.11;0.53;0.13;g1517;-0.07;0.29;0.22;0.16;g1517;-0.14;0.16;0.15;0.33;g1517;-0.32;-0.31;0;0.06
g1522;0;-0.02;0.05;-0.09;g1522;0.05;-0.17;0.04;-0.19;g1522;0.27;-0.17;-0.1;-0.06;g1522;-0.08;-0.01;0.1;0.37;g1522;0.06;-0.58;0.09;-0.71;g1522;-0.11;0.02;0.11;-0.12
g1574;0.27;-0.49;0.34;0.12;g1574;0.16;0.1;-0.26;0.24;g1574;0.31;-0.35;-0.14;0.19;g1574;-0.03;-0.38;-0.61;0.18;g1574;-0.09;-0.27;-0.26;-0.03;g1574;-0.13;-0.25;-0.02;0.18
g1577;0.05;0.18;-0.71;0.02;g1577;0.41;0.37;-0.33;0.09;g1577;-0.19;-0.06;1.14;0.07;g1577;0.31;0.44;0.25;-0.12;g1577;-0.15;0;-0.02;0.16;g1577;0;-0.09;0.2;-0.09
g1582;-0.07;0.15;0.32;-0.02;g1582;0.02;-0.02;0.19;0.21;g1582;-0.02;0.11;0.43;0.02;g1582;-0.12;-0.51;0.28;0.16;g1582;-0.09;0.27;-0.15;0.21;g1582;-0.28;-0.29;0;0.45
g1600;0.24;0.03;0.23;0.02;g1600;0.18;0.16;0.19;-0.09;g1600;0.35;0;-0.32;-0.14;g1600;0.23;-0.11;-0.1;0.34;g1600;0.05;0.09;0;-0.34;g1600;-0.02;0.12;0.42;-0.06
g1622;0;0.18;0.14;0;g1622;0;0.12;-0.08;0;g1622;0;1.16;-0.33;0;g1622;0;0.88;0.19;0;g1622;0;0.82;0.24;0;g1622;0;0.52;-0.4;0
g2104;0.16;0.31;-0.14;-0.23;g2104;0.07;-0.32;0.24;-0.09;g2104;0.05;0.3;-0.14;-0.09;g2104;0.03;-0.08;-0.14;0.11;g2104;0.2;0.03;0.13;-0.14;g2104;-0.03;0.19;0.24;0.05
g2110;0.23;0.1;0.01;-0.04;g2110;0.12;0.25;0.25;-0.55;g2110;-0.24;-0.14;-0.27;-0.06;g2110;-0.03;-0.35;0.09;0.05;g2110;-0.09;0.05;0.04;-0.78;g2110;-0.12;0.03;-0.03;-0.14
g2349;0.27;0.27;0.13;-0.11;g2349;0.15;-0.51;0.39;-0.18;g2349;-0.26;0.34;0.5;-0.32;g2349;0.46;-0.27;0.16;-0.11;g2349;0.03;-0.12;0.06;0.12;g2349;-0.04;0.21;-0.14;-0.09
g2364;0.07;0.28;0.46;-0.08;g2364;0.4;-1.37;0.15;-0.06;g2364;0.12;0.31;-0.16;0.36;g2364;0.1;-0.7;-0.35;0.04;g2364;0.09;-0.19;-0.35;-0.4;g2364;0.18;-0.02;0.05;0.03
g2383;0.16;0.02;-0.05;-0.1;g2383;-0.04;0.39;-0.03;-0.18;g2383;-0.23;-0.58;0.08;-0.32;g2383;-0.04;0.06;-0.06;-0.04;g2383;-0.27;0.04;0.85;-0.72;g2383;0.11;-0.34;0.18;-0.37
g2389;-0.21;0.14;0.38;-0.06;g2389;0.08;0.09;0.12;-0.04;g2389;-0.16;0.01;-0.17;0.11;g2389;0.89;-0.34;-0.12;-0.15;g2389;0.04;-0.17;-0.19;0.24;g2389;-0.03;-0.01;0;0
g2413;-0.09;-0.18;-0.34;0.06;g2413;-0.11;-0.23;0.26;0.47;g2413;-0.01;0.32;0.27;0.08;g2413;-0.19;-0.3;0.24;-0.28;g2413;-0.11;-0.03;0.27;0.86;g2413;-0.15;0.18;0.5;0.2
g2510;-0.04;-0.37;0;-0.21;g2510;-0.02;2.84;0.25;0.1;g2510;0.06;-0.5;-1.33;-0.17;g2510;-0.19;0.03;-1.33;0.05;g2510;-0.08;0;0;-0.01;g2510;0;-0.83;0.48;0.17
g2513;-0.1;-0.41;-0.34;0.06;g2513;0.01;-0.16;-0.19;-0.04;g2513;-0.24;-0.08;0.36;-0.17;g2513;0.03;0.04;-0.13;-0.12;g2513;-0.1;-0.01;-0.14;-0.01;g2513;-0.13;-0.37;-0.07;-0.1
g2539;0.22;0.04;-0.18;0.51;g2539;0.13;0.1;0;0.7;g2539;-0.02;-0.04;-0.22;0.25;g2539;-0.3;-0.11;-0.22;0.23;g2539;-0.26;0.1;-0.18;0.63;g2539;0.01;0.26;-0.07;0.09
g2564;-0.62;-0.08;0.49;0.48;g2564;-0.23;0.17;-0.08;0.16;g2564;0.39;1.31;-0.02;0.51;g2564;0.88;1.15;0.2;-0.27;g2564;1.02;0.88;-0.04;-0.05;g2564;-0.13;0.26;0.09;0.41
g2583;-0.26;-0.13;-0.01;-0.05;g2583;-0.22;-0.12;0.11;0.46;g2583;-0.17;-0.29;0.37;0.07;g2583;-0.02;-0.15;0.7;-0.18;g2583;-0.03;-0.04;0.41;0.7;g2583;-0.26;0.18;-0.07;0.36
g2621;0.12;0.52;0.09;-0.07;g2621;-0.1;0.55;0.1;-0.06;g2621;-0.28;0.29;0.49;-0.1;g2621;0.11;0.06;0.39;0.03;g2621;-0.13;0.11;0.04;0.02;g2621;-0.18;0.34;0;-0.26
g2686;0.06;0.41;0.45;0.17;g2686;0;0.08;0.23;0.24;g2686;0.15;0.36;-0.19;0.11;g2686;-0.14;-0.34;0.13;-0.05;g2686;-0.17;0.14;-0.12;0.04;g2686;-0.21;0.02;-0.17;0.3
g2689;0.23;0;0.22;0.17;g2689;0.07;0;0.23;0.09;g2689;-0.19;-0.05;-0.4;0.01;g2689;0.18;0;-0.21;0.28;g2689;0.13;0.23;0.14;0.04;g2689;0.05;0.35;0.22;0.11
g2720;0.27;0.12;-0.56;-0.05;g2720;0.2;-0.18;0.4;-0.22;g2720;-0.3;0.25;0.12;-0.15;g2720;0.44;0.19;0.5;0.14;g2720;0;0.38;0.37;0.05;g2720;-0.08;0.13;0;0.02
g2736;0.18;0.49;0.25;0.29;g2736;0.34;0.3;0.27;0.04;g2736;-0.06;0.27;-0.11;0.04;g2736;0.28;-0.13;0.21;0.12;g2736;-0.06;0.1;-0.05;0.1;g2736;-0.09;-0.07;0;-0.06
g2742;0.26;0.23;0.23;0.13;g2742;0.2;-0.51;0.26;-0.36;g2742;-0.04;0.07;-0.87;0.23;g2742;-0.12;-0.28;-0.5;-0.02;g2742;0.07;-0.04;-0.15;-0.84;g2742;-0.05;0.13;-0.02;-0.15
g2757;-0.17;0.18;0.03;0.16;g2757;-0.11;-0.06;-0.05;-0.14;g2757;-0.06;-0.24;-0.15;0.13;g2757;-0.16;0.57;-0.07;-0.25;g2757;0.14;0;-0.28;-0.08;g2757;-0.16;0;-0.1;0
g2766;0.09;-0.1;-0.18;0.02;g2766;0.24;0;-0.39;-0.18;g2766;-0.26;0.04;0.82;-0.11;g2766;0.16;0;0.01;0.12;g2766;-0.19;-0.05;0;-0.1;g2766;-0.14;0.15;0;-0.07
g2991;0.17;-0.14;-0.56;-0.26;g2991;-0.1;0.57;0.15;-0.28;g2991;-0.29;-0.45;0.63;-0.26;g2991;0.39;0.02;0.07;-0.21;g2991;0;0.08;0.38;-0.58;g2991;0;-0.06;-0.11;0.45
g3006;-0.36;-0.03;0.04;0.08;g3006;-0.2;0.14;-0.13;-0.14;g3006;-0.23;0.1;0.1;-0.38;g3006;0.28;0;0.09;-0.2;g3006;0.08;0.32;-0.05;0.19;g3006;-0.04;0.34;0;-0.05
g3013;-0.04;-0.72;-0.36;0.01;g3013;0.06;0.29;0.21;-0.06;g3013;0.23;-0.44;0.12;-0.26;g3013;0.07;0.38;0.02;0.05;g3013;0.04;-0.16;0.06;0.01;g3013;-0.26;-0.63;-0.02;0.03
g3022;0.08;0.01;0.08;-0.26;g3022;-0.19;-0.29;0.09;-0.18;g3022;-0.12;-0.55;-0.52;-0.2;g3022;-0.33;-0.33;-0.26;0.04;g3022;-0.13;0.39;-0.14;-0.18;g3022;-0.05;-0.03;0;-0.22
g3031;-0.24;-0.12;-0.55;-0.29;g3031;-0.42;0.44;-0.02;-0.33;g3031;0.04;-0.08;-0.29;-0.33;g3031;-0.34;-0.01;0.33;0.02;g3031;0.07;-0.13;0.05;-0.29;g3031;-0.1;0.11;0.32;-0.08
g3077;-0.04;-0.04;-0.41;0.03;g3077;0.19;-0.04;0.28;0.29;g3077;0.11;0.07;0.37;0.23;g3077;0.04;-0.07;0.18;-0.11;g3077;-0.1;0.15;0.4;0.29;g3077;0.08;0.12;-0.1;0.18
g3095;-0.13;0.5;0.08;0.35;g3095;0.03;-0.14;0.06;0.8;g3095;-0.03;-0.09;0.06;0.83;g3095;-0.15;-0.45;0.3;0.23;g3095;0.12;0.2;0.01;0.38;g3095;-0.18;0.34;0;0.07
g3135;0.11;-0.17;-0.19;-0.08;g3135;0.22;-0.34;0.01;-0.2;g3135;0.28;-0.2;-0.13;-0.22;g3135;-0.01;0.32;-0.5;-0.01;g3135;-0.13;0.13;-0.09;-0.44;g3135;-0.44;0.68;0.11;-0.09
g3158;0.02;0.01;-0.12;0.21;g3158;0.23;0.49;0.25;0.45;g3158;-0.22;0.15;0.54;0.1;g3158;0.2;0.28;-0.29;0.21;g3158;-0.23;0.41;0.41;0.6;g3158;-0.1;0.02;0;0.37
g3162;0.27;0.05;-0.26;0.06;g3162;-0.04;0.42;0.45;-0.46;g3162;-0.22;-0.63;0.43;-0.41;g3162;-0.22;-0.23;-0.36;0.09;g3162;-0.08;-0.48;0.17;-0.48;g3162;-0.39;-0.63;-0.08;-0.26
g3180;0.08;0.28;0.63;-0.05;g3180;-0.11;-0.83;0.44;-0.25;g3180;-0.11;0.36;-0.42;-0.32;g3180;-0.03;-0.08;-0.57;-0.19;g3180;0.03;0.15;0.04;-0.07;g3180;-0.11;0.36;0;-0.16
g3223;0.08;0.23;0.11;0.13;g3223;-0.01;-0.5;0.18;-0.25;g3223;0.25;0.44;0.13;0.01;g3223;-0.01;-0.27;0.11;0.41;g3223;0.03;0.52;0.17;-0.32;g3223;-0.16;0.09;0;-0.18
g3235;0.21;0.18;-0.02;-0.07;g3235;0.02;0.09;-0.02;0.19;g3235;-0.15;0.15;0;0.12;g3235;-0.22;0.18;0;0.07;g3235;-0.01;0.49;0.21;-0.05;g3235;-0.18;-0.54;-0.11;0.75
g3317;0.01;-0.19;0.55;0.37;g3317;0.05;0.14;-0.12;0.21;g3317;0.25;-0.02;0.41;0.13;g3317;0.05;-0.14;0.26;0.07;g3317;-0.03;-0.08;0;0.09;g3317;-0.39;-0.05;0;0.11
g3327;0.05;-0.16;-0.66;-0.16;g3327;0.18;0.03;0.34;-0.39;g3327;0.22;-0.6;0.2;-0.35;g3327;0.05;-0.21;-0.05;0.35;g3327;0.16;0.05;0.1;-0.24;g3327;-0.41;0.09;0.14;0
g3393;0;-0.25;-0.07;-0.26;g3393;-0.03;2.67;0.24;-0.08;g3393;-0.26;-0.5;0.36;-0.24;g3393;-0.07;-0.12;0.19;-0.06;g3393;-0.31;-0.22;-0.05;-0.38;g3393;-0.29;-0.14;-0.54;0.15
g3453;-0.17;-0.14;0.04;-0.04;g3453;-0.24;-0.81;0.22;0.16;g3453;-0.11;-0.17;-0.35;-0.06;g3453;0.91;-0.47;-0.26;-0.24;g3453;-0.22;0.5;0.31;0.21;g3453;-0.05;0.1;0.63;0.19
g3476;-0.28;0.16;-0.43;0.44;g3476;-0.12;-0.52;0.15;0.15;g3476;0.03;0.08;-0.28;0.5;g3476;-0.12;0.24;-0.93;0.36;g3476;0.12;0.19;0.45;-0.07;g3476;-0.07;0.31;0.06;-0.04
g3506;0.07;-0.07;0.15;-0.18;g3506;-0.16;0.28;0.48;0.09;g3506;-0.08;-0.04;-0.09;-0.12;g3506;-0.35;-0.02;-0.38;0.08;g3506;0.03;0;0.11;0.08;g3506;-0.39;-0.92;-0.74;0.01
g3507;-0.44;-0.97;-2.13;-0.15;g3507;-0.59;-0.95;-0.63;0.22;g3507;-0.42;0.12;0.35;-0.61;g3507;-0.03;-0.37;0.88;-0.5;g3507;0.14;0.82;0.88;0.4;g3507;-0.08;0.42;0.55;0.52
g3586;-0.71;-0.6;-0.63;-0.11;g3586;-0.47;-0.21;-0.03;0.36;g3586;-0.35;-0.24;0.21;0.39;g3586;0.09;-0.18;-0.33;0.01;g3586;0.53;-0.21;0.34;0.59;g3586;0.41;-0.13;0;0.21
g3587;0.34;0.36;-0.05;0.21;g3587;0.31;0.13;0.4;-0.21;g3587;-0.01;-0.28;0.32;-0.15;g3587;0.29;-0.44;-0.48;-0.13;g3587;-0.26;-0.46;0.1;-0.49;g3587;-0.11;0.13;0.46;-0.13
g3588;0.14;0.03;-0.32;0.04;g3588;0.26;0.15;0;0.03;g3588;0.1;-0.46;0.26;0.07;g3588;-0.04;0.35;-0.31;0.04;g3588;-0.17;-0.43;-0.37;0.07;g3588;-0.17;0.43;0;0.04
g3604;0.08;0.35;0.49;-0.15;g3604;-0.04;-0.03;0.08;0.04;g3604;-0.07;-0.06;-0.73;-0.13;g3604;-0.29;-0.25;-0.53;0.22;g3604;-0.35;0.1;-0.13;-0.57;g3604;-0.44;0.76;0.18;-0.19
g3659;0.18;0.27;0.24;-0.02;g3659;0.16;0.38;-0.03;-0.48;g3659;-0.02;-0.08;0.12;-0.32;g3659;0.01;0.04;0.3;0.11;g3659;-0.15;-0.03;-0.19;0.02;g3659;-0.22;-0.05;-0.38;-0.01
g3705;0.14;-0.51;-0.65;-0.14;g3705;-0.09;0.12;-0.47;0.13;g3705;-0.41;-0.43;-1.6;-0.47;g3705;-0.07;0.1;-0.08;-0.41;g3705;-0.27;0.16;0.37;0.43;g3705;-0.35;0.87;-0.05;0.26
g3737;-0.3;-0.49;-0.44;0.39;g3737;-0.11;-0.42;-0.1;0.15;g3737;-0.23;0.27;0.69;0.13;g3737;0.3;0.19;0.79;0.15;g3737;0.51;0.83;0.92;-0.01;g3737;-0.07;0.73;-0.22;0.15
g3767;0.47;0.17;0.45;0.05;g3767;0.49;-0.12;0.06;0.16;g3767;0.05;-0.47;-0.88;0;g3767;-0.16;-0.79;-0.73;0.33;g3767;-0.56;-0.66;-0.46;-0.32;g3767;0.22;0.19;0.54;-0.28
g3782;0.24;-0.11;-0.24;0.06;g3782;0;0.34;-0.38;-0.16;g3782;0.36;-1.17;-0.62;-0.43;g3782;-0.22;0.08;-0.76;0.1;g3782;-0.08;-0.52;-0.93;-0.25;g3782;0;0;-0.04;-0.23
