;t0;t0;t0;t0;t0;t0;;t1;t1;t1;t1;t1;t1;;t2;t2;t2;t2;t2;t2;;t3;t3;t3;t3;t3;t3;;
;c0;c1;c2;c5;c7;c9;;c0;c1;c2;c5;c7;c9;;c0;c1;c2;c5;c7;c9;;c0;c1;c2;c5;c7;c9;;
g134;49.25;12047.46;7942.5;45145.56;9112.5;23692.81;g134;35136.61;34639.27;34639.27;41132.83;34639.27;34639.27;g134;25152.06;34639.27;34639.27;17014.17;34639.27;34639.27;g134;16166.74;34639.27;34639.27;23151.23;34639.27;34639.27
g140;2796.95;41624.02;25788.45;0;37305.93;13316.27;g140;40740.84;33666.49;8340.67;6710.8;24163.89;25288.64;g140;42860.79;16466.35;45229.28;7234.85;13147.07;12861.68;g140;31294.41;33666.49;36850.34;50000;372.77;404.52
g144;9083.39;10130.62;49802.8;5058.86;30941.45;277.85;g144;34069.39;10990.27;7327.15;7717.76;12190.88;2751.99;g144;46938.01;40748.23;7327.15;7717.76;12190.88;43080;g144;40354.51;20404.6;7327.15;7717.76;12190.88;47586.89
g145;11874.39;34102.13;26329.11;41668.85;35392.73;0;g145;16540.88;37231.19;21432.85;41367.57;21432.85;19628.38;g145;634.62;47332.16;23544.1;5943.83;38328.65;5119.24;g145;41077.32;25539;21432.85;28656.55;21432.85;32016.1
g147;22768.82;6037.39;27409.55;3493.97;18218.25;25172.1;g147;44002.03;24545.49;0;21443.93;7743.13;21467.62;g147;22768.82;37153.47;7596.68;11545.52;35606.47;25172.1;g147;9021.37;34663.03;19020.14;22396.03;40958.9;7951.92
g149;10759.99;10759.99;43539.47;30469.54;0.79;10759.99;g149;9424;9424;19639.73;24602.04;20879.67;9424;g149;19713.18;40801.68;34186.96;28033.94;36537.24;40801.68;g149;30964.73;30964.73;21661.63;23818.27;43749.41;30964.73
g152;26120.71;18627.14;31828.76;35006.65;25694.82;21807.75;g152;25405.57;27743.19;27743.19;22188.21;43412.44;48927.72;g152;19423.07;18988.74;16116.6;36178.81;37058.36;716.57;g152;46181.25;27743.19;27743.19;6304.76;34931.09;13009.32
g155;37469.77;8087.65;8087.65;14653.52;8087.65;34716.47;g155;36016.12;12921.02;7803.38;26582.16;38427.76;48725.39;g155;0;10649.27;13002.51;10649.27;10649.27;44759.04;g155;33510.69;30788.89;30788.89;30788.89;30788.89;49604.19
g157;43838.56;4616.46;499.67;36906.85;15521.52;35520.05;g157;42137.43;27956.86;2842.92;8601.39;19990;29873.14;g157;24238.73;37003.28;1091.4;1091.4;1091.4;4113.92;g157;26300.54;46961.95;27782.18;27782.18;27782.18;47264.93
g159;20334.21;20334.21;25165.29;43486.52;43409.26;20334.21;g159;4967.01;4967.01;42047.73;38518.19;37672.93;4967.01;g159;13717.04;30390.96;18562.53;28189.96;34337.75;42147.38;g159;12966.76;12966.76;46712.29;37917.78;35997.44;12966.76
g162;48283.88;13866.2;18727.68;49410.97;24574.82;16638.37;g162;19170.29;46384.86;21268.82;43882.8;17109.87;35624.7;g162;48283.88;17881.44;0;49410.97;12535.77;16638.37;g162;23382.72;14549.89;25621.03;26797.1;42732.94;44639.34
g164;33657.43;27230.39;23566.63;5742.44;28951.39;49939.17;g164;9066.12;1214.5;31805.22;31805.22;9876.4;31805.22;g164;10455.82;19874;31805.22;31805.22;33649.34;31805.22;g164;46843.93;45113.94;15558.62;16732.95;9677.92;17433.44
g167;43229.71;12085.55;43229.71;47486.35;43229.71;43229.71;g167;0;17589.67;36906.37;25697.52;11096.18;0;g167;34938.9;39402.12;34938.9;49934.9;34938.9;33142.04;g167;8965.49;22501.16;13043.6;14066.87;5242.9;5102.98
g168;12822.65;10016.05;43770.89;10934.89;38190.1;13252.09;g168;17892.68;46420.54;43770.89;10934.89;10693.53;11847.02;g168;16225.7;15877.84;5075.04;26110.28;15695.78;20834.25;g168;48273.17;34164.34;22140.73;29846.44;42619.68;15817.2
g171;29329.42;25627.78;41884.16;13101.33;7724.22;34176.87;g171;7934.35;27743.19;27743.19;23846.7;0;5596.7;g171;17981.96;39672.34;24338.68;47078.84;17521.79;49979.03;g171;35252.04;27743.19;29293.31;15649.36;30123.74;9102.51
g174;9719.55;32408.84;2465.23;36803.46;30374.32;15622.49;g174;46327.02;39566.15;9471.26;0;29900.67;4537.4;g174;6018.38;38645.6;12747.39;12747.39;31290.94;0;g174;31404.02;10777.26;46932.3;29937.99;5667.31;10612.53
g175;43345.5;70.78;43345.5;34491.92;44401.49;43345.5;g175;44550.91;5552.39;5552.39;7078.49;5552.39;5822.94;g175;46726.46;39592;46726.46;23344.85;46726.46;46726.46;g175;11966.4;14344.88;12602.86;16044.95;48727.89;40152.5
g180;41721.25;154.4;36168.05;4717.05;33283.74;3433.58;g180;16128.78;19828.91;19828.91;45855.6;19828.91;31627.91;g180;37894.83;4104.29;36168.05;4717.05;21772.27;41182.19;g180;22382.22;30338.7;36168.05;4717.05;14248.96;8088.92
g182;41213.83;41268.71;35137.32;0;24068.94;39755.71;g182;1330.39;30938.14;26500.92;1083.77;22657.34;40745.82;g182;15444.92;7771.07;40515.71;26119.3;11944.34;31470.78;g182;41213.83;46272.25;35137.32;15475.43;24068.94;39755.71
g189;49483.78;33943.19;31363.08;47828.42;12854.24;12397.87;g189;13556.26;31394.2;30011.42;11523.13;38556.9;22774.03;g189;35020.73;31394.2;48993.91;11523.13;20338.87;29838.68;g189;50000;50000;17475.94;21623.68;15484.95;1272.56
g190;15909.6;4433.46;26561.4;0;8238.43;41897.38;g190;41107.06;41107.06;41107.06;43389.37;46320.17;23732.88;g190;1748.83;294.46;294.46;294.46;44785.49;25543.32;g190;22565.61;20360.3;44665.22;23838.26;43674.82;9697.28
g191;48374.43;24627.66;1056.59;4539.2;44157.88;7201.8;g191;48374.43;24627.66;26980.03;25581.34;44157.88;11228.83;g191;48374.43;24627.66;15437.14;15437.14;44157.88;15437.14;g191;25835.56;30200.18;21217.76;4417.83;15975.86;24238.33
g192;49.25;43040.73;15442.15;45877.23;35260.13;6072.19;g192;35136.61;37907.93;23844.41;41132.83;43476.67;602;g192;8314.46;46352.77;16835.36;4479.52;316.34;11032.59;g192;16166.74;22603.91;43719.17;23151.23;9172.53;19081.18
g195;41213.83;28165.59;35137.32;27830.17;24068.94;39755.71;g195;36033.23;25680.04;29387.31;9735.06;19431.26;34120.15;g195;45828.95;26691.93;46302.29;34022.55;48159.57;4361.46;g195;41213.83;15132.69;35137.32;40845.37;24068.94;39755.71
g202;10271.31;24172.97;42367.82;15897.1;14244.38;35128.4;g202;39429.04;16513.95;10421.92;10993.14;13681.02;27798.4;g202;13017.48;23141.8;26658.53;20369.03;20369.03;20369.03;g202;30852.88;15599.2;32267.74;20369.03;20369.03;20369.03
g205;13471.34;21007.62;36064.32;6264.3;25887;11516.4;g205;16976.43;16040.8;16040.8;16040.8;16040.8;11499.03;g205;4575.43;16040.8;16040.8;16040.8;16040.8;24193.35;g205;27244.52;16040.8;16040.8;16040.8;16040.8;3681.66
g208;3561.51;47354.7;16863.52;19846.3;4246.85;43436.52;g208;43282.03;24425.06;16463.5;9684.78;47782.43;9657.55;g208;4099.6;32346.3;20246.58;20246.58;20246.58;5065.03;g208;22375.32;26597.8;10031.25;18637.86;10031.25;35519.69
g209;39591.06;21152.67;263.55;28697.2;20247.7;49960.58;g209;49251.52;39964;263.55;28697.2;10618.29;47604.31;g209;6263.37;33808.83;0;8359.42;15060.1;12143.73;g209;2429.65;17406.69;1354.57;3892.13;807.7;27454.09
g210;12237.05;36436.68;9399.33;10740.38;29002.05;18953.33;g210;49533.78;41945.38;20108.21;7262.47;11937.35;39129.84;g210;34165.64;29341.53;32875.56;26126.37;33716.07;46476.92;g210;4152.65;8198.07;19523.53;15559.67;28562.18;12733.86
g216;27602.11;21635.41;45891.45;17002.69;1535.47;9580.26;g216;1277.62;5160.44;31805.22;31805.22;28853.04;33916.1;g216;34448.37;23111.95;31805.22;31805.22;7177.89;30815.78;g216;45773.81;21149.99;18034.82;4650.47;42971.47;18043.8
g217;2470.55;22081.67;3074.37;49380.83;19142.73;44072.15;g217;13317.83;22081.67;4069.73;21669.29;16103.28;4189.71;g217;47433.05;22081.67;3074.37;3447.6;31891.01;14847.18;g217;38818.3;25223.05;3841.52;15912.9;34333.6;45773.8
g221;36749.85;0;43625.06;35714.45;34051.88;13446.22;g221;50000;11843.77;17017.49;17017.49;24893.53;49019.78;g221;47340.84;7708.14;17017.49;17017.49;48458.92;0;g221;0;13089.53;10308.08;26781.23;14784.27;25226.44
g222;36408.31;12585.29;32356.35;10740.38;11377.83;35100.78;g222;49653.72;39147.86;39147.86;42402.4;39147.86;39147.86;g222;26767.79;39147.86;39147.86;42729.77;39147.86;39147.86;g222;18110.25;13370.19;39147.86;15662.2;39147.86;39147.86
g223;16840.11;13921.85;43483.3;23419.55;39014.87;6606.8;g223;37141.14;25375.43;25375.43;25375.43;16946.99;34965.73;g223;34398.04;22839.43;14938.28;27440.19;37663.72;48419.79;g223;40183.92;48700.44;48700.44;48700.44;10460.09;7993.68
g224;50000;19867.7;5590.08;5786.52;19326.25;37696.36;g224;47730.5;35982.09;37146.53;37162.25;37146.53;7854.48;g224;25675.17;37839.69;7757.94;26478.56;15136.18;23288.45;g224;14245.51;4579.34;37146.53;29525.94;37146.53;16757.16
g226;43305.28;32373.65;32373.65;5739.53;32373.65;36647.36;g226;35547.25;0;21050.84;22263.96;67.57;67.57;g226;22707.16;39389.73;16537.13;32651.08;10686.07;10686.07;g226;27209.03;41839.74;8144.14;36762.3;38017.31;38017.31
g227;49763.85;25293.37;8588.47;39583.19;11221.28;18485.18;g227;28667.16;14082.3;22010.78;25570.19;44080.89;32454.96;g227;47894.62;25959.72;2141.3;49879.94;40506.79;6252.84;g227;14961.8;4283.13;17407.38;7119.63;3496.98;20389.23
g230;7811.67;48266.13;23986.61;45490.32;10402.42;29301.94;g230;46928.8;27743.19;27743.19;15645.48;23889.15;23616.86;g230;7811.67;42238.01;1265.21;45490.32;10402.42;13610.28;g230;43819.78;27743.19;27743.19;36979.89;9790.28;15740.74
g231;6850.09;23416.18;49735.6;4993.71;1078.17;11817.97;g231;25682;25682;46765.81;8784.4;26978.09;24838.21;g231;38253.56;27089.28;37412.86;2484.11;0;38139.03;g231;25682;25682;37656.21;24948.41;38918.26;25682
g235;9619.98;35507.43;40608.27;44657.23;28462.37;21800.62;g235;28076.11;48913.3;1256.8;32148.46;33714.21;13540.83;g235;14102.66;42067.11;38793.89;35998.67;21095.53;48038.2;g235;38921.05;12285.56;0;101.18;36243.4;49374.72
g236;35594.54;3883.29;35594.54;11281.44;17510.49;37463.98;g236;14503.54;31394.2;15491.84;11523.13;27250.82;47645.24;g236;11911.44;31394.2;33132.77;11523.13;40898.4;33828.85;g236;35594.54;45084.22;30791.5;11575.05;40996.1;35594.54
g237;26212.8;29896.41;35957.78;48430.76;7859.12;12620.38;g237;24280.25;16680.66;31805.22;31805.22;34917.93;31805.22;g237;39132.04;0;31805.22;31805.22;14026.88;31805.22;g237;738.91;30851.4;23514.01;5563.31;15344.38;33625.68
g239;3151.65;37092.02;36513.51;10740.38;39137.5;17140.58;g239;44375;15858.19;9252.44;38434.56;49231.8;0;g239;33446.56;8932.64;29728.74;49053.05;30454.2;0;g239;0;176.7;40562.9;16278.1;12212.41;20622.66
g245;2225.1;37228.24;3391.46;33304.15;50000;2225.1;g245;1191.66;39969.22;11094.66;40588.45;39969.22;2479.53;g245;19156.53;48395.01;35485.01;28052.99;28052.99;19156.53;g245;23743.31;32710.08;39316.4;10327.64;37922.56;28930.89
g248;45700.95;26734.7;8588.47;40523.51;11221.28;18485.18;g248;36315.69;14082.3;22010.78;42351.46;44080.89;32454.96;g248;50000;31498.15;15861.57;13268.59;14165.86;10458.24;g248;42140.24;8616.04;27049.32;40258.07;15135.7;9005.43
g259;41213.83;41959.28;35137.32;31709.5;24068.94;39755.71;g259;20060.56;4518.29;0;32978.88;18970.63;32112.79;g259;18438.32;36060.71;48291.39;7177.06;12238.92;36658.98;g259;41213.83;16794.86;35137.32;29936.21;24068.94;39755.71
g260;34629.95;44656.44;34629.95;33905.26;34629.95;33834.75;g260;50000;16064.86;35769.89;11942.75;36794.69;14259.1;g260;49978.3;32295.58;15437.14;15437.14;46676.46;15437.14;g260;34629.95;46660.52;34629.95;23520.07;34629.95;13871.01
g263;21612.87;20814.79;4351.65;44056.41;25058.61;34905.26;g263;28179.51;26852.8;16237.61;35345.98;17796.61;15641.72;g263;21707.78;40801.68;34230.21;0;27418.39;40801.68;g263;24638.93;45550.64;24960.02;6415.26;14001.18;16762.04
