;t0;t0;t0;t0;t0;;t1;t1;t1;t1;t1;;t2;t2;t2;t2;t2;;t3;t3;t3;t3;t3;;
;c1;c2;c3;c4;c8;;c1;c2;c3;c4;c8;;c1;c2;c3;c4;c8;;c1;c2;c3;c4;c8;;
g56;33273.76;38686.68;32560.09;18257.74;44206.49;g56;25375.43;25375.43;25375.43;40543.03;322.59;g56;38073.23;30893.29;22278.41;40436.63;13185.12;g56;48700.44;47887.16;48700.44;48700.44;30516.46
g57;5165.06;30590.13;45194.6;3727.25;29778.64;g57;27905.3;12847.45;28832.57;13253.7;18241.79;g57;26168.74;26168.74;47375.57;26168.74;26168.74;g57;26020.93;6477.85;45522.72;705.35;12775.21
g60;26580.23;19183.38;14355.87;28441.62;31646.49;g60;41383.71;31805.22;31805.22;40273.76;23800.27;g60;30267.43;31805.22;31805.22;10367.38;7517.43;g60;6014.22;27435.45;19775.43;43192.45;4159.2
g61;7181.44;35923.65;1997.37;43886.74;33003.8;g61;29150.84;34479.07;26330.11;46859.49;48639.2;g61;44540.98;38282.16;4127.09;15366.69;44456.34;g61;12247.75;46616.26;39635.1;4305.34;9766.86
g62;2921.29;48004.14;31244.66;5683.96;40484.61;g62;44373.2;41366.74;13510.25;33085.63;49189.49;g62;13857.45;44323.56;13871.23;49272.17;19545.3;g62;18173.73;3661.02;44867.85;1371.95;18879.5
g64;44791.24;26001.79;27271.81;29042.86;26333.14;g64;42983.75;32540.62;27877.14;34532.01;541.54;g64;26168.74;26168.74;41755.78;26168.74;26168.74;g64;18981.38;42784.22;20327.52;22505.76;44488.6
g66;22495.52;16798.63;6816.4;8128.34;11794.97;g66;31519.51;17168.66;30267.64;45288.41;23381.92;g66;31324.85;38282.16;4127.09;50000;44456.34;g66;8190.73;46616.26;39635.1;14363.39;7597.02
g68;49599.5;22965.48;824.12;7230.62;7230.62;g68;22291.26;41349.37;24217.27;31482.33;14199.28;g68;31128.44;6747.93;14995.82;16009.64;47543.71;g68;44698.92;33636.76;12690.73;7230.62;7230.62
g70;48758.65;41713.39;20872.03;8371.1;29222.47;g70;33666.49;12185.56;33666.49;33666.49;33666.49;g70;47787.73;29844.66;8762.36;4940.3;22048.7;g70;33666.49;0;33666.49;33666.49;33666.49
g75;28342.34;44841.93;38212.51;9060.71;26175.78;g75;41166.98;38332.71;49490.17;42650.16;41642.84;g75;38867.08;44841.93;38212.51;18510.2;26175.78;g75;20885.1;44841.93;38212.51;33657.35;26175.78
g76;43630.56;37433.24;42554.76;26089.66;26510.58;g76;41942.61;17854.92;11139.84;27689.85;27689.85;g76;10716.41;427.09;25787.46;2532.34;22952.67;g76;15866.29;22237.26;7778.72;37518.79;19037.22
g83;35970.22;43954.76;9069.75;38807.09;25269.46;g83;38855.82;20805.58;4677.71;13063.76;13211.48;g83;10462.46;20805.58;4677.71;9967.36;13211.48;g83;27832.47;20805.58;4677.71;0;13211.48
g84;19024.99;32088.73;6780.58;905.24;29479.58;g84;25357.92;37477.48;43052.87;27975.06;4450.89;g84;48698.24;19703.26;19876.93;50000;24260.14;g84;14802.47;14007.31;39411.68;38741.74;33701.71
g90;46479.74;36007.2;6205.38;16006.77;28456.42;g90;35574.52;17818.9;47476.45;47476.45;38156.98;g90;5831.33;10251.26;39317.61;41466.03;49176.36;g90;32520.67;40216.59;43321.74;49264.29;36813.2
g91;23174.54;49142.12;28686.64;38683.56;49790.59;g91;12516.91;0;27369.04;32302.76;266.84;g91;42572.64;17936.39;9261.53;30399.63;266.84;g91;3350.28;32623.44;20873.69;29302.83;266.84
g93;43543.49;29099.5;33694.73;29216.96;29099.5;g93;28203.29;1134.64;40122.87;1478.58;33183.04;g93;7537.86;25002.31;34204.83;18459.17;6032.57;g93;47522.2;29099.5;0;19546.8;29099.5
g94;45844.57;12348.6;21120.01;20784.84;11737.89;g94;5495.49;0;33613.51;39682.59;7626.29;g94;26168.74;26168.74;46032.02;25101.28;26168.74;g94;26503.16;39742.03;33132.77;45123.27;5678.12
g96;12825.88;27335.08;35704.14;40550.12;42856.51;g96;48223.07;44653.69;39082.64;1057.53;29539.69;g96;15618.64;44653.69;28864.92;18436.82;29539.69;g96;7348.13;44653.69;39082.64;29434.54;29539.69
g100;46719.78;18238.27;35833.18;48117.16;37739.76;g100;30181.42;3154.39;21785.96;48844.96;28126.23;g100;34151.42;3154.39;21785.96;857.51;28126.23;g100;43047.89;3154.39;21785.96;36614.29;28126.23
g106;27145.73;49351.47;34597.24;6747.33;5005.96;g106;5014.87;31140.74;47641.96;6747.33;28481.31;g106;45945.36;2759.77;42483.3;42518.46;25089.58;g106;49827.65;13681.89;479.86;25244.02;35914.14
g107;1686.99;27004.03;45182.44;21956.74;2924.12;g107;5520.26;17017.49;31068.42;31737.65;19228.67;g107;28183.34;17017.49;36099.17;17017.49;17017.49;g107;29289.33;50000;3915.49;0;3988.86
g110;46086.2;23304.33;42018.46;27467.27;46576.47;g110;18463.51;17519.23;41494.59;20394.38;16681.77;g110;26168.74;26168.74;44348.03;26168.74;26168.74;g110;41808.26;11958.02;44618.15;48048.14;27246.22
g117;48288.18;22899.46;36037.77;37551.13;37551.13;g117;529.92;13007.95;14827.29;39716.75;39716.75;g117;36295.9;1687.9;30342.19;11520.29;9106.2;g117;40539.45;13043.6;14924.6;21244.66;18228.62
g122;49605.6;45384.97;17758.53;7230.62;7230.62;g122;10669.61;0;25889.2;3818.16;29590.61;g122;2563.35;31444.26;7077.63;11086.11;26035.66;g122;29042.6;17982.25;25494.3;7230.62;7230.62
g127;28126.5;4930.53;45334.79;33355.45;25251.91;g127;36024.4;21858.03;31667.85;41806.99;40235.28;g127;33960.62;41125.34;2380.45;9802.43;37339.08;g127;46845.16;17079.88;40060.62;3279.01;39681.94
g131;41935.9;44660.25;3713.87;17320.17;29055.99;g131;48928.39;4338.52;28384.41;41795.19;40146.75;g131;48023.04;48023.04;14637.37;23359.98;48023.04;g131;34150.21;34150.21;20948.58;38055.17;34150.21
g132;26734.7;8588.47;21444.69;880.54;26864.55;g132;14082.3;22010.78;8146.54;5729.94;39306.89;g132;0;22103.64;28606.01;37395.9;42964.53;g132;8570.29;5899.96;5101.84;5906.66;32361.24
g136;24609.38;22296.36;597.37;22861.77;22861.77;g136;41107.06;41107.06;2655.34;26039.23;40685.31;g136;2009.37;294.46;5276.49;7583.11;294.46;g136;22861.77;22861.77;39626.07;22861.77;22861.77
g139;39281.1;21171.09;30029.57;33192.68;26237.7;g139;33666.49;29367.81;7756.97;33666.49;32192.68;g139;48822.2;40454.5;10617.98;43244.66;10626.52;g139;33666.49;9415.38;33666.49;33666.49;33666.49
g141;32570.56;41988.67;21224.24;41082.77;9739.45;g141;43610.11;42799.96;6583.71;37549.67;2065.58;g141;32241.15;45650.01;33431.04;22804.49;7459.7;g141;49842.97;50000;7238.18;22804.49;1903.79
g142;23383.01;35933.51;23383.01;23383.01;12607.12;g142;11669.24;49900.21;11669.24;11669.24;34359.58;g142;30647.51;30647.51;25195.66;30647.51;29954.66;g142;49041.88;16831.48;49041.88;49041.88;0
g144;10130.62;49802.8;10130.62;41148.14;10130.62;g144;10990.27;7327.15;31079.07;43917.67;47830.16;g144;40748.23;7327.15;31079.07;10196.71;47830.16;g144;20404.6;7327.15;31079.07;38660.82;47830.16
g147;6037.39;27409.55;694.33;35375.29;39497.09;g147;24545.49;0;25393.43;46638.81;36628.52;g147;37153.47;7596.68;694.33;8473.49;39497.09;g147;34663.03;19020.14;22573.42;10682.21;44878.39
g148;22449.36;47643.68;25726.02;13125.3;29243.76;g148;28921;30728.25;17880.39;34393.18;29290.85;g148;26168.74;26168.74;26668.88;26168.74;25090.02;g148;11252.91;38566.27;45261.2;10800.45;4841.85
g150;48194.64;25033.6;46381.28;42781.35;25340.46;g150;20940.3;36623.4;36623.4;40200.2;47725.31;g150;3811.48;8182.86;8182.86;4242.15;33899.21;g150;47270.36;33684.16;26515.33;40200.2;47227.64
g155;8087.65;8087.65;5294.37;1059.96;13272.84;g155;12921.02;7803.38;49934.58;40631.75;30040.7;g155;10649.27;13002.51;34211.1;28787.19;10649.27;g155;30788.89;30788.89;41810.4;50000;30788.89
g160;2921.29;48004.14;46085.61;46871.9;40484.61;g160;44373.2;41366.74;21671.95;32617.18;49189.49;g160;32674.11;38282.16;4127.09;7242.34;44456.34;g160;44020.19;46616.26;39635.1;26057.34;9766.86
g162;13866.2;18727.68;14054.75;28892.88;25606.79;g162;46384.86;21268.82;10527.64;22302.71;27374.38;g162;17881.44;0;14054.75;28892.88;15288.59;g162;14549.89;25621.03;34228.86;43259.69;29727.91
g163;9568.88;28558.57;13856.26;903.97;2311.09;g163;34388.88;17017.49;37374.83;17017.49;17017.49;g163;47446.86;17017.49;78.97;17017.49;17017.49;g163;30078.58;35943.51;24300.2;8362.39;45252.51
g164;27230.39;23566.63;48243.53;46782.12;50000;g164;1214.5;31805.22;31805.22;39178.08;18930.84;g164;19874;31805.22;31805.22;50000;43078.26;g164;45113.94;15558.62;21644.36;17619.51;40554.97
g165;9211.91;24590.08;39324.3;21677.99;5260.21;g165;21988.57;36623.4;36623.4;7573.98;19633.85;g165;43772.23;8182.86;7167.94;24419.23;50000;g165;38124.41;19752.05;49798.69;20130.54;30776.01
g166;7295.21;37912.5;26616.05;17494.97;0;g166;15290.76;41357.43;41357.43;46688.14;25998.33;g166;49052.86;5992.59;601.22;10964.14;31533.59;g166;42522.14;41357.43;41357.43;23299.06;17963.62
g170;14758.58;35594.54;28441.31;35594.54;41626.5;g170;4752.86;15320.7;35822.08;46699.7;0;g170;39668.6;39694.13;46524.19;44496.82;15939.39;g170;0;35594.54;27483.55;35594.54;21247.43
g181;8500.98;37674.82;9822.35;4286.28;12970.65;g181;5985.87;3765.99;31215.98;49613.7;3182.19;g181;22506.8;24115.71;45772.09;33267.12;20423.15;g181;50000;6590.53;47073.39;23604.35;42140.38
g182;41268.71;35137.32;5261.28;10162.67;6467.48;g182;30938.14;26500.92;16800.75;24382.47;44927.85;g182;7771.07;40515.71;38123.95;27041.87;27533.57;g182;46272.25;35137.32;27687.99;10162.67;298.94
g183;3863.48;5405.21;2644.88;28129.1;7100.11;g183;31394.2;22608.11;30719.26;30110.9;32489.04;g183;2620.08;19035.74;30719.26;1836.79;32489.04;g183;9324.53;11370.75;21015.69;29471.99;11296.09
g185;2898.24;21714;31638.79;1911.74;42764.91;g185;13789.93;5845.19;42140.55;12714.02;7858.83;g185;49971.04;45901.33;12067.81;39043.95;35160.99;g185;49971.04;17805.22;12067.81;39043.95;19180.84
g186;26971.44;20303.48;5848.81;46090.01;2239.4;g186;23895.53;15355.29;27010.84;13026.44;10019.88;g186;30982.26;30982.26;30982.26;30930.63;28692.31;g186;27713.5;27455.11;27455.11;42948.96;30512.03
g189;33943.19;31363.08;29349.69;9184.28;3680.85;g189;31394.2;30011.42;30719.26;11766.16;32489.04;g189;31394.2;48993.91;30719.26;14034.24;32489.04;g189;50000;17475.94;42955.27;22566.11;17584.19
g192;43040.73;15442.15;1914.03;905.24;29479.58;g192;37907.93;23844.41;7264.83;27975.06;4450.89;g192;46352.77;16835.36;15867.4;7971.55;30049.43;g192;22603.91;43719.17;5543.78;38741.74;33701.71
g193;25175.98;8588.47;830.48;16283.98;18054.51;g193;14082.3;22010.78;30192.14;20266.92;19179.37;g193;638.07;26884.17;2663.32;27073.87;8635.74;g193;40317.2;17729.66;14607.17;1742.73;31218.83
g194;6291.02;18695.71;27761.05;49908.06;27761.05;g194;32903.25;28522;36207.56;32692.8;36207.56;g194;9513.91;26909.27;2382.21;25761.15;2382.21;g194;41331.39;1519.58;7317.33;12475.68;26894.67
g198;7877.65;50000;13524.94;36318.76;34963.01;g198;37741.44;8188.32;15613.45;0;36274.34;g198;39739.23;20176.28;16315.83;37791.73;18732.04;g198;19861.09;34282.53;1650.51;49546.54;46336.02
g205;21007.62;36064.32;37741.13;30734.16;34800.46;g205;16040.8;16040.8;16040.8;4852.18;8171.38;g205;16040.8;16040.8;16040.8;23495.79;21929.02;g205;16040.8;16040.8;16040.8;20333.07;48984.23
g206;34972.01;39000.92;7822.61;21611.28;7123.64;g206;27743.19;27743.19;23351.25;27743.19;27743.19;g206;1013.24;14178.7;34572.57;49285.07;17339.3;g206;27743.19;27743.19;15614.74;27743.19;27743.19
g211;24157.96;48314.02;11589.5;19791.26;22385.67;g211;37437.66;22347.17;25705.43;23630.52;13948.45;g211;36010.3;30982.26;30982.26;3417.53;47255.27;g211;27455.11;27455.11;27455.11;49094.62;0
g212;23128;17990.52;46208.95;36188.31;7520.17;g212;5895.33;45247.04;16700.95;48832.29;36414.8;g212;7980.15;7980.15;33781.01;7980.15;43633.67;g212;40414.2;38148.87;40163.57;22944.6;48129.41
g215;23091.79;23055.62;49645.84;18295.39;28465.59;g215;13786.84;14433.28;27405.14;41041.74;14433.28;g215;21797.87;0;1136.49;40902.44;25730.43;g215;7805.36;38258.42;10934.51;6369.99;3771.1
g216;21635.41;45891.45;8142.35;50000;44170.82;g216;5160.44;31805.22;31805.22;32178.61;49175.28;g216;23111.95;31805.22;31805.22;42028.54;43138.72;g216;21149.99;18034.82;18888.86;45391.9;36326.37
g223;13921.85;43483.3;42593.53;898.12;41657.18;g223;25375.43;25375.43;25375.43;25375.43;21069.59;g223;22839.43;14938.28;27490.46;39929.26;3375.01;g223;48700.44;48700.44;48700.44;48700.44;9455.68
g225;49207.21;630.54;19296.4;19367.5;49860.85;g225;12890.36;46758.06;49528.83;36683.53;29890.73;g225;44671.94;0;43184.5;19535.69;42532.04;g225;42527.5;37779.27;6498.93;49411.66;40184.63
g226;32373.65;32373.65;8660.83;20133.69;46933.26;g226;0;21050.84;67.57;67.57;27370.13;g226;39389.73;16537.13;10686.07;10686.07;28815.39;g226;41839.74;8144.14;38017.31;38017.31;37690.42
g227;25293.37;8588.47;29079.1;42550.71;42328.19;g227;14082.3;22010.78;39390.96;31048.04;36087.3;g227;25959.72;2141.3;14200.2;6791.57;31165.05;g227;4283.13;17407.38;4309.53;23366.94;43365.5
g229;34867.32;35137.32;1586.74;10162.67;31405.21;g229;1339.39;48443.06;50000;34864.33;842.59;g229;36463.45;10963.48;10396.81;37701.73;34126.7;g229;36757.16;35137.32;29403.52;10162.67;26445.64
g231;23416.18;49735.6;29010.75;19881.56;9900.67;g231;25682;46765.81;22029.93;46605.73;25682;g231;27089.28;37412.86;5849.91;11573.95;38277.37;g231;25682;37656.21;34357.1;12513.77;25682
g232;5052.22;50000;5052.22;5052.22;22207.9;g232;30279.1;14868.74;30279.1;31815.74;42011.51;g232;32554.34;5668.18;42723.31;8148.66;22332.35;g232;22897.52;24868.14;22897.52;22897.52;33653.47
g236;3883.29;35594.54;5172.4;35594.54;49465.06;g236;31394.2;15491.84;30719.26;35943.49;32489.04;g236;31394.2;33132.77;30719.26;18090.2;32489.04;g236;45084.22;30791.5;20416.74;35594.54;37139.47
g237;29896.41;35957.78;27273.22;46489.81;29174.11;g237;16680.66;31805.22;31805.22;23694.86;21013.25;g237;0;31805.22;32648.16;38545.97;7193.59;g237;30851.4;23514.01;39419.22;34954.73;25151.12
g238;10779.98;2048.05;25309.15;28053.39;46709.39;g238;28249.34;24588.96;45247.95;27038.29;39237.17;g238;13857.45;12970.92;16238.65;49272.17;10856.43;g238;17560.72;50000;44867.85;1371.95;22684.83
g239;37092.02;36513.51;10740.38;18981.57;10740.38;g239;15858.19;9252.44;42779.67;46874.33;30028.4;g239;8932.64;29728.74;49243.3;28311.99;7680.07;g239;176.7;40562.9;11739.04;15348.24;24103.4
g242;7143.49;35594.54;1010.47;35594.54;38767.38;g242;36886.22;39301.39;30719.26;49274.55;32489.04;g242;31394.2;2918.15;30719.26;44303.34;32489.04;g242;22211.53;35594.54;11470.58;35594.54;29475.42
g247;11116.17;4595.65;31647.73;27689.85;27689.85;g247;38907.36;40962.46;17929.69;27689.85;27689.85;g247;25641.09;46764.21;6559.21;3814.16;8403.34;g247;25641.09;10633.38;6559.21;3814.16;39117.84
g248;26734.7;8588.47;24164.64;44708.54;43229.16;g248;14082.3;22010.78;33420.61;100.59;21692.57;g248;31498.15;15861.57;11276.49;9145.03;36897.73;g248;8616.04;27049.32;34415.43;32082.78;11213.83
g250;34400.49;0;41937.58;11917.22;48052.55;g250;8793.12;17017.49;43520.28;17017.49;17017.49;g250;22928.25;17017.49;9123.64;17017.49;17017.49;g250;35281.79;16373.53;877.38;10820.06;7149.05
g253;17322.98;34532.76;27761.05;1213.03;27761.05;g253;47062.05;30776.98;36207.56;19052.57;36207.56;g253;39128.28;16694.39;2382.21;40041.33;2565.47;g253;14449.88;22137.86;18116.24;25089.55;26576.77
g254;28717.25;8588.47;2422.87;24833.17;27963.52;g254;14082.3;22010.78;50000;47551.08;2887.76;g254;14677.78;8298.34;44600.73;33432.37;35435.25;g254;22206.72;26221.8;9489.91;8647.66;36824.82
g263;20814.79;4351.65;13981.79;44001.18;44765.15;g263;26852.8;16237.61;7483.9;30366.77;31105.81;g263;40801.68;34230.21;40801.68;40801.68;26331.55;g263;45550.64;24960.02;31692.44;30855.8;37563.01
g266;8737.47;8036.93;10519.59;28874.39;20696.56;g266;41107.06;41107.06;21114.38;22247.5;41107.06;g266;294.46;294.46;4864.21;4872.58;294.46;g266;37123.81;43759.58;38570.58;8819.42;13684.61
g273;22081.67;3074.37;29614.96;46432.28;24683.76;g273;22081.67;3074.37;29105.41;46432.28;28364.01;g273;22081.67;3074.37;6304.3;46432.28;28995.38;g273;48070.33;13043.6;33622.85;33886.6;18228.62
g279;41409.27;41409.27;34755.22;41409.27;43771.49;g279;34660.37;8724.1;6216.65;16822.96;34660.37;g279;34660.37;28615.06;36645.79;30915.54;34660.37;g279;41409.27;41409.27;21685.68;41409.27;41409.27
g283;50000;26374.7;694.33;10849.92;39497.09;g283;19863.75;39408.69;41038.35;4052.14;21125.23;g283;23025.16;4086.67;694.33;45592.67;39497.09;g283;7318.69;28427.23;24500.28;44385.43;40623.77
g292;43681.97;43681.97;23072.22;43681.97;43681.97;g292;27249.04;9323.93;45145.52;17702.7;2161.96;g292;50000;34498.93;0;3227.99;3329.04;g292;43681.97;44512.88;11441.92;43681.97;42801.65
g293;37337.86;4769.1;48321.69;48376.83;31903.13;g293;30500.24;11377.86;49157.63;30544.48;44470.94;g293;38394.54;2030.45;16888.74;9016.56;5866.75;g293;0;37037.45;42955.69;22201.4;26567.21
g295;38155.5;1499.17;1499.17;1499.17;475.17;g295;41556.85;33075.8;17109.03;22815.35;19912.41;g295;18783.48;12773.99;1499.17;1499.17;45388.04;g295;13424.3;3980.08;4089.4;25174.53;26200.65
g302;18941.43;28930.78;31038.38;46685.4;35112.16;g302;15604.14;7574.31;40978.36;43369.54;35112.16;g302;20589.39;28292.29;36978.72;16463.15;7804.68;g302;14031.06;45539.65;3450.41;48901.62;6846.51
g303;15190.16;11947.69;13848.96;39877.9;5941.78;g303;38967.23;32982.04;33965.58;18634.51;32309.25;g303;15692.18;16126.78;22975.42;22324.96;0;g303;31229.62;42632.71;43896.87;35726.45;27440.63
g304;1076.42;11931.2;45334.79;33355.45;11059.24;g304;32515.91;4615.84;50000;37225.64;48474.45;g304;162.77;39898.38;17339.34;10931.5;10769.27;g304;32399.31;24774.7;2386.26;29136.96;30348.56
g309;13716.68;3894.83;18384.9;39110.27;7402.98;g309;29141.96;24990.29;50000;19859.78;36620.87;g309;36389.63;16224.52;42590.9;18178.16;16224.52;g309;46185.56;47810.43;48910.78;47096.93;47810.43
g310;0;10474.97;45136.87;13431.55;32326.38;g310;21592.41;9270.04;1501.05;40200.2;47227.64;g310;37626.65;15437.14;20861.22;15437.14;27395.79;g310;34863.77;35509.05;19520.95;40200.2;47227.64
g315;40902.4;6456.54;47094.12;6309.08;28554.82;g315;6784.8;6456.54;33625.24;8697.45;30220.96;g315;16886.4;9103.22;17125.27;23570.16;1942.52;g315;44306.03;15855.2;47883.3;16440.84;40800.26
g317;14278.96;42345.15;40765.75;37252.86;9668.06;g317;4956.52;37235.81;28384.41;41795.19;40146.75;g317;50000;13202.3;8316.3;30075.6;22888.6;g317;23800.53;5663.93;26875.91;0;6068.2
g318;46458.1;15048.15;20881.07;45100.2;33831.62;g318;46458.1;45217.3;15573.21;1511.99;24480.43;g318;46458.1;23175.29;20881.07;590.16;6557.97;g318;36725.71;13818.28;12320.19;34951.57;48873.32
g319;29442.66;27564.12;22853.64;3104.09;42330.78;g319;39969.22;22676.05;39969.22;14391.14;42031.55;g319;28052.99;44146.78;28052.99;49210.9;6440.06;g319;11514.62;3397.09;27070.86;13032.88;31377.38
g325;42643.19;3705.67;50000;13803.04;24640.39;g325;41892.8;44108.09;3892.05;3892.05;20963.93;g325;27009.48;37497.85;33202.49;44363.01;50000;g325;31526.47;10442.81;7590.52;18100.68;685.23
g327;10130.62;10130.62;10130.62;31480.78;10130.62;g327;37686.09;6078.91;50000;47001.6;28610.18;g327;32626.02;3234.91;45230.62;25253.25;503.54;g327;26721.92;48450.36;30756.19;26678.53;42902.02
g329;6729.61;28571.59;40904.51;24981.49;41738.48;g329;2010.15;33716.4;9206.81;9458.09;18150.64;g329;20661.75;43882.46;28583.28;28583.28;14475.97;g329;15941.07;18909.93;17312.49;17312.49;45766.95
g330;46656.08;41630.94;27740.75;50000;41126.16;g330;782.1;20305.53;18440.69;9982.37;25270.85;g330;45550.4;6451.49;3068.24;23924.68;34910.08;g330;48880.7;37774.68;26486.09;23924.68;23923.7
g331;41523.35;15324.81;47235.57;5346.04;23478.42;g331;15655.15;29626.26;33991.76;30021.37;20475.45;g331;49009.07;30993.4;10128.21;33840.69;30434.76;g331;4038.24;32831.19;2701.55;11505.25;50000
g341;7625.13;3811.08;38243.57;9849.57;17800.31;g341;27219.36;11931.44;18622.22;10805.36;27955.69;g341;25929.18;42395.58;7565.7;22018.45;27219.36;g341;24175.02;22108.04;36513.71;1747.24;13797.22
g342;22393.17;22393.17;35212.51;22393.17;22393.17;g342;18605.16;35318.78;14005.19;48718.9;21314.65;g342;12571.67;40804.24;30748.27;45156.52;0;g342;22393.17;22393.17;45622.94;22393.17;22393.17
g345;50000;39349.51;20622.51;8668.46;0;g345;50000;14702.49;28384.41;43401.3;40146.75;g345;20390.49;3152.83;33635.88;0;7025.16;g345;7849.07;34282.21;0;27165.84;18069.26
g349;12522.97;48579.99;45076.6;4791.93;7077.96;g349;20473.09;4812.17;12205.86;24670.09;14406.04;g349;33154.43;33154.43;6679.11;33154.43;29992.96;g349;46924.57;6325.63;17722.79;14744.39;38483.96
g351;21201.42;0;10740.38;38249.05;10740.38;g351;5411.73;6227.04;0;40200.2;47227.64;g351;0;7326.16;40743.53;33979.81;37813.98;g351;45813.52;47845.37;44727.13;40200.2;47227.64
g353;35625.63;39652.17;1663.18;22674.54;22674.54;g353;35240.89;35240.89;35240.89;38648.8;38648.8;g353;35240.89;35240.89;35240.89;16291.13;14348.69;g353;35240.89;35240.89;35240.89;3399.2;31092.61
g358;7560.71;26306.11;11742.36;48655.68;46866.64;g358;40036.7;19456.21;41026.71;24394.2;40036.7;g358;40036.7;18013.83;36889.84;27872.39;40036.7;g358;6450.92;16597.18;34607.2;21335.44;29843.04
g359;50000;17535.35;44378.24;35108.94;3530.61;g359;40528.61;50000;42673.49;18445.7;38650.67;g359;17036.97;0;44869.8;22377.46;38650.67;g359;45227.38;48253.29;49591.6;30332.28;38650.67
g363;10130.62;10130.62;10130.62;50000;10130.62;g363;39006.85;39006.85;32781.15;26226.72;29098.57;g363;36605.98;40745.76;21325.34;30743.93;50000;g363;39006.85;39006.85;6456.18;49348.81;38442.05
g364;2921.29;48004.14;48811.19;39356.89;40484.61;g364;44373.2;41366.74;11094.28;11289.93;49189.49;g364;13857.45;77.25;16238.65;49272.17;3639.11;g364;47246.84;26717.19;46299.97;1371.95;2221.62
g365;38304.64;27150.92;6536.1;50000;21088.84;g365;19389.07;36823.04;5087.13;44391.81;48441.36;g365;49758.59;49452.45;82.22;19003.25;48441.36;g365;43093.48;33304.96;28031.91;7812.66;48441.36
