;t0;t0;t0;t0;t0;t0;;t1;t1;t1;t1;t1;t1;;t2;t2;t2;t2;t2;t2;;t3;t3;t3;t3;t3;t3;;
;c0;c1;c2;c3;c4;c8;;c0;c1;c2;c3;c4;c8;;c0;c1;c2;c3;c4;c8;;c0;c1;c2;c3;c4;c8;;
g84;49.25;19024.99;32088.73;6780.58;905.24;29479.58;g84;35136.61;25357.92;37477.48;43052.87;27975.06;4450.89;g84;6009.56;48698.24;19703.26;19876.93;50000;24260.14;g84;16166.74;14802.47;14007.31;39411.68;38741.74;33701.71
g87;2238.18;8111.9;12455.75;31366.39;3887.35;0;g87;12205.86;37286.33;30543;12205.86;44444.08;8792.58;g87;25399.33;40801.68;46915.71;40801.68;40801.68;0;g87;17722.79;50000;13058.24;17722.79;12149.92;44083.49
g89;14064.03;8727.49;25925.15;47659.35;29967.81;17459.01;g89;17810.3;22120.74;31805.22;31805.22;11053.82;0;g89;45036.77;46988.66;31805.22;31805.22;31080.51;17014.7;g89;34176.93;0;15747.05;5823.35;36770.81;30378.85
g90;40212.34;46479.74;36007.2;6205.38;16006.77;28456.42;g90;23638.83;35574.52;17818.9;47476.45;47476.45;38156.98;g90;9365.12;5831.33;10251.26;39317.61;41466.03;49176.36;g90;22208.89;32520.67;40216.59;43321.74;49264.29;36813.2
g97;32274.39;21108.64;19003.26;37695.7;31441.13;21248.79;g97;33773.84;16732.54;23528.28;4316.26;4316.26;11727.07;g97;38003.77;22235.39;6360.7;43733.58;43733.58;39069.49;g97;30453.2;7704.07;0;3839.1;3839.1;29290.89
g104;32783.43;19576.03;30590.13;45194.6;27302.82;48994.97;g104;36946.3;46965.95;12847.45;28832.57;37626.08;26770.51;g104;12716.97;8727.56;15437.14;4061.42;15437.14;19644.41;g104;8373.66;32980.31;41924.46;10434.98;41247.22;46224.14
g105;20051.85;48553.66;48553.66;28805.1;37873.25;43142.01;g105;13442.37;25375.43;25375.43;25375.43;25375.43;41952.29;g105;28268.81;40160.53;6361.62;4955.37;41560.29;49949.49;g105;17167.01;48700.44;48700.44;48700.44;48700.44;48505.32
g108;42247;47219.94;0;46223.49;30099.78;28493.2;g108;25682;25686.31;42316.55;28235.71;28115.22;25682;g108;33542.95;37420.22;27121.1;30462.18;27094.46;49392.77;g108;25682;25682;7442.93;18472.78;8931.19;25682
g110;28245.42;46086.2;23304.33;42018.46;27467.27;46576.47;g110;13924.54;18463.51;17519.23;41494.59;20394.38;16681.77;g110;30975.9;26168.74;26168.74;44348.03;26168.74;26168.74;g110;9159.25;41808.26;11958.02;44618.15;48048.14;27246.22
g125;19520.05;30981.5;35766.4;34182.6;21916.26;9901.21;g125;45537.16;11588.93;37285.07;7147.04;31451.84;16429;g125;13623.21;48950.85;47326.57;40038.94;30471.84;28894.75;g125;35512.21;32019.84;40396.38;21409.32;23402.86;23306.69
g127;35789.56;28126.5;4930.53;45334.79;33355.45;25251.91;g127;29425.82;36024.4;21858.03;31667.85;41806.99;40235.28;g127;17743.79;33960.62;41125.34;2380.45;9802.43;37339.08;g127;50000;46845.16;17079.88;40060.62;3279.01;39681.94
g129;19681;13292.34;20067.4;34006.97;13955.77;24171.9;g129;45483.76;8792.27;5991.16;35296.06;4455.48;48636.81;g129;5158.34;34654.22;20876.36;42738.46;8307.52;39071.72;g129;45140.5;29306.84;49172.94;3038.73;12513.37;16287.99
g133;34870.15;47643.81;49324.59;17166.8;14499.85;573.1;g133;41107.06;41107.06;41107.06;2332.18;35671.29;41107.06;g133;294.46;294.46;294.46;24265.3;44544.2;294.46;g133;50000;33182.33;1923.12;29640.44;39708.13;23209.23
g134;49.25;12047.46;7942.5;43450.82;905.24;29479.58;g134;35136.61;34639.27;34639.27;26629.89;27975.06;4450.89;g134;25152.06;34639.27;34639.27;34193.64;4020.49;5864.15;g134;16166.74;34639.27;34639.27;15495.04;38741.74;33701.71
g136;26405.77;24609.38;22296.36;597.37;22861.77;22861.77;g136;41107.06;41107.06;41107.06;2655.34;26039.23;40685.31;g136;294.46;2009.37;294.46;5276.49;7583.11;294.46;g136;49897.9;22861.77;22861.77;39626.07;22861.77;22861.77
g144;9083.39;10130.62;49802.8;10130.62;41148.14;10130.62;g144;34069.39;10990.27;7327.15;31079.07;43917.67;47830.16;g144;46938.01;40748.23;7327.15;31079.07;10196.71;47830.16;g144;40354.51;20404.6;7327.15;31079.07;38660.82;47830.16
g147;22768.82;6037.39;27409.55;694.33;35375.29;39497.09;g147;44002.03;24545.49;0;25393.43;46638.81;36628.52;g147;22768.82;37153.47;7596.68;694.33;8473.49;39497.09;g147;9021.37;34663.03;19020.14;22573.42;10682.21;44878.39
g148;20501.61;22449.36;47643.68;25726.02;13125.3;29243.76;g148;34916.54;28921;30728.25;17880.39;34393.18;29290.85;g148;39181.03;26168.74;26168.74;26668.88;26168.74;25090.02;g148;0;11252.91;38566.27;45261.2;10800.45;4841.85
g153;48652.73;29449.39;28890.32;9822.72;12959;5301.66;g153;13066.34;0;31805.22;31805.22;11095.39;8810.73;g153;840.61;40634.64;31805.22;31805.22;12547.22;16453.03;g153;5739.38;41075.2;4141.36;5451.77;19314.54;30533.73
g156;50000;29400.47;3700.07;24067.11;50000;50000;g156;24729.9;6284.42;19430.59;7202.31;7202.31;0;g156;15327.49;34031.02;34077.89;49106.81;49106.81;28478.95;g156;26315.07;46727.86;44427.64;16719.5;16719.5;25853.76
g157;43838.56;4616.46;499.67;14369.77;31727.04;47813.25;g157;42137.43;27956.86;2842.92;0;21365.35;38125.73;g157;24238.73;37003.28;1091.4;218.35;38271.83;1091.4;g157;26300.54;46961.95;27782.18;2286.47;20888.33;27782.18
g160;47094.76;2921.29;48004.14;46085.61;46871.9;40484.61;g160;1634.62;44373.2;41366.74;21671.95;32617.18;49189.49;g160;44189.21;32674.11;38282.16;4127.09;7242.34;44456.34;g160;46016.36;44020.19;46616.26;39635.1;26057.34;9766.86
g162;48283.88;13866.2;18727.68;14054.75;28892.88;25606.79;g162;19170.29;46384.86;21268.82;10527.64;22302.71;27374.38;g162;48283.88;17881.44;0;14054.75;28892.88;15288.59;g162;23382.72;14549.89;25621.03;34228.86;43259.69;29727.91
g163;15501.98;9568.88;28558.57;13856.26;903.97;2311.09;g163;14768.37;34388.88;17017.49;37374.83;17017.49;17017.49;g163;45899.18;47446.86;17017.49;78.97;17017.49;17017.49;g163;29210.03;30078.58;35943.51;24300.2;8362.39;45252.51
g168;12822.65;10016.05;43770.89;18604.05;26507.92;2108.7;g168;17892.68;46420.54;43770.89;6894.22;18873.79;2108.7;g168;16225.7;15877.84;5075.04;12970.91;47671.68;23150.07;g168;48273.17;34164.34;22140.73;14953.18;44456.2;29524.12
g176;50000;25031.63;48565.14;50000;3682.19;12200.86;g176;32605.51;2600.15;2300.55;38817.63;3788.15;7346.61;g176;30982.26;30982.26;12417.57;30982.26;49229.05;48746.75;g176;27455.11;18137.96;26713.2;27455.11;1250.11;811.63
g181;22833.3;8500.98;37674.82;9822.35;4286.28;12970.65;g181;10579.09;5985.87;3765.99;31215.98;49613.7;3182.19;g181;34572.27;22506.8;24115.71;45772.09;33267.12;20423.15;g181;49531.02;50000;6590.53;47073.39;23604.35;42140.38
g185;10769.9;2898.24;21714;31638.79;1911.74;42764.91;g185;36446.05;13789.93;5845.19;42140.55;12714.02;7858.83;g185;6835.81;49971.04;45901.33;12067.81;39043.95;35160.99;g185;41748.63;49971.04;17805.22;12067.81;39043.95;19180.84
g187;49665.59;9092.06;7033.84;45684.74;49665.59;49665.59;g187;15038.18;47793.16;15034.15;47793.16;15038.18;15038.18;g187;2639.73;47793.16;47793.16;47793.16;3526.41;2639.73;g187;28135.65;47793.16;47793.16;47793.16;44450.59;25984.43
g188;27689.85;46491.78;42638.83;34458.62;27689.85;27689.85;g188;27689.85;17853.32;18985.41;28222.56;27689.85;27689.85;g188;42073.83;26442.28;38282.16;4127.09;17825.95;44456.34;g188;2166.49;34993.45;46616.26;39635.1;18328.1;9766.86
g192;49.25;43040.73;15442.15;1914.03;905.24;29479.58;g192;35136.61;37907.93;23844.41;7264.83;27975.06;4450.89;g192;8314.46;46352.77;16835.36;15867.4;7971.55;30049.43;g192;16166.74;22603.91;43719.17;5543.78;38741.74;33701.71
g197;22768.82;7858.42;23444.03;694.33;23362.78;39497.09;g197;760.95;2376.92;45714.48;43470.77;40200.2;47227.64;g197;22768.82;38659.13;3049.06;694.33;35986.68;39497.09;g197;18751.17;17082.48;28026.29;26532.93;40200.2;47227.64
g198;22962.95;7877.65;50000;13524.94;36318.76;34963.01;g198;14458.62;37741.44;8188.32;15613.45;0;36274.34;g198;19227.3;39739.23;20176.28;16315.83;37791.73;18732.04;g198;14585.93;19861.09;34282.53;1650.51;49546.54;46336.02
g201;28281.49;47713.4;28281.49;49788.92;28132.26;28281.49;g201;50000;27743.19;27743.19;19384.6;27743.19;27743.19;g201;11634.32;44103.44;11634.32;50000;6828.13;11634.32;g201;44792.68;27743.19;27743.19;300.43;27743.19;27743.19
g202;10271.31;24172.97;42367.82;30964.02;25386.65;19072.42;g202;39429.04;16513.95;10421.92;6407.79;0;49144.75;g202;13017.48;23141.8;26658.53;3904.67;20369.03;12452.87;g202;30852.88;15599.2;32267.74;2567.84;20369.03;301.4
g203;0;25312.12;9537.31;25047.28;10320.43;25784.28;g203;36623.4;655.42;36623.4;35489.64;33025.03;38377.31;g203;8182.86;44067.77;8182.86;8182.86;20243.24;23820.59;g203;47854.37;8081.75;22122.94;50000;50000;46107.95
g204;36075.1;8500.98;37674.82;3593.73;49550.11;12970.65;g204;0;5985.87;3765.99;22973.79;47450.18;3182.19;g204;41669.35;22506.8;24115.71;2219.82;31582.59;20423.15;g204;9245.68;10862.33;35020.68;19331.19;10490.94;39856.13
g205;13471.34;21007.62;36064.32;37741.13;30734.16;34800.46;g205;16976.43;16040.8;16040.8;16040.8;4852.18;8171.38;g205;4575.43;16040.8;16040.8;16040.8;23495.79;21929.02;g205;27244.52;16040.8;16040.8;16040.8;20333.07;48984.23
g207;7230.62;33496.35;17340.89;23065.03;7230.62;7230.62;g207;24837.49;30601.44;30601.44;24912.35;44384.01;9464.24;g207;8372.63;32230.83;30601.44;43.76;3379.07;13013.83;g207;7230.62;30601.44;30601.44;46152.36;7230.62;7230.62
g210;12237.05;36436.68;9399.33;9950.1;33457.76;10740.38;g210;49533.78;41945.38;20108.21;27643.66;34353.35;14982.24;g210;34165.64;29341.53;32875.56;16261.89;4575.62;39704.64;g210;4152.65;8198.07;19523.53;1392.02;49200.53;32200.35
g211;32157.99;24157.96;48314.02;11589.5;19791.26;22385.67;g211;44586.64;37437.66;22347.17;25705.43;23630.52;13948.45;g211;32451.11;36010.3;30982.26;30982.26;3417.53;47255.27;g211;28469.55;27455.11;27455.11;27455.11;49094.62;0
g214;0;44532.71;13474.77;26653.68;6747.33;50000;g214;36982.82;19679.65;26418.05;30621.47;6747.33;40479.2;g214;8310.48;13857.45;9922.88;16238.65;49272.17;3452.46;g214;17375.98;17560.72;29091.06;44867.85;1371.95;40666.92
g220;42700.69;6891.85;7646.22;17844.34;38112.26;23722.52;g220;0;32857.45;40061.49;5320.5;8945.3;12167.19;g220;10351.6;49330.66;40061.49;5320.5;5882.66;12167.19;g220;2155.61;23825.06;40061.49;5320.5;9339.09;12167.19
g221;36749.85;0;43625.06;49243.93;48574.68;12308.28;g221;50000;11843.77;17017.49;47486.8;17017.49;17017.49;g221;47340.84;7708.14;17017.49;20557.53;17017.49;17017.49;g221;0;13089.53;10308.08;16663.78;42919.38;39237.73
g224;50000;19867.7;5590.08;47477.67;706.89;37249.93;g224;47730.5;35982.09;37146.53;37146.53;47022.02;8321.72;g224;25675.17;37839.69;7757.94;28444.91;8758.15;44249.57;g224;14245.51;4579.34;37146.53;37146.53;28066.88;12969.14
g229;41213.83;34867.32;35137.32;1586.74;10162.67;31405.21;g229;23953.01;1339.39;48443.06;50000;34864.33;842.59;g229;41893.36;36463.45;10963.48;10396.81;37701.73;34126.7;g229;41213.83;36757.16;35137.32;29403.52;10162.67;26445.64
g236;35594.54;3883.29;35594.54;5172.4;35594.54;49465.06;g236;14503.54;31394.2;15491.84;30719.26;35943.49;32489.04;g236;11911.44;31394.2;33132.77;30719.26;18090.2;32489.04;g236;35594.54;45084.22;30791.5;20416.74;35594.54;37139.47
g244;38995.72;22237.06;26129.07;0;35021.69;31100.92;g244;32967.4;33849.28;38245.5;46054.38;5343.76;32740.84;g244;44985.66;29267.15;9716.73;22397.66;31363.45;41514.96;g244;5885.23;29267.15;17528.04;22397.66;31363.45;32362.79
g245;2225.1;37228.24;3391.46;1429.79;2225.1;2225.1;g245;1191.66;39969.22;11094.66;39969.22;2479.53;2479.53;g245;19156.53;48395.01;35485.01;28052.99;19156.53;19156.53;g245;23743.31;32710.08;39316.4;38353.52;47463.21;48078.02
g247;27689.85;11116.17;4595.65;31647.73;27689.85;27689.85;g247;27689.85;38907.36;40962.46;17929.69;27689.85;27689.85;g247;34754.35;25641.09;46764.21;6559.21;3814.16;8403.34;g247;16625.96;25641.09;10633.38;6559.21;3814.16;39117.84
g248;45700.95;26734.7;8588.47;24164.64;44708.54;43229.16;g248;36315.69;14082.3;22010.78;33420.61;100.59;21692.57;g248;50000;31498.15;15861.57;11276.49;9145.03;36897.73;g248;42140.24;8616.04;27049.32;34415.43;32082.78;11213.83
g261;35644.67;43078.13;39861.84;10740.38;11271.62;10740.38;g261;4684.13;43509.86;23666.76;42241.49;23291.78;30069.11;g261;38822.6;43509.86;1244.94;34569.89;32063.16;43509.86;g261;1323.17;12469.75;13458.61;36591.4;22635.46;1154.64
g264;19341.21;25086.31;35846.48;27927.97;0;24775.06;g264;41326.54;14844.81;45147.91;13196.28;956.16;19347.61;g264;42647.16;6234.17;9670.31;35767.18;8554.89;45312.66;g264;9047.19;5531.88;9084.77;36518;37310.04;6864.52
g266;5668.2;8737.47;8036.93;10519.59;28874.39;20696.56;g266;41107.06;41107.06;41107.06;21114.38;22247.5;41107.06;g266;294.46;294.46;294.46;4864.21;4872.58;294.46;g266;43431.1;37123.81;43759.58;38570.58;8819.42;13684.61
g276;36657.1;25060.69;25060.69;33692.58;1527.78;6162.64;g276;13531.42;13944.1;13791.15;20912.31;43747.85;28569.5;g276;36663.06;47969.69;45006.58;31369.68;9387.06;36308.91;g276;26251.22;1642.15;37487.02;22883.27;12545.39;24339.18
g277;24637.3;18859.94;13622.67;31268.13;9873.9;32536.39;g277;19643.57;11099.65;2948.86;22739.63;24179.29;19643.57;g277;19643.57;44416.96;25603.65;21695.41;14008.6;19643.57;g277;19643.57;3485.26;33093.2;0;16313.6;19643.57
g279;16827.65;41409.27;41409.27;34755.22;41409.27;43771.49;g279;11791.25;34660.37;8724.1;6216.65;16822.96;34660.37;g279;29132.39;34660.37;28615.06;36645.79;30915.54;34660.37;g279;41580.14;41409.27;41409.27;21685.68;41409.27;41409.27
g281;28132.33;47059.98;47059.98;12000.55;15392.04;36816.74;g281;2700.17;40852.61;38172.46;41765.45;41765.45;43705.36;g281;30002.15;44168.29;17828.41;23375.01;23375.01;50000;g281;36681.65;17756.78;1553.79;16419.75;16419.75;10976.21
g282;48283.88;26662.15;33830.75;14054.75;28892.88;38048.84;g282;12813.33;19857.52;32192.11;25947.27;22418.03;28232.73;g282;48283.88;42486.06;48982.14;14054.75;28892.88;16320.39;g282;32325.21;19594.31;14407.84;45732.61;11903.98;21500.86
g283;22768.82;50000;26374.7;694.33;10849.92;39497.09;g283;31542.45;19863.75;39408.69;41038.35;4052.14;21125.23;g283;22768.82;23025.16;4086.67;694.33;45592.67;39497.09;g283;31755.57;7318.69;28427.23;24500.28;44385.43;40623.77
g288;47792.07;50000;34957.91;28510.76;35522.06;23313.05;g288;34969.82;23265.82;36116.16;17296.21;29105.88;15410.18;g288;5193.76;26168.74;26168.74;4797.3;26168.74;26168.74;g288;3523.8;18338.22;44348.63;1545.18;28535.39;41260.95
g289;38914.6;47943.49;7533.93;14054.75;28892.88;46884.3;g289;50000;27743.19;27743.19;44006.76;27743.19;27743.19;g289;48283.88;16517.5;2560.15;14054.75;28892.88;34358.89;g289;34177.9;27743.19;27743.19;11871.05;27743.19;27743.19
g292;4533.51;43681.97;43681.97;23072.22;43681.97;43681.97;g292;7350.28;27249.04;9323.93;45145.52;17702.7;2161.96;g292;47032.09;50000;34498.93;0;3227.99;3329.04;g292;0;43681.97;44512.88;11441.92;43681.97;42801.65
g295;17564.71;38155.5;1499.17;1499.17;1499.17;475.17;g295;43987.13;41556.85;33075.8;17109.03;22815.35;19912.41;g295;11826.15;18783.48;12773.99;1499.17;1499.17;45388.04;g295;10949.79;13424.3;3980.08;4089.4;25174.53;26200.65
g297;35594.54;23298.41;35594.54;37120.37;35594.54;28458.09;g297;20846.3;39969.22;19061.74;39969.22;15199.99;0;g297;3375.97;28052.99;14882.59;28052.99;37636.23;26095.08;g297;35594.54;48207.4;35594.54;7479.57;35594.54;47702.5
g304;35789.56;1076.42;11931.2;45334.79;33355.45;11059.24;g304;31763.31;32515.91;4615.84;50000;37225.64;48474.45;g304;0;162.77;39898.38;17339.34;10931.5;10769.27;g304;4882.93;32399.31;24774.7;2386.26;29136.96;30348.56
g307;15952.88;10130.62;10130.62;10130.62;2580.15;39712.13;g307;18218.04;27743.19;27743.19;36449.37;27743.19;9008.8;g307;35532.54;8651.75;18353.64;28667.42;13528.83;15922.68;g307;43903.66;27743.19;27743.19;31971.63;27743.19;27743.19
g312;1092.64;33487.14;30847.71;1539.67;0;21759.59;g312;30979.7;26109.1;47687.09;48844.08;48844.08;7666.51;g312;13740.81;3983.01;49003.92;8435.03;36402.67;8666.71;g312;42270.19;12746.15;41538.42;26118.29;13118.81;37701.92
g313;22142.18;18952.77;34390.8;624.87;16289.79;4478.64;g313;39054.8;18994.43;39003.29;38864.97;44446.35;5685.72;g313;8182.86;26899.53;8182.86;8182.86;31095.66;8513.48;g313;45078.68;6141.87;36196.89;44916.15;18570.57;39302.32
g317;29962.48;14278.96;42345.15;40765.75;37252.86;9668.06;g317;34018.74;4956.52;37235.81;28384.41;41795.19;40146.75;g317;22330.56;50000;13202.3;8316.3;30075.6;22888.6;g317;631.64;23800.53;5663.93;26875.91;0;6068.2
g318;37459.1;46458.1;15048.15;20881.07;45100.2;33831.62;g318;47199.4;46458.1;45217.3;15573.21;1511.99;24480.43;g318;47199.4;46458.1;23175.29;20881.07;590.16;6557.97;g318;8455.11;36725.71;13818.28;12320.19;34951.57;48873.32
g324;12853.77;30518.47;27550.57;42289.76;23344.85;7065.66;g324;18169.56;49439.13;14248.4;21779.62;10992.15;21351.39;g324;11702.84;50000;9486.19;12723.88;3107.18;4670.32;g324;8965.49;21924.33;13043.6;4982.37;3366.72;18228.62
g329;31336.53;6729.61;28571.59;40904.51;24981.49;41738.48;g329;6979.91;2010.15;33716.4;9206.81;9458.09;18150.64;g329;14983.66;20661.75;43882.46;28583.28;28583.28;14475.97;g329;16265.72;15941.07;18909.93;17312.49;17312.49;45766.95
g330;10510.59;46656.08;41630.94;27740.75;50000;41126.16;g330;18860.86;782.1;20305.53;18440.69;9982.37;25270.85;g330;3992.04;45550.4;6451.49;3068.24;23924.68;34910.08;g330;16350.13;48880.7;37774.68;26486.09;23924.68;23923.7
g332;46467.96;13281;30590.13;45194.6;0;556.92;g332;13112.38;23669.27;12847.45;28832.57;47539.24;35196.19;g332;33793.48;21304.36;46300.63;2965.12;44188.99;31109.69;g332;1723.66;1465.38;612.97;7027.46;5548.3;39046.5
g335;7508.21;10130.62;10130.62;10130.62;11056.69;10130.62;g335;47562.69;8966.42;41352.03;42883.49;9663.73;40112.8;g335;0;27508.66;13233.98;2699.31;18520.31;17213.87;g335;14855.4;28323.71;10116.02;42270.91;45458.96;22805.54
g338;7230.62;1070.76;25995;14720.12;7230.62;7230.62;g338;21826.35;40248.7;40248.7;29591.18;36231.97;4275.89;g338;32622.43;40248.7;40248.7;6300.41;3453.1;30242.33;g338;9548.09;40248.7;40248.7;50000;7230.62;7230.62
g339;48639.91;8500.98;37674.82;24834.07;9932.55;12970.65;g339;29288.8;5985.87;3765.99;37465.63;18376.03;3182.19;g339;32452.37;22506.8;9810.15;11324.34;18242.18;20423.15;g339;9921.72;38817.7;24965.04;47722.64;32130.35;7625.22
g340;17139.74;27240.4;27240.4;23929.18;30381.62;5986.76;g340;28623.9;38483.36;38483.36;10639.24;43913.61;26050.77;g340;17000.52;38483.36;37216.79;14333.5;34239.3;39265.88;g340;22435.01;38483.36;38483.36;3261.01;44641.71;24493.63
g345;41925.7;50000;39349.51;20622.51;8668.46;0;g345;35741.88;50000;14702.49;28384.41;43401.3;40146.75;g345;0;20390.49;3152.83;33635.88;0;7025.16;g345;50000;7849.07;34282.21;0;27165.84;18069.26
g348;19520.05;9938.91;8108.18;34182.6;22730.26;10937.75;g348;13875.12;33666.49;23771.23;33666.49;33666.49;33666.49;g348;13623.21;26234.45;0;40038.94;30471.84;28894.75;g348;19195.09;33666.49;34908.23;33666.49;33666.49;35610.86
g356;7753.31;24147.06;30590.13;45194.6;978.41;43346.35;g356;44356.82;10678.49;12847.45;28832.57;44192.59;29209.84;g356;19935.09;40801.68;49773.19;40801.68;40801.68;17490.8;g356;39659.56;40694.13;29512.62;0;37124.94;40507.85
g357;1530.65;29727.11;29727.11;34377.96;29727.11;29727.11;g357;15946.18;30855.62;10978.25;32691.23;181.95;23951.58;g357;920.05;47172.13;35145.84;7541.51;6772.52;41044.88;g357;27431.9;29727.11;29727.11;36278.49;29727.11;29727.11
g362;22241.01;3543.35;71.36;23392.1;14372.64;50000;g362;15086.68;39969.22;27980.02;39969.22;8361.68;7879.54;g362;47760.57;28052.99;30608.83;28052.99;11634.48;0;g362;29274.52;14104.06;27852.97;34131.71;34812.94;14909.87
g363;516.99;10130.62;10130.62;10130.62;50000;10130.62;g363;13473.84;39006.85;39006.85;32781.15;26226.72;29098.57;g363;26497.19;36605.98;40745.76;21325.34;30743.93;50000;g363;34935.24;39006.85;39006.85;6456.18;49348.81;38442.05
