;t0;t0;t0;t0;t0;t0;;t1;t1;t1;t1;t1;t1;;t2;t2;t2;t2;t2;t2;;t3;t3;t3;t3;t3;t3;;
;c1;c4;c5;c7;c8;c9;;c1;c4;c5;c7;c8;c9;;c1;c4;c5;c7;c8;c9;;c1;c4;c5;c7;c8;c9;;
g10;16669.68;48418.38;153.64;20722.98;33828.81;19257.89;g10;14251.43;45435.41;23440.64;45435.41;49891.95;45435.41;g10;15225.09;25033.72;25954.23;25033.72;36214.04;25033.72;g10;25310.84;9111.42;30427.06;9111.42;25492.55;9111.42
g11;22419.24;40927.51;12531.42;10456.25;14356.14;3515.61;g11;48525.42;36400.17;31805.22;11938.02;20783.69;44297.42;g11;4065.28;7670.01;31805.22;41862.14;19425.76;31805.22;g11;20643.74;11398.41;10423.85;46134.64;7552.23;45598.29
g12;8500.98;6205.12;50000;48660.89;12970.65;42661.29;g12;5985.87;12132.21;37133.85;10889.48;3182.19;33226.41;g12;22506.8;24481.5;5834.91;40279.72;20423.15;38697.15;g12;1041.3;0;23770.96;33956.55;24320.63;10361.03
g13;2921.29;22672.28;28068.6;33046.12;40484.61;14055.26;g13;44373.2;31982.96;38890.8;10472.97;49189.49;44210.08;g13;124.63;27769.2;17453.68;22074.03;29955.31;26914.08;g13;124.63;27769.2;28653.34;8545.87;9801.49;26914.08
g14;41848.94;50000;41.91;31792.16;4990.56;32292.75;g14;21286.51;29574.71;8514.63;29574.71;2904.16;29574.71;g14;50000;41113.86;23909.14;41113.86;43310.09;41113.86;g14;4312.91;15848.9;38210.16;15848.9;16326.68;15848.9
g15;47230.63;24545.98;13985.67;35484.05;36433.39;49119.1;g15;36719.55;35763.36;11148.48;21002.33;16192.87;10485.43;g15;21246.61;26116.68;27299.63;36635.93;44456.34;48552.3;g15;27643.2;49366.35;37451.77;28734.62;9766.86;45149.93
g16;7356.03;19637.3;23429.63;20525.19;5243.48;24570.28;g16;27743.19;27743.19;43062.93;27407.75;27743.19;49099.32;g16;50000;21619;36854.51;44503.34;8490.43;27863.54;g16;27743.19;27743.19;28150.16;1130.05;27743.19;29490.13
g17;10054.57;31823.34;26872.13;23015.31;5764.43;39864.76;g17;13352.78;40200.2;28786.8;9452.61;47227.64;41018.73;g17;40514.37;50000;31100.85;47627.78;33172.05;47132.11;g17;28982.51;40200.2;28786.8;18296.01;47227.64;41018.73
g18;31609.74;48064.54;38110.24;38102.05;16335.69;20009.46;g18;30524.68;49986.36;18720.35;26244.67;28163.72;44019.71;g18;24005.16;17560.02;44402.8;40761.92;28368.86;0;g18;36738.94;24201.44;8264.46;18539.3;33536.67;9170.66
g19;4007.69;48204.68;14154.28;3371.85;48204.68;48204.68;g19;49008.73;47156.75;28935.72;15678.32;47156.75;47156.75;g19;22831.3;41020.01;37826.74;48014.14;41020.01;41020.01;g19;49751.39;41672.09;25521.92;5242.9;18228.62;5102.98
g20;45609.04;27689.85;49500.41;22579.37;27689.85;27689.85;g20;11351.26;27689.85;21663.16;50000;27689.85;27689.85;g20;27680.98;43722.33;27299.63;0;44456.34;17464.07;g20;44326.37;33805.83;37451.77;43447.99;9766.86;10564.29
g21;10130.62;20829.8;16341.65;23308.33;10130.62;29958.55;g21;40964.67;344.38;41593.58;49342.87;40964.67;40964.67;g21;40964.67;1271.32;47357.9;45016.23;40964.67;40964.67;g21;30497.41;20817.82;7811.86;18567.33;16900.19;29765.05
g22;28857.06;18194.36;43622.47;6321.34;6321.34;1299.28;g22;41107.06;44399.92;41107.06;17000.87;41107.06;2416.28;g22;294.46;11426.87;294.46;3079.52;294.46;22600.84;g22;39535.86;36878.45;16131.99;6321.34;6321.34;20800.04
g23;48566.51;0;45877.23;31363.44;29479.58;20215.44;g23;34863.75;27975.06;41132.83;27387.27;4450.89;31963;g23;915.61;915.61;915.61;42836.35;42830.36;42698.42;g23;31089.6;38741.74;23151.23;27548.3;33701.71;11155.06
g24;2921.29;39973.28;50000;33046.12;40484.61;33435.52;g24;44373.2;15688.88;26640.21;10472.97;49189.49;35036.12;g24;8195.65;18472.14;47285.27;47285.27;37383.88;19464.36;g24;19938.79;47246.65;381.17;381.17;16944.52;28026.36
g25;22081.67;46432.28;1028.8;12919.18;42234.56;33194.27;g25;22081.67;46432.28;7422.44;46074;50000;20985.52;g25;22081.67;46432.28;0;38518.81;16813.7;35501.77;g25;24738.35;5375.74;31633.42;37423.7;18396.65;42982.01
g26;1559.34;4265.53;25805.31;50000;39497.09;25172.1;g26;3011.06;8539.14;10060.38;40047.46;50000;4511.94;g26;39987.63;33777.14;29526.57;47580.58;39497.09;25172.1;g26;12646.98;43971.73;42012.63;45483.41;35964.44;39612.31
g27;3936.13;25891.02;35923.95;23250.11;46553.44;38988.15;g27;43168.95;26201.22;42566.02;17169.03;15621.5;36703.04;g27;10571.81;1387.63;10571.81;10571.81;10571.81;17187.61;g27;34407.3;40216.07;34407.3;34407.3;35724.65;5283.84
g28;8500.98;36124.49;50000;48660.89;12970.65;42661.29;g28;5985.87;20793.95;11610.36;10889.48;3182.19;33226.41;g28;22506.8;10768.72;41464.18;40279.72;20423.15;38697.15;g28;39409.67;32076.74;21468.53;33957.79;49716.41;33002.89
g29;8500.98;17184.04;2772.38;48660.89;12970.65;42661.29;g29;5985.87;27284.06;16172.68;10889.48;3182.19;33226.41;g29;22506.8;7199.23;41102.63;40279.72;20423.15;38697.15;g29;26487.79;34642.26;38307.51;38334.44;31016.41;33119.33
g30;39357.91;39655.4;35341.57;13121.47;35435.49;31990.99;g30;18352.09;32707.98;18668.84;50000;37022.23;38451.19;g30;32564.64;43836.27;43836.27;43836.27;15635.33;43836.27;g30;32103.49;43836.27;43836.27;43836.27;46447.1;43836.27
g31;39383.97;22638.47;31200;1085.96;48123.34;30646.64;g31;13460.69;2288.76;8846;20912.14;43349.88;48546.74;g31;2250.99;29725.68;15195.4;28112.24;7413.48;47912.61;g31;22151.62;19833.69;45040.07;39402.84;37390.56;27247.53
g32;3379.53;41529.99;33805.15;34320.1;49819.68;20946.94;g32;29186.48;12022.17;32668.59;41368.37;20965.26;20965.26;g32;50000;1313.91;20965.26;17696.32;20965.26;20965.26;g32;38656.01;49548.55;20965.26;20883.79;20965.26;20965.26
g33;43911.12;2157.23;13582;37640.53;13873.68;47109.2;g33;19219.37;19391.07;35799.27;29999.03;26445.15;7868.21;g33;3575.26;18125.17;5652.14;28259.93;48503.76;689.07;g33;4846.34;4654.41;31673.34;31848.62;16450.91;38806.69
g34;19236.97;19244.43;38872.75;35779.95;23295.34;9188.04;g34;1695.85;20977.46;45075.3;12205.86;31196.32;12205.86;g34;35258.78;8482.72;12224.12;32185.64;28522.35;48072.41;g34;21758.7;12333.66;1627.43;17722.79;675.4;17722.79
g35;34022.43;9250.45;27761.05;27761.05;27761.05;14349.72;g35;35506.26;5884.74;36207.56;36207.56;36207.56;0;g35;152.85;45517.67;2382.21;2382.21;2382.21;11888.43;g35;28548.94;18633.22;16721.46;8518.86;0;1077.08
g36;44348.02;24185.72;16053.62;48577.48;18868.69;19719.69;g36;25154.29;8642.51;5381.77;27763.28;8214.97;3861.84;g36;43513.01;15437.14;15437.14;17854.14;50000;15437.14;g36;16852.82;1889.26;36683.55;26874.41;6374.9;3089.6
g37;43471.73;17975.03;35307.6;30289.05;6775.65;39012.9;g37;0;0;22843.56;31844.93;10156.81;13319.68;g37;28897.49;49662.94;35307.6;1007.86;6775.65;48500.12;g37;9362.03;31233.35;35307.6;28830.28;6775.65;28771.95
g38;45941.19;13838.17;17346.12;5999.39;38088.83;21872.04;g38;6252.84;40200.2;28786.8;15583.38;47227.64;41018.73;g38;43566.05;45540.56;15257.44;50000;5138.8;17567.55;g38;33590.75;40200.2;28786.8;33715.36;47227.64;41018.73
g39;17876.4;6338.35;15495.46;6193.42;39707.35;0;g39;35968.32;34262.3;33343.39;19873.7;29924.01;50000;g39;4421.69;6338.35;2668.15;6338.35;32265.47;24243.23;g39;0;37627.68;38842.42;9760.07;16732.96;36769.74
g40;3171.01;5870.88;33519.62;36575.25;8720.83;11732.59;g40;27022.2;11998.43;36328.38;30245.67;22581.2;2349.91;g40;5516.18;5516.18;5516.18;367.08;19738.07;12257.77;g40;13983.8;47875.28;26731.74;40127.58;32593.59;10030.96
g41;12352.58;23213.63;17328.79;183;36599.52;36733.22;g41;19190.2;0;33892.46;4345;20062.94;18599.04;g41;8494.77;47819.2;4978.75;31303.17;22564.18;10795.14;g41;50000;31655.37;32776.63;4345;48935.11;24882.79
g42;10744.17;0;1631.74;44699.89;39574.84;17792.33;g42;40938.15;5235.56;26892.09;15601.44;18082.86;24835.33;g42;3638.82;50000;27387.37;0;19508.38;39505.63;g42;34704.79;17101.06;16487.99;5985.91;12271.05;35465.51
g43;10130.62;31907.13;21057.55;22252.83;10130.62;15527.48;g43;7299.63;15664.02;11223.92;7299.63;47278.92;7299.63;g43;7299.63;46051.5;40467.53;7299.63;25646.89;31785.76;g43;7299.63;33766.05;12113.88;7299.63;23983.84;44252.05
g44;4211.05;25374.75;33756.48;3480.91;42026.09;41847.93;g44;19322.43;47187.49;15709.89;46287.3;2684.71;31081.45;g44;0;25374.75;33756.48;3480.91;42026.09;34767.23;g44;50000;7935.81;30269.52;5242.9;18228.62;5102.98
g45;22081.67;46432.28;4087.14;16998.53;25850.52;45209.71;g45;26348.25;46432.28;46745.44;40216.09;10887.16;31558.76;g45;22081.67;46432.28;12679.77;34712.4;49091.8;22351.34;g45;41796.64;37886.1;21223.12;25643.72;5415.96;34334.54
g46;49500.06;10241.81;10740.38;14068.82;10740.38;3231;g46;577.59;21982.72;577.59;15636.73;38545.73;35663.99;g46;577.59;0;577.59;577.59;31110.35;19672.57;g46;577.59;45974.67;577.59;577.59;12314.55;26666.48
g47;36140.63;35594.54;28709.53;26765.72;2223.88;35594.54;g47;24614.75;23955.01;24495.99;330.85;7094.7;42590.62;g47;46195.38;13795.78;41655.63;7072.23;10524.3;2621.81;g47;26433.88;35594.54;13879.02;37000.16;37614.57;35594.54
g48;16520.6;10162.67;919.5;24726.78;16236.72;39755.71;g48;26800.87;31148.66;0;0;9029.17;44482;g48;17797.52;33190.26;50000;49604.1;3937.38;30724.27;g48;22176.35;10162.67;20217.53;24068.94;32526.38;39755.71
g49;26633.58;13468.83;25823.98;32176.77;45983.08;0;g49;25771.37;40311.95;10260.87;6236.83;23332.6;720.24;g49;13253.81;33401.87;48758.89;29837.27;38105.75;27845.44;g49;13253.81;33401.87;43638.42;2366.76;41822.45;14143.16
g50;1972.5;13371.46;37804.14;12248.75;28069.52;35835.66;g50;50000;18730.14;37804.14;38711.4;28069.52;35835.66;g50;47443.49;10383.05;6187.26;25227.68;21594.07;18395.2;g50;47443.49;10383.05;27166.1;28063.2;16799.4;18395.2
g51;5364.02;40760.49;13894.73;31040.58;13154.64;34349.02;g51;40510.75;45808.9;19981.34;25003.7;1133.67;11969.07;g51;0;50000;35836.49;50000;32693.41;472.67;g51;25496.64;28739.84;2676.79;25003.7;31660.74;42727.72
g52;31279.84;25417.47;21307.15;442.23;39497.09;25172.1;g52;25375.43;25375.43;25375.43;4836.58;30923.75;43283.43;g52;14633.42;6103.6;48641.04;23092.13;39497.09;25172.1;g52;48700.44;48700.44;48700.44;18948.6;8680.22;49327.68
g53;19738.97;34037.59;32464.53;32557.83;32557.83;32557.83;g53;42676.34;27269.78;39901.19;8140.61;28209.4;11451.36;g53;19455.87;27359.88;28088.78;25897.58;25897.58;25897.58;g53;1194.88;38464.42;26766.07;3476.43;16489.17;24379.22
g54;21409.94;0;19835.19;27761.05;27761.05;27121.92;g54;16355.67;20181.11;36207.56;36207.56;36207.56;31507.46;g54;21739.18;18859.99;2382.21;2382.21;2382.21;24556.86;g54;27310.08;11172.53;7169.12;29450.39;37638.5;21645.16
g55;35714.03;39654.92;39750.49;3273.42;38043.09;40166.78;g55;25682;15602.72;14072.46;33170.24;25682;25682;g55;38589.02;15437.14;15437.14;43099.91;46348.71;15437.14;g55;25682;19872.9;32017.02;48487.64;25682;25682
g56;33273.76;18257.74;41493.34;24149.95;44206.49;36100.6;g56;25375.43;40543.03;25375.43;29455.21;322.59;41653.86;g56;38073.23;40436.63;0;14141.4;13185.12;38777.12;g56;48700.44;48700.44;48700.44;44507.36;30516.46;33605.74
g57;5165.06;3727.25;9167.13;663.01;29778.64;19281.67;g57;27905.3;13253.7;21490.01;4611.05;18241.79;25348.26;g57;26168.74;26168.74;21483.61;49939.3;26168.74;25879.25;g57;26020.93;705.35;42841.24;43230.47;12775.21;4567.32
g58;11617.12;16836.9;17524.62;7286.71;13615.66;20443.92;g58;12558.71;31699.37;47728.91;1687.58;21839.95;21322.65;g58;38273.7;24765.03;47728.91;1687.58;21839.95;25675.59;g58;29165.74;26472.98;47728.91;1687.58;21839.95;46964.12
g59;35295;49181.99;18458.36;43299.58;13792.86;6505.05;g59;39969.22;13674.91;39969.22;39969.22;3171.88;5530.63;g59;28052.99;9162.71;28052.99;28052.99;30222.41;34659.98;g59;27390.97;39197.51;12602.33;44407.21;18571.92;23422.08
g60;26580.23;28441.62;43282.43;24092.5;31646.49;0;g60;41383.71;40273.76;31805.22;7673.59;23800.27;31805.22;g60;30267.43;10367.38;31805.22;11570.56;7517.43;31805.22;g60;6014.22;43192.45;29702.7;49848.1;4159.2;48996.18
g61;7181.44;43886.74;16629.08;20207.75;33003.8;18751.24;g61;29150.84;46859.49;29341.75;50000;48639.2;18353.24;g61;44540.98;15366.69;27299.63;3997;44456.34;36175.86;g61;12247.75;4305.34;37451.77;50000;9766.86;12757.87
g62;2921.29;5683.96;5080.74;33046.12;40484.61;8478.65;g62;44373.2;33085.63;16794.74;10472.97;49189.49;989.45;g62;13857.45;49272.17;10864.7;41963.45;19545.3;40593.24;g62;18173.73;1371.95;39450.75;36376.35;18879.5;12340.31
g63;37771.81;27021.41;10769.88;13369.76;47543.79;37136.14;g63;29093.25;14787.61;43580.91;10225.45;38316.63;38930.66;g63;42042.49;11426.56;28534.38;30467.36;30410.58;27329.65;g63;7946.4;15922.27;2423.89;43149.51;36093.72;19723.06
g64;44791.24;29042.86;4429.85;1052.05;26333.14;9679.38;g64;42983.75;34532.01;30531.75;1002.15;541.54;48870.19;g64;26168.74;26168.74;25983.35;16742.42;26168.74;3838.99;g64;18981.38;22505.76;42087.58;64.93;44488.6;49776.72
g65;10861.92;22729.73;28638.27;8199.15;37462.34;12654.37;g65;43206.79;17017.49;17017.49;11548.96;17017.49;17224.67;g65;5048.6;26425.26;17017.49;22617.5;17017.49;22388.17;g65;48929.79;27837.06;17671.36;4209.21;37552.53;49860.82
g66;22495.52;8128.34;16112.89;3673.72;11794.97;733.16;g66;31519.51;45288.41;32657.86;44486.35;23381.92;38935.51;g66;31324.85;50000;27299.63;6630.55;44456.34;41973.81;g66;8190.73;14363.39;37451.77;29612.75;7597.02;49253.83
g67;15278;18873.08;18864.2;4251.71;49579.79;5353.02;g67;23605.66;26892.41;0;20838.78;28598.84;16184.43;g67;0;5033.96;13838.24;32531.6;2037.61;28972.38;g67;43497.32;48961.67;31492.44;36634.37;20270.58;12678.13
g68;49599.5;7230.62;7230.62;25183.18;7230.62;35201.37;g68;22291.26;31482.33;44760.28;10114.42;14199.28;31744.17;g68;31128.44;16009.64;23150.07;21014.96;47543.71;37807.91;g68;44698.92;7230.62;7230.62;32289.26;7230.62;13949.69
g69;4138.63;11627.29;17350.28;1178.34;31302.22;12408.75;g69;46555.61;44965.39;45031.01;4613.35;30461.79;30012.49;g69;30982.26;49236.35;39401.93;15056.33;2837.11;38193.72;g69;27455.11;47041.87;34062.89;42993.79;35828.86;13792.69
g70;48758.65;8371.1;30568.67;36340.67;29222.47;22403.02;g70;33666.49;33666.49;44172.29;10819.56;33666.49;20071.94;g70;47787.73;4940.3;39889.86;50000;22048.7;40911.86;g70;33666.49;33666.49;18903.57;0;33666.49;26853.6
g71;12964.44;17745.2;40267.8;24427.09;39078.66;47060.04;g71;31517.7;35285.49;30893.97;48720.13;39225.02;0;g71;37021.64;25262.43;25262.43;25262.43;33041.52;25262.43;g71;12873.23;25262.43;47554.43;25262.43;715.56;25262.43
g72;26342.68;20564.23;11141.12;21783.36;3105.61;24964.71;g72;26342.68;21738.06;50000;21783.36;34811.3;6261.86;g72;26342.68;30789.2;7458.56;21783.36;11925.37;48987.82;g72;226.7;49245.8;37921.81;45624.9;45624.6;24159.64
g73;18011.36;42598.83;26576.73;40050.87;11938.13;50000;g73;18889.14;36092.8;40227.49;43234.05;37183.64;43174.2;g73;50000;48086.34;48086.34;48086.34;30709.1;48086.34;g73;1774.38;48086.34;48951.35;48086.34;13545.1;48086.34
g74;10640.34;27142.16;28202.74;44665.02;8502.67;1335.05;g74;9295.5;41795.19;45324.13;27459.42;40146.75;7078.88;g74;10257.61;11986.71;25049.89;42192.22;42144.17;48949.39;g74;35711.73;50000;44051.86;16736.72;19182.56;14280.95
g75;28342.34;9060.71;23009.92;10510.51;26175.78;24645.72;g75;41166.98;42650.16;50000;22070.85;41642.84;35478.02;g75;38867.08;18510.2;23009.92;36802.95;26175.78;221.57;g75;20885.1;33657.35;23009.92;20884.81;26175.78;17152.17
g76;43630.56;26089.66;45804.97;32960.66;26510.58;27689.85;g76;41942.61;27689.85;14218.95;24438.9;27689.85;27689.85;g76;10716.41;2532.34;427.09;427.09;22952.67;6506.85;g76;15866.29;37518.79;22237.26;22237.26;19037.22;30289.94
g77;32135.31;2475.56;27761.05;27761.05;27761.05;14402.04;g77;27167.43;38748.56;36207.56;36207.56;36207.56;7086.53;g77;26467.45;31577.09;2382.21;2382.21;2382.21;28067.56;g77;15155.37;35085.97;23022.63;6179.15;6893.04;32907.7
g78;21126.13;29923.01;33253.9;5405.48;39503.33;43159.43;g78;43832.08;17856.13;27824.13;43832.08;43832.08;38087.32;g78;1924.62;1057.11;41961.27;33302.65;32848.49;36851.08;g78;5694.83;44768.41;3516.75;46716.39;24600.08;25752.21
g79;21546.1;6047.74;15026.75;26551.3;17237.22;7788.41;g79;35782.98;33666.49;50000;43328.49;33666.49;36681.61;g79;40801.68;40801.68;36538.81;13407.94;8119.16;40801.68;g79;33666.49;33666.49;21246.47;1824.95;33666.49;42262.58
g80;13350.1;28892.88;50000;35458.41;27896.69;16638.37;g80;21892.04;25512.62;26335.16;37298.5;16240.91;32793.47;g80;33358.71;28892.88;49410.97;25383.74;2443.08;16638.37;g80;40654.56;28583.7;34081.89;44764.51;27871.52;15568.92
g81;31318.94;27471.33;43479.18;9721.12;18154.07;28536.6;g81;49115.18;5097.61;25366.81;19673.29;11201.47;41915.54;g81;24709.37;48412.93;27299.63;35041.04;44456.34;31673.39;g81;26360.85;8015.27;37451.77;48403.32;9766.86;33631.88
g83;35970.22;38807.09;18161.27;28695.61;25269.46;6885.67;g83;38855.82;13063.76;18507.63;23871.28;13211.48;27086.58;g83;10462.46;9967.36;18507.63;25890.63;13211.48;15242.92;g83;27832.47;0;18507.63;23871.28;13211.48;2293.08
g84;19024.99;905.24;45877.23;11068.58;29479.58;13263.29;g84;25357.92;27975.06;40978.92;33221.62;4450.89;38917.19;g84;48698.24;50000;48200.27;0;24260.14;42059.9;g84;14802.47;38741.74;23151.23;19681.54;33701.71;36342.08
g85;50000;29986.18;44222.4;50000;32771.29;0;g85;15621.94;13124;15621.94;15621.94;4744.61;2458.31;g85;15621.94;22198.54;42859.48;15621.94;3954.8;42588.04;g85;15621.94;2936.27;15621.94;15621.94;5771.93;50000
g86;8009.17;23793.95;39810.69;6735.88;6735.88;50000;g86;41107.06;33830.82;41107.06;39220.65;41107.06;42930.39;g86;294.46;41055.42;294.46;49688.21;294.46;17599.11;g86;48179.23;0;17089.85;6735.88;6735.88;138.85
g87;8111.9;3887.35;29417.81;26667.04;0;13469.42;g87;37286.33;44444.08;39111.79;12205.86;8792.58;12205.86;g87;40801.68;40801.68;0;44680.32;0;40801.68;g87;50000;12149.92;41296.03;17722.79;44083.49;17722.79
g88;37268.4;15491.56;41507.02;15491.56;31355.4;49071.76;g88;32747.78;36424.05;35623.07;4461.15;45587.81;30445.8;g88;1889.68;15491.56;6283.47;15491.56;10721.02;0;g88;12648.33;38219.43;41822.14;14363.79;31006.42;32962.83
g89;8727.49;29967.81;24513.51;5830.6;17459.01;12317.65;g89;22120.74;11053.82;31805.22;38470.91;0;31805.22;g89;46988.66;31080.51;31805.22;24935.13;17014.7;31805.22;g89;0;36770.81;11668.88;0;30378.85;10869.96
g90;46479.74;16006.77;11091.97;19905.59;28456.42;19225.95;g90;35574.52;47476.45;47476.45;47476.45;38156.98;47476.45;g90;5831.33;41466.03;10859.91;8241.68;49176.36;29741.68;g90;32520.67;49264.29;27582.98;50000;36813.2;7863.25
g91;23174.54;38683.56;9656.59;31864.72;49790.59;14981.4;g91;12516.91;32302.76;266.84;33919.85;266.84;266.84;g91;42572.64;30399.63;266.84;7705.28;266.84;266.84;g91;3350.28;29302.83;266.84;6358.64;266.84;266.84
g92;35474.12;37391.59;8724.57;43009.06;26004.7;29646.66;g92;10515.21;45406.9;32464.71;10571.6;9502.01;21249.34;g92;42067.11;8256.33;34188.24;3450.32;36699.69;0;g92;17291.3;50000;13705.93;44757.37;24609.59;45429.32
g93;43543.49;29216.96;8598.34;40190.45;29099.5;14968.42;g93;28203.29;1478.58;2519.05;13357.02;33183.04;20405.31;g93;7537.86;18459.17;23100.49;42337.36;6032.57;5278.1;g93;47522.2;19546.8;31924.17;29099.5;29099.5;38545.73
g94;45844.57;20784.84;17256.48;35173.42;11737.89;5462.7;g94;5495.49;39682.59;43711.46;36135.69;7626.29;31195.5;g94;26168.74;25101.28;48768.06;31542.07;26168.74;5404.54;g94;26503.16;45123.27;50000;40281.01;5678.12;31946.23
g95;22253.35;46267.82;24845.18;29464.08;3387.04;7149.38;g95;47837.01;17017.49;17017.49;29585.36;17017.49;50000;g95;46804.94;17017.49;17017.49;5154.78;17017.49;37460.83;g95;10213.63;23072.93;37575.73;27734.01;2038.2;32196.21
g96;12825.88;40550.12;19125.2;10648.3;42856.51;20809.07;g96;48223.07;1057.53;47247.55;598.08;29539.69;9529.46;g96;15618.64;18436.82;36914.84;598.08;29539.69;35252.05;g96;7348.13;29434.54;36914.84;598.08;29539.69;47569.63
g97;21108.64;31441.13;20489.39;39504.11;21248.79;30134.74;g97;16732.54;4316.26;30446.53;4316.26;11727.07;4316.26;g97;22235.39;43733.58;38296.11;43733.58;39069.49;43733.58;g97;7704.07;3839.1;43939.78;3839.1;29290.89;3839.1
g98;22081.67;46432.28;42638.65;6210.07;25139.05;0;g98;22081.67;46432.28;24083.38;45367.03;34084.83;33316.99;g98;22081.67;46432.28;14097.07;5790.24;32804.03;24469.86;g98;13019.48;19599.44;50000;3478.75;29447.51;23490.87
g99;34027.91;19513.17;10485.9;35774.2;35774.2;35774.2;g99;44780.13;16566.64;16566.64;16566.64;34728.52;16566.64;g99;34460.85;12365.21;18076.83;40075.47;40075.47;40075.47;g99;41106.52;35451.88;42709.23;21841.95;16512.24;6304.47
g100;46719.78;48117.16;11245.58;0;37739.76;33280.1;g100;30181.42;48844.96;30127.3;10777.21;28126.23;36996.54;g100;34151.42;857.51;30127.3;10777.21;28126.23;46568.96;g100;43047.89;36614.29;30127.3;10777.21;28126.23;46647.57
g101;19154.72;15128.69;26144.8;27955.68;46938.59;12615.06;g101;27743.19;27743.19;8951.59;29988.17;27743.19;43312.32;g101;49757.29;15437.14;15437.14;39757.54;36889.01;15437.14;g101;27743.19;27743.19;38528.6;2847.99;27743.19;21877.34
g102;9964.43;22332.39;47282.72;25173.98;22332.39;22332.39;g102;20997.12;27330.1;20997.12;20997.12;27330.1;26240.77;g102;20997.12;21.93;20997.12;20997.12;21.93;21.93;g102;20997.12;44260.38;20997.12;20997.12;38813.71;17491.76
g103;20253.3;28892.88;49410.97;4788.31;34736.51;16638.37;g103;24130.07;11638.48;5740.97;48321.01;44340.26;50000;g103;50000;28892.88;49410.97;39052.08;14426.79;16638.37;g103;18933.09;44145.28;23575.19;10337.02;0;30805.14
g104;19576.03;27302.82;9167.13;19254.43;48994.97;19281.67;g104;46965.95;37626.08;21490.01;8949.01;26770.51;25348.26;g104;8727.56;15437.14;15437.14;0;19644.41;15437.14;g104;32980.31;41247.22;22162.95;22503.73;46224.14;49582.66
g105;48553.66;37873.25;5205.76;48553.66;43142.01;8995.69;g105;25375.43;25375.43;25375.43;27262.21;41952.29;46241.43;g105;40160.53;41560.29;49978.1;43823.38;49949.49;47984.13;g105;48700.44;48700.44;50000;11874.57;48505.32;10300.64
g106;27145.73;6747.33;762.67;31583.09;5005.96;40806.72;g106;5014.87;6747.33;762.67;31583.09;28481.31;40806.72;g106;45945.36;42518.46;47737.12;34030.81;25089.58;570.21;g106;49827.65;25244.02;30869.89;49757.89;35914.14;36604.78
