;t0;t0;t0;t0;;t1;t1;t1;t1;;t2;t2;t2;t2;;t3;t3;t3;t3;;
;c2;c7;c8;c9;;c2;c7;c8;c9;;c2;c7;c8;c9;;c2;c7;c8;c9;;
g150;25033.6;44648.13;25340.46;30062.33;g150;36623.4;42162.28;47725.31;48591.36;g150;8182.86;11779.98;33899.21;50000;g150;33684.16;166.05;47227.64;41018.73
g151;35574.1;31583.09;29302.79;40806.72;g151;6356.97;33597.93;40685.63;40806.72;g151;18876.72;12731.96;36699.69;45312.65;g151;50000;3840.88;19268.83;50000
g154;48350.64;42343.42;39497.09;25172.1;g154;39133.08;8503.83;33666.49;31574.06;g154;17898.04;22661.67;39497.09;25172.1;g154;8367.39;46289.74;33666.49;7828.71
g155;8087.65;8087.65;13272.84;34716.47;g155;7803.38;38427.76;30040.7;48725.39;g155;13002.51;10649.27;10649.27;44759.04;g155;30788.89;30788.89;30788.89;49604.19
g159;25165.29;43409.26;49890.48;20334.21;g159;42047.73;37672.93;12468.28;4967.01;g159;18562.53;34337.75;12299.85;42147.38;g159;46712.29;35997.44;12882.87;12966.76
g161;5474.47;21176.39;20903.94;36534.65;g161;24177.38;40188.25;20841.92;8287.84;g161;34275.23;2227.4;1882.38;47114.45;g161;48700.44;9163.93;8256.03;47883.02
g164;23566.63;28951.39;50000;49939.17;g164;31805.22;9876.4;18930.84;31805.22;g164;31805.22;33649.34;43078.26;31805.22;g164;15558.62;9677.92;40554.97;17433.44
g166;37912.5;29375.52;0;586.76;g166;41357.43;41357.43;25998.33;50000;g166;5992.59;50000;31533.59;19110.91;g166;41357.43;41357.43;17963.62;10440.69
g167;43229.71;43229.71;43229.71;43229.71;g167;36906.37;11096.18;37870.5;0;g167;34938.9;34938.9;34938.9;33142.04;g167;13043.6;5242.9;18228.62;5102.98
g169;0;19180.92;16269.59;37702.88;g169;18964.29;18964.29;18964.29;40510.61;g169;50000;19180.92;16269.59;34212.04;g169;46659.37;24382.92;26737.96;0
g170;35594.54;4424.99;41626.5;35594.54;g170;15320.7;40374.96;0;4273.63;g170;39694.13;3901.49;15939.39;24835.43;g170;35594.54;44551.27;21247.43;35594.54
g172;17398.94;27751.19;13972.63;23330.15;g172;338.01;45042.4;17625.72;6488.74;g172;34781.11;20466.07;50000;40593.24;g172;7006.18;29455.89;26534.88;12340.31
g173;17176.99;34235.72;46001.91;46001.91;g173;46290.28;21878.61;49878.63;49878.63;g173;706.11;34819.41;28740.28;28740.28;g173;13043.6;5242.9;18228.62;5102.98
g174;2465.23;30374.32;16077.48;15622.49;g174;9471.26;29900.67;13320.75;4537.4;g174;12747.39;31290.94;44073.91;0;g174;46932.3;5667.31;2506.91;10612.53
g177;40419.13;32610.61;39497.09;25172.1;g177;0;20404.39;13705.24;0;g177;14627.3;21932.95;39497.09;25172.1;g177;39673.45;9023.68;29688.64;7411.4
g178;17696.61;35779.95;26390.27;5724.06;g178;21939.43;31765.69;43349.88;48546.74;g178;21383.98;20718.04;8196.46;11809.61;g178;47109.6;50000;37390.56;27247.53
g179;25185.91;33986.24;7230.62;20418.3;g179;21544.14;45848.1;2869.54;45628.21;g179;16675.51;22768.61;26366.7;16001.61;g179;42926.79;40251.56;7230.62;44811.98
g183;5405.21;32584;7100.11;8205.68;g183;22608.11;45273.03;32489.04;28705.15;g183;19035.74;20380.19;32489.04;5776.01;g183;11370.75;9623.92;11296.09;8424.18
g186;20303.48;14090.36;2239.4;30218.09;g186;15355.29;28561.83;10019.88;6654.33;g186;30982.26;46029.4;28692.31;31974.31;g186;27455.11;46698.06;30512.03;7198.38
g190;26561.4;8238.43;20055.7;41897.38;g190;41107.06;46320.17;41107.06;23732.88;g190;294.46;44785.49;294.46;25543.32;g190;44665.22;43674.82;13257.84;9697.28
g193;8588.47;19479.47;18054.51;18485.18;g193;22010.78;44080.89;19179.37;32454.96;g193;26884.17;11117.02;8635.74;23368.64;g193;17729.66;10988.31;31218.83;40586.98
g194;18695.71;27761.05;27761.05;30604.15;g194;28522;36207.56;36207.56;10584.11;g194;26909.27;2382.21;2382.21;37257.34;g194;1519.58;9290.26;26894.67;4697.51
g206;39000.92;8822.03;7123.64;14370.41;g206;27743.19;36802.57;27743.19;39845.41;g206;14178.7;37801.4;17339.3;32238.12;g206;27743.19;47528.4;27743.19;50000
g212;17990.52;37470.26;7520.17;3090.06;g212;45247.04;24902.69;36414.8;25688.42;g212;7980.15;32511.54;43633.67;15358.97;g212;38148.87;8200.41;48129.41;14215.47
g219;23778.03;32036.63;46927.76;2402.23;g219;10322.58;13496.29;41475.78;41334.62;g219;50000;38997.04;36699.69;14153.11;g219;45096.2;14357.43;708.49;33992.78
g223;43483.3;39014.87;41657.18;6606.8;g223;25375.43;16946.99;21069.59;34965.73;g223;14938.28;37663.72;3375.01;48419.79;g223;48700.44;10460.09;9455.68;7993.68
g225;630.54;11221.96;49860.85;33897.83;g225;46758.06;18830.73;29890.73;25103.47;g225;0;27760.13;42532.04;3623.64;g225;37779.27;13634.91;40184.63;1506.48
g226;32373.65;32373.65;46933.26;36647.36;g226;21050.84;67.57;27370.13;67.57;g226;16537.13;10686.07;28815.39;10686.07;g226;8144.14;38017.31;37690.42;38017.31
g228;37674.82;48660.89;12970.65;42661.29;g228;3765.99;10889.48;3182.19;33226.41;g228;24115.71;40279.72;20423.15;38697.15;g228;43817.05;34324.38;34222.03;22909.78
g232;50000;38679.05;22207.9;5052.22;g232;14868.74;11858.7;42011.51;30279.1;g232;5668.18;111.74;22332.35;12816.52;g232;24868.14;15118.27;33653.47;22897.52
g233;24963.89;29673.93;36567.6;13372.47;g233;24963.89;31817.62;36567.6;14501.62;g233;4075.45;4075.45;20023;1416.98;g233;29006.09;29006.09;42291.26;13442.66
g234;48517.53;31008.31;11287.91;39335.8;g234;28763.16;21043.61;32489.04;42121.34;g234;4459.81;35556.35;32489.04;15386.25;g234;17219.7;14658.26;37931.57;11217.46
g238;2048.05;14786;46709.39;47768.74;g238;24588.96;23924.94;39237.17;30180.7;g238;12970.92;43221.34;10856.43;40593.24;g238;50000;5999.61;22684.83;12340.31
g240;39487.58;46838.47;39487.58;39487.58;g240;45879.33;15481.97;217.59;48093.01;g240;5321.11;5321.11;5321.11;5321.11;g240;24238.71;5781.49;50000;2990.97
g243;3074.37;46894.07;16444.69;14082.66;g243;3074.37;12205.86;29553.96;12205.86;g243;3074.37;2523.37;11186.85;37011.1;g243;35738.29;17722.79;3614.16;9772.59
g246;41164.5;11533.77;10740.38;31647.04;g246;22790.17;42344.86;18785.46;11194.64;g246;10740.85;25772.41;2597.45;1516.66;g246;2310.97;5200.52;25309.14;44248.6
g249;44224.24;971.37;7230.62;47865.99;g249;9251.7;10607.86;2581.25;46258.18;g249;21166.01;8330.23;29635.89;11645.47;g249;36864.07;21367.17;7230.62;0
g252;28012.43;28012.43;27596.51;25977.32;g252;37074.09;14030.81;4670.97;16759.54;g252;28012.43;28012.43;25608.5;17496.75;g252;44869.82;2379.62;10827.79;50000
g253;34532.76;27761.05;27761.05;50000;g253;30776.98;36207.56;36207.56;44929.67;g253;16694.39;2382.21;2565.47;23838.6;g253;22137.86;10343.42;26576.77;50000
g255;32391.17;7058.02;7017.88;14344.17;g255;31805.22;27720.92;32441.51;31805.22;g255;31805.22;36109.99;21008.38;31805.22;g255;46883.08;20493.82;25725.59;7366.51
g256;24783.71;25546.68;3718.42;43328.34;g256;38758.8;36542.54;2536.34;50000;g256;48200.89;35717.8;44421.91;21496.84;g256;4460.32;48594.76;42316.33;21496.84
g257;17424.44;338.12;35772.95;32636.54;g257;16689.64;11861.45;8386.34;5334.58;g257;19388.07;19388.07;21487.86;48135.91;g257;48866.09;48866.09;48866.09;39816.7
g259;35137.32;24068.94;29427.18;39755.71;g259;0;18970.63;29834.15;32112.79;g259;48291.39;12238.92;31539.52;36658.98;g259;35137.32;24068.94;40960.17;39755.71
g262;9248.71;47284.49;11195.46;44141.4;g262;36623.4;34546.13;23177.26;0;g262;8182.86;34572.48;18842.2;21217.09;g262;22735.26;9313.19;61.52;50000
g268;28011.13;18583.49;49922.08;22902.83;g268;32240.86;42301.14;48263.58;21606.11;g268;48816.21;48816.21;48816.21;39147.79;g268;48996.3;48996.3;48996.3;24035.62
g272;48004.14;33046.12;40484.61;16549.92;g272;41366.74;10472.97;49189.49;33948.5;g272;38275.96;16018.36;44683.77;1962.72;g272;40592.28;40128.76;39721.25;38567.17
g273;3074.37;43022.4;24683.76;35626.93;g273;3074.37;28926.76;28364.01;29159.1;g273;3074.37;23755.21;28995.38;47004.94;g273;13043.6;5242.9;18228.62;5102.98
g274;19643.34;16428.16;19643.34;23094.69;g274;27086.62;5664.27;21401.18;10694.08;g274;4578.31;13776.03;41112.42;43344.63;g274;19643.34;4549.05;19643.34;37867.38
g278;16724.1;3291.06;30731.87;24527.94;g278;3520.79;25252.51;46690.33;38251.15;g278;30982.26;50000;14010.6;0;g278;27455.11;46995.32;39425.03;38834.62
g290;9496.68;16424;33847.37;9540.09;g290;16763.95;10764.92;42669.56;38303.95;g290;30982.26;41084.57;21617.38;40202.58;g290;27455.11;11184.08;17307.35;34096.95
g374;22626.76;22626.76;23784.6;19053.73;g374;19965.27;44239.59;6586.64;6586.64;g374;22099.15;8808.93;16897.57;6586.64;g374;22626.76;22626.76;22626.76;17747.31
g375;22033.37;27408.49;0;18329.17;g375;19074.75;7213.12;36502.96;47555.45;g375;31019.73;31019.73;22937.37;35922.1;g375;36878.41;36878.41;17454.63;33681.91
g376;16004.98;36762.25;42546.19;45218.05;g376;0;17996.14;0;16427.86;g376;30388.21;0;44981.71;46208.67;g376;18307.14;32005.13;46371.6;37232.83
g377;10169.13;122.09;6639.5;29102.92;g377;15902.28;48089.69;15582.36;8056.53;g377;42395.62;6033.87;35400.66;16629.53;g377;45200.41;50000;32511.29;11310.2
g378;30590.13;40795.2;50000;19281.67;g378;12847.45;25309.48;45721.6;25348.26;g378;18228.73;18228.73;18228.73;18975.73;g378;44242.09;44242.09;44242.09;34991.87
g379;36420.27;49895.71;32747.6;47537.71;g379;50000;27856.62;38289.68;21561.4;g379;10038.58;38933.25;24576.63;40801.68;g379;0;32736.22;19160.97;45099.7
g380;41104.08;21143.97;20156.37;16655.23;g380;44848.92;26494.05;17439.05;14893.57;g380;41104.08;4369.75;20156.37;13237.22;g380;41104.08;47801.47;20156.37;29230.76
g426;47213.04;35846.65;40134.91;32469.7;g426;49184.84;26494.05;40146.75;38414.84;g426;7959.75;27852.72;24647.9;10300.48;g426;31288.09;33732.76;8854.53;24366.35
g427;28928.8;28928.8;28928.8;28928.8;g427;27743.19;48050.47;40961.15;1976.9;g427;27193.46;27193.46;27193.46;27193.46;g427;27743.19;2133.14;27743.19;48280.33
g428;18406.99;23648.35;36947.52;14643.48;g428;18378.91;12205.86;30613.18;12205.86;g428;35715.2;40871.33;14845.5;13510.62;g428;47519.3;17722.79;44149.32;17722.79
g429;38852.85;1843.55;38852.85;38852.85;g429;44115.52;7031.48;46552.74;9316.41;g429;20324.16;20324.16;22004.72;20324.16;g429;50000;36374.84;28096.26;38258.95
g430;39462.59;31141.23;39462.59;33835.8;g430;48243.5;20989.95;20417.78;35931.23;g430;12337.88;27229.68;0;18852.49;g430;39462.59;3819.9;39462.59;47983.69
g431;8598.7;49503.84;42359.39;0;g431;12043.55;207.13;27316.18;7944.92;g431;12043.55;12043.55;27986.15;16893.19;g431;12043.55;12043.55;28435.77;43730.16
g432;37786.34;24368.43;9819.79;27520.97;g432;15694.62;9845.31;14083.64;47466.08;g432;28256.19;28256.19;28256.19;48378.64;g432;49176.85;2576.17;2576.17;32729.42
g433;35594.54;5575.73;45243.7;35594.54;g433;30625.38;39969.22;3022.05;21874.67;g433;48350.32;29004.1;11271.3;4522.46;g433;35594.54;1036.54;33070.16;35594.54
g434;28600.19;8656.67;3068.85;45965.69;g434;19061.74;38068.76;25682;25682;g434;21031.46;13317.38;36974.3;47766.51;g434;38123.36;18373.37;25682;25682
g435;9355.55;15166.78;29055.39;39941.68;g435;13827.36;43288.34;44972.47;12065.02;g435;46638.1;38797.73;8768.06;40593.24;g435;14635.49;18987.47;50000;14616.38
g436;25941.5;25941.5;25941.5;38936.4;g436;39677.4;0;27022.13;10422.21;g436;28010.77;3154.38;13775.45;40801.68;g436;25941.5;25941.5;25941.5;21062.88
g437;8871.04;35779.95;15859.24;49981.5;g437;14326.27;19649.12;18569.7;19649.12;g437;3950.03;303.3;33391.92;303.3;g437;48504.01;49308.64;24288.96;49308.64
g438;46188.87;42227.42;48104.09;46325.57;g438;32238.01;23946.59;17446.18;873.45;g438;35035.76;28595.8;23039.74;40593.24;g438;24052.49;30074.31;42048.99;12340.31
g439;30115.68;10648.49;30018.69;30018.69;g439;26045.73;7168.1;47638.92;47638.92;g439;35991.13;26459.75;40864.11;40864.11;g439;13043.6;5242.9;18228.62;5102.98
g440;49718.28;10664.1;10740.38;7873.66;g440;11697.23;37217.12;29857.91;11261.1;g440;1485.15;7081.11;25074.5;31249.54;g440;22559.74;29987.33;25216.18;0
g441;19204.67;6937.58;15144.55;43766.82;g441;1463.76;12205.86;17864.45;12205.86;g441;20596.35;34800.79;5247.89;49136.89;g441;18326.72;17722.79;3883.12;17722.79
g442;35137.32;24068.94;8084.54;39755.71;g442;50000;47691.76;40707.61;23306.03;g442;27351.56;34165.43;13015.23;41990.89;g442;35137.32;24068.94;32948.39;41321.53
g443;30590.13;23033.61;20628.95;19281.67;g443;12847.45;3631.22;47926.83;25348.26;g443;46447.69;8624.13;14321.91;16158.26;g443;4956.04;36230.25;3767.34;2693.03
g444;8002.16;26520.35;27878.87;5186.64;g444;22004.55;46723.29;16837.76;36910.61;g444;49989.54;50000;49989.54;43317.45;g444;33974.97;33974.97;33974.97;2845.14
g445;44699.49;44699.49;44699.49;44699.49;g445;50000;4627.26;2223.96;13894.44;g445;45003.83;45003.83;45003.83;45003.83;g445;16281.35;42086.69;30658.19;36519.2
g446;8334.49;35779.95;31282.12;46724.81;g446;12328.64;33909.23;34139.2;17510.22;g446;21494.57;14361.27;39398.07;0;g446;29091.47;27524.05;6305.61;43758.16
g447;0;42744.17;3710.13;15647.15;g447;17205.67;17205.67;17754.83;31355.41;g447;42809.25;20985.27;33908.73;25350.67;g447;17656.03;12683.84;38915.58;44842.61
g448;3074.37;25103.42;17482.78;29995.03;g448;752.08;11034.71;34701.1;11739.08;g448;3074.37;46294.59;45199.84;3879.37;g448;22987.9;48052.76;40792.04;43281.63
g449;8588.47;11221.28;17599.42;18485.18;g449;22010.78;44080.89;43374.46;32454.96;g449;3363.93;49547.8;4451.19;43724.54;g449;352.13;13332.91;14713.31;11392.86
g450;29116.59;27761.05;27761.05;10347.78;g450;8175.51;36207.56;36207.56;24494.57;g450;34931.02;2382.21;2382.21;50000;g450;5394.79;39161.69;19700.3;21738.4
g451;10130.62;31583.09;10130.62;40806.72;g451;46894.09;31583.09;12802.72;40806.72;g451;14804.37;19296.14;30943.82;18422.28;g451;39470.8;10434.15;23161.37;4856.17
g452;36005.8;48807.01;27119.98;50000;g452;6223.92;10452.97;6155.3;16909.77;g452;1585.54;14361.3;14989.29;40230.51;g452;491.06;34921.24;50000;12632.19
g453;27458.79;36022.37;8152.69;50000;g453;10972.55;22440.88;25682;25682;g453;35536.67;29776.37;10883.16;11601.94;g453;19057.58;35777.98;25682;25682
g454;28989.4;28989.4;25914.81;3988.4;g454;22178.65;41971.41;42251.88;47839.99;g454;28989.4;28989.4;26064.86;29270.91;g454;24495.69;30611.17;13176.21;10499.77
g455;19862.93;21641.23;21641.23;25501.64;g455;36623.4;2414.8;31764.56;18448.25;g455;8182.86;1207.11;487.5;21324.32;g455;21641.23;21641.23;21641.23;42353.89
g456;37617.02;12781.16;29479.58;19412.67;g456;21505.88;23050.93;4450.89;9103.35;g456;37130.01;2264.58;26185.89;20157.57;g456;14164.28;7573.49;33701.71;16132.26
g457;34575.41;0;12263.93;16638.37;g457;1927.03;31691;10270.47;44999.54;g457;39415.59;42713.9;30405.35;16638.37;g457;34225.37;21537.36;19113.45;38957.41
g458;46089.79;47582.59;48070.82;44138.41;g458;21939.43;38309.38;43349.88;47345.74;g458;48976.91;29739.21;2794.94;41742.64;g458;47109.6;35117.6;37390.56;27247.53
g459;20004.89;1260.44;49421.64;25461.55;g459;25375.43;35842.75;28170.88;10866.35;g459;30258.87;9445.25;27743.32;37730.89;g459;48700.44;23226.05;13910.7;30385.44
g460;11729.57;17963.99;34685.4;1106.42;g460;21939.43;43611.73;43349.88;48546.74;g460;50000;27502.2;22384.06;41230.32;g460;47109.6;20834.85;37390.56;27247.53
g461;36471.05;22043.42;29806.98;20196.76;g461;36471.05;16243.19;29806.98;20196.76;g461;14706.26;6716.39;49105.49;22932.21;g461;11878.69;24242.67;35975.32;32005.13
g462;42465.27;22314.43;39497.09;25172.1;g462;6583.87;35387.87;47227.64;41018.73;g462;9870.57;27710.44;39497.09;25172.1;g462;9300.52;45916.61;47227.64;41018.73
g463;10130.62;44329.65;10130.62;29473.28;g463;0;29298.91;7192.63;2886.46;g463;34497.13;50000;23762.34;31489.41;g463;19245.77;41050.25;5150.86;24572.98
