;t4;t4;t4;t4;;t5;t5;t5;t5;;t6;t6;t6;t6;;t7;t7;t7;t7;;t8;t8;t8;t8;;t9;t9;t9;t9;;
;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;
g5992;-0.82;-0.75;-0.36;-0.1;g5992;-1.01;0;-0.18;0.02;g5992;-0.53;0.6;-0.15;-0.15;g5992;-0.5;0.22;0.56;0.39;g5992;0.35;0.85;0.63;0.12;g5992;0.7;0.08;0.97;0.53
g5993;-0.07;0.21;0.33;-0.03;g5993;0.16;0.06;0.22;0.11;g5993;0.12;0.44;-0.09;0.09;g5993;-0.15;0.18;0.13;-0.14;g5993;0.13;0.19;0.23;-0.03;g5993;-0.15;0.08;0.63;-0.39
g5994;-0.09;0.15;-0.16;-0.15;g5994;-0.03;-0.41;0.04;-0.01;g5994;-0.15;0.27;-0.18;-0.05;g5994;-0.09;-0.34;-0.21;0.29;g5994;0.07;1.52;-0.12;0.06;g5994;0.16;-0.46;0.1;0.06
g5995;0;0;0.01;0.19;g5995;0.08;-0.36;0.58;0.08;g5995;0.11;0.37;0.32;0.26;g5995;0.08;-0.36;0.29;-0.13;g5995;0.05;0;0.17;0.27;g5995;0;0.18;-0.11;0.22
g5996;-0.37;-0.13;-0.02;-0.34;g5996;0.22;-0.11;0.26;-0.28;g5996;0.17;-0.01;0.01;-0.12;g5996;0;0.02;0.09;0.38;g5996;0.08;0.17;0.16;0.16;g5996;0.29;0.1;0.22;0.13
g5997;0.06;0;-0.14;-0.12;g5997;0.03;0;0.08;-0.1;g5997;0.32;-0.04;0.06;0.15;g5997;-0.11;0;0;0.14;g5997;0.07;0;0.25;0.34;g5997;-0.06;0;-0.87;0.11
g5998;-0.4;-0.21;0.2;-0.19;g5998;0.36;-0.48;0.17;-0.01;g5998;0.13;0.27;0.21;-0.13;g5998;0.04;-0.19;0.15;-0.15;g5998;0.15;0.03;-0.1;-0.21;g5998;0.28;-0.21;-0.36;-0.25
g5999;0.03;0.19;-0.07;-0.35;g5999;-0.21;-0.05;-0.07;-0.39;g5999;0;0.21;-0.05;-0.33;g5999;-0.26;-0.11;0.24;-0.51;g5999;-0.02;0.07;-0.14;0.48;g5999;-0.13;-0.05;0.04;0.24
g6000;-0.2;0.39;0.22;-0.04;g6000;-0.1;-0.55;0.18;-0.05;g6000;-0.03;0.43;0.04;-0.09;g6000;-0.01;-0.02;0.42;0.27;g6000;0.06;0.68;0.2;-0.27;g6000;0.01;-0.25;0.04;-0.1
g6001;0.29;0.46;0.06;-0.18;g6001;0.2;-0.09;-0.32;-0.35;g6001;0.45;0;-0.2;-0.1;g6001;-0.04;0.04;-0.08;-0.08;g6001;0.07;0;-0.04;0.22;g6001;-0.37;0.25;1.21;-0.1
g6002;0.14;0.11;0.37;0.04;g6002;-0.05;0.32;0.35;0.04;g6002;0.26;-1.11;0.24;-0.19;g6002;-0.13;0.25;0.27;0.25;g6002;0.12;-0.1;0.27;0.24;g6002;-0.13;0.25;0.37;0.28
g6003;0.08;0.28;-0.01;-0.51;g6003;0.2;-0.31;-0.14;-0.49;g6003;-0.16;0.3;-0.33;-0.46;g6003;0.17;-0.26;0.05;-0.24;g6003;-0.05;0.32;-0.21;0.09;g6003;-0.27;-0.11;0.62;-0.37
g6004;0.29;0.16;0.87;0.38;g6004;-0.01;0.22;0.84;0.56;g6004;0.33;-0.6;0.15;0.06;g6004;-0.16;0.1;0.38;0.3;g6004;0.02;-0.44;0.32;0.11;g6004;0.07;0.14;0.32;0.4
g6005;0.01;0.05;0.36;0.06;g6005;0.02;-0.07;0.56;0.08;g6005;0.29;-0.02;0.24;-0.1;g6005;0.13;0.07;0.73;0.18;g6005;0.2;-0.07;0.77;0.43;g6005;-0.01;0.02;0.25;0.02
g6006;0.05;-0.05;0.04;0.39;g6006;-0.16;0.55;-0.1;0.47;g6006;0.26;-0.61;-0.05;-0.03;g6006;-0.21;0.31;-0.03;0.47;g6006;0.14;-0.45;0.01;0.31;g6006;-0.21;0.42;0.34;0.59
g6007;0.35;0;0.23;0.06;g6007;0.37;0.31;0.38;0.12;g6007;0.54;-0.81;0.16;-0.02;g6007;0;-0.05;0.26;0.25;g6007;0.05;-0.87;-0.06;0.4;g6007;-0.23;0.05;-0.09;0.24
g6008;-0.09;-0.08;-0.16;-0.38;g6008;-0.14;0.67;-0.46;-0.17;g6008;0.23;-0.6;-0.48;-0.36;g6008;-0.47;0.39;-0.32;0.35;g6008;-0.45;-0.73;-0.16;0.41;g6008;-0.8;0.23;0.77;0.34
g6009;0.1;-0.27;-0.19;-0.22;g6009;-0.02;0;-0.27;-0.24;g6009;0.13;-0.81;-0.24;-0.22;g6009;-0.18;-0.01;-0.13;0.22;g6009;0.08;-0.52;0.03;0.08;g6009;-0.28;0.29;0.28;-0.15
g6010;-0.02;-0.27;0.09;-0.03;g6010;-0.17;0.7;0.02;0.06;g6010;0.28;-0.8;-0.01;-0.2;g6010;0;0.44;-0.15;0.28;g6010;0.11;-0.65;-0.14;0.23;g6010;0;0.35;0.3;0.31
g6011;0.13;-0.04;-0.07;0.01;g6011;0.19;0.13;0.11;-0.06;g6011;0.41;-0.65;0.01;-0.01;g6011;0.1;0.24;-0.04;0.07;g6011;0.07;-0.65;0.08;-0.25;g6011;-0.21;0.19;0.26;-0.11
g6012;0.11;-0.12;0.53;0.34;g6012;-0.05;0.34;0.57;0.27;g6012;0.22;-0.08;0.19;-0.01;g6012;-0.04;0.19;-0.12;0.04;g6012;0.08;-0.51;-1.05;0.04;g6012;-0.1;0.12;0;-0.05
g6013;0.17;-0.01;0.47;0;g6013;0.32;-0.22;0.26;0.09;g6013;0.37;-0.47;0.07;-0.14;g6013;0.08;-0.11;0.17;0.07;g6013;0.09;-0.46;-0.03;0.05;g6013;-0.23;0.32;0.16;-0.09
g6014;0.08;-0.3;0.17;0.58;g6014;0.06;0.17;-0.23;0.4;g6014;0.38;0.17;-0.07;0.27;g6014;-0.13;-0.02;-0.11;0.21;g6014;-0.02;-0.64;0.15;0.03;g6014;0.06;0.01;0.27;0.12
g6015;0.18;0.41;0.33;0.06;g6015;-0.12;-0.2;0.36;-0.29;g6015;0.25;0.36;0.3;0.24;g6015;-0.16;0.15;0.13;-0.24;g6015;0.07;0.08;0.19;0.17;g6015;-0.31;-0.48;0.24;0.15
g6016;-0.21;0.11;0.18;0.3;g6016;-0.11;0.31;-0.48;0.3;g6016;0.24;0.34;-0.33;0.37;g6016;-0.05;0.08;-0.47;0.36;g6016;0.04;-0.08;-0.59;-0.03;g6016;0.35;0.09;1.36;0.16
g6017;-0.03;0.4;0.23;0.12;g6017;-0.25;-0.21;-0.49;0.11;g6017;0.16;0.34;-0.69;0.07;g6017;-0.15;-0.01;-0.29;0.14;g6017;0.25;0.24;-0.39;0.26;g6017;-0.21;-0.26;1.63;0.26
g6018;-0.32;-0.44;0.74;-0.02;g6018;0.07;0.07;0.34;-0.14;g6018;0.2;0.21;0.27;-0.06;g6018;-0.08;-0.02;0.59;-0.08;g6018;0.18;-0.44;0.72;0;g6018;0.24;0.05;0.62;-0.15
g6019;0;-0.11;0.23;0.06;g6019;0;0.3;0.3;0.15;g6019;0.17;0;0.18;0.15;g6019;0.06;0;0.14;-0.07;g6019;0.12;-0.2;-0.01;-0.16;g6019;-0.08;-0.18;-0.29;-0.07
g6020;-0.14;-0.54;-0.46;-0.2;g6020;0.05;-0.7;-0.09;-0.18;g6020;0.08;-0.13;-0.06;0.07;g6020;0.03;-0.57;-0.1;0.25;g6020;0.01;-0.5;0.09;0.07;g6020;0.24;0.16;0.34;0.14
g6021;0.29;-0.03;0.09;0.38;g6021;-0.03;0.45;0.35;0.27;g6021;0;0.08;0.34;0.12;g6021;0.21;0.41;0.39;-0.01;g6021;0.24;-0.37;0.15;-0.07;g6021;-0.08;0.15;-0.38;0
g6022;0.11;0.34;-0.8;0.15;g6022;-0.03;-0.43;-0.49;0.04;g6022;0.29;0.83;-0.42;-0.41;g6022;0;-0.14;-1.24;0.19;g6022;0.16;0.22;0.58;-0.45;g6022;0;-0.78;0.05;-0.01
g6023;0.14;-0.26;-0.06;0.18;g6023;0.03;0.25;-0.11;0.07;g6023;0.14;0.03;-0.22;0.06;g6023;0.06;0.19;-0.18;0.19;g6023;0.11;-0.83;0.06;-0.01;g6023;-0.21;0.17;-0.01;-0.02
g6024;-0.18;-0.36;-0.08;0.16;g6024;0.06;0.05;0.09;-0.01;g6024;0.23;0.08;0.02;0.16;g6024;0;-0.01;0;0.2;g6024;0.21;-0.79;-0.14;-0.03;g6024;0.31;0.1;0.34;0.26
g6025;0.07;0.03;0.29;-0.34;g6025;-0.08;0.14;-0.21;-0.2;g6025;0.08;0.06;-0.13;-0.21;g6025;-0.04;0.41;-0.23;-0.4;g6025;0.14;0.27;-0.35;0.02;g6025;-0.29;-0.02;0.77;-0.07
g6026;0.03;-0.22;0.02;-0.01;g6026;-0.13;-0.35;0.11;0.24;g6026;0.4;0.24;0.12;0.1;g6026;0.01;-0.03;-0.01;0.44;g6026;0.22;-0.67;-0.3;0.35;g6026;-0.03;-0.18;0;0.21
g6027;0.26;-0.07;-0.79;0.11;g6027;0.1;-0.02;0.32;-0.03;g6027;0.13;0.19;0.08;0.01;g6027;-0.22;0.09;0.08;0.22;g6027;-0.05;0.23;0.62;0.01;g6027;-0.2;0.18;0;-0.05
g6028;0.13;0.05;0.12;-0.01;g6028;0.08;-0.26;-0.18;-0.01;g6028;0.2;0.51;0.23;-0.06;g6028;0.11;-0.12;-0.49;0.16;g6028;0.05;-0.16;0.09;-0.06;g6028;-0.15;-0.2;0.16;0.28
g6029;0.15;-0.19;0.14;-0.04;g6029;0.12;0.19;0.25;0.28;g6029;0.18;-0.02;0.13;0;g6029;-0.07;0.01;0.23;0.21;g6029;-0.02;-0.61;0.08;-0.15;g6029;0.05;0.08;-0.35;-0.17
g6030;0.06;-0.8;0.11;0.41;g6030;-0.08;0.38;0.1;0.65;g6030;0.17;-0.29;-0.16;-0.05;g6030;0.13;-0.25;-0.02;0.27;g6030;0.03;-1.16;0.05;0.34;g6030;-0.09;-0.07;-0.2;0.03
g6031;0.18;0.27;-0.17;0.21;g6031;0.26;0.18;-0.15;0.17;g6031;0.23;-0.03;-0.16;-0.01;g6031;-0.04;0.11;0;0.24;g6031;0.05;0.14;0.04;0.04;g6031;-0.16;0.2;0.07;-0.03
g6032;0.11;-0.77;-0.12;0.15;g6032;-0.1;0.24;-0.03;0.39;g6032;0.19;-0.22;0;-0.24;g6032;-0.11;0.04;0.12;0.22;g6032;0;-0.62;-0.13;0.09;g6032;0;0.11;0.19;0.37
g6033;0.23;-0.1;-0.09;0.59;g6033;0.37;0.1;-0.04;0.52;g6033;0.02;-0.17;-0.12;0.15;g6033;0.12;0.11;-0.05;0.3;g6033;-0.1;-0.27;0.06;-0.05;g6033;-0.24;0.47;0.14;0
g6034;0.14;-0.85;0.03;-0.27;g6034;-0.02;0.05;0.11;-0.04;g6034;0;0.23;-0.37;-0.58;g6034;0.08;-0.25;-0.19;0.03;g6034;0;-0.61;0.14;0.05;g6034;-0.05;0.37;0.03;0.01
g6035;0.04;0.09;-0.13;-0.19;g6035;0.51;0.43;-0.55;0.05;g6035;0.36;-0.2;-0.19;-0.09;g6035;-0.21;0.28;-0.28;0.35;g6035;0.04;-0.3;-0.07;0.37;g6035;-0.17;0.4;0.58;0.05
g6036;0.12;-0.7;0;-0.06;g6036;-0.06;0.36;0;0.09;g6036;0.32;-0.32;-0.05;-0.37;g6036;-0.19;0.19;-0.03;0.38;g6036;0.01;-0.94;-0.29;0.35;g6036;-0.28;0.34;0.27;0.45
g6037;0.14;0;0.53;0.02;g6037;0.14;0.08;-0.3;-0.02;g6037;0.07;0.4;-0.35;0.22;g6037;-0.04;0.12;-0.24;0.12;g6037;-0.13;0.46;-0.3;0.02;g6037;0.03;0.14;0.31;-0.1
g6038;0.14;0.05;-0.28;0.33;g6038;0.19;0.02;-0.32;-0.11;g6038;0.15;0.57;-0.18;-0.14;g6038;-0.07;0.36;0.14;-0.09;g6038;-0.04;-0.17;0.22;0.09;g6038;0.11;0.21;0.63;0.01
g6039;0.07;-0.04;-0.69;0.11;g6039;0.01;-0.04;-0.56;-0.08;g6039;0.15;0.05;-0.28;-0.07;g6039;-0.24;0.05;-0.45;0.04;g6039;0.1;0.02;0.37;0.11;g6039;-0.11;0.01;0.03;-0.05
g6040;-0.25;-0.19;-0.32;-0.11;g6040;0.11;0;0.09;-0.05;g6040;0.18;-0.24;0.16;-0.08;g6040;0.24;-0.08;0.2;0.02;g6040;0.04;2.44;0.07;-0.08;g6040;0.21;-0.09;0.29;0.17
g6041;-0.09;-0.1;0.12;0.24;g6041;-0.16;-0.06;0.03;0.24;g6041;0.35;0.42;0.12;-0.06;g6041;0;0.1;-0.33;-0.04;g6041;0.57;-0.23;0.13;-0.43;g6041;0;-0.66;-0.18;-0.21
g6042;-0.02;-0.02;0.22;0.42;g6042;-0.18;0.09;0.07;0.16;g6042;0.12;0.07;-0.36;0.01;g6042;-0.1;0.09;-0.33;-0.12;g6042;0;0;0.23;-0.03;g6042;0.12;0.11;0.79;-0.07
g6043;0.07;-0.72;-0.06;0.52;g6043;-0.25;0.21;0.29;0;g6043;0.08;0.01;-0.07;-0.15;g6043;-0.01;0.47;0.44;-0.3;g6043;0.07;-0.56;0.39;-0.54;g6043;0.19;0.37;0.03;-0.13
g6044;0.17;0.23;-0.78;0.49;g6044;-0.1;-0.29;-0.07;0.19;g6044;0.08;0.27;-0.41;0.08;g6044;0.2;-0.15;0.09;-0.02;g6044;0.15;0.11;0.49;-0.4;g6044;-0.22;-0.2;0.3;-0.1
g6045;-0.16;0.77;0.14;0.09;g6045;0.15;-0.11;0.24;-0.13;g6045;0.16;0.47;0.2;-0.24;g6045;-0.05;-0.11;0.07;0.03;g6045;0.06;0.08;0.02;-0.2;g6045;-0.16;-0.13;0.01;-0.18
g6046;-0.39;-0.35;0.14;-0.13;g6046;0.13;-0.09;0.1;-0.21;g6046;0.28;-0.21;0.04;0.52;g6046;0.13;0.29;0.02;0.24;g6046;0.13;-1.13;-0.15;-0.35;g6046;-0.03;0;-0.01;0.08
g6047;-0.08;0.66;0.17;0.67;g6047;0.13;0.32;-0.17;0.33;g6047;0.15;0.8;-0.22;0.32;g6047;-0.04;0.23;-0.16;0.53;g6047;0.18;0.73;-0.09;0.34;g6047;-0.19;0.06;0.93;0.31
g6048;0.06;0.28;0.37;-0.16;g6048;0.34;0.25;-0.34;-0.14;g6048;0.35;-0.54;-0.11;0.2;g6048;-0.1;-0.24;-0.34;0.3;g6048;-0.17;-1.33;-0.21;-0.17;g6048;-0.33;-0.04;-0.32;-0.09
g6049;0.22;0.49;0.48;0.01;g6049;0.39;0.08;0.2;-0.06;g6049;0.22;0.25;-0.04;0.01;g6049;-0.14;-0.9;-0.34;0.23;g6049;-0.2;0.16;-0.34;0.01;g6049;-0.44;0.07;-0.25;-0.25
g6050;0.17;0.49;0.62;0.29;g6050;0.09;-0.56;0.75;0.46;g6050;-0.02;0.79;0.05;-0.05;g6050;0.01;-0.79;0.02;-0.37;g6050;-0.05;1.48;-0.6;0.09;g6050;-0.23;0.08;-0.21;-0.2
g6051;0.27;0.52;0.49;0.26;g6051;0.41;-0.09;0.6;0;g6051;0.27;0.77;0.22;0.2;g6051;-0.01;-0.11;-0.2;0;g6051;-0.25;0.7;-0.19;-0.11;g6051;-0.36;-0.4;0.11;-0.06
g6052;0.05;-0.7;-0.06;0.24;g6052;-0.06;0.23;-0.04;0.26;g6052;0.12;-0.2;0.02;-0.13;g6052;-0.08;0.34;0.15;0.09;g6052;0.02;-0.77;0.07;0.26;g6052;-0.1;0.43;0.08;0.03
g6053;0.16;0.13;0.1;0.26;g6053;0.37;0.4;-0.61;-0.04;g6053;0.17;0.01;-0.46;0.21;g6053;0;0.3;-0.47;0.55;g6053;-0.02;0.26;-0.56;0.37;g6053;-0.16;0.31;1.61;0.21
g6054;-0.22;0.08;-0.01;0.15;g6054;0.11;-0.01;0.01;-0.11;g6054;0.02;0.38;-0.03;-0.05;g6054;0.12;-0.09;-0.25;0.12;g6054;-0.22;-0.04;0.14;0.02;g6054;-0.06;-0.06;0.51;-0.01
g6055;0.21;0.38;0.11;-0.16;g6055;0.41;0.17;0.15;-0.06;g6055;0.32;0.32;-0.06;-0.06;g6055;-0.21;0.28;0.05;-0.01;g6055;0.11;0.14;0.28;0.01;g6055;-0.13;-0.04;0.49;-0.04
g6056;0.06;-0.46;-0.08;0.12;g6056;-0.18;0.28;0.46;0.3;g6056;0.06;0.16;-0.39;-0.37;g6056;0.11;0.33;-0.15;-0.16;g6056;0.18;-0.41;0.69;-0.23;g6056;-0.06;-0.13;-0.36;0.06
g6057;0.12;0.36;0.03;0;g6057;0.45;-0.26;0.23;0.03;g6057;0.25;0.11;0.08;0.03;g6057;-0.05;0.03;0.06;-0.05;g6057;-0.12;0.07;0.03;-0.11;g6057;-0.1;0.11;-0.17;-0.06
g6058;-0.02;-0.36;0.02;0.48;g6058;0.05;0.25;0.36;0.34;g6058;0.17;0.06;0.21;0.11;g6058;0.15;0.68;0.2;0.05;g6058;-0.07;-0.56;0.12;-0.14;g6058;0.09;0.36;0.06;-0.02
g6059;0.05;-0.32;-0.04;0.22;g6059;0.42;0.27;0.21;0.09;g6059;0.18;-0.07;0.17;0.25;g6059;0;0.22;0.2;0.18;g6059;0.07;-0.32;0.01;-0.13;g6059;-0.17;0.3;0.01;-0.1
g6060;0.03;-0.47;0.06;0.25;g6060;-0.27;0.57;-0.07;0.23;g6060;0.27;-0.68;0.03;-0.18;g6060;0.03;0.43;-0.08;0.08;g6060;0.12;-1.04;-0.04;0.12;g6060;0.02;0.32;0.3;0.13
g6061;0.13;-0.2;0.01;0.14;g6061;0.28;0.31;-0.19;-0.17;g6061;0.18;-0.24;-0.11;0.13;g6061;0.12;0.28;-0.07;0.2;g6061;0.08;-0.6;-0.24;-0.04;g6061;-0.08;0.16;0.03;0.01
g6062;-0.09;-0.02;0;0.08;g6062;0.16;0.41;0;0.05;g6062;0.25;0.23;0;0.21;g6062;0.16;0.43;0;-0.03;g6062;0.11;-0.41;0;-0.21;g6062;0.01;0.26;0;-0.11
g6063;0.08;0.03;0.22;0.12;g6063;0.05;-0.01;0.46;0;g6063;0.11;-0.18;-0.17;0;g6063;0.15;-0.03;0.39;-0.05;g6063;-0.01;-0.22;0.25;-0.16;g6063;-0.13;0.05;-0.8;-0.26
g6064;-0.38;-0.07;-0.3;-0.25;g6064;-0.1;0.28;-0.14;-0.34;g6064;0.1;0.22;0.11;0.74;g6064;-0.02;0.33;0.43;-0.22;g6064;0.2;-0.92;-0.06;-0.04;g6064;0.32;0.16;0.22;-0.01
g6065;0.05;0;0.17;-0.05;g6065;0.14;0.24;0.19;-0.2;g6065;-0.01;0;0.33;0.05;g6065;0.12;0.14;0.47;-0.13;g6065;0.04;0;-0.04;-0.05;g6065;-0.18;-0.05;-0.87;-0.18
g6066;-0.53;-0.34;-0.23;-0.03;g6066;0.29;-0.11;-0.41;-0.38;g6066;0.09;0.52;-0.05;0.37;g6066;0.22;0.19;-0.07;-0.25;g6066;-0.04;-0.68;-0.04;-0.24;g6066;0.35;0.15;0.34;-0.14
g6067;0.19;0;-0.17;0.16;g6067;0.28;-0.14;-0.32;-0.06;g6067;-0.09;0;-0.08;0.08;g6067;0.11;-0.11;-0.08;-0.08;g6067;-0.09;1.48;0.12;-0.12;g6067;-0.07;-0.3;0.34;-0.29
g6068;0;0.27;-0.14;0.3;g6068;0.01;0;0.22;0.3;g6068;-0.17;0.45;-0.01;0.52;g6068;0;-0.57;-0.06;-0.28;g6068;0.01;0.23;0.27;-0.01;g6068;0;-0.07;0.25;0.26
g6069;-0.04;0;0;0.17;g6069;0.23;-0.34;0;-0.09;g6069;-0.14;0;0;0.1;g6069;0.09;0.17;0;-0.01;g6069;-0.11;0;-2.14;-0.11;g6069;-0.11;0.41;0;-0.16
g6070;0.03;-0.28;-0.19;0.1;g6070;-0.15;-0.06;0.04;-0.06;g6070;-0.13;-0.25;-0.21;0.59;g6070;-0.22;0.07;-0.02;-0.02;g6070;0.07;-0.15;0.09;-0.18;g6070;0.22;0.08;0.08;0.37
g6071;0.19;0;-0.39;-0.02;g6071;0.54;0;-0.25;-0.41;g6071;0.17;0;-0.23;-0.13;g6071;0.02;0.69;-0.22;-0.31;g6071;-0.01;0;0.1;-0.31;g6071;-0.27;0;0.32;-0.25
g6072;-0.01;-0.54;-0.4;-0.04;g6072;0.16;-0.12;0.01;-0.22;g6072;0.43;-0.74;0.04;0.2;g6072;0.27;0.02;0.04;0.24;g6072;0.3;-0.49;-0.05;-0.18;g6072;0.02;0.09;0.06;-0.03
g6073;0.24;-0.49;-0.13;-0.03;g6073;0.5;0.05;0.02;-0.06;g6073;0.29;-0.23;-0.09;-0.04;g6073;0.13;0.23;-0.06;0.11;g6073;0.42;-0.31;0.04;-0.07;g6073;-0.18;0.13;0.4;-0.15
g6074;-0.09;-0.78;-0.01;0.28;g6074;-0.01;0.16;0.46;0.27;g6074;0.12;0.26;0.36;0.25;g6074;0.12;0.3;0.27;-0.06;g6074;0.07;-0.78;0.14;-0.14;g6074;0.04;0.29;-0.21;-0.23
g6075;-0.08;0.2;0.08;0.5;g6075;0.01;0.37;-0.66;0.29;g6075;-0.02;0.03;-0.47;0.23;g6075;0.07;0.4;-0.5;0.17;g6075;0.27;-0.16;-0.57;0;g6075;-0.15;0.37;1.49;0.07
g6076;0.01;-1.1;-0.3;-0.32;g6076;-0.12;0.23;-0.46;-0.21;g6076;0.31;-0.68;-0.24;-0.24;g6076;0.04;0.19;-0.27;0.38;g6076;0.13;-1.13;-0.14;0.33;g6076;0;0.39;0.79;0.06
g6077;-0.08;0.15;0.71;0.16;g6077;0.35;0.38;0.62;0.22;g6077;0.34;0.13;0.4;0.11;g6077;0.26;-0.04;0.25;0.23;g6077;0;-0.23;0;-0.02;g6077;-0.22;0.01;-0.42;0.2
g6078;-0.03;0.13;0.42;0.01;g6078;-0.09;-0.22;0.23;0.18;g6078;0.32;0.24;0.05;-0.06;g6078;-0.19;0.39;0.09;0.16;g6078;-0.17;-0.22;-0.12;0.01;g6078;-0.22;-0.13;-0.04;0.11
g6079;0.12;0.49;0.63;-0.3;g6079;0.58;-0.42;0.57;-0.32;g6079;0.2;-0.71;0.01;-0.05;g6079;-0.16;-0.93;-0.67;-0.01;g6079;-0.45;-1.08;-0.88;-0.3;g6079;-0.76;0.25;0.09;-0.1
g6080;0.04;-0.38;0.01;0.33;g6080;0.22;0.2;-0.06;0.08;g6080;0.28;-0.42;0.21;-0.37;g6080;-0.02;0;0.22;0.06;g6080;-0.19;-0.99;0.2;-0.11;g6080;-0.44;0.19;0.1;-0.17
g6081;-0.26;-0.35;-0.09;-0.29;g6081;0.41;0.01;-0.06;-0.5;g6081;0.11;-0.19;-0.23;-0.21;g6081;0.13;-0.05;-0.05;-0.16;g6081;0.18;-0.42;-0.06;-0.02;g6081;0.04;0.24;0.5;-0.16
g6082;0.08;-0.48;-0.01;0.49;g6082;-0.11;0.29;0.21;0.24;g6082;0.27;0.29;-0.2;-0.23;g6082;0;0.63;0.26;-0.02;g6082;0.07;-0.39;0.13;-0.25;g6082;-0.2;0.13;-0.1;-0.1
g6083;-0.1;0.07;0.07;0.61;g6083;0.32;0.35;-0.07;0.51;g6083;0.2;0.27;-0.1;0.37;g6083;0.18;0.29;-0.08;0.09;g6083;0.32;-0.12;-0.04;-0.36;g6083;0;0.34;0.19;-0.16
g6084;-0.18;-0.37;0.59;0.32;g6084;-0.07;0.69;0.46;0.25;g6084;0.44;0.29;0.02;-0.07;g6084;0.04;0.62;0.21;0.1;g6084;0.33;-0.39;0.04;0.29;g6084;0.05;-0.19;-0.37;0.47
g6085;-0.28;-0.53;0.18;0.77;g6085;0.27;0.59;0.23;0.55;g6085;0.43;0.19;0.17;0.02;g6085;0;0.68;0.3;-0.24;g6085;0.62;-1.82;0.15;-0.06;g6085;0.18;0.67;0.02;0.22
g6086;-0.26;0.32;-0.16;-0.05;g6086;-0.07;0.21;-0.24;0.27;g6086;0.55;0.25;-0.18;0.41;g6086;0.22;0.08;-0.2;0.27;g6086;0.41;0.18;-0.14;-0.2;g6086;-0.03;-0.03;0.67;0.03
