;t1;t1;t1;t1;;t3;t3;t3;t3;;t7;t7;t7;t7;;t8;t8;t8;t8;;t10;t10;t10;t10;;t11;t11;t11;t11;;t12;t12;t12;t12;;t13;t13;t13;t13;;
;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;
g925;-0.09;-0.58;-0.01;0.15;g925;0.09;0;-0.07;-0.69;g925;0.17;0;0.67;-0.55;g925;0.08;0;0.35;-0.14;g925;0.17;0;0.04;0.2;g925;0.11;-0.01;-0.33;-0.19;g925;0.09;0;0.09;-0.44;g925;0.09;-1.19;-0.01;-0.15
g992;0.27;-0.02;0.2;-0.18;g992;0;-0.35;0.48;-0.18;g992;0.14;-0.14;-0.39;0.15;g992;-0.17;0.39;-0.22;0.05;g992;-0.16;0.65;-0.03;-0.01;g992;-0.21;0.61;-0.26;-0.04;g992;-0.02;0.44;0.48;-0.05;g992;-0.24;0.3;-0.26;0.01
g1033;-0.2;-0.29;-0.02;-0.37;g1033;0.12;1.02;-0.3;-0.55;g1033;-0.06;-0.59;0;0.35;g1033;0.17;-0.67;0.16;0.28;g1033;-0.03;0.18;0.05;0.22;g1033;0.12;0.17;0.09;0.29;g1033;0.16;-0.02;0.29;0.21;g1033;-0.21;0.37;0.03;0.51
g1127;-0.24;-0.18;-0.43;-0.24;g1127;-0.31;0.65;0.29;-0.49;g1127;0.07;-0.14;0.42;0.37;g1127;0.14;-0.37;0.23;0.45;g1127;-0.28;-0.32;-0.51;0.18;g1127;0;-0.21;-0.14;0.38;g1127;0.07;0.2;0.42;-0.07;g1127;-0.08;0.25;0.57;0.37
g1150;-0.3;0.35;0.15;-0.16;g1150;-0.18;-0.02;0.29;0.18;g1150;0.27;0.19;0.18;0.32;g1150;0.06;-0.67;0.11;-0.02;g1150;0.84;-0.08;-0.24;-0.24;g1150;-0.34;-0.16;-0.25;0.08;g1150;-0.15;-0.56;-0.27;-0.28;g1150;-0.22;-0.08;0.02;-0.2
g1254;0;0.16;0.38;0.24;g1254;0.13;-0.41;0.54;-0.59;g1254;-0.12;-0.24;0.33;0.29;g1254;0.13;-0.24;0.52;0.5;g1254;0.45;0.12;0;-0.03;g1254;0.01;-0.01;-0.04;0.78;g1254;0.2;0.17;-0.24;1.2;g1254;-0.26;0.32;-0.38;0.54
g1425;-0.04;-0.21;0.02;0.26;g1425;0;0.09;0.06;-0.14;g1425;0.39;0;-0.13;-0.09;g1425;0.3;-0.03;0.11;-0.04;g1425;0.37;-0.02;0.26;0.08;g1425;-0.01;0.17;0.09;-0.12;g1425;0.01;-0.12;-0.12;0.06;g1425;-0.29;0.08;0.32;0.02
g1432;-0.35;-0.5;-0.59;0.03;g1432;0.11;0.12;-0.14;0.03;g1432;0.14;-0.25;-0.05;0.08;g1432;0.01;-0.44;0.09;-0.19;g1432;-0.02;0.01;0.24;-0.02;g1432;-0.06;0.24;0.34;-0.11;g1432;0.1;0.25;-0.01;-0.28;g1432;-0.22;0.38;0.38;-0.19
g1537;0.05;0.07;0.07;-0.41;g1537;0.46;-0.59;-0.32;-0.44;g1537;-0.16;0.11;-0.44;-0.01;g1537;-0.08;0.12;0.15;0.06;g1537;0.09;0.56;0.27;0.12;g1537;0.14;0.46;0.33;0.38;g1537;0.32;0.34;0.08;0.24;g1537;-0.3;0.26;0.49;0.33
g1542;0.03;0.32;-0.24;-0.25;g1542;0.06;0.19;-0.51;-0.23;g1542;-0.42;0.46;0.33;0.42;g1542;-0.03;-0.26;0.12;0.22;g1542;0.06;0.04;0.12;-0.12;g1542;0.28;0.2;0.3;0.33;g1542;0.34;-0.1;0.14;0.16;g1542;-0.26;0.15;0.71;0.47
g1591;0.06;-0.17;0.65;0.05;g1591;0.64;0.44;0.43;-0.36;g1591;-0.06;-0.47;-0.09;0.29;g1591;-0.28;-0.35;-0.02;0.14;g1591;-0.47;0.35;0.23;-0.09;g1591;-0.23;0.69;0.52;0.2;g1591;0.01;0.55;0.04;0.02;g1591;-0.18;0.32;-0.56;0.05
g1595;-0.16;0.12;-0.15;0;g1595;-0.03;0.19;-0.1;0.1;g1595;0.23;0.08;0.35;-0.06;g1595;0.34;-0.5;0.02;-0.42;g1595;0.22;-0.26;0.31;0.05;g1595;0.05;0.05;-0.13;-0.14;g1595;0.05;-0.37;-0.1;-0.11;g1595;-0.21;0.36;0;-0.17
g1622;0;0.61;-0.12;0;g1622;0;-0.33;0.39;0;g1622;0;0.18;0.14;0;g1622;0;0.12;-0.08;0;g1622;0;0.88;0.19;0;g1622;0;0.82;0.24;0;g1622;0;0.54;0.86;0;g1622;0;0.52;-0.4;0
g1664;0.19;0.32;0.13;-0.37;g1664;-0.16;0.19;-0.12;0.73;g1664;0.09;0.4;0.11;-0.43;g1664;0.1;-0.2;0.08;-0.33;g1664;-0.14;-0.23;-0.56;0.12;g1664;-0.07;0.18;-0.48;-0.12;g1664;0.19;-0.69;0.19;-0.19;g1664;-0.23;0.21;0.26;-0.04
g1666;0.07;0.05;-0.65;-0.08;g1666;-0.1;0.06;0.04;0.29;g1666;0.05;0.18;0.26;-0.21;g1666;0.01;-0.5;0.09;-0.03;g1666;-0.02;-0.12;-0.05;0.06;g1666;-0.04;0.18;-0.1;0.15;g1666;0.18;-0.62;0.26;0;g1666;-0.14;0.17;0.09;0.11
g1767;0.12;-0.47;0.13;-0.14;g1767;0.09;-0.25;0.03;-0.01;g1767;0.09;-0.34;-0.01;0.02;g1767;0.14;-0.43;-0.15;0.05;g1767;-0.17;-0.25;-0.04;-0.08;g1767;-0.3;0.25;0.05;0.37;g1767;0.12;0.2;0.18;0.44;g1767;-0.2;0.13;0.05;0.18
g1771;0.35;0.63;-0.21;0.26;g1771;0.15;0;-0.15;0.51;g1771;-0.12;-0.02;-0.22;-0.13;g1771;0.14;-0.3;-0.64;0;g1771;0.04;0.21;0.25;-0.38;g1771;-0.16;0.1;-0.25;-0.15;g1771;-0.35;0.17;-0.37;-1.13;g1771;-0.2;0.23;0;0.32
g1834;0;-0.35;0.11;0;g1834;0;0.69;0.33;0;g1834;0;0.81;0.01;0;g1834;0;-0.36;-0.27;0;g1834;0;0.28;-0.03;0;g1834;0;-0.01;-0.37;0;g1834;0;-0.32;-0.26;0;g1834;0;-0.17;0;0
g1868;0.12;0.1;-0.27;-0.2;g1868;-0.08;-0.63;-0.59;-0.01;g1868;0.29;-0.59;-0.78;0.12;g1868;0.21;0.61;0.22;-0.12;g1868;-0.21;0.42;0;0.1;g1868;0.19;-0.45;0.5;-0.42;g1868;0.19;0;0.11;-0.35;g1868;-0.31;-0.54;0.32;0.17
g1990;-0.11;0;-0.37;-0.03;g1990;-0.21;0;0.26;0.12;g1990;-0.04;0;0.05;0.07;g1990;0.06;0;0.04;-0.14;g1990;1.01;0;0.04;-0.19;g1990;0.36;0;-0.11;-0.02;g1990;0.22;0;0.01;0.32;g1990;-0.21;0;0;0.28
g2046;0.2;0.31;0.02;0;g2046;0.08;-0.02;0.07;0.44;g2046;0.09;0.1;0.04;-0.15;g2046;0.18;0.13;0.06;-0.53;g2046;0.01;-0.16;-0.03;-0.11;g2046;-0.1;0.1;-0.22;-0.26;g2046;-0.06;-0.08;0.06;-0.41;g2046;-0.08;-0.02;0;-0.03
g2054;-0.57;1.24;0.49;0.03;g2054;-0.45;0.35;0.17;0.08;g2054;0.07;0.09;-0.11;0.02;g2054;0.32;-0.48;0.11;-0.06;g2054;0.15;-0.52;-0.25;-0.1;g2054;0.18;0.17;-0.1;-0.03;g2054;0.26;-0.7;-0.13;-0.34;g2054;-0.07;-0.02;0.03;0.05
g2074;0;-0.14;0.09;0.1;g2074;-0.12;-0.05;-0.07;0.28;g2074;0.21;0.13;0.24;0;g2074;0.23;-0.05;0.15;0;g2074;-0.1;-0.28;0.08;0.1;g2074;-0.1;0.18;-0.19;0.14;g2074;0;-0.28;-0.04;0.15;g2074;-0.46;-0.3;0;0.24
g2107;0.21;0.02;-0.29;0.34;g2107;0;-0.35;0.02;0.22;g2107;0.24;-0.26;0.15;-0.43;g2107;0.03;-0.21;0.14;-0.36;g2107;-0.16;-0.05;-0.1;0.16;g2107;0.13;-0.3;0.03;-0.25;g2107;0.06;-0.11;-0.15;-0.28;g2107;-0.18;0.54;0.14;-0.09
g2136;0.06;-0.06;-0.26;-0.13;g2136;-0.01;0.15;0.03;-0.15;g2136;0.21;0.2;0.07;0.25;g2136;0.12;-0.29;0.13;0.1;g2136;0.15;-0.14;-0.19;0.09;g2136;-0.1;0.17;-0.22;0.18;g2136;-0.16;-0.2;-0.36;0.16;g2136;-0.09;0.42;0;-0.1
g2141;0.33;-0.74;-0.07;0.12;g2141;-0.05;0.22;-0.3;0.53;g2141;0.24;-0.09;-0.11;-0.11;g2141;0;0.74;-0.07;-0.3;g2141;-0.06;0.31;-0.14;0.21;g2141;0.02;-0.14;0.11;-0.04;g2141;-0.11;0.31;0.29;-0.26;g2141;-0.14;-0.2;0.4;0.4
g2154;-0.06;-0.26;-0.21;0.15;g2154;-0.08;-0.24;-0.19;-0.42;g2154;-0.16;-0.03;-0.27;0.15;g2154;-0.04;0.29;-0.14;0.04;g2154;-0.04;0.11;0.28;-0.12;g2154;-0.18;0.32;0.51;0.13;g2154;0.16;0.62;0.34;-0.02;g2154;-0.04;-0.17;0.34;-0.09
g2181;0;-0.21;0;0;g2181;0;-0.21;0;0;g2181;0;-0.08;0;0;g2181;0;0.61;0;0;g2181;0;-0.26;0;0;g2181;0;0.54;0;0;g2181;0;0.35;0;0;g2181;0;-0.11;0;0
g2239;-0.69;0.1;-0.29;-0.28;g2239;0.07;0;0.01;0.31;g2239;0.1;0.06;-0.38;0.17;g2239;0.14;-0.08;0;-0.21;g2239;0.28;-0.26;0.06;0.06;g2239;-0.03;0.29;0.11;-0.07;g2239;0.14;-0.14;-0.74;-0.08;g2239;0.02;0.35;0;-0.07
g2268;0.23;0.41;-0.43;0.02;g2268;0.24;0.66;0.07;0.36;g2268;0.01;0.49;-0.33;0.04;g2268;-0.24;-0.26;-0.19;-0.11;g2268;-0.34;-0.1;0.17;0.28;g2268;0.08;0.56;-0.13;-0.3;g2268;0.09;-0.55;0.06;-0.01;g2268;0;0.15;0;0.08
g2270;0.16;0.62;-0.32;-0.04;g2270;0.16;-0.03;0.58;0.51;g2270;-0.06;0.1;0.35;-0.08;g2270;-0.13;-0.33;0.2;-0.02;g2270;-0.23;-0.84;-0.07;0.21;g2270;0;0.12;-0.21;-0.75;g2270;-0.08;-0.4;-0.21;-0.22;g2270;-0.16;-0.16;-0.04;0.11
g2362;-0.16;-0.63;-0.47;0.16;g2362;-0.32;-0.23;-0.83;-0.09;g2362;-0.1;1.07;1.02;-0.16;g2362;0.31;0.06;1.28;0.18;g2362;0.07;-0.56;0.15;-0.21;g2362;0.04;-0.79;-0.27;0.46;g2362;0.01;-0.83;-0.75;0.2;g2362;-0.32;-0.68;-0.47;0.48
g2465;-0.28;0.49;-0.02;-0.04;g2465;-0.28;-0.14;0.21;-0.3;g2465;-0.06;-0.04;-0.02;0.09;g2465;0.17;-0.14;0.11;0.21;g2465;0.21;-0.37;0.01;-0.17;g2465;0.08;0.04;-0.04;0.29;g2465;0.18;-0.33;-0.33;0.27;g2465;-0.42;0.25;0;0.15
g2479;-0.23;-0.57;0.07;0.04;g2479;-0.38;0.13;-0.27;0.14;g2479;0;0.14;0.24;0.02;g2479;0.34;0.92;0.24;-0.03;g2479;0.48;-0.19;0.04;-0.06;g2479;-0.09;-0.15;-0.18;0.1;g2479;0.33;0.26;0.26;-0.09;g2479;-0.16;-0.52;-0.09;-0.21
g2484;-0.15;0.42;0.08;-0.1;g2484;0.29;0.27;-0.27;0.13;g2484;-0.03;0.53;0.33;-0.08;g2484;-0.06;-0.13;0.46;-0.13;g2484;0;-0.36;-0.03;0.33;g2484;0.12;0.21;0.41;-0.33;g2484;0.09;-0.2;0.68;-0.59;g2484;0.02;0.09;0.08;-0.17
g2585;1.03;-0.68;-0.68;-0.06;g2585;-0.11;0.01;-0.63;-0.29;g2585;-0.66;-0.24;-0.58;-0.03;g2585;-0.28;-0.39;-0.31;0.21;g2585;0.19;-0.33;0.21;0.12;g2585;0.06;0.29;0.62;0.68;g2585;0.14;0.05;0.79;0.41;g2585;-0.37;0.31;0;0.33
g2597;0.06;-0.91;-0.63;0.39;g2597;-0.19;-0.13;-0.63;-0.06;g2597;0.14;0;0.26;0.02;g2597;0.25;0.16;0.19;-0.36;g2597;0;-0.11;0.47;0.06;g2597;0.03;-0.13;0.21;-0.09;g2597;-0.02;-0.24;0.26;-0.25;g2597;-0.17;-0.02;0.32;0.04
g2677;-0.24;0.18;0.35;-0.04;g2677;0;-0.09;-0.15;-0.26;g2677;-0.15;-0.15;-0.26;0.09;g2677;-0.17;-0.41;0;0.22;g2677;-0.05;-0.17;0.17;-0.14;g2677;0;1.21;0.3;0.2;g2677;0.29;0.05;-0.04;0.25;g2677;0.09;0.09;-0.07;0.09
g2787;0;0.28;-0.28;0;g2787;0;0.3;-0.06;0;g2787;0;0.48;-0.19;0;g2787;0;-0.16;-0.5;0;g2787;0;-0.25;0.3;0;g2787;0;0.28;-0.12;0;g2787;0;-0.22;-0.25;0;g2787;0;0.11;-0.34;0
g2789;0;-0.25;-0.28;0;g2789;0;0;0.75;0;g2789;0;0;-0.03;0;g2789;0;0.06;-0.43;0;g2789;0;-0.3;-0.03;0;g2789;0;0;-0.2;0;g2789;0;0.52;-0.1;0;g2789;0;-0.66;0;0
g2800;0.09;-0.26;-0.29;0.16;g2800;-0.12;0.04;0.35;-0.51;g2800;0.19;0.21;0.35;0.05;g2800;0.02;0.39;0.25;0.34;g2800;-0.35;0.07;0.25;-0.04;g2800;-0.06;-0.02;-0.02;0.36;g2800;0.21;0.23;-0.02;0.35;g2800;-0.14;-0.16;-0.19;-0.02
g2841;0;0.27;0.09;-0.25;g2841;-0.11;0.06;0.73;0.34;g2841;-0.09;0.15;0.23;0.21;g2841;0.14;-0.37;-0.27;0.06;g2841;0.24;-0.32;-0.38;-0.05;g2841;0.07;0.26;-0.43;-0.12;g2841;0.03;-0.22;-0.08;0.01;g2841;-0.16;0.09;0;-0.12
g2916;0.19;-0.62;-0.29;-0.56;g2916;-0.13;-0.48;-0.22;-0.43;g2916;-0.15;0.02;0.21;0.42;g2916;0.13;0.56;0.6;0.06;g2916;0.64;0.12;0.33;0.33;g2916;-0.2;-0.03;-0.05;0.33;g2916;-0.06;0.05;0.18;-0.22;g2916;-0.38;-0.1;0.13;0.18
g3064;0.03;0.24;-0.5;0.08;g3064;0;-0.36;-0.31;0.13;g3064;0.08;-0.16;-0.15;-0.04;g3064;0.31;0.39;0.32;-0.43;g3064;0.22;-0.13;0.19;0.13;g3064;0.07;-0.23;0.44;-0.3;g3064;-0.03;-0.05;-0.31;-0.41;g3064;0.03;-0.03;0.3;-0.1
g3106;-0.1;-0.14;-0.11;-0.48;g3106;0.6;-0.05;0.62;-0.34;g3106;-0.29;-0.05;-0.52;0.13;g3106;-0.14;0.05;-0.05;0.29;g3106;-0.02;0.03;-0.82;0.29;g3106;0.14;0.21;0.54;0.38;g3106;0.51;0.7;0.41;-0.23;g3106;0.03;0.26;0.22;0.07
g3178;0.42;-0.24;-1.42;0.37;g3178;0.66;-1.61;-0.42;0.16;g3178;0.51;-0.02;-0.08;-0.23;g3178;-0.14;0.56;0.52;0;g3178;-0.26;0;0.7;-0.14;g3178;-0.4;0.05;0.31;0.05;g3178;-0.21;-0.08;0.36;-0.16;g3178;-0.06;-0.06;0.14;0.12
g3242;-0.78;0.56;-0.29;0.29;g3242;-0.69;0.45;-0.26;0.52;g3242;0.37;0.48;0.55;-0.14;g3242;0.33;-0.13;0.28;-0.33;g3242;0.26;-0.74;-0.16;0.11;g3242;-0.22;-0.23;-0.15;-0.27;g3242;-0.05;-0.74;-0.31;-0.16;g3242;-0.11;-0.15;0.47;-0.36
g3282;-0.37;0.1;-0.19;-0.15;g3282;-0.09;0.18;-0.05;0.05;g3282;0.07;0.28;0.2;-0.15;g3282;0.2;0.01;0.27;0.31;g3282;0.59;-0.5;-0.86;-0.03;g3282;-0.71;0.1;0.14;-0.06;g3282;-0.36;-0.77;0.25;0.15;g3282;-0.58;-0.05;0;0.07
g3317;0.11;-0.28;-0.06;0.18;g3317;0.17;-0.33;-0.01;-0.02;g3317;0.01;-0.19;0.55;0.37;g3317;0.05;0.14;-0.12;0.21;g3317;0.05;-0.14;0.26;0.07;g3317;-0.03;-0.08;0;0.09;g3317;0.04;0.01;-0.36;0.01;g3317;-0.39;-0.05;0;0.11
g3319;0.21;0.04;0.25;0.3;g3319;0.27;-0.08;-0.41;-0.11;g3319;-0.09;-0.03;0.12;0.07;g3319;0.1;-0.03;0.64;-0.63;g3319;-0.04;0.05;-3.71;0.12;g3319;0.25;0.36;0.31;0.09;g3319;0.08;0.01;0.76;-0.04;g3319;-0.57;0.31;0;0.08
g3325;0.27;-0.45;-0.68;0.43;g3325;0.04;-0.52;-0.15;0.1;g3325;0.07;-0.79;-0.04;-0.32;g3325;0.01;0.6;-0.26;-0.34;g3325;-0.11;0.39;0.22;0.13;g3325;-0.11;0.46;0;-0.19;g3325;-0.08;0.42;-0.22;-0.39;g3325;-0.23;0.24;0.4;-0.1
g3334;0;0.15;-0.38;0;g3334;0;-0.08;-0.03;0;g3334;0;0.1;-0.26;0;g3334;0;0.28;-0.39;0;g3334;0;-0.2;0;0;g3334;0;-0.17;0.03;0;g3334;0;0.07;-0.29;0;g3334;0;0.29;0.35;0
g3353;-0.16;0.16;-0.14;-0.25;g3353;0.15;-0.01;0.16;0.03;g3353;-0.04;-0.46;-0.39;-0.03;g3353;0.21;0.06;-0.15;0;g3353;0.05;0.19;0.21;0.11;g3353;-0.11;0.4;0.02;0.1;g3353;0.22;0.21;0;0.1;g3353;-0.18;0.77;0.52;0.05
g3361;-0.33;-1.38;-0.74;-0.2;g3361;0.14;0.1;-0.25;-0.58;g3361;-0.03;0.35;-0.02;0.32;g3361;-0.14;0.14;0;0.47;g3361;0.06;-0.41;0.03;-0.12;g3361;0;0.33;0.16;0.54;g3361;0.13;0.44;0;0.41;g3361;-0.2;0.34;0.11;0.03
g3430;-0.47;0.68;0.15;-0.3;g3430;-0.17;0.41;0.14;0.07;g3430;0.11;0.53;-0.27;0.07;g3430;0.27;-0.91;0.26;0.31;g3430;-0.02;-0.56;-0.77;-0.05;g3430;-0.13;0.03;0.2;0.23;g3430;0.19;-0.76;0.2;0;g3430;-0.45;0.17;-0.33;-0.01
g3503;-0.78;0.84;0;-0.23;g3503;-0.29;0.28;0.12;0.22;g3503;0.28;0.1;0.05;0.07;g3503;0.19;-0.68;0.01;0.09;g3503;-0.19;-0.5;-0.81;0.29;g3503;-0.25;0.36;-0.03;-0.38;g3503;0.39;-0.79;-0.02;-0.25;g3503;-0.07;0.28;0.28;-0.27
g3717;-0.25;-0.31;-0.04;0.16;g3717;-0.07;-0.03;-0.12;-0.45;g3717;0.01;0.04;-0.03;0;g3717;0.06;0.09;0.21;0.06;g3717;-0.1;-0.2;-0.15;-0.02;g3717;-0.29;0.31;0.15;0.29;g3717;0.06;0.16;0.38;0.13;g3717;-0.09;-0.2;-0.46;-0.21
g3796;0.11;-0.52;-0.46;0.52;g3796;-0.78;1.31;1.14;-0.01;g3796;0.25;0.09;-0.58;0.04;g3796;0.3;-0.44;-0.23;0.26;g3796;-0.1;0.25;-0.71;-0.09;g3796;-0.26;0.35;-0.27;0.21;g3796;-0.16;0.04;0.08;-0.34;g3796;-0.83;0.36;-0.6;-0.18
g3914;-0.26;-0.19;-0.57;-0.37;g3914;-0.48;-0.11;0.21;0.02;g3914;-0.11;0.06;0.37;-0.16;g3914;0.09;0.28;0.16;0.21;g3914;-0.11;-0.01;-0.38;0.18;g3914;-0.02;-0.07;0.06;0.17;g3914;0.25;-0.17;0.13;-0.31;g3914;0.03;0.13;0.42;0.13
g3921;1.31;0.24;-0.16;0.18;g3921;0.48;0;-0.11;0.14;g3921;0.14;0;-0.26;-0.01;g3921;-0.18;0.93;-0.04;-0.43;g3921;-0.13;0.81;0.36;0.18;g3921;-0.13;0;-0.1;-0.67;g3921;-0.1;0.7;-0.13;-0.32;g3921;-0.36;0;0;-0.11
