;t4;t4;t4;;t7;t7;t7;;t8;t8;t8;;t9;t9;t9;;t10;t10;t10;;t11;t11;t11;;t12;t12;t12;;t13;t13;t13;;
;c0;c1;c3;;c0;c1;c3;;c0;c1;c3;;c0;c1;c3;;c0;c1;c3;;c0;c1;c3;;c0;c1;c3;;c0;c1;c3;;
g1211;-0.21;0.04;0.08;g1211;0.15;-0.21;-0.12;g1211;0.45;-0.39;-0.01;g1211;-0.1;-0.05;0.16;g1211;0.05;-0.05;-0.15;g1211;-0.01;-0.25;0.1;g1211;-0.02;-0.07;-0.07;g1211;-0.1;0.31;-0.05
g1212;0.05;-0.31;-0.41;g1212;-0.03;-0.68;0.08;g1212;0.32;-0.06;0.09;g1212;0.21;-0.68;0.03;g1212;0.06;-0.68;-0.43;g1212;-0.38;-0.55;0.19;g1212;-0.18;-0.95;0.65;g1212;-0.56;-0.42;0.54
g1213;-0.67;0.53;-0.03;g1213;0.04;-0.21;-0.08;g1213;-0.21;-0.12;-0.22;g1213;0.16;-0.25;-0.28;g1213;0.19;0.04;-0.17;g1213;0.15;-0.85;-0.1;g1213;0.04;0.92;0.98;g1213;-0.06;0.27;-0.05
g1214;-0.06;-0.02;-0.18;g1214;0.05;0.06;0.44;g1214;-0.16;0.07;0.29;g1214;0.29;0;-0.08;g1214;0.41;-0.2;0.33;g1214;0;-0.32;0.1;g1214;-0.25;-0.16;-0.33;g1214;-0.25;-0.09;-0.02
g1215;0.01;-0.41;0.19;g1215;-0.15;0.08;-0.3;g1215;0.52;-0.41;0.13;g1215;-0.04;0.53;0.38;g1215;0.44;0.01;0.08;g1215;-0.22;0.4;0.11;g1215;-0.14;-0.17;-0.33;g1215;-0.09;0.3;-0.03
g1216;0;0.05;-0.15;g1216;0;-0.36;0.43;g1216;0.23;0.87;0.16;g1216;0.24;-0.9;-0.43;g1216;0.36;0.54;0.19;g1216;0;-0.44;-0.38;g1216;-0.23;0.56;0;g1216;-0.15;-0.01;0.23
g1217;0.16;0.17;-0.45;g1217;0.04;0.24;0.1;g1217;0.34;-0.81;0.03;g1217;-0.29;0.08;0.03;g1217;-0.12;-0.15;0.18;g1217;0.27;0.32;0.08;g1217;0.04;0.08;-0.02;g1217;0.09;0.16;-0.1
g1218;-0.15;-0.14;-0.07;g1218;-0.08;-0.21;0.09;g1218;0.15;0.29;-0.04;g1218;0.32;-0.37;-0.02;g1218;0.16;-0.02;0.13;g1218;-0.08;0;-0.23;g1218;-0.08;0.38;0.01;g1218;-0.15;-0.16;-0.21
g1219;0.21;0.44;-0.21;g1219;0.1;-0.09;-0.01;g1219;0.47;0.22;-0.07;g1219;-0.35;-0.28;0.03;g1219;0.21;0;-0.07;g1219;0.07;0.16;0.25;g1219;0.17;0.26;0.46;g1219;-0.21;0.49;0.19
g1220;0.75;0.07;-0.11;g1220;-0.44;-0.31;0.15;g1220;-0.22;0.14;0.38;g1220;0;-0.01;0.23;g1220;-0.26;0.02;0.08;g1220;0.06;-0.09;0.06;g1220;0.39;0.28;0.13;g1220;-0.04;-0.15;0.28
g1221;0.19;0.28;-0.19;g1221;0.04;-0.26;-0.33;g1221;0.09;0.59;0.1;g1221;-0.05;-0.08;-0.33;g1221;-0.37;0.03;-0.35;g1221;-0.19;0.18;0.5;g1221;0.15;0.06;0.82;g1221;-0.05;-0.13;0.61
g1222;1.3;0.39;-0.02;g1222;-0.08;-1.59;1.1;g1222;-0.13;-1.93;0.74;g1222;-0.72;-0.88;0.64;g1222;-0.75;-0.61;0.68;g1222;-0.26;1.13;0.46;g1222;0.98;1.05;0.1;g1222;0.94;1.84;-0.48
g1223;1.4;1.11;-0.23;g1223;0.08;-1.53;0.84;g1223;-0.18;-1.79;0.87;g1223;-0.82;-0.82;0.47;g1223;-0.9;-0.23;0.55;g1223;-0.46;1.25;0.76;g1223;0.98;1.37;-0.08;g1223;1.15;1.8;-0.78
g1224;0.08;-0.31;-0.12;g1224;-0.32;0.36;0.58;g1224;0.21;-0.27;0.49;g1224;0.04;0.26;0.41;g1224;0.13;-0.61;0;g1224;-0.02;0.21;0.22;g1224;0.25;-0.61;0.58;g1224;-0.23;0.21;0.35
g1225;0.04;0.16;0.31;g1225;-0.03;0.03;0.03;g1225;-0.13;0;-0.03;g1225;-0.01;0.11;0.32;g1225;-0.13;-0.21;-0.29;g1225;0.09;0.36;-0.08;g1225;0.09;-0.25;-0.5;g1225;-0.17;0.11;-0.07
g1226;-0.09;-0.25;-0.07;g1226;-0.13;0.25;0.05;g1226;-0.04;-0.25;0.12;g1226;0.16;0.23;-0.04;g1226;0.11;-0.31;0.05;g1226;0.01;-0.04;-0.26;g1226;-0.02;-0.41;0.21;g1226;0.06;0.14;-0.02
g1227;0.15;-0.11;-0.12;g1227;-0.14;0.28;-0.1;g1227;-0.03;-0.3;0.07;g1227;-0.03;0.33;0.01;g1227;0;-0.05;-0.25;g1227;0.05;0.22;0.23;g1227;0.08;-0.5;0.27;g1227;-0.21;0.05;-0.05
g1228;0.1;-0.23;-0.18;g1228;-0.32;0.1;0.15;g1228;0.11;-0.06;0.13;g1228;-0.01;0.08;0.12;g1228;0.33;-0.22;0.1;g1228;-0.16;-0.2;0.19;g1228;0.16;-0.39;0.33;g1228;-0.32;-0.25;0
g1229;0.38;0.05;-0.13;g1229;-0.09;0.22;-0.22;g1229;0.14;-0.17;-0.03;g1229;0.01;0.3;-0.17;g1229;0.04;-0.47;-0.21;g1229;-0.02;0.07;0.32;g1229;0.05;-0.36;0.07;g1229;-0.28;0.07;-0.07
g1230;0.14;0.34;0.24;g1230;-0.3;0.08;0.22;g1230;0.24;0.55;0.07;g1230;-0.21;-0.05;0.11;g1230;0.1;-0.22;-0.34;g1230;-0.02;-0.11;-0.05;g1230;-0.05;0;-0.33;g1230;-0.24;-0.33;-0.21
g1231;0.06;0.54;-0.03;g1231;0.1;0.25;-0.11;g1231;0.24;0.71;-0.13;g1231;-0.06;0.24;-0.13;g1231;0.1;0.45;-0.05;g1231;-0.26;0.12;0.34;g1231;0.06;0.35;0.04;g1231;-0.2;-0.35;0.16
g1232;-0.63;0.26;0.55;g1232;-0.11;0.43;0.55;g1232;0.24;-0.29;0.19;g1232;0.39;0.21;0.43;g1232;0.46;-0.24;-0.01;g1232;-0.11;-0.1;-0.23;g1232;0.09;-0.33;-0.64;g1232;0.13;-0.26;-0.22
g1233;0;0.06;0;g1233;0;-0.57;0;g1233;0;-0.04;0;g1233;0;0.1;0;g1233;0;0.56;0;g1233;0;0.43;0;g1233;0;0.28;0;g1233;0;0.19;0
g1234;0;0.31;0;g1234;0;0;0;g1234;0;0;0;g1234;0;-0.02;0;g1234;0;0;0;g1234;0;0;0;g1234;0;0;0;g1234;0;0;0
g1235;0;-0.59;0;g1235;0;0.01;0;g1235;0;-0.24;0;g1235;0;0.36;0;g1235;0;-0.16;0;g1235;0;0.35;0;g1235;0;-0.12;0;g1235;0;0.11;0
g1236;0;0.01;0;g1236;0;0.06;0;g1236;0;-0.09;0;g1236;0;-0.15;0;g1236;0;0.53;0;g1236;0;0.01;0;g1236;0;0.13;0;g1236;0;0.37;0
g1237;0;0.11;0;g1237;0;-0.22;0;g1237;0;0.33;0;g1237;0;-0.35;0;g1237;0;-0.13;0;g1237;0;0;0;g1237;0;0.16;0;g1237;0;-0.07;0
g1238;0;0.01;0;g1238;0;0.15;0;g1238;0;0.37;0;g1238;0;-0.23;0;g1238;0;-0.14;0;g1238;0;0.53;0;g1238;0;0.03;0;g1238;0;-0.23;0
g1239;0;0;0;g1239;0;0;0;g1239;0;0.3;0;g1239;0;-0.28;0;g1239;0;0.49;0;g1239;0;0.6;0;g1239;0;0.44;0;g1239;0;0.41;0
g1240;0;-0.07;0;g1240;0;0.06;0;g1240;0;0.04;0;g1240;0;-0.63;0;g1240;0;1.26;0;g1240;0;1;0;g1240;0;0.15;0;g1240;0;-0.23;0
g1241;0;0.5;0;g1241;0;0;0;g1241;0;0.72;0;g1241;0;-0.38;0;g1241;0;0.48;0;g1241;0;0;0;g1241;0;0.78;0;g1241;0;-0.12;0
g1242;0;-0.05;0;g1242;0;-0.43;0;g1242;0;-0.39;0;g1242;0;0.11;0;g1242;0;0.21;0;g1242;0;-0.07;0;g1242;0;0.17;0;g1242;0;-0.59;0
g1243;0;0.32;0;g1243;0;0.1;0;g1243;0;-0.08;0;g1243;0;-0.28;0;g1243;0;-0.32;0;g1243;0;0.55;0;g1243;0;0.52;0;g1243;0;0.3;0
g1244;0;0.11;0;g1244;0;-0.17;0;g1244;0;-0.15;0;g1244;0;-0.07;0;g1244;0;0;0;g1244;0;0.37;0;g1244;0;0.07;0;g1244;0;0.19;0
g1245;0;0.24;0;g1245;0;-0.19;0;g1245;0;-0.22;0;g1245;0;0.2;0;g1245;0;0.07;0;g1245;0;0.43;0;g1245;0;0.51;0;g1245;0;0.12;0
g1246;0;-0.39;0;g1246;0;0;0;g1246;0;0.16;0;g1246;0;-0.59;0;g1246;0;-0.22;0;g1246;0;0;0;g1246;0;0.14;0;g1246;0;-0.32;0
g1247;0.04;0.2;0.15;g1247;-0.06;-0.06;0.03;g1247;0.38;0.59;0.01;g1247;-0.04;-0.22;0.08;g1247;0.22;0.31;0.03;g1247;-0.17;-0.22;-0.06;g1247;0;0.13;0.13;g1247;-0.34;-0.53;0.03
g1248;-0.3;-0.01;-0.21;g1248;-0.22;-0.62;0.18;g1248;0.14;0.62;0.08;g1248;0.42;-0.65;0.08;g1248;0.27;0.28;-0.04;g1248;0.23;0;-0.04;g1248;0.11;0.54;0.22;g1248;-0.09;-0.13;0.2
g1249;-0.11;-0.29;-0.35;g1249;-0.54;-0.27;0.02;g1249;0.25;-0.18;0.12;g1249;0;0.13;-0.09;g1249;0.3;0.23;0.04;g1249;0.14;0.19;0.31;g1249;0.12;0.26;0.39;g1249;-0.41;0.37;-0.01
g1250;-0.12;0.38;-0.39;g1250;-0.08;-0.16;0.12;g1250;0.17;0.21;0.04;g1250;0.28;-0.64;0.19;g1250;0.19;0.22;0.09;g1250;-0.29;0.02;0.09;g1250;0.06;0.12;0;g1250;-0.17;-0.21;-0.01
g1251;0.17;0.71;-0.02;g1251;0.24;-0.05;0.25;g1251;0.08;0.22;-0.31;g1251;-0.26;-0.59;-0.06;g1251;0.23;0.01;0.18;g1251;-0.11;-0.39;-0.27;g1251;0.2;0.53;-0.08;g1251;-0.05;0.08;0.08
g1252;-0.35;-0.12;-0.55;g1252;0.17;-0.35;-0.13;g1252;0.04;-0.24;-0.1;g1252;0.28;-0.43;-0.06;g1252;0.11;0.11;0.03;g1252;-0.16;-0.15;0;g1252;0.03;0.19;0.21;g1252;-0.21;0.19;0.03
g1253;0.15;0.01;-0.2;g1253;-0.2;-0.19;-0.04;g1253;0.19;0.03;0;g1253;-0.4;-0.17;-0.28;g1253;0.43;-0.14;-0.02;g1253;0.02;-0.05;0.19;g1253;0.16;0.34;-0.04;g1253;-0.45;0.28;0.05
g1254;-0.16;-0.26;-1.04;g1254;-0.12;-0.24;0.29;g1254;0.13;-0.24;0.5;g1254;0.49;-0.2;0.08;g1254;0.45;0.12;-0.03;g1254;0.01;-0.01;0.78;g1254;0.2;0.17;1.2;g1254;-0.26;0.32;0.54
g1255;0.07;-0.46;0.25;g1255;-0.03;0.18;0.1;g1255;0.19;-0.05;-0.12;g1255;-0.24;0.27;0.08;g1255;0.61;-0.11;0.05;g1255;-0.09;-0.13;-0.04;g1255;0.07;-0.09;-0.04;g1255;-0.23;0.24;-0.28
g1256;-0.03;0.07;-0.96;g1256;-0.25;0.16;-0.33;g1256;-0.2;-0.24;-0.2;g1256;0.11;-0.09;-0.44;g1256;-0.16;-0.5;-0.28;g1256;-0.24;-0.41;0.45;g1256;-0.24;-0.32;0.57;g1256;-0.2;-0.21;0.34
g1257;0.09;0;-0.21;g1257;-0.02;0;0.19;g1257;0.37;0;0.01;g1257;-0.13;0;0.1;g1257;0.29;0;0.09;g1257;-0.11;0;0.21;g1257;0.02;0;0.12;g1257;-0.34;0;0.01
g1258;0.06;-0.61;0.02;g1258;-0.32;0.05;0.34;g1258;0.12;-0.27;0.16;g1258;0.16;0.26;0.18;g1258;0.04;0.01;-0.15;g1258;0.18;0.13;-0.15;g1258;0.09;-0.06;0.05;g1258;-0.3;-0.23;0.36
g1259;0.29;0.48;0.03;g1259;-0.12;-0.2;0.11;g1259;0.03;-0.6;0.37;g1259;-0.2;-0.26;0.28;g1259;-0.18;-0.39;0.13;g1259;-0.46;0.32;0.82;g1259;0;0.19;0.45;g1259;0;0.22;0.22
g1260;0.27;0.32;0.04;g1260;-0.11;0.17;-0.44;g1260;-0.01;-0.4;-0.31;g1260;-0.19;0.32;-0.22;g1260;-0.1;-0.14;-0.4;g1260;-0.06;0.18;0.26;g1260;0.04;0;0.04;g1260;-0.21;-0.26;0.01
g1261;-0.01;0.24;0.24;g1261;-0.05;-0.07;-0.06;g1261;-0.05;0.15;0.04;g1261;-0.26;-0.35;-0.1;g1261;0.32;0.04;-0.08;g1261;0.14;0.02;0.23;g1261;0.06;0.11;-0.04;g1261;-0.15;-0.12;-0.04
g1262;-0.09;0.45;-0.11;g1262;-0.05;0.29;-0.13;g1262;0.26;0.36;0.21;g1262;-0.04;0.13;0.02;g1262;0.4;-0.02;-0.1;g1262;-0.05;-0.05;0.43;g1262;0.15;0.21;0.18;g1262;-0.29;-0.1;0.03
g1263;0.42;0.12;-0.04;g1263;0.13;-0.19;-0.08;g1263;0.1;0.03;-0.08;g1263;0.01;-0.04;-0.16;g1263;0.04;-0.23;0.03;g1263;-0.25;-0.06;0.15;g1263;0.08;-0.27;-0.02;g1263;-0.05;0;0
g1264;-0.06;-0.08;0.04;g1264;-0.18;-0.15;-0.15;g1264;0;2.14;0.09;g1264;-0.13;0.14;0.11;g1264;0.02;-0.46;0.06;g1264;-0.11;0.02;0.26;g1264;-0.08;-0.56;0.2;g1264;-0.13;-0.08;-0.15
g1265;0.03;0.08;-0.02;g1265;0.2;0.05;0.29;g1265;0.33;0.09;0.01;g1265;-0.25;-0.2;0.19;g1265;0.45;0.05;0.07;g1265;-0.17;-0.24;-0.01;g1265;0.07;-0.07;-0.07;g1265;-0.07;0.01;0.24
g1266;-0.12;-0.21;-0.02;g1266;-0.02;-0.16;0.21;g1266;0.41;0.12;0.01;g1266;-0.03;-0.41;0.32;g1266;0.36;-0.13;0.29;g1266;0.05;-0.37;0.39;g1266;0.22;0.15;-0.02;g1266;-0.38;-0.23;0.21
g1267;-0.1;-0.09;-0.34;g1267;0.29;0.51;-0.03;g1267;0.48;0.1;-0.1;g1267;-0.18;-0.23;0.13;g1267;0.71;-0.04;0.06;g1267;0.09;-0.41;0.03;g1267;-0.04;0.38;-0.2;g1267;-0.35;0.1;-0.03
g1268;0.11;-0.25;-0.38;g1268;0.12;0.12;-0.04;g1268;0.45;0.16;0;g1268;-0.25;-0.06;0.12;g1268;0.65;0.42;-0.07;g1268;0.19;0.27;0.16;g1268;0.03;0.37;0.25;g1268;-0.26;-0.03;0.08
g1269;-0.11;-0.67;-0.26;g1269;0.45;0.29;-0.12;g1269;0.58;-0.11;-0.12;g1269;-0.05;-0.08;-0.01;g1269;0.61;0.03;0.38;g1269;0.03;-0.25;-0.18;g1269;0.06;0.32;-0.12;g1269;-0.3;-0.04;-0.1
g1270;-0.01;-0.78;-0.13;g1270;-0.11;-0.01;-0.09;g1270;0.46;-0.63;-0.17;g1270;-0.23;0.01;-0.09;g1270;0.67;-0.18;-0.15;g1270;-0.14;-0.11;0.2;g1270;-0.02;0.04;0.27;g1270;-0.28;-0.05;0.11
g1271;0.11;0.83;0.05;g1271;-0.01;-1.69;-0.2;g1271;0.47;0.68;-0.09;g1271;0.03;-1.48;-0.17;g1271;-0.06;0.89;-0.07;g1271;-0.13;-0.84;-0.26;g1271;-0.13;0.04;-0.05;g1271;-0.14;-0.23;0.12
g1272;0.28;0.2;0.5;g1272;-0.29;-0.7;-0.07;g1272;-0.05;-0.32;-0.4;g1272;0.14;-0.21;-0.2;g1272;0.29;-0.18;-0.18;g1272;0.12;0.12;-0.62;g1272;0.18;-0.01;-0.4;g1272;-0.09;-0.08;-0.13
g1273;0.13;0.37;0.11;g1273;-0.03;0.04;-0.15;g1273;0.1;0.13;-0.22;g1273;-0.15;-0.03;-0.13;g1273;-0.03;-0.56;0.04;g1273;-0.15;0.3;0.04;g1273;0.15;-0.3;-0.31;g1273;-0.17;-0.09;-0.26
g1274;-0.01;-0.21;-0.41;g1274;0;0.36;0.22;g1274;0.43;-0.2;0.36;g1274;0.16;0.27;0.31;g1274;0.09;0.29;0.39;g1274;-0.25;-0.09;0.26;g1274;0.12;-0.89;0.24;g1274;-0.45;0;0.24
g1275;0.17;0.02;0.34;g1275;0;0.02;-0.05;g1275;0.14;0.17;0.13;g1275;0.05;0.16;0.08;g1275;0;-0.01;-0.33;g1275;-0.17;0.62;0.06;g1275;0.09;-0.47;0.28;g1275;-0.26;0.1;0.15
g1276;0.04;0.08;0.02;g1276;-0.27;-0.6;-0.06;g1276;0.06;0;0.1;g1276;0.21;-0.22;-0.08;g1276;-0.16;0.45;0.18;g1276;-0.18;0;-0.06;g1276;0.14;-0.5;-0.49;g1276;-0.08;0;-0.02
g1277;0.01;-0.11;0.72;g1277;-0.08;-0.13;0.18;g1277;-0.02;-0.57;-0.05;g1277;-0.3;0.44;-0.21;g1277;0.46;0.16;0.22;g1277;0.27;0.63;-0.3;g1277;0.25;-0.02;-0.46;g1277;-0.3;0.69;-0.09
g1278;0.12;-0.86;0.26;g1278;-0.17;0.35;-0.03;g1278;0.29;-0.66;0.01;g1278;0.26;0.59;0.06;g1278;0.08;0.02;0.17;g1278;-0.15;0.28;-0.14;g1278;0.29;-0.33;-0.17;g1278;-0.17;0.31;0.14
g1279;0.18;0.42;0.69;g1279;0.52;0.37;-0.09;g1279;0.63;0.1;-0.11;g1279;0.17;0.01;-0.16;g1279;0.53;-0.26;-0.22;g1279;-0.01;0.12;-0.57;g1279;0.03;-0.09;-0.27;g1279;-0.16;0.47;-0.44
g1280;-0.21;0.15;0.04;g1280;0.35;-1.34;-0.16;g1280;0.27;0.14;-0.16;g1280;0.36;-0.36;-0.09;g1280;0.69;0.26;0.02;g1280;0.26;0.73;0.05;g1280;-0.42;0.44;-0.26;g1280;-0.41;0.24;0.14
g1281;0.3;0.62;-0.2;g1281;0.22;-0.12;0.13;g1281;0.15;-0.1;-0.1;g1281;-0.01;-0.16;0.12;g1281;-0.09;0.11;-0.32;g1281;-0.34;0.5;0.22;g1281;0.09;-0.14;0.36;g1281;-0.35;-0.1;-0.03
g1282;-0.1;0.12;-0.32;g1282;0.08;-0.24;0.09;g1282;0.08;0.24;0.02;g1282;0.23;-0.29;-0.05;g1282;0.24;0.32;0.13;g1282;-0.21;0.16;0.12;g1282;0.1;0.42;0.05;g1282;-0.23;0.48;0.16
g1283;-0.81;0.34;-0.22;g1283;0.14;0.04;-0.04;g1283;-0.23;0;0.18;g1283;0.39;-0.46;-0.51;g1283;1.95;-0.02;0.08;g1283;-0.23;1.86;-0.13;g1283;0.02;0.67;-0.73;g1283;0;0.35;-0.51
g1284;-0.21;-0.11;0.18;g1284;0.37;0.08;-0.3;g1284;-0.01;-0.12;-0.07;g1284;0.26;0.24;0.01;g1284;0.02;0.03;0.08;g1284;-0.12;0.15;-0.11;g1284;0.02;0.12;0.05;g1284;-0.36;0.07;0.21
g1285;0;0;-0.06;g1285;0.07;0.12;0.1;g1285;0.35;0;-0.09;g1285;-0.17;-0.2;-0.19;g1285;0.75;0;-0.09;g1285;-0.01;0.09;-0.15;g1285;-0.11;0;0.1;g1285;-0.37;-0.05;0.29
g1286;0.08;-0.12;0.05;g1286;-0.04;0.01;-0.05;g1286;-0.01;-0.22;-0.07;g1286;0.37;-0.04;-0.02;g1286;0.34;-0.01;0.16;g1286;0.07;-0.11;-0.13;g1286;0.11;-0.09;0.04;g1286;-0.15;0.41;0.02
g1287;-0.06;-1.52;-0.09;g1287;-0.01;0.01;0.08;g1287;0.28;0;0.03;g1287;-0.17;-0.09;-0.07;g1287;0.66;-0.22;-0.16;g1287;-0.08;1.05;0;g1287;-0.2;0;0.26;g1287;-0.21;0;0.03
g1288;0.34;-0.23;0.11;g1288;0.2;-0.21;-0.44;g1288;0.03;-0.42;-0.18;g1288;0.14;-0.07;-0.03;g1288;0.25;0.22;0.01;g1288;-0.13;0.16;0.04;g1288;-0.1;0.3;-0.11;g1288;-0.2;0;-0.05
g1289;0.17;0;-0.05;g1289;-0.05;0.01;0.15;g1289;0.5;0;0.02;g1289;-0.07;-0.08;0.09;g1289;0.7;0;-0.25;g1289;-0.1;0;0.02;g1289;-0.07;0.88;0.23;g1289;-0.22;0.14;-0.05
g1290;-0.27;-0.2;-0.19;g1290;0.04;0;0.22;g1290;0.24;-0.22;0.01;g1290;0.25;0.02;0.19;g1290;0.49;0.05;0.26;g1290;0.12;0.12;-0.08;g1290;-0.05;-0.12;-0.19;g1290;-0.05;0.21;-0.14
