;t0;t0;t0;t0;;t1;t1;t1;t1;;t2;t2;t2;t2;;t3;t3;t3;t3;;t4;t4;t4;t4;;t5;t5;t5;t5;;
;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;
g312;0.06;-0.01;-0.18;-0.87;g312;-0.28;0.35;-0.29;-0.17;g312;0.06;0.47;0.45;0.1;g312;-0.28;0.25;-0.13;-0.12;g312;-0.26;-0.25;0.53;0.62;g312;-0.24;0.34;-0.66;0.52
g326;-0.22;-0.8;0.37;-0.28;g326;0.48;-1.21;-0.42;0.01;g326;-0.03;-0.76;-0.45;0.31;g326;0.05;-0.12;-0.23;-0.36;g326;0.04;0.85;-0.05;-0.22;g326;-0.3;-0.07;-0.45;0.03
g334;-0.12;0.03;-0.89;-0.3;g334;-0.77;0.26;0.07;-0.25;g334;-0.07;0.33;0.42;-0.04;g334;0.12;0;-0.12;-0.04;g334;0.26;0;-0.31;0.46;g334;-0.09;0;-0.26;0.74
g339;0.04;0;0.02;0.2;g339;-0.54;-0.11;-0.32;-0.14;g339;0.25;0.14;-0.02;0.08;g339;0.13;0.01;-0.09;-0.2;g339;0.29;0.21;0.29;0.03;g339;-0.12;0.1;-0.49;-0.1
g361;0.05;0;0.15;0.11;g361;0.09;0;0.09;-0.04;g361;0.02;0;0.08;0.04;g361;-0.18;0;-0.09;0.31;g361;-0.2;0;0;0.09;g361;0.27;0;0;0.11
g373;0.07;0;-0.32;-0.79;g373;-0.53;0;-0.5;-0.01;g373;-0.36;0;0.13;-0.12;g373;-0.3;0;-0.11;0.03;g373;-0.03;0;0.35;0.4;g373;-0.41;0;-0.56;0.22
g379;0.16;0;0.41;0.32;g379;-0.17;-0.83;0.25;0.08;g379;0.78;-0.87;-0.05;0.06;g379;0.64;-0.5;-0.75;0.04;g379;0.43;-0.43;-0.67;-0.27;g379;0.52;-0.54;-0.67;-0.96
g391;-0.46;-0.76;-0.88;-0.17;g391;0;-0.2;-0.66;-0.4;g391;0.42;0.02;0.63;-0.14;g391;0.28;-0.02;0.27;-0.03;g391;0.51;0.35;-0.38;0.25;g391;0.03;-0.25;0.35;-0.1
g585;-0.05;1.27;-0.46;-0.6;g585;-0.59;1.09;0.67;-0.37;g585;-0.63;0.44;0.13;0.03;g585;-0.14;0.1;0.23;0.9;g585;-0.14;0.37;0.33;0.92;g585;0.29;-0.25;-0.22;0.57
g617;0.17;0.14;1.13;0.27;g617;0.14;0.12;-0.18;-0.1;g617;0;0.14;-0.44;0.01;g617;-0.18;0.38;0.3;-0.12;g617;-0.13;0.04;-0.13;0.07;g617;0.1;0.22;-0.18;0.05
g677;0.02;-0.02;-0.05;-0.78;g677;-0.41;0.15;0.65;-0.04;g677;-0.36;-0.04;0.62;0.56;g677;-0.32;0.36;0.59;0.2;g677;-0.26;0.38;0.09;0.49;g677;0.21;-0.47;0.02;0.54
g694;-0.35;-0.52;0.02;0.58;g694;0.03;-0.35;-1.43;-0.01;g694;0.11;0.14;0.07;-0.13;g694;-0.04;0.21;0.39;0.01;g694;0.33;0.23;0.3;-0.21;g694;0.15;-0.08;0.16;-0.03
g733;-0.55;0;0.31;-0.4;g733;0.51;0;-0.44;0.08;g733;-0.05;0;0.51;0.05;g733;0.12;0;0.2;-0.44;g733;-0.43;0;0.31;0.11;g733;0.18;0;-0.22;0.1
g734;-0.34;0;0.34;-0.21;g734;-0.26;0;-0.43;0.03;g734;-0.31;0;0.34;-0.03;g734;-0.15;0;0.37;0.52;g734;0.03;0;0.58;-0.01;g734;0.16;0;0.05;-0.07
g755;-0.24;0;-0.25;0.62;g755;0.01;-0.08;0.54;0.1;g755;-0.22;0;0.26;-0.24;g755;0.23;0;-0.05;-1.07;g755;-0.53;0;-0.33;0.04;g755;0.41;0;-0.08;0.1
g831;1.38;-0.74;-0.14;0.13;g831;0;-0.48;-0.06;-0.05;g831;0.17;-0.18;0.26;0.34;g831;0;-0.01;0.21;1.36;g831;0;0.73;0.51;0.43;g831;-0.16;0.04;-0.33;0.87
g837;0.17;-0.27;-0.05;0.24;g837;0.17;0.07;-0.55;0.16;g837;0.45;-0.04;-0.11;-0.06;g837;0.34;-0.46;-0.57;-0.33;g837;0.09;-0.06;-0.46;-0.37;g837;-0.34;-0.71;-0.36;-0.24
g851;-0.54;0.13;-0.49;-0.73;g851;-0.15;0.25;0.24;-0.36;g851;0.26;0.47;0.79;0.1;g851;0.6;-0.33;0.24;0.02;g851;0.23;-0.63;-0.06;-0.31;g851;0.23;-0.91;-0.09;0.1
g853;-0.64;-0.34;0.23;-0.32;g853;-0.03;0.38;-0.15;-0.18;g853;0.15;0.15;0.85;0.17;g853;0.32;-0.7;0.16;0.32;g853;0.02;-0.07;0.26;0.13;g853;0.09;-0.7;-0.34;0.37
g865;-0.35;1.16;-0.6;-0.94;g865;1.09;1.18;-0.14;-0.4;g865;-0.31;-0.3;-0.2;-0.42;g865;-0.57;-0.59;-0.64;-0.57;g865;-0.33;-0.68;-0.59;-0.36;g865;-0.54;-1.14;0.02;-0.15
g879;-0.29;0.07;-0.31;-0.85;g879;-0.05;0.2;-0.29;0.17;g879;-0.33;0.22;-0.08;-0.21;g879;-0.22;0.42;0.01;0.47;g879;-0.33;0.35;0.3;0.44;g879;-0.11;0.37;-0.17;0.3
g911;0.16;0;0.66;0.1;g911;0.09;0;1.01;-0.04;g911;0.07;0;0.01;0.1;g911;-0.02;0;0.2;-0.18;g911;0.25;0;-0.48;-0.01;g911;-0.05;0;-0.48;-0.12
g923;-0.13;-0.66;1.02;0.67;g923;-0.03;-0.73;0.47;1.2;g923;0.62;-0.48;-0.06;0.56;g923;0.16;0.05;-0.17;0.32;g923;0.26;0.18;-0.32;-0.29;g923;0.38;0.33;-0.36;-0.7
g953;-0.36;-0.48;0.41;1.49;g953;0;-0.04;0.09;0.52;g953;0.49;-0.3;-0.26;-0.03;g953;0.28;0;-0.26;0.13;g953;-0.17;0;-0.64;-1;g953;0.19;0;0.06;-0.97
g955;0.26;0;0.06;0.64;g955;0.08;0;0.21;0.16;g955;0;0;-0.14;-0.08;g955;-0.15;0;0;-0.27;g955;-0.05;0;-1;-0.42;g955;-0.07;0;-0.08;-0.37
g959;0.01;0;0.9;0.12;g959;0;0;-0.02;0.07;g959;0;0;-0.45;0.2;g959;-0.42;0;0.15;0.07;g959;0.12;0;0.15;0.2;g959;-0.2;0;-0.05;0.12
g961;0.07;-0.02;-0.4;-0.18;g961;-0.55;-0.02;-0.33;-0.01;g961;0;-0.04;0.28;-0.11;g961;-0.1;0;0.14;-0.34;g961;0.04;0;-0.15;0.04;g961;-0.12;0;-0.29;0.23
g964;-0.32;-0.11;0.15;-0.85;g964;0.06;-0.33;0.54;-0.5;g964;0.15;-0.35;-0.21;-0.69;g964;-0.07;0.04;-0.1;-0.5;g964;-0.03;0.03;-0.26;-0.69;g964;-0.14;-0.05;0.27;-0.13
g1034;0.35;0.29;-0.41;-1.62;g1034;-0.3;0.47;-0.21;-0.08;g1034;-0.01;-0.53;0.1;-0.17;g1034;-0.42;0.05;-0.04;0.33;g1034;0.15;0.61;-0.03;0.41;g1034;-0.19;-0.6;-0.32;0.41
g1039;-0.42;-0.35;-0.16;0.55;g1039;0;-0.12;0.98;0.07;g1039;0.11;-0.44;0.71;0.45;g1039;-0.07;-0.46;0.78;-0.08;g1039;-0.29;0.83;0.37;0.19;g1039;0.05;-0.78;0.52;0.35
g1088;0.22;0.33;-0.84;-0.73;g1088;-0.21;0.09;0.09;-0.22;g1088;-0.48;-0.14;-0.19;-0.01;g1088;-0.01;0.18;0.5;0.47;g1088;-0.15;0.61;0.11;0.52;g1088;0.18;0.13;0.15;0.62
g1102;-0.03;-1.14;0.3;0.3;g1102;-0.11;-0.72;-0.48;-0.18;g1102;0.18;-0.14;-0.35;-0.08;g1102;-0.21;-0.19;0.04;-0.31;g1102;0.25;0.11;-0.69;-0.2;g1102;0;0.03;0.13;-0.29
g1117;-0.42;0.86;-0.98;-0.71;g1117;0.11;0.64;0.4;-0.07;g1117;-0.63;0.2;0.33;-0.06;g1117;0.01;0.02;0.01;-0.02;g1117;-0.44;0.04;-0.23;0.21;g1117;0.32;0.09;0.36;0.32
g1164;-0.35;0.01;-0.26;-0.21;g1164;0;0.24;-0.01;-0.21;g1164;-0.2;0.3;-0.36;-0.09;g1164;1.31;-0.18;-0.13;0.05;g1164;-0.39;-0.1;0.01;-0.13;g1164;-0.23;-0.15;-0.02;-0.16
g1239;0;-0.6;-0.18;0;g1239;0;0;0.12;0;g1239;0;-0.16;0.08;0;g1239;0;0.34;0.12;0;g1239;0;0;-0.33;0;g1239;0;0;-0.13;0
g1250;-0.31;-0.57;0.63;0.05;g1250;0.09;-0.27;-0.09;0.08;g1250;-0.13;0.23;-0.51;0.16;g1250;-0.1;0.19;0.12;-0.37;g1250;-0.12;0.38;0.66;-0.39;g1250;0.1;-0.14;0.32;-0.08
g1263;0.07;-0.06;0.4;1.09;g1263;-0.23;0.19;-0.36;-0.12;g1263;0.1;0.07;-0.64;0.07;g1263;-0.23;-0.04;-0.17;-0.35;g1263;0.42;0.12;0.17;-0.04;g1263;-0.11;0.05;0.1;-0.26
g1267;-0.77;-1.02;-0.52;1.22;g1267;-0.34;-0.45;0.8;0.23;g1267;-0.15;-0.49;-1.52;-0.3;g1267;0;-0.27;0.06;-0.44;g1267;-0.1;-0.09;0.98;-0.34;g1267;0.35;-0.02;0.8;-0.24
g1272;0.24;1.42;0;0.7;g1272;-0.49;0.75;3.78;0.47;g1272;-0.26;0.05;3.61;0.07;g1272;-0.57;-0.44;3.24;0.27;g1272;0.28;0.2;1.83;0.5;g1272;-0.26;-0.6;-0.7;-0.13
g1287;0.09;-0.08;-0.43;0.5;g1287;0.25;0.35;0.08;-0.07;g1287;-0.01;0.28;0.07;-0.28;g1287;-0.12;-0.14;-0.01;0.05;g1287;-0.06;-1.52;-0.21;-0.09;g1287;0.04;-0.2;0.36;-0.18
g1377;-0.01;0.2;-0.82;0.11;g1377;0.08;0.17;0.57;-0.08;g1377;0.25;-0.18;0.24;0.12;g1377;-0.04;-0.4;-0.39;0.15;g1377;-0.34;0.03;-0.8;-0.18;g1377;-0.26;-0.55;0.49;-0.2
g1383;0.06;-0.72;-0.56;-1.24;g1383;-0.36;-0.49;-0.37;-0.45;g1383;-0.32;-0.35;0.03;0.07;g1383;0.03;0.29;-0.21;-0.01;g1383;-0.19;0.85;0.21;-0.07;g1383;-0.18;0.27;-0.35;0.14
g1424;-0.28;-0.22;-0.03;1.42;g1424;0.21;0.18;-0.36;0.26;g1424;-0.15;-0.18;-0.61;0.06;g1424;0;-0.22;-0.12;-0.24;g1424;-0.42;0.14;-0.42;-0.25;g1424;0.29;-0.35;0.39;-0.24
g1459;2.36;-0.27;1.47;-0.1;g1459;2.35;0.35;1.3;-0.42;g1459;2.3;-0.36;0.15;0;g1459;2.11;-0.44;0.15;0.7;g1459;1.75;0.37;0.17;0.76;g1459;0.76;-0.85;0.51;0.87
g1497;-0.16;-0.71;-0.08;-0.18;g1497;0;-0.06;-0.02;-0.08;g1497;-0.01;-0.31;0.01;-0.05;g1497;0.07;-0.17;0.39;0.23;g1497;-0.09;0.27;0.18;0.03;g1497;-0.03;-0.87;0.64;0.06
g1539;0.46;-0.2;0.09;-0.11;g1539;0.06;0.18;0.61;-0.11;g1539;0.28;0.21;0.53;-0.07;g1539;0.3;-0.47;0.24;-0.13;g1539;0;0.15;-0.55;0.21;g1539;-0.43;-0.75;0.25;-0.09
g1594;-0.28;-0.14;0.12;-0.33;g1594;0;-0.73;0.27;-0.31;g1594;-0.06;-0.73;-0.09;0.02;g1594;0;-0.45;-0.58;-0.54;g1594;-0.45;-0.41;-0.35;-0.21;g1594;0.25;-0.47;-0.54;-0.05
g1609;-0.35;-0.46;-1.4;-0.19;g1609;-0.17;0.05;-0.05;-0.03;g1609;0.47;0.24;0.63;-0.43;g1609;0.25;-0.46;-0.07;-0.31;g1609;0.36;-0.2;0.1;0.03;g1609;-0.19;-0.74;0.08;0.19
g1616;-0.11;-1;0.01;0.65;g1616;0.11;-1.4;0.4;0.19;g1616;0.72;-0.14;0.02;-0.3;g1616;0.94;0.78;-0.2;-0.04;g1616;0.59;0.7;-0.25;0.14;g1616;0.26;0.75;-0.75;0.1
g1705;0.04;0.36;-0.21;-0.94;g1705;0.46;0.24;0.61;0.05;g1705;-0.28;-0.4;0.02;0.08;g1705;0.18;0.35;0.21;0.69;g1705;-0.35;-0.27;0.1;0.65;g1705;-0.19;-0.01;-0.24;0.32
g1714;-0.08;-0.03;-0.8;0.47;g1714;0.2;0.46;0.46;0.08;g1714;0.11;0.18;0.38;0.14;g1714;0.11;0;-0.15;-0.12;g1714;0.04;0;0.2;0.22;g1714;-0.12;-0.26;-0.19;0.21
g1722;-0.36;-0.5;-1;-0.98;g1722;0.69;-0.75;-0.82;1.49;g1722;0.22;-0.29;-0.26;0.08;g1722;-0.55;0.92;0.24;0.52;g1722;-1.01;0.74;0.47;-0.36;g1722;0.58;-0.54;-0.14;-0.54
g1730;-0.38;0.05;0.62;0.81;g1730;0.09;0.26;0.47;0.03;g1730;0.17;0.15;0.54;0.16;g1730;0.13;-0.22;0.64;0.12;g1730;-0.11;-0.5;0.37;-0.05;g1730;-0.05;-0.16;-0.04;0.13
g1756;0.07;-0.19;0.04;0.18;g1756;-0.13;-0.12;0.02;-0.15;g1756;-0.18;-0.36;-0.49;-0.02;g1756;0.01;0.62;0.01;-0.1;g1756;-0.08;0.14;0.11;0.02;g1756;-0.13;-0.44;-0.06;0.18
g1759;0.33;0.8;-0.39;-0.49;g1759;-0.51;0.75;0.4;0;g1759;-0.47;0.49;0.44;-0.17;g1759;-0.37;0.03;0.32;0.63;g1759;-0.14;0.09;0.29;0.86;g1759;-0.02;0.15;-0.26;0.53
g1760;0.11;0.75;0.01;-0.28;g1760;-0.64;0.85;0.3;-0.21;g1760;-0.67;0.29;0.19;-0.07;g1760;0.43;0.05;0.24;0.77;g1760;-0.03;-0.15;0.12;1.02;g1760;0.11;0.02;-0.23;0.67
g1765;0.27;-0.13;0.11;-0.18;g1765;-0.19;-0.19;0.39;-0.09;g1765;-0.03;-0.36;0.07;-0.14;g1765;-0.07;0.31;-0.05;-0.04;g1765;0.39;0.65;0.45;0.12;g1765;-0.24;-0.36;0.37;-0.06
g1768;0;0;0.96;0.51;g1768;0.15;-0.4;1.54;0.18;g1768;0.17;-0.41;0.81;0.85;g1768;-0.12;0.47;-0.78;-0.34;g1768;-0.1;0.3;0.45;0.25;g1768;0.28;0;-0.36;0.17
g1800;-0.13;-0.03;-0.02;0.03;g1800;-0.02;0;0.1;0.01;g1800;-0.22;0;0.11;0.13;g1800;-0.22;0;0.04;-0.12;g1800;-0.55;0;0.11;-0.15;g1800;-0.09;-0.78;-0.04;0.07
g1802;0.19;-0.05;0.8;-0.01;g1802;0.11;0.01;0.33;0.28;g1802;-0.24;-0.17;-0.41;-0.36;g1802;-0.2;-0.26;-0.09;0.24;g1802;-0.22;0.46;0.01;0.01;g1802;-0.09;-0.8;0.04;-0.05
g1808;-0.08;-0.69;0.24;0.91;g1808;0.37;-0.19;-0.14;0.02;g1808;0.26;-0.33;-0.52;0.09;g1808;-0.15;-0.33;-0.55;0.11;g1808;-0.09;-0.22;-0.49;-0.18;g1808;-0.02;-0.24;-0.37;-0.12
g1860;-0.25;-0.44;-0.28;-0.4;g1860;-0.39;0;-0.32;-0.26;g1860;0.01;0.11;-0.16;-0.18;g1860;-0.01;-0.2;0.17;-0.18;g1860;-0.04;0.3;0.07;0.05;g1860;-0.06;0.11;-0.53;0.06
g1892;-1.05;0.16;-0.05;-0.78;g1892;0;0.83;0.29;-0.09;g1892;1.09;-0.34;0.05;0.23;g1892;0.87;-0.72;0.29;0.17;g1892;-0.27;-0.3;0;0.35;g1892;0.02;-0.87;-0.28;0.4
g1900;-0.08;-0.33;-0.68;1;g1900;0.16;-0.02;0.08;0.27;g1900;0.02;-0.21;-0.44;-0.22;g1900;0.26;-0.08;-0.47;-0.29;g1900;-0.56;0.05;0.18;-0.59;g1900;0.13;-0.24;-0.1;-0.11
g1918;0.06;0;0.22;1.32;g1918;0.33;0.07;0.19;-0.07;g1918;0.2;-0.23;-0.07;-0.1;g1918;-0.24;0;-0.04;-0.44;g1918;-0.49;0.15;0.16;-0.39;g1918;0.17;-0.85;-0.15;-0.3
g1920;-0.35;0;0.7;-0.02;g1920;-0.08;0;-0.28;0.34;g1920;-0.03;0;-0.22;-0.08;g1920;0.03;0;0.33;-0.31;g1920;-0.21;0;-0.21;-0.62;g1920;0.07;0;-0.72;-0.35
g1959;0.17;-0.16;0.75;0.42;g1959;0.25;0.23;-0.02;0;g1959;0.25;-0.1;0;-0.07;g1959;0.16;0;0.08;-0.29;g1959;0.03;0.32;-0.16;-0.34;g1959;-0.26;-0.73;-0.42;-0.36
g2024;-0.23;-0.38;-0.34;-0.13;g2024;-0.27;-0.79;0.03;-0.4;g2024;0.13;-0.58;-0.31;-0.24;g2024;-0.03;-0.34;-0.51;-0.1;g2024;0.36;-0.4;-0.6;0.16;g2024;-0.77;0.06;-0.58;0
g2114;0.04;0.54;0.33;0.81;g2114;0.05;0.22;0.36;0.15;g2114;-0.03;-0.11;0.08;0.33;g2114;0.13;-0.14;-0.14;0.47;g2114;-0.19;-0.07;-0.3;0.16;g2114;0.2;-0.36;-0.06;0.03
g2147;1.92;-0.22;0.32;0.68;g2147;0;-0.29;-0.73;-0.16;g2147;-0.43;-0.22;-0.63;-0.06;g2147;-0.39;0.14;0.37;-0.06;g2147;-0.05;0.09;0.22;-0.2;g2147;0.07;-0.03;0.42;0.1
g2185;-0.34;0;0.26;-0.16;g2185;-0.02;0;-1.21;0;g2185;0.36;0;-0.8;-0.11;g2185;0.07;0;-0.29;0.02;g2185;0.07;0;-0.25;-0.31;g2185;-0.13;0;-0.34;-0.55
g2200;-0.08;0;-0.23;0.07;g2200;-0.26;0;0.11;-0.11;g2200;-0.34;0;-0.07;-0.23;g2200;0;0;-0.11;-0.07;g2200;-0.11;0;0.01;-0.07;g2200;-0.11;0;0.08;0.05
g2256;-0.01;0.09;-0.03;-0.77;g2256;0.29;0.2;-0.1;0.86;g2256;0.13;0.31;0.55;-0.58;g2256;0.36;0.36;0.54;-0.28;g2256;0.03;0.56;0.26;-0.51;g2256;0.2;-0.03;-0.14;0.11
g2261;-0.21;0.14;-0.25;0.54;g2261;0;0.79;0.17;0.16;g2261;0.1;0.33;0.64;0.33;g2261;0.2;-0.27;-0.03;0.45;g2261;-0.04;-0.54;-0.11;0.14;g2261;-0.1;-0.49;-0.07;-0.1
g2271;0;-0.08;0.47;1.51;g2271;0.85;0.59;-0.53;0.09;g2271;0.52;0.09;-0.11;0.36;g2271;-0.1;-0.41;-0.24;0.57;g2271;0.14;0.5;-0.61;-0.01;g2271;-0.34;-0.43;-0.05;-0.49
g2288;0.06;-0.4;0.04;0.59;g2288;0.08;0.18;0.62;0.19;g2288;-0.27;-0.18;0.36;0.36;g2288;0;0.28;-0.74;0.2;g2288;-0.24;0.31;-0.96;0.14;g2288;0.34;0.45;-0.38;0.18
g2295;0.28;-0.34;0.27;0.83;g2295;0.04;-0.12;-0.17;-0.26;g2295;0.26;-0.31;-0.26;-0.11;g2295;0.21;0;-0.16;0.01;g2295;0.02;-0.38;-0.54;-0.04;g2295;-0.04;-0.12;-0.32;-0.13
g2397;-0.27;0.1;0.27;0.26;g2397;1.75;-0.03;-0.11;-0.06;g2397;-0.41;0.15;0.05;0.02;g2397;-0.03;0.37;0.05;0.14;g2397;-0.27;0.15;-0.12;-0.41;g2397;0.01;0.31;0.04;-0.1
g2415;0.25;0.2;-0.18;0.33;g2415;-0.03;0.35;-0.44;-0.18;g2415;0.04;0.17;-0.46;-0.16;g2415;-0.07;0.21;0.08;-0.18;g2415;0.21;-0.23;0.24;0.05;g2415;-0.19;0.03;0.12;-0.43
g2440;-0.38;-0.61;0.67;-0.85;g2440;0.02;1.12;-0.41;-0.92;g2440;0.46;1.12;1.63;-0.71;g2440;0.74;-0.47;0.63;0.33;g2440;0.31;-0.43;-0.17;-0.03;g2440;-0.13;-0.64;-0.17;0.56
g2454;0.22;-0.27;0.04;0.18;g2454;0.22;0.1;-0.2;0.01;g2454;-0.04;-0.01;0.25;0.07;g2454;-0.32;-0.07;0.31;0.19;g2454;-0.66;-0.22;0.16;0.39;g2454;-0.12;-0.16;0.01;0.35
g2471;-0.22;-0.21;-0.59;0.37;g2471;0;-0.03;-0.4;-0.2;g2471;-0.17;0.04;-0.13;0.01;g2471;-0.04;0.24;0.06;0.03;g2471;-0.08;0.2;0.41;-0.18;g2471;0.1;-0.06;0.48;0.03
g2531;0.16;-0.18;0.2;0.17;g2531;-0.01;0.19;0.26;-0.02;g2531;0.3;-0.18;-0.06;0.09;g2531;-0.11;-0.26;0.14;0;g2531;0.1;0.39;0.14;0.08;g2531;0.1;-0.1;0.02;-0.17
g2555;-0.67;-0.34;0.48;-0.21;g2555;-1.16;-0.47;0.14;1.23;g2555;-0.42;-0.33;-0.36;0.37;g2555;-0.52;-0.63;-0.19;0.16;g2555;-0.47;0.23;-0.34;0.31;g2555;-0.66;-0.28;-0.25;0.19
g2571;0.99;0.72;-0.15;-0.88;g2571;0.75;0.72;0.32;0.08;g2571;0.05;-1.23;0.23;-0.03;g2571;-0.42;-1.08;-0.76;0.51;g2571;-1.01;-1.72;-1.16;0.53;g2571;-0.4;-0.48;-0.9;0.29
g2661;-0.07;0.15;-0.06;1;g2661;0.13;0.16;-0.32;0;g2661;-0.26;0.25;-0.33;0.07;g2661;0.05;0;0.3;-0.18;g2661;0.07;-0.24;0.25;0.23;g2661;0.05;0;0.07;0.05
g2672;-0.17;-0.7;0.94;-0.15;g2672;0.37;-0.03;0.4;0.16;g2672;-0.11;0.03;0.4;0.07;g2672;-0.05;-0.25;0.19;-0.18;g2672;-0.19;0.31;0.44;-0.24;g2672;0.21;-0.13;0.22;0.05
g2690;-0.36;-0.45;-0.12;-0.55;g2690;-0.27;-0.2;-0.15;-0.28;g2690;-0.34;-0.08;0.12;-0.07;g2690;-0.03;0.16;-0.08;-0.17;g2690;-0.14;0.27;0.12;0.08;g2690;0.17;0;0.53;0.07
g2694;-0.21;-0.49;0.53;-1.07;g2694;0.24;0.17;0.05;0.09;g2694;-0.1;0.17;0.47;0.21;g2694;0.31;-0.04;0.21;-0.48;g2694;0.11;0.17;-0.26;-0.02;g2694;0.16;-0.56;-0.33;-0.02
g2726;-0.3;0.03;-1.3;-0.14;g2726;0;0.53;-0.2;-0.48;g2726;0.59;0.53;1.65;0.08;g2726;0.51;-0.22;0.78;-0.02;g2726;0.21;-0.07;-0.78;0.54;g2726;0.11;0.47;-0.2;0.36
g2791;-0.09;-0.16;-0.5;-1.76;g2791;0.06;0.53;-0.23;-0.07;g2791;-0.38;0.46;0.05;0.01;g2791;-0.14;0.27;0.04;-0.01;g2791;-0.48;0.41;-0.41;0.52;g2791;0.15;-0.12;0.13;0.63
g2814;-0.17;0.93;-0.77;-0.34;g2814;-0.52;1.12;0.36;0.37;g2814;-0.77;0.73;0.05;0.02;g2814;-0.43;0.01;0.32;0.24;g2814;-0.29;-0.38;0.21;0.76;g2814;0.37;0.13;0.3;0.33
g2816;-0.28;0.34;-0.69;-0.22;g2816;-0.3;0.2;-0.29;-0.07;g2816;-0.54;0.07;-0.16;-0.07;g2816;-0.21;0.1;-0.27;-0.15;g2816;-0.33;-0.22;-0.15;-0.1;g2816;0.21;-0.04;0.11;-0.12
g2822;-0.25;0.23;-0.3;0.6;g2822;0.22;0.14;0.05;0.2;g2822;-0.28;0.05;0.07;0.24;g2822;-0.18;0.16;-0.21;-0.4;g2822;0;0.09;-0.41;0.09;g2822;0.29;0.03;-0.08;0.02
g2850;-0.06;0.42;0.33;0.66;g2850;0.47;0.02;0.21;0.38;g2850;0.52;-0.28;-0.76;0;g2850;-0.11;0.28;-0.11;0.14;g2850;-0.03;-0.55;0.12;-0.34;g2850;-0.3;0.02;-0.17;-0.34
g2851;0.34;-0.11;0.11;1.35;g2851;0.61;-0.36;-0.5;-0.39;g2851;0.08;-0.27;-0.67;-0.29;g2851;-0.22;0.26;-0.05;-0.34;g2851;0.15;0.38;0.19;-0.22;g2851;-0.06;0.51;0.18;-0.27
g2852;0.12;-0.54;0.23;0.47;g2852;0;-0.49;0;0.7;g2852;0.12;-0.42;-1.25;0;g2852;0;-0.04;0;-0.62;g2852;0.15;-0.26;0.43;-1.2;g2852;-0.07;0.36;0.33;-0.94
g2853;0.36;0.31;0.65;0.62;g2853;-0.04;0.27;0.78;-0.22;g2853;0.27;0.13;0.33;0.1;g2853;0.2;0.33;0.65;-0.24;g2853;0.12;0.17;-0.35;0.24;g2853;0.05;0.03;-0.35;-0.04
