LEVEL;WEIGHT;INTERVAL;TRI_{1}TERMS;TRI_{1}CONCENTRATION;TRI_{1}PARTIAL;TRI_{2}TERMS;TRI_{2}CONCENTRATION;TRI_{2}PARTIAL;TRI_{3}TERMS;TRI_{3}CONCENTRATION;TRI_{3}PARTIAL;TRI_{4}TERMS;TRI_{4}CONCENTRATION;TRI_{4}PARTIAL;TRI_{5}TERMS;TRI_{5}CONCENTRATION;TRI_{5}PARTIAL;
24;231.0;(1.0E-24,1.0E-23];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
23;221.0;(1.0E-23,1.0E-22];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
22;211.0;(1.0E-22,1.0E-21];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
21;201.0;(1.0E-21,1.0E-20];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
20;191.0;(1.0E-20,1.0E-19];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
19;181.0;(1.0E-19,1.0E-18];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
18;171.0;(1.0E-18,1.0E-17];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
17;161.0;(1.0E-17,1.0E-16];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
16;151.0;(1.0E-16,1.0E-15];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
15;141.0;(1.0E-15,1.0E-14];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
14;131.0;(1.0E-14,1.0E-13];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
13;121.0;(1.0E-13,1.0E-12];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
12;111.0;(1.0E-12,1.0E-11];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
11;101.0;(1.0E-11,1.0E-10];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
10;91.0;(1.0E-10,1.0E-09];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
9;81.0;(1.0E-09,1.0E-08];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
8;71.0;(1.0E-08,1.0E-07];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
7;61.0;(1.0E-07,1.0E-06];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
6;51.0;(1.0E-06,1.0E-05];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
5;41.0;(1.0E-05,1.0E-04];0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;
4;31.0;(1.0E-04,1.0E-03];0;0.0;0.0;4;0.00196078431372549;14.24313725490196;4;0.0017613386173491853;14.218405988551298;0;0.0;0.0;3;0.0013123359580052493;14.162729658792651;
3;21.0;(1.0E-03,1.0E-02];24;0.011816838995568686;13.744460856720828;25;0.012254901960784314;0.7720588235294117;19;0.00836635843240863;0.5270805812417437;5;0.002256317689530686;13.142148014440433;25;0.010936132983377077;0.6889763779527559;
2;11.0;(1.0E-02,1.0E-01];335;0.16494337764647957;3.6287543082225504;385;0.18872549019607843;4.151960784313726;372;0.16380449141347425;3.6036988110964336;297;0.13402527075812273;2.9485559566787;444;0.1942257217847769;4.272965879265092;
1;1.0;(1.0E-01,1.0E00];1672;0.8232397833579518;0.8232397833579518;1626;0.7970588235294118;0.7970588235294118;1876;0.8260678115367679;0.8260678115367679;1914;0.8637184115523465;0.8637184115523465;1814;0.7935258092738408;0.7935258092738408;
