Total Times:	14
Total Samples:	3
Total Genes:	2000
Time	0
ID	NAME	pheromone	cdc15	elutriation
68	3931	-2.5550	-1.2500	-0.6000
69	1606	1.6510	0.2940	1.1600
70	5780	-0.4239	0.1010	-3.6800
71	3540	1.5850	-0.7850	0.9660
72	4	-0.4310	-1.1170	-0.9190
73	1839	-0.3160	-2.8200	-0.3500
74	7367	-1.4590	0.4500	-0.5639
75	5478	1.5170	-0.9140	0.8190
76	6261	0.0700	4.4090	-0.2080
77	6579	-0.0930	-0.2040	-0.3720
78	5469	-0.7942	-0.3980	-0.7942
79	1726	-0.7191	-1.1360	0.4020
80	6681	-0.0230	-1.8310	-0.2700
81	5651	-0.5758	0.3700	1.2090
82	1472	-2.1740	-0.8530	0.8530
83	1557	-0.6326	-0.1810	-3.7190
84	3484	0.0100	-0.5831	0.0890
85	6358	0.2380	-0.3430	-1.0040
86	1534	1.6780	-0.2507	0.6750
87	1429	1.8620	0.6486	-0.4340
88	7356	-0.4451	1.2420	-1.6760
89	3495	-4.8240	-0.0830	-0.2220
90	7715	0.0532	-0.0510	-4.5090
91	4669	0.0360	-0.6669	-0.0680
92	535	0.2650	-4.8910	0.0280
93	7414	1.9410	-0.0280	0.7320
94	1597	-1.2630	-0.1300	-0.1561
95	4046	0.3590	-2.7210	-0.1740
96	7716	-0.4746	0.1840	-3.0590
97	18	-0.4697	-0.9130	-3.3140
98	3263	-0.2080	-2.9270	-0.2050
99	6259	0.2970	-0.9750	0.0050
100	3909	-0.8100	-0.0130	0.1500
101	2268	-0.3220	-0.1588	0.2430
102	1228	-0.2090	-0.3110	0.1450
103	40	0.2950	0.1150	-0.2060
104	1296	-1.5690	1.1650	-0.2770
105	5425	-0.4273	0.3450	-3.4520
106	704	-0.1950	-4.0830	0.0220
107	5859	-0.1430	0.0169	-0.2610
108	5480	-0.6528	0.2180	-1.9610
109	6143	0.1760	-0.7750	-0.1500
110	1482	0.3410	-0.7210	0.3790
111	5809	0.1763	0.0830	-1.4850
112	1601	-0.2260	0.1170	-0.3850
113	116	-0.8082	-1.5960	-0.8082
114	3943	0.3260	-1.1420	0.3580
115	2997	-0.6870	0.1330	-0.6830
116	7542	-0.6024	0.6820	-0.9250
117	955	-1.8740	-0.1840	1.6170
118	5428	-1.1700	0.2070	-2.4090
119	2031	1.3220	-0.2600	-0.2740
120	4047	-0.0180	0.2880	0.1660
121	72	-0.1120	-0.0996	0.2090
122	6631	-0.1530	0.2390	-0.2970
123	3815	0.1430	-2.5360	-0.1190
124	1671	-0.4319	0.1970	-0.3140
125	4051	-0.1900	0.3690	-0.2320
126	5666	-0.4957	-0.7050	-2.3220
127	425	0.1250	0.3437	-0.1060
128	744	-0.2210	0.3500	-0.1880
129	2020	-0.2960	-0.7980	-0.2740
130	2963	0.3830	-0.3580	-0.2830
131	553	-0.0900	3.4450	-0.3470
132	7193	-0.2560	-1.3140	0.0480
133	3457	-0.6126	0.0030	-0.6940
134	7492	0.0751	-0.1510	-1.9610
135	6065	0.3350	0.1550	-0.2190
136	6265	-2.5640	-0.4380	0.6770
137	2836	0.5920	-0.9430	0.4190
138	4380	-0.0270	-0.4980	-0.5079
139	4532	0.8090	-0.1750	-0.2490
140	260	-0.3320	0.0094	-0.0190
141	1823	-1.1260	0.4520	-0.8660
142	97	-0.0450	0.4610	-0.1620
143	5271	-0.0350	-0.2620	-0.3320
144	5778	0.0110	-0.2940	-2.5970
145	3365	0.7920	-0.8990	-0.3560
146	4050	-0.3140	-0.0460	-0.2410
147	1566	-0.0602	0.1020	0.0860
148	6937	0.0450	2.1160	-0.2410
149	2326	1.2980	0.3912	-0.9490
150	1443	-0.1740	0.2417	0.3140
151	1728	3.4150	-0.2130	0.8190
152	4390	-0.0190	-0.6210	-0.1640
153	5432	-0.5038	1.0950	-0.5038
154	76	-0.1620	1.2290	-0.7710
155	1738	-0.1599	-1.1570	1.1300
156	7412	1.3900	0.3480	1.0150
157	2813	0.3920	-2.0590	0.1320
158	3894	1.2640	-0.0550	-0.0120
159	5438	-0.8220	-0.4660	-0.5410
160	127	-0.7830	-0.0502	0.4420
161	5208	-0.6780	0.0120	0.3760
162	4387	-3.0690	-0.4450	1.1510
163	4198	-0.4230	-2.8170	0.4380
164	4571	-0.3830	-0.7131	-0.1180
165	1909	-0.8670	0.0200	0.4750
166	1288	0.3990	-0.1688	-0.2630
167	1607	1.5850	-0.0520	-1.0080
168	3756	-0.8480	0.1580	-0.5436
169	6138	0.2850	-1.0160	0.3080
170	3253	0.1860	0.8200	-0.3720
171	1355	-0.0510	0.3120	-0.6340
172	1512	-0.1720	0.5880	-0.0480
173	5830	1.7680	0.4420	-0.1510
174	1384	0.1180	1.2860	0.0060
175	1689	-0.3186	-3.7290	0.0740
176	5041	-0.5390	-0.2658	0.0830
177	2169	-0.1234	-0.4190	-0.1234
178	5515	-0.2685	-0.6020	-0.2685
179	63	-0.5380	-2.4980	0.5660
180	4268	0.0040	-1.3060	-0.5140
181	1558	-0.2349	0.0210	-2.2090
182	3854	-0.0950	0.1180	0.1980
183	6990	-0.2080	-0.1250	-0.4150
184	5429	-1.5850	0.9370	-3.6000
185	2163	0.3920	-0.5650	-0.2070
186	1732	0.1196	0.2700	-0.2770
187	1229	-0.0290	0.2790	0.2010
188	101	0.3220	-0.1230	0.0960
189	2776	-0.0990	3.2020	-0.0390
190	4140	-0.4010	0.1340	0.1050
191	5468	-0.2911	0.3020	-3.9070
192	1563	-0.9070	0.2690	-0.5181
193	1852	-0.4280	-0.1360	-0.3500
194	3538	-0.4850	0.2810	-1.1550
195	120	-0.4227	0.4640	-0.4227
196	38	0.1360	-0.5310	0.1380
197	5145	-0.3090	-0.2570	-0.2990
198	7390	-0.1640	-0.7393	-0.4330
199	1849	-0.5060	-3.6680	0.1050
200	1835	-1.3000	-0.2280	-0.4040
201	1508	-0.8380	-1.9130	0.5200
202	6830	-0.1240	-1.3460	-0.1050
203	154	0.3910	0.0610	0.2330
204	6142	0.4860	-1.6180	0.3140
205	6272	0.0420	0.5690	-1.2940
206	5834	-0.0650	0.0620	0.4910
207	6255	0.2470	-2.6030	-0.1700
208	6563	-0.3280	-0.2700	0.9100
209	6933	1.3260	-0.6620	0.2950
210	5715	0.4660	-0.1030	-0.8450
211	4221	0.2840	0.0660	-0.0920
212	7234	-0.1780	-0.2920	0.0690
213	1982	0.0530	0.1993	0.3510
214	5305	-0.8370	1.9310	-0.9510
215	3482	-0.3030	-0.5877	-0.4000
216	5632	-0.3857	-1.9740	0.0990
217	3695	-0.7480	1.1660	0.0900
218	5154	-1.1850	-0.1030	-0.4290
219	7401	-0.8927	-0.2930	-0.8927
220	5624	-0.2012	-1.3840	0.5770
221	4983	0.5730	-0.3664	0.8560
222	13	0.0646	0.5980	-3.4150
223	4873	1.5340	0.4621	-0.4260
224	4683	-0.9130	0.4390	0.1990
225	4481	0.0170	-0.3140	-0.5010
226	3131	-0.2360	0.1770	0.4990
227	6920	-0.0200	-0.8500	0.4900
228	7362	-0.4740	-0.3010	-2.9230
229	7714	-0.1968	-0.1120	-3.7430
230	6641	1.7330	1.1650	0.0970
231	2036	-0.1030	-3.0830	0.1520
232	7249	-0.3530	-0.7235	0.2230
233	3771	-0.2290	-0.3450	0.0800
234	1008	0.2690	2.2640	0.5990
235	1380	-0.1160	-0.3734	0.2570
236	1521	-0.5850	0.7860	-1.5920
237	6593	0.0350	-0.4090	-0.3680
238	6256	-0.1950	-0.5330	0.1890
239	1665	0.2769	1.9780	0.1200
240	7631	0.0780	0.8730	0.1180
241	2797	0.0640	-0.5510	0.2500
242	7519	-0.1303	0.3470	0.1210
243	1560	0.5310	0.3900	1.2950
244	4443	-0.0120	-0.1070	-0.2280
245	7388	0.0190	0.1210	-1.8230
246	5329	-0.0803	-0.0803	0.1880
247	5679	0.9260	0.0498	0.3860
248	3259	-0.1940	-0.4980	0.3810
249	3134	1.1820	-1.5010	0.7840
250	6538	1.3570	-3.0830	-0.0240
251	7632	1.2430	-1.0020	-0.3020
252	6777	-0.6190	-0.4473	-0.5970
253	4953	-0.4910	0.4420	0.3170
254	2121	-0.1040	-0.7604	-0.8030
255	6016	0.3910	0.0500	-0.3180
256	54	0.0000	-0.9700	0.4100
257	870	-0.3540	0.4420	-0.0910
258	6642	1.5820	0.3500	-0.0610
259	2478	0.1130	2.4740	0.2930
260	7621	-0.2720	-0.1710	0.7180
261	1595	0.0000	0.2860	-2.1380
262	5134	-0.1570	0.4540	0.4870
263	361	0.1300	0.3854	0.3120
264	1554	-3.3920	0.2400	-0.8590
265	1757	-0.1909	0.1750	-0.5080
266	1866	-0.2780	0.2120	0.1560
267	1813	0.5080	-1.7160	0.4620
268	4293	0.7460	0.4560	0.4640
269	5918	-0.1290	-0.1830	0.5110
270	1241	-0.8130	0.5800	-0.2250
271	3705	-0.2517	0.0470	-0.2410
272	2021	-2.4250	-0.0635	-0.2720
273	1041	-0.2950	2.0010	-0.5820
274	426	-0.2790	-0.4980	0.5370
275	2035	-0.9870	-0.0830	0.1680
276	913	-0.7990	2.8940	-0.0520
277	1981	0.4990	0.1931	0.2120
278	6425	-0.1580	-1.5720	0.4280
279	1520	-0.1350	0.6820	0.1000
280	1762	-0.3202	-0.6290	0.1490
281	1837	0.1660	-3.3060	0.6370
282	1838	0.0520	0.4560	0.1210
283	3486	-0.5330	-0.5330	0.6580
284	529	0.3380	0.8550	-0.2390
285	1697	-0.0883	0.0660	1.2140
286	2012	0.3750	-0.3910	-0.3570
287	4224	-0.0220	0.1843	-0.3240
288	3462	-0.0430	-2.5830	0.0220
289	1342	-0.6960	0.5760	-0.0030
290	3496	-0.2041	-0.2041	-1.2020
291	5810	0.2520	0.1710	-0.7470
292	5831	3.8850	0.4220	-1.5520
293	3433	-0.0750	-0.3790	-0.2190
294	907	-0.2230	0.2110	0.3030
295	3464	-0.0060	-0.2696	-2.2710
296	22	1.5530	1.2916	0.6160
297	7474	-0.1233	0.4000	-0.1820
298	5032	-0.0270	0.2470	0.5140
299	12	-0.8480	-3.3060	-0.2410
300	1039	-0.8690	0.0300	-0.2570
301	6597	0.4720	0.0320	-0.0940
302	1986	-0.2024	-4.1990	-0.2630
303	4326	-0.5740	-2.6030	0.3680
304	707	-0.2210	-0.4020	0.1390
305	2337	-0.1930	-0.7210	-0.0730
306	5981	0.1190	-2.4410	-0.7400
307	5003	-0.6370	1.7670	0.6160
308	111	0.2060	-0.5730	-0.6560
309	7100	0.0530	-0.4980	0.2400
310	6820	-0.8480	-4.8200	-0.5930
311	6684	0.2680	0.7240	-0.0450
312	5151	-0.6790	-0.4550	-0.4090
313	4036	-0.8800	0.1880	1.0230
314	1954	0.4150	0.3500	0.4350
315	6424	-0.1370	0.1359	-0.4970
316	1207	-0.3330	-0.7680	-0.2270
317	4049	0.6790	0.1800	0.7240
318	6428	0.1760	-0.0130	0.6990
319	1522	-1.2410	-0.7253	-0.5610
320	7233	0.0000	0.0230	3.8910
321	3633	-0.3336	-0.3336	-0.5190
322	1746	-0.4765	-2.3860	0.0710
323	6422	0.1110	-0.4980	-0.3770
324	4435	0.0050	-0.8770	0.0850
325	715	-0.0620	-0.4340	0.1770
326	10	0.0619	-2.0830	-0.6540
327	1788	-2.5850	-0.1360	-3.0050
328	4477	-0.2020	0.1880	-0.0380
329	2200	-1.3130	0.1140	-0.5590
330	5467	-0.3000	0.3970	-4.2550
331	547	-0.0140	-0.5004	-0.2490
332	3532	-0.6590	0.4650	-0.5210
333	1392	-0.3890	1.6640	-0.2000
334	5863	0.4380	-0.3078	-0.6530
335	1290	0.1610	-0.3943	-0.4890
336	1431	-0.3160	-2.4980	0.1620
337	429	-0.1350	-0.6910	0.2690
338	3823	0.1670	-2.2700	-0.2040
339	5708	0.1260	-0.8820	-0.8820
340	7436	0.2953	-0.0760	-1.8740
341	2234	-0.6580	-0.5187	-0.5610
342	628	-0.1190	-0.4410	0.3180
343	211	0.0610	-0.8500	0.1170
344	6991	-0.3800	-0.5657	-0.4060
345	5431	-0.2942	0.1160	-3.4590
346	6893	0.0640	-1.0640	-0.3910
347	6140	0.0000	-2.8200	-0.0250
348	7147	-0.2780	-0.8200	0.1670
349	7363	0.1200	0.4330	-3.4040
350	2851	0.5080	-0.4550	-0.2130
351	2538	0.9990	-0.4608	0.3940
352	3435	-0.0720	0.3680	0.0930
353	6419	-0.1840	-3.1760	0.1310
354	3493	-0.0577	-0.0577	0.1860
355	892	-0.3460	0.5780	-0.1760
356	1959	0.1430	-0.0940	0.3470
357	2096	0.1240	0.4220	0.3320
358	3649	-0.1906	-0.1906	0.1340
359	5340	-0.1990	-1.8640	0.1010
360	536	0.0140	-2.4980	0.1850
361	7490	-0.3911	-0.0830	0.5940
362	1555	0.5850	0.6540	-2.7490
363	6732	-0.4420	-0.2990	-0.4260
364	4121	-0.6350	1.5780	-0.1740
365	6477	-0.6289	0.1920	-0.6540
366	3333	-0.8960	-0.3940	0.0330
367	950	-0.2460	0.0220	0.8300
368	1711	3.4590	0.4910	0.2180
369	2682	-0.2150	-1.1150	-0.4060
370	2009	0.1070	1.0320	0.0740
371	105	0.7040	-1.8450	-0.5800
372	4584	-0.2890	0.1841	-0.5010
373	5460	0.2060	-0.2150	-0.1470
374	3176	-0.6030	0.2020	-0.6460
375	1841	0.1870	3.7500	0.2320
376	2120	0.4740	-0.1217	0.3150
377	1629	-0.0007	0.1010	-0.3830
378	5179	-0.0130	-0.4350	-0.1530
379	3886	-0.0430	-0.0390	0.0290
380	3714	0.4850	1.0940	0.4900
381	7389	-0.0770	0.5740	-0.4640
382	2834	-0.9550	0.6380	-0.2100
383	4395	0.4010	0.1390	0.3740
384	5190	-0.2600	0.0990	0.1790
385	7543	-0.2124	-0.1180	-0.2124
386	5316	-0.5580	-1.8590	-0.2930
387	2462	0.3050	-0.0891	-0.0360
388	4433	-0.0190	-2.2350	0.5900
389	3992	-0.4835	-0.1690	0.8740
390	1802	-0.2830	0.3280	0.2270
391	1821	-0.5530	0.1250	-0.0450
392	7545	-0.4475	-0.6830	-0.4290
393	3933	-0.2420	0.6720	0.4720
394	6710	0.0880	0.7500	0.6220
395	3036	0.0260	0.2450	-0.0730
396	5446	-1.2800	0.0320	-1.3690
397	3712	-0.3823	0.5290	-0.1430
398	7365	-0.7370	-0.5610	-3.1440
399	703	0.0210	0.1420	0.3370
400	3492	-0.3220	-0.5865	-1.2390
401	1943	0.0660	-1.4980	-0.2860
402	6260	0.4920	0.0490	0.3060
403	1588	0.7160	0.4160	-0.3520
404	5444	-1.4370	-3.0760	-0.4940
405	4169	0.0810	0.2170	-0.1370
406	7369	-0.5850	-0.3090	-0.5538
407	2933	0.3380	-0.6380	-0.1190
408	7183	-0.3540	0.0420	0.2890
409	6263	0.1660	-3.4520	-0.0690
410	5811	0.1650	1.1880	-2.1660
411	5430	2.4150	-0.1580	-0.4590
412	3119	0.4670	-0.7830	0.0630
413	4831	-0.0590	-0.4708	0.1260
414	7539	-0.3159	0.4610	0.7510
415	161	0.3070	0.4950	0.4140
416	1516	-0.3640	0.3590	0.4360
417	7683	-0.0300	-0.6218	-0.2810
418	3717	-0.4754	-1.6690	0.3050
419	1398	-0.8100	0.7640	0.3810
420	7364	-0.4354	-1.4160	-1.9190
421	4316	0.4960	-3.6680	-0.4270
422	552	0.1040	0.3090	-0.2900
423	7410	-0.2630	0.5680	-3.6480
424	3016	-0.1320	-0.3460	0.3430
425	6091	-2.3700	-0.2300	1.0160
426	6532	0.0400	-0.3342	0.4820
427	2761	-0.2110	-0.2120	0.0220
428	7152	0.1430	-0.2040	0.3020
429	4713	-0.2810	0.1657	0.3330
430	4497	0.4450	-0.9900	-0.2820
431	6083	0.3590	0.0490	-0.5500
432	3537	0.8300	0.4380	-0.0770
433	6355	0.3150	-0.1650	-0.1800
434	3077	-0.0910	-0.5580	-0.2130
435	6761	0.1690	-2.5690	-0.6720
436	622	-0.1270	0.3880	0.1050
437	1937	1.1140	-0.0685	0.0600
438	2061	-0.2490	0.5870	-0.6500
439	2266	-0.1390	-0.2560	0.2360
440	603	-0.8310	-0.9010	-0.9710
441	5148	-0.5280	0.4390	-0.1670
442	3892	1.6830	0.5390	0.3630
443	8	-0.5160	0.5020	-0.8450
444	7487	-0.0353	0.9300	-0.4870
445	4926	-0.2700	-4.4050	0.1750
446	274	-0.1700	-1.8870	0.0620
447	6723	-0.1750	0.8660	-2.1420
448	768	-0.3749	0.2810	-1.4360
449	5501	0.2938	-0.4380	0.2938
450	7523	2.8070	-2.2800	0.0250
451	1264	-0.2660	-0.1167	-0.1270
452	3730	-0.0010	0.9010	0.2840
453	7266	-0.2960	1.8400	0.0680
454	3217	-0.8270	-0.1880	0.5630
455	3442	-0.2050	-0.5330	0.2040
456	3549	-1.0000	-0.5950	-0.6874
457	6231	1.8960	0.3770	0.2350
458	5662	-0.5641	-0.4140	-0.9680
459	3543	1.9390	0.1130	-0.2460
460	4247	0.2320	3.8940	0.5340
461	3889	-0.2496	-0.1830	0.2270
462	4968	-0.6520	-0.9870	-0.2380
463	6832	-0.2940	-0.4291	0.1810
464	6417	1.3200	-0.4200	-0.8990
465	1833	-0.2970	-0.2350	-0.2710
466	6993	0.1500	0.1800	-0.3760
467	1695	-0.2176	0.1500	0.4970
468	6086	-0.3250	0.0040	0.6040
469	6850	1.4550	-0.0480	-0.3070
470	311	0.5430	-0.4370	0.7480
471	7521	0.0000	-0.7070	-0.2140
472	952	-0.8160	0.2120	-0.3000
473	3205	-0.0250	-0.0351	-0.2140
474	5734	-0.2480	-0.0720	0.5310
475	1411	-0.0720	-0.5550	-0.9680
476	1442	0.0720	1.8240	-0.2480
477	7508	-0.2211	0.6620	-0.4460
478	1097	-0.2410	-0.0300	-0.0060
479	745	-0.5940	-2.7210	0.3230
480	3694	-0.1865	-0.1540	0.1320
481	3660	0.0584	1.3090	0.4120
482	1230	-0.2970	-0.1760	0.1390
483	5427	2.3030	-0.1420	1.0000
484	5757	0.3220	-0.7920	3.6170
485	2825	0.3370	-0.3280	-0.2080
486	103	-0.3460	1.1140	-0.0940
487	3340	-0.0810	-0.0510	0.3710
488	134	0.0780	-0.2515	-0.2840
489	1480	-0.3060	0.1870	0.4570
490	4377	0.2210	-0.1760	0.9180
491	3890	-0.0370	-0.2340	-2.7040
492	4256	-0.1390	5.5890	0.0090
493	1448	-0.4070	-0.5949	-0.5220
494	1051	0.0110	0.5360	-0.1180
495	23	0.3830	-1.7210	-0.0750
496	5183	-0.1020	-2.7230	0.1950
497	4095	0.0370	-0.7460	-0.6550
498	6598	0.1120	-0.0290	-0.3560
499	3521	0.3300	0.4170	-0.2220
500	2681	-0.0660	-0.8480	-0.0450
501	1733	-0.0728	-0.0130	-0.0770
502	3582	-0.2689	0.3110	-2.8070
503	7643	0.5000	0.2950	-0.6520
504	7397	0.8220	-0.4980	0.4410
505	2504	0.6570	-0.1521	-0.4790
506	2168	0.6070	-0.1670	0.2490
507	2978	-0.1360	0.5290	-0.2700
508	6141	0.1260	-0.8390	-0.1360
509	5790	-1.0000	-0.2030	0.6140
510	3410	-0.9440	0.3440	-0.0840
511	402	0.1330	0.0140	0.0710
512	7358	1.7370	-0.2450	-1.0780
513	3443	-0.7490	-0.3000	-0.5190
514	709	-0.3560	1.0090	0.1980
515	312	-0.1240	-0.0720	0.5460
516	639	0.0150	0.3274	0.1110
517	1608	-0.2740	-0.6750	-0.2740
518	2551	0.4720	-0.1950	-0.3760
519	1327	-0.2860	-0.2540	-0.1070
520	1334	-0.1390	-2.5390	-0.5670
521	7435	2.3220	-0.0750	-2.7370
522	328	-0.1410	-0.2111	0.1370
523	2014	0.1052	-0.7610	0.0700
524	1832	-0.2380	-1.3060	-0.1000
525	5349	-0.0930	-1.6940	-0.3790
526	4427	-0.6940	-0.2180	-0.3364
527	5577	0.1752	-0.1040	0.4490
528	2871	-0.0210	0.5550	-0.2460
529	246	-0.3132	-0.5880	-0.3132
530	4578	0.1020	-0.3904	-0.2120
531	3981	-0.0084	-0.2100	-0.0084
532	4397	-0.0620	-0.3120	0.1940
533	4491	-0.4170	0.5230	0.5610
534	95	0.1960	0.1960	0.4170
535	7009	-1.3830	-0.2970	1.0630
536	6646	-0.2500	-2.8200	0.6240
537	1361	0.0360	0.9120	-0.1390
538	100	-0.1250	1.2140	-0.7510
539	5502	0.4737	0.2820	0.4737
540	3828	0.5550	-1.4540	-0.0180
541	1801	-1.6700	0.5540	-2.5710
542	4088	-0.1810	-3.0260	0.0300
543	2041	1.2310	0.3160	0.2100
544	520	-0.3960	0.0787	0.1090
545	3887	0.2420	-0.3610	0.1110
546	5961	2.1500	0.2640	-0.0420
547	5823	-0.3370	0.3100	1.0250
548	1725	-0.2191	0.2080	0.5690
549	3268	-0.6520	0.0390	0.0760
550	85	-0.7780	-0.6620	-0.4980
551	2286	-1.1850	-0.3658	-0.3930
552	1865	-0.0060	0.2900	0.3260
553	3650	-0.4989	-0.4989	0.0350
554	7491	-0.4159	-1.4980	0.0880
555	1674	-0.4421	-0.4280	0.4380
556	1818	-0.1470	0.0710	-0.7810
557	1338	-0.3760	2.2030	0.3230
558	7618	1.1750	-0.9750	-0.3920
559	7231	-0.1510	0.6390	0.1760
560	5764	-0.7530	-0.1830	-0.1560
561	4609	-0.0980	1.4510	-0.2640
562	5024	-0.7900	-0.5400	-0.0650
563	5910	-1.4020	-0.0640	-0.6800
564	1811	-1.5850	-0.5710	-0.4290
565	7404	-0.3480	-0.0270	-0.1770
566	1382	-0.5530	-1.1320	-0.1290
567	7254	0.0990	-0.5310	0.0820
568	4887	-0.1210	-0.0640	-0.5660
569	4829	0.1390	5.1530	0.4230
570	4993	-0.1510	0.2478	0.2620
571	3956	-0.2330	0.3090	0.3640
572	5818	0.1412	-0.0990	0.1412
573	6073	0.5640	-2.3940	-0.0150
574	912	-2.3430	-0.6240	1.3960
575	2024	0.2531	0.2531	-0.1140
576	130	0.0440	0.3110	-0.0340
577	4066	-0.1080	-0.6400	-0.1750
578	5474	0.3410	0.2900	-1.5390
579	3881	0.3220	0.5020	-0.5260
580	2916	-0.0520	-0.1760	0.0290
581	4797	-0.7770	-0.4960	-0.1370
582	5156	-1.1780	-0.3270	-0.2540
583	3703	1.5850	0.2390	0.5470
584	685	-1.0490	0.9380	-0.0020
585	5738	-0.3360	0.3280	-0.0250
586	4245	-0.3380	-0.1660	-0.2744
587	3853	-0.4920	-0.8960	0.3440
588	2613	-0.4460	-0.9640	-0.6820
589	5601	0.0436	-0.1160	0.2490
590	1687	-0.1515	-0.0230	0.7770
591	1668	-0.3131	-0.3750	0.4850
592	4219	0.6980	-1.7710	-0.0350
593	4460	-0.1050	-0.3580	0.2710
594	4100	-0.3560	-0.3165	0.1890
595	6989	0.2360	0.0771	0.7600
596	2323	0.3800	0.2720	0.0300
597	656	-0.1300	-0.3380	0.3340
598	5439	-0.2704	0.1260	2.0000
599	1535	0.0590	-0.1824	-0.0520
600	3939	-0.0940	1.6590	0.1440
601	1696	-1.2800	-0.6140	0.5430
602	5595	-0.2385	0.3330	0.3220
603	4923	-0.1580	-3.5860	-0.0720
604	4706	0.9650	0.5560	0.2620
605	3150	-0.1900	0.8240	0.7610
606	7628	-0.0460	-0.2660	0.0580
607	3485	-0.2520	-0.6247	-0.4840
608	94	-0.7100	0.7042	-0.8850
609	581	-1.1700	-0.1560	0.0770
610	1377	0.1750	0.5690	-0.2520
611	5473	1.4150	-0.0370	-0.2260
612	6420	-0.2960	-0.9130	-0.7920
613	971	-0.3750	-0.3240	-0.3280
614	7416	-0.1380	-0.0210	-0.6298
615	1812	-0.7100	0.2700	-0.3990
616	7042	-1.4530	0.2050	0.9310
617	2247	0.2020	-0.0609	0.1350
618	1428	-0.8010	-0.5326	-0.4170
619	3754	0.0000	-0.8360	0.3740
620	2612	-0.4160	-0.1590	-0.6270
621	6158	-0.2050	-0.2380	-0.4060
622	735	0.0580	0.9420	-0.4080
623	1227	-0.0840	-0.5840	0.1490
624	3436	0.2100	0.1730	0.2490
625	7625	0.6120	-0.0060	0.0960
626	6856	0.3820	0.3300	0.2330
627	243	0.1890	-0.0722	0.5650
628	2188	0.4730	-0.8820	0.0100
629	6727	-0.1110	-0.0675	0.1040
630	4794	-0.0640	-0.2780	-0.7520
631	6467	-0.1520	0.1380	-0.3060
632	6384	-0.0480	0.3280	0.5550
633	1140	-0.2870	0.2980	0.4790
634	1523	0.0440	0.0969	0.2280
635	7392	-0.0430	1.0020	-0.7130
636	4992	0.7080	-0.8890	1.1110
637	4087	-0.3140	-0.6430	0.5410
638	3688	-0.3224	0.1270	-0.3410
639	277	-0.7800	0.0550	0.0080
640	7657	-0.1870	-1.1020	-0.2330
641	2179	-0.7980	-0.3280	0.1270
